,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
135,33877374531386.617,77224.0,3502.0,2046.0,719.0,83491.0
136,34711949126504.496,72597.0,3478.0,2014.0,675.0,78764.0
137,35562785100400.016,69658.0,3462.0,1932.0,695.0,75747.0
138,36438293100384.15,67321.0,3231.0,1917.0,680.0,73149.0
139,37332625925302.83,65527.0,3293.0,1817.0,691.0,71328.0
140,38247763752441.48,62819.0,3191.0,1916.0,680.0,68606.0
141,39190221946766.03,61436.0,3223.0,1978.0,726.0,67363.0
142,40160937108190.09,58478.0,3214.0,1920.0,673.0,64285.0
143,41144997266364.76,55095.0,3076.0,1928.0,626.0,60725.0
144,42155852996519.74,54489.0,3025.0,1886.0,653.0,60053.0
145,43196249456315.375,52522.0,2953.0,1859.0,604.0,57938.0
146,44250929975847.57,50444.0,3016.0,1787.0,648.0,55895.0
147,45344059990658.57,48181.0,2870.0,1823.0,651.0,53525.0
148,46462065768759.836,46180.0,2932.0,1719.0,622.0,51453.0
149,47601780574516.49,44182.0,2737.0,1714.0,591.0,49224.0
150,48772662969175.93,42689.0,2776.0,1668.0,557.0,47690.0
151,49974146003491.16,41426.0,2736.0,1626.0,615.0,46403.0
152,51200722425275.24,39671.0,2704.0,1619.0,603.0,44597.0
153,52456177954444.78,38020.0,2640.0,1674.0,559.0,42893.0
154,53753135131793.68,35754.0,2571.0,1537.0,580.0,40442.0
155,55075480935215.27,34813.0,2526.0,1479.0,574.0,39392.0
156,56425731206156.42,33680.0,2468.0,1519.0,537.0,38204.0
157,57816716535219.664,32372.0,2451.0,1495.0,579.0,36897.0
158,59233818915246.56,31035.0,2374.0,1403.0,514.0,35326.0
159,60686350603875.484,29452.0,2334.0,1384.0,529.0,33699.0
160,62187852565301.414,27998.0,2248.0,1370.0,466.0,32082.0
161,63720749123604.26,26843.0,2212.0,1288.0,465.0,30808.0
162,65280824272945.57,26126.0,2124.0,1253.0,481.0,29984.0
163,66888392108081.96,25175.0,2104.0,1204.0,458.0,28941.0
164,68531298683399.23,23910.0,2049.0,1161.0,451.0,27571.0
165,70214928293092.91,22625.0,1983.0,1127.0,441.0,26176.0
166,71949805156465.27,21972.0,1924.0,1098.0,411.0,25405.0
167,73719821618257.27,20669.0,1961.0,1088.0,382.0,24100.0
168,75519499381372.92,20064.0,1851.0,1106.0,418.0,23439.0
169,77383746770141.75,19069.0,1821.0,1010.0,392.0,22292.0
170,79294233116488.05,18211.0,1838.0,968.0,350.0,21367.0
171,81242771565574.17,17234.0,1704.0,962.0,329.0,20229.0
172,83246976167439.02,16684.0,1749.0,889.0,315.0,19637.0
173,85292289378060.98,16100.0,1701.0,867.0,321.0,18989.0
174,87381948488859.47,15269.0,1702.0,858.0,303.0,18132.0
175,89533350950998.4,14217.0,1612.0,761.0,287.0,16877.0
176,91742540149107.8,13734.0,1598.0,774.0,258.0,16364.0
177,94000895457776.06,12894.0,1532.0,763.0,288.0,15477.0
178,96304010484668.64,12533.0,1626.0,747.0,259.0,15165.0
179,98667937486990.9,11947.0,1551.0,647.0,268.0,14413.0
180,101100478861788.62,11118.0,1563.0,633.0,216.0,13530.0
181,103577826755904.3,10692.0,1500.0,605.0,202.0,12999.0
182,106119924873428.06,10059.0,1376.0,616.0,195.0,12246.0
183,108741168809484.05,9744.0,1439.0,592.0,203.0,11978.0
184,111431997316636.84,9113.0,1314.0,549.0,204.0,11180.0
185,114148157967924.36,8703.0,1381.0,519.0,184.0,10787.0
186,116959689631313.62,8089.0,1345.0,503.0,180.0,10117.0
187,119836914626490.89,7637.0,1296.0,461.0,164.0,9558.0
188,122788039816232.77,7219.0,1290.0,484.0,149.0,9142.0
189,125812427071178.53,6711.0,1285.0,440.0,134.0,8570.0
190,128899753912316.33,6572.0,1193.0,473.0,133.0,8371.0
191,132073920984455.95,6005.0,1167.0,407.0,141.0,7720.0
192,135310052229811.17,5793.0,1132.0,405.0,137.0,7467.0
193,138654809007981.75,5424.0,1104.0,361.0,127.0,7016.0
194,142067594374537.38,5151.0,1071.0,396.0,137.0,6755.0
195,145535309926984.62,4950.0,995.0,386.0,106.0,6437.0
196,149143382615759.53,4608.0,1092.0,338.0,117.0,6155.0
197,152807118871726.0,4411.0,1055.0,372.0,118.0,5956.0
198,156553389199255.12,3996.0,962.0,316.0,96.0,5370.0
