  z   OmegaM  h  Xoff_median
2.001 0.3071 0.678  0.09698
Mass_Bins   Counts   dn/dlnM     error     Mass_Bins1   Counts1   dn/dlnM1     error1   Mass_Bins2   Counts2   dn/dlnM2     error2
3.105e+13  4.149e+04  9.555e-06   4.691e-08   3.105e+13  4.053e+04  9.334e-06   4.636e-08   3.103e+13  962  2.216e-07   7.143e-09
3.428e+13  3.271e+04  7.534e-06   4.165e-08   3.428e+13  3.183e+04  7.332e-06   4.109e-08   3.433e+13  877  2.02e-07   6.82e-09
3.785e+13  2.502e+04  5.761e-06   3.643e-08   3.785e+13  2.422e+04  5.578e-06   3.584e-08   3.792e+13  797  1.836e-07   6.502e-09
4.177e+13  1.928e+04  4.441e-06   3.198e-08   4.176e+13  1.865e+04  4.296e-06   3.146e-08   4.185e+13  630  1.451e-07   5.781e-09
4.608e+13  1.463e+04  3.368e-06   2.785e-08   4.608e+13  1.407e+04  3.24e-06   2.732e-08   4.619e+13  556  1.281e-07   5.431e-09
5.083e+13  1.086e+04  2.502e-06   2.4e-08   5.083e+13  1.044e+04  2.405e-06   2.353e-08   5.087e+13  421  9.696e-08   4.726e-09
5.612e+13  7840  1.806e-06   2.039e-08   5.613e+13  7499  1.727e-06   1.994e-08   5.588e+13  341  7.853e-08   4.253e-09
6.19e+13  5817  1.34e-06   1.757e-08   6.191e+13  5569  1.283e-06   1.719e-08   6.183e+13  248  5.712e-08   3.627e-09
6.831e+13  4201  9.675e-07   1.493e-08   6.831e+13  4011  9.238e-07   1.459e-08   6.84e+13  190  4.376e-08   3.175e-09
7.536e+13  3068  7.066e-07   1.276e-08   7.537e+13  2937  6.764e-07   1.248e-08   7.518e+13  131  3.017e-08   2.636e-09
8.331e+13  2087  4.807e-07   1.052e-08   8.33e+13  1988  4.579e-07   1.027e-08   8.345e+13  99  2.28e-08   2.292e-09
9.172e+13  1506  3.468e-07   8.938e-09   9.171e+13  1432  3.298e-07   8.715e-09   9.199e+13  74  1.704e-08   1.981e-09
1.015e+14  1071  2.467e-07   7.537e-09   1.015e+14  994  2.289e-07   7.261e-09   1.015e+14  77  1.773e-08   2.021e-09
1.117e+14  660  1.52e-07   5.917e-09   1.117e+14  623  1.435e-07   5.748e-09   1.122e+14  37  8.521e-09   1.401e-09
1.234e+14  435  1.002e-07   4.803e-09   1.234e+14  411  9.466e-08   4.669e-09   1.24e+14  24  5.527e-09   1.128e-09
1.36e+14  270  6.218e-08   3.784e-09   1.359e+14  248  5.712e-08   3.627e-09   1.368e+14  22  5.067e-09   1.08e-09
1.501e+14  170  3.915e-08   3.003e-09   1.502e+14  156  3.593e-08   2.877e-09   1.489e+14  14  3.224e-09   8.617e-10
