Mass bin  mean bias  bias stdev
,0,1,2
107,1.757e+13,1.4252,0.73273
108,1.801e+13,1.4009,0.74043
109,1.845e+13,1.3937,0.73319
110,1.891e+13,1.3707,0.76328
111,1.937e+13,1.4179,0.66417
112,1.985e+13,1.3712,0.67899
113,2.034e+13,1.3712,0.71751
114,2.084e+13,1.4379,0.78024
115,2.135e+13,1.4704,0.67939
116,2.188e+13,1.4343,0.78044
117,2.241e+13,1.4016,0.71238
118,2.296e+13,1.5116,0.70589
119,2.353e+13,1.5087,0.65898
120,2.411e+13,1.4249,0.74826
121,2.47e+13,1.5485,0.78969
122,2.531e+13,1.5629,0.7257
123,2.593e+13,1.4813,0.7764
124,2.657e+13,1.5593,0.67557
125,2.722e+13,1.424,0.87349
126,2.789e+13,1.6354,0.74913
127,2.858e+13,1.5366,0.78443
128,2.928e+13,1.6316,0.75451
129,3e+13,1.502,0.83094
130,3.074e+13,1.5901,0.75255
131,3.149e+13,1.5888,0.86261
132,3.227e+13,1.663,0.78835
133,3.306e+13,1.5987,0.72892
134,3.388e+13,1.5555,0.84202
135,3.471e+13,1.624,0.82731
136,3.557e+13,1.5963,0.85018
137,3.644e+13,1.687,0.90232
138,3.733e+13,1.5998,0.91951
139,3.825e+13,1.5773,0.8189
140,3.919e+13,1.6315,0.90455
141,4.016e+13,1.7381,0.91632
142,4.114e+13,1.6236,0.89849
143,4.216e+13,1.6555,1.003
144,4.319e+13,1.7138,0.95501
145,4.425e+13,1.7898,0.8519
146,4.534e+13,1.7436,0.94936
147,4.646e+13,1.8242,0.85253
148,4.761e+13,1.8104,0.99615
149,4.878e+13,1.8315,0.97076
150,4.998e+13,1.7761,0.97732
151,5.12e+13,1.822,0.97747
152,5.246e+13,1.8518,1.0018
153,5.375e+13,1.7998,1.0291
154,5.507e+13,1.7995,1.0588
155,5.643e+13,1.8818,1.0425
156,5.781e+13,1.8453,1.0146
157,5.924e+13,1.912,1.1136
158,6.07e+13,1.9463,1.0096
159,6.219e+13,1.963,1.1635
160,6.372e+13,1.7873,1.1074
161,6.528e+13,1.8938,1.0947
162,6.689e+13,2.0869,1.1076
163,6.854e+13,1.9731,1.1223
164,7.022e+13,1.922,1.0529
165,7.195e+13,2.1594,1.0828
166,7.372e+13,2.0924,1.0801
167,7.553e+13,1.8952,1.0974
168,7.739e+13,2.1414,1.0446
169,7.929e+13,1.9268,1.1837
170,8.125e+13,2.1415,1.1095
171,8.324e+13,2.0496,1.2989
172,8.529e+13,2.2888,1.1995
173,8.738e+13,1.9968,1.2883
174,8.954e+13,2.1293,1.195
175,9.174e+13,2.1921,1.1233
176,9.5148e+13,2.1744,0.95851
177,9.9883e+13,2.2828,0.83281
178,1.0484e+14,2.3003,1.0175
179,1.1009e+14,2.1826,0.98844
180,1.1559e+14,2.3933,1.0557
181,1.2129e+14,2.3713,1.0275
182,1.2734e+14,2.4672,0.97233
183,1.3369e+14,2.5921,1.1413
184,1.4039e+14,2.4354,1.0896
185,1.4734e+14,2.5785,1.0126
186,1.5469e+14,2.4116,1.2406
