,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
10,0.75155,0.69918,0.72522,0.74297,0.64435,0.60945,0.70297,0.69807,0.73505,0.55735,1,0.60997,0.61707,0.47113,0.52538,0.49297,0.33136,0.56447,0.25288,0.13371,-0.086981,0.21337,0.44985,-0.058326,0.12195,0.046244,0.12966,6.0238e-05,-0.32102,-0.033972,0.04605,-0.0666,-0.15486,-0.48856,-0.12846,-0.3238,-0.22461,-0.12887,-0.33734,-0.34298,-0.10929,-0.17788,-0.29201,-0.24343,-0.056451,-0.10982,-0.17667,-0.038223,-0.41571,-0.22906,-0.2143,-0.44629,0.065337,-0.26165,-0.33167,0.076827,-0.096515,-0.38411,-0.27566,-0.28217,-0.25861,-0.04857,-0.0045442,-0.12623,0.12299,0.03655,-0.009973,-0.066533,-0.029564,-0.051034,-0.023508,0.1112,0.085566,0.053648,0.037959,-0.053971,-0.24976,0.073158,0.24404,0.15531,0.010072,-0.067596,0.22813,-0.20481,0.28815,0.073594,0.17203,0.10596,0.060585,0.013587,0.073305,-0.15649,-0.112,-0.17819,-0.30152,0.18561,0.20392,0.18436,-0.019898,0.26117,0.22367,0.35791,0.092341,0.18998,0.18922,0.048436,-0.005477,0.17764,-0.013323
11,0.70494,0.76532,0.66548,0.61555,0.60098,0.60927,0.63055,0.67471,0.59136,0.52194,0.60997,1,0.48653,0.59179,0.44061,0.53231,0.39001,0.49076,0.36921,0.23801,-0.03697,0.15253,0.29733,0.039346,-0.0054161,-0.059423,-0.064173,0.034621,-0.26465,-0.059522,-0.00076822,0.074379,-0.10472,-0.05851,-0.21155,-0.22566,-0.1781,-0.46119,-0.36446,-0.29472,-0.075818,-0.21383,-0.44739,-0.26928,-0.045097,-0.20063,-0.19519,0.033171,-0.45271,-0.28547,-0.26635,-0.46814,-0.26773,-0.34899,-0.46509,-0.069207,-0.14094,-0.25056,-0.13378,-0.44572,-0.21453,-0.034311,0.0076696,-0.16246,0.082078,0.0026064,0.038633,-0.025708,-0.13071,-0.2364,-0.15257,0.087133,0.096133,0.082109,-0.15781,0.056722,-0.23815,0.089217,0.16852,0.18368,-0.076015,0.079566,0.014072,0.066319,0.3376,0.03449,0.078877,-0.10086,-0.20049,0.039795,0.094709,-0.38631,-0.13963,-0.23485,0.11705,0.18583,-0.012911,0.045754,0.018892,0.088622,0.054769,0.096369,-0.068798,0.04339,0.30036,-0.080738,0.06986,0.32566,-0.26595
12,0.71281,0.64988,0.70635,0.66281,0.72538,0.59632,0.70146,0.68368,0.56398,0.47715,0.61707,0.48653,1,0.44784,0.49699,0.43505,0.17281,0.56042,0.14848,0.31732,-0.10761,0.21589,0.27716,-0.11981,0.13395,-0.096954,0.024817,-0.055084,-0.15425,-0.1764,0.084581,-0.30432,-0.030032,-0.21992,-0.04472,-0.25199,-0.20006,-0.053739,-0.28134,-0.33033,-0.024658,-0.049952,-0.23391,-0.41437,0.034365,-0.21547,-0.15195,0.060215,-0.20635,-0.10769,-0.2132,-0.41737,-0.13157,-0.016015,-0.3166,0.10615,-0.041683,-0.27225,-0.18879,-0.17667,-0.28595,0.00070333,-0.029851,0.11285,0.078191,-0.12518,0.25253,0.087433,-0.12301,-0.015819,-0.083282,0.24424,0.2379,0.053516,-0.17445,-0.080175,-0.094807,0.12473,0.15725,0.1498,-0.046678,-0.099268,0.12616,-0.28394,0.22153,0.13136,0.011081,0.14681,-0.00099141,0.029435,0.12904,-0.15355,-0.094732,0.082408,-0.11678,0.11363,0.16316,0.14415,0.0035259,0.18166,0.11882,0.30992,-0.027462,-0.13427,0.22305,-0.1031,0.14713,-0.15216,-0.096265
13,0.56016,0.43257,0.51083,0.51876,0.48007,0.54075,0.49622,0.57384,0.40336,0.34327,0.47113,0.59179,0.44784,1,0.48146,0.25695,0.079742,0.32522,0.15461,0.20782,0.0066193,-0.041016,0.39737,-0.037914,0.11388,-0.064691,0.11923,0.12271,-0.23875,-0.094054,-0.046407,0.055298,-0.04809,-0.014503,-0.030621,-0.18047,-0.16002,-0.17029,-0.39895,-0.2943,-0.14053,-0.055569,-0.46418,-0.39179,0.15867,-0.14212,0.018977,-0.072044,-0.3034,-0.13709,-0.075582,-0.29464,-0.2611,-0.095484,-0.52304,-0.017283,-0.041415,-0.041835,-0.030476,-0.22842,-0.31484,-0.11015,0.099139,-0.091671,0.083483,-0.126,0.22257,0.17036,0.088123,-0.12132,-0.48214,0.135,0.22191,-0.033794,-0.14261,0.1305,-0.21255,0.17111,0.091883,0.13566,-0.076022,-0.076621,0.038625,-0.13109,0.13243,0.064456,0.10523,0.14005,-0.17187,-0.01099,0.0011751,-0.082883,-0.19495,-0.076064,-0.014215,-0.047231,-0.13895,0.0026775,0.10085,0.10833,0.049146,-0.048296,0.088474,0.037453,0.073653,-0.18249,0.080847,0.17393,-0.0096092
14,0.62085,0.58385,0.5298,0.41275,0.5016,0.57299,0.56216,0.48197,0.56645,0.385,0.52538,0.44061,0.49699,0.48146,1,0.29351,0.2656,0.25467,0.055292,0.1868,-0.0092735,0.19811,0.28358,0.060633,0.10535,-0.24396,0.19039,-0.10113,-0.14067,0.11756,0.057082,0.044822,-0.11221,-0.24953,0.0038482,-0.32556,-0.14109,-0.23774,-0.35884,-0.23729,-0.075271,-0.16752,-0.35489,-0.17902,-0.003587,-0.024801,-0.01371,-0.1811,-0.26909,-0.089839,-0.10673,-0.25488,-0.015242,-0.37071,-0.31877,0.13584,0.035946,-0.38439,-0.18166,0.010538,-0.31058,-0.00019604,0.028525,0.0025347,0.083197,0.11461,-0.048866,0.35413,-0.10583,-0.048967,-0.17817,-0.0099094,0.23416,0.11917,-0.093434,-0.037425,-0.035616,0.088073,0.0076931,0.19778,0.0062237,0.017527,0.20877,-0.10235,0.24019,0.15924,0.12848,-0.0089993,-0.078821,-0.021003,0.022144,-0.16911,-0.20216,-0.20903,-0.081823,0.056195,-0.097596,0.092611,0.18173,0.1376,0.19208,0.14692,0.048021,0.32544,0.23454,-0.20293,-0.0025296,-0.0058808,-0.027689
15,0.57056,0.52924,0.60001,0.52342,0.52907,0.47226,0.59507,0.49891,0.38565,0.44345,0.49297,0.53231,0.43505,0.25695,0.29351,1,0.13001,0.39768,0.36326,0.17988,-0.1949,0.072136,0.33315,-0.02095,-0.043253,0.062036,0.13713,-0.0401,-0.25401,-0.031468,-0.049667,-0.022916,-0.29607,-0.20181,-0.18718,-0.30436,-0.20625,-0.16305,-0.059658,-0.22947,-0.10597,-0.25544,-0.15776,-0.25093,-0.20357,-0.16782,-0.13263,-0.27534,-0.37516,-0.24167,-0.33021,-0.36798,-0.15318,-0.1388,-0.31209,0.10895,-0.15896,-0.19703,0.048936,-0.39379,-0.26105,0.066905,0.11782,0.11354,0.19998,0.022021,0.059881,-0.035435,-0.12246,-0.18551,0.05366,0.0088316,0.19349,0.3233,-0.15846,0.024791,0.019636,-0.0031782,0.069608,0.089731,-0.11964,-0.076503,-0.050543,0.090828,0.34795,0.22087,0.171,-0.04268,0.094308,0.018997,0.023456,-0.040496,-0.26616,-0.090137,0.028186,0.15848,0.044729,-0.045472,-0.076335,0.10939,0.18377,0.30413,-0.060169,0.011234,-0.05313,-0.061347,-0.010879,0.14987,-0.069057
16,0.30639,0.4535,0.25839,0.26504,0.31126,0.34561,0.15597,0.34389,0.34508,0.24054,0.33136,0.39001,0.17281,0.079742,0.2656,0.13001,1,0.38223,0.068976,0.208,0.22937,0.19191,0.25406,-0.039228,0.073479,-0.19291,-0.0055288,0.27233,0.079227,0.12517,0.17272,0.040451,-0.10199,-0.24162,0.18766,-0.015657,-0.083642,-0.17139,-0.20435,-0.1706,0.018439,-0.092184,-0.34098,-0.14581,0.043681,0.16577,-0.042076,-0.36309,0.020705,-0.049599,0.071139,-0.18025,0.16813,-0.25228,0.010249,0.2194,0.17289,-0.074112,-0.089686,-0.29672,-0.32288,-0.23785,0.21628,-0.36888,-0.1066,0.1452,-0.045808,0.048833,0.018149,-0.035115,-0.1023,-0.12967,0.094964,-0.024597,0.15532,0.12469,-0.052317,0.21805,0.035934,0.44567,-0.13559,0.17802,0.14459,-0.076089,0.1996,0.047579,-0.14986,-0.061697,-0.11408,-0.098643,0.0022136,-0.33216,-0.31063,-0.15024,0.073833,0.064308,0.0027838,-0.029533,-0.04722,0.20646,0.15451,0.083473,-0.12258,0.19796,0.21753,0.10888,-0.035338,0.41808,-0.16471
17,0.64484,0.50946,0.56582,0.61212,0.57702,0.5735,0.51552,0.61419,0.3869,0.4878,0.56447,0.49076,0.56042,0.32522,0.25467,0.39768,0.38223,1,0.17955,0.12605,0.025106,-0.011483,0.34391,-0.17317,-0.012748,-0.17383,0.024003,0.19695,-0.088606,-0.072986,0.022788,0.079929,-0.20685,-0.19961,-0.15294,-0.058376,-0.26888,-0.04116,-0.14377,-0.52752,-0.079595,-0.25092,-0.47455,-0.37091,-0.024634,-0.22004,-0.17434,-0.037895,-0.078352,-0.18087,0.067761,-0.42763,-0.19615,0.0052631,-0.16208,-0.071029,-0.084492,-0.25417,-0.074037,-0.14054,-0.16559,-0.067575,0.08711,-0.031253,0.15094,-0.088843,0.15296,-0.079554,-0.045557,-0.22044,0.051544,0.23366,0.11001,0.064989,-0.047506,-0.058247,-0.0023239,0.063421,-0.090042,0.088736,0.094469,0.18476,0.050589,-0.22637,0.17183,-0.024616,-0.16305,-0.035055,0.026574,0.11064,0.04914,-0.18021,-0.14318,0.014979,-0.15363,0.2463,0.065453,-0.034933,-0.25641,-0.021098,0.14541,0.40617,0.11214,0.20795,0.17389,0.048253,-0.19723,0.16193,-0.1494
18,0.19113,0.30937,0.35465,0.44673,0.30493,0.16742,0.22412,0.26108,0.27547,0.098752,0.25288,0.36921,0.14848,0.15461,0.055292,0.36326,0.068976,0.17955,1,0.0062758,0.055967,-0.011255,0.038412,-0.015333,-0.1104,0.090759,-0.21393,0.0075121,-0.42863,0.052274,0.16387,-0.092454,0.013451,0.089029,-0.16548,0.090659,-0.015636,-0.04791,-0.26134,0.09227,-0.10092,-0.055504,-0.16967,-0.10014,-0.27838,0.11159,-0.0878,0.0035144,-0.35135,0.14122,-0.10705,-0.034337,-0.010594,-0.17209,-0.050976,-0.040324,-0.18109,-0.15048,-0.29952,-0.2186,-0.0063674,0.12491,-0.073653,0.10988,0.067174,-0.12722,0.15836,0.0087942,-0.10327,-0.064352,-0.16409,0.069531,-0.015913,-0.16224,0.17997,0.15424,0.14704,-0.19708,0.21116,-0.19212,-0.043405,-0.049195,-0.11229,-0.030065,0.039939,0.1752,0.13898,0.099135,-0.086812,0.044213,-0.046493,-0.022688,0.10212,0.091945,-0.13826,-0.12376,0.27319,-0.055308,-0.016339,0.12164,-0.022119,-0.040484,-0.2162,-0.02734,0.091904,0.25284,-0.094912,-0.071469,0.15881
19,0.37431,0.20395,0.34124,0.28705,0.40378,0.42517,0.22582,0.26014,0.15021,0.22464,0.13371,0.23801,0.31732,0.20782,0.1868,0.17988,0.208,0.12605,0.0062758,1,-0.09768,0.37467,0.20457,-0.017691,-0.13085,-0.20835,-0.0188,-0.17437,0.046313,0.20158,0.088582,-0.030052,0.27306,-0.17094,-0.034804,-0.05186,-0.042956,0.14552,-0.36299,-0.15166,-0.19297,0.075771,-0.14416,-0.22708,-0.060977,-0.17634,-0.10065,-0.12123,-0.089861,0.10851,-0.3144,-0.087152,0.054241,0.018813,-0.16409,0.1677,-0.06353,-0.082505,0.013707,-0.12178,0.15235,0.038647,-0.24472,0.059889,0.14918,0.24956,0.3295,0.13403,-0.068197,-0.29473,0.15852,0.074173,0.24788,0.096909,-0.17977,0.13475,-0.10893,0.26226,0.063086,0.43969,-0.40544,0.050568,-0.17678,-0.13361,0.30002,0.11292,0.0181,0.15582,-0.17708,0.20666,-0.12595,-0.14879,0.13082,0.015586,0.10698,-0.26886,-0.15846,0.039201,0.023186,-0.15971,-0.026557,-0.051763,-0.15614,-0.0056016,0.10742,0.079908,0.34547,-0.039813,-0.00086665
