,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
10,0.24741,0.037146,0.0077301,0.12665,-0.13532,0.073067,0.24387,0.09514,0.033254,-0.13585,1,0.27681,0.0068994,0.2576,0.10513,0.091495,-0.0151,0.18763,0.19679,0.09905,0.21519,0.3332,0.084755,-0.071448,0.22272,0.07033,0.36869,0.26753,0.17378,0.12211,0.29426,0.0039471,-0.039718,0.021811,0.1066,-0.088019,0.27328,0.41635,-0.10699,-0.10233,0.2234,-0.088041,0.12788,0.48641,0.22971,0.075763,0.054867,0.20998,-0.1552,0.0053228,-0.017939,-0.037652,0.071956,0.17368,-0.075041,-0.044854,0.093465,-0.17472,0.055783,0.067883,0.053709,0.035823,0.11487,0.087025,-0.21466,-0.061006,0.071899,0.0022621,0.16081,0.010849,0.097508,-0.072916,-0.14086,-0.27612,-0.11066,0.15948,-0.109,0.092368,-0.092987
11,-0.078444,0.089728,0.2064,0.34568,0.25923,0.22056,0.37997,0.17549,0.19427,0.12155,0.27681,1,0.18408,0.16442,-0.0055666,0.17461,0.25333,0.090611,0.34785,0.22328,0.082166,0.26602,0.31112,0.24064,0.14854,0.45726,0.43623,0.25191,0.076765,0.33451,0.17689,0.19587,0.10459,0.1239,0.31784,0.21246,-0.10285,0.068414,0.32497,-0.0024948,0.17131,-0.25269,-0.02723,-0.035418,-0.13221,0.056779,-0.061633,0.013222,0.059065,-0.10094,0.29614,-0.1255,-0.15103,-0.0397,0.028138,0.083662,0.098653,-0.15624,0.17319,0.04197,-0.07526,0.081734,0.11294,-0.23086,-0.34294,0.1042,-0.31656,0.024153,-0.23668,0.065971,0.05557,-0.10452,0.068711,-0.22338,-0.019799,-0.070811,-0.069228,0.09302,0.11801
12,-0.2126,-0.016208,-0.10773,0.18245,0.27131,0.0079787,-0.0053986,-0.08515,0.32391,0.044758,0.0068994,0.18408,1,0.40271,0.25849,0.22503,0.17554,0.14954,0.15002,0.28431,0.1903,0.2527,0.40343,0.40249,0.26972,0.086979,-0.013815,0.059855,0.042002,0.36177,0.0093468,0.2062,-0.21736,0.14307,0.10367,-0.12788,-0.081431,0.066498,0.15197,-0.12751,-0.12404,0.199,-0.15043,-0.09484,0.020199,-0.06189,-0.2249,-0.029497,0.16393,-0.13574,0.091325,0.086311,-0.085779,-0.15219,-0.094078,-0.13131,0.0059037,0.060942,0.025487,-0.074032,0.10451,-0.011701,0.053206,-0.24269,0.11934,0.046782,0.041858,0.12104,0.081543,0.019119,0.063382,-0.03445,-0.078057,-0.17931,-0.1037,0.027913,0.13185,0.12389,0.038037
13,0.10262,0.084462,0.0060816,0.16652,0.30287,0.23682,0.2146,0.27264,0.37466,0.21356,0.2576,0.16442,0.40271,1,0.5,0.21569,0.27435,0.38079,0.21188,0.36074,0.38869,0.43236,0.43912,0.18785,0.32119,0.11795,0.24794,0.41306,0.26802,0.28222,0.14035,0.29386,0.060354,0.45433,0.058066,0.095635,0.079942,0.42102,-0.040995,0.076449,-0.16043,0.37516,0.030648,0.14573,0.20351,0.10478,0.099213,0.23571,0.009711,-0.13926,0.0608,-0.046576,0.018257,-0.037508,0.12123,-0.14858,-0.14979,0.027399,0.1197,-0.39698,0.075565,0.17922,0.084645,0.044799,-0.15908,-0.066708,-0.23155,-0.060347,0.35915,0.18514,0.22237,-0.24084,0.032829,-0.19187,0.06272,-0.24153,-0.12816,0.13466,-0.26484
14,-0.2051,0.13964,-0.092379,0.040731,0.07858,-0.17611,-0.2599,0.23098,0.084792,0.28668,0.10513,-0.0055666,0.25849,0.5,1,0.022429,0.13847,0.13701,0.2014,0.39607,0.25894,0.39355,0.18413,0.12975,0.12192,0.1709,0.20534,0.31677,0.14075,0.36794,0.070902,0.050793,-0.046575,0.43769,0.043721,0.0012659,-0.05126,0.10301,-0.026368,-0.032514,-0.11131,0.21981,0.045211,0.043569,0.13585,0.24282,0.029251,0.014915,0.082009,0.091782,-0.04279,0.4346,-0.0034887,0.032302,-0.051366,-0.32393,0.10261,-0.040776,0.27398,-0.20216,-0.26715,0.19427,-0.17095,0.10141,0.0075151,0.14764,-0.0029775,0.11278,0.08804,0.25167,0.49034,-0.01233,0.016675,-0.29778,0.066379,-0.1107,-0.11581,0.3529,-0.18803
15,0.24915,-0.41439,-0.27893,0.21508,0.48061,0.19387,0.18992,-0.12059,0.18779,0.32758,0.091495,0.17461,0.22503,0.21569,0.022429,1,-0.021706,0.076584,0.3806,0.41677,0.31852,0.1747,0.12456,-0.071501,0.22501,0.208,0.14204,0.37442,0.089813,0.30032,0.225,0.26984,-0.0092444,0.052251,0.051622,0.035941,0.016404,0.17885,0.0070515,0.12867,0.0086926,-0.12106,0.16179,0.16936,-0.14782,0.33166,-0.034193,0.20072,-0.065353,0.13337,0.01499,-0.1843,-0.32021,-0.14865,0.13849,-0.2142,0.070047,-0.10279,0.02304,-0.23523,-0.0014206,-0.12132,0.36302,-0.032406,-0.099506,-0.027244,-0.039625,0.012657,-0.37753,-0.049824,-0.103,-0.23111,0.18067,-0.28803,0.035353,-0.040721,-0.10107,-0.19974,-0.23325
16,0.075197,0.23589,0.15757,0.25712,0.095793,0.34473,0.029032,0.11184,-0.034516,0.22106,-0.0151,0.25333,0.17554,0.27435,0.13847,-0.021706,1,0.097091,0.24357,0.047615,0.15511,0.11869,0.23163,0.26539,0.21714,0.17051,0.21271,0.073905,0.093315,0.040632,0.065963,0.23892,-0.21656,0.39363,0.089127,-0.07079,0.12248,-0.027125,0.078639,0.013984,-0.20803,0.26194,-0.010975,0.11832,-0.18063,0.03942,-0.0089,0.12992,0.019207,-0.1628,-0.12171,-0.14207,0.13179,0.24447,0.23038,0.14837,-0.078003,0.034207,-0.10773,-0.23326,0.069325,0.060539,0.059409,0.34978,-0.022991,0.27606,-0.22781,-0.022483,-0.11445,0.078686,0.10541,0.0032473,0.13175,0.039942,-0.023877,-0.20438,-0.17592,0.061117,-0.14197
17,-0.031715,-0.18205,-0.14277,0.044537,-0.1875,0.05372,0.13008,0.20299,0.3452,-0.018167,0.18763,0.090611,0.14954,0.38079,0.13701,0.076584,0.097091,1,0.27135,0.29848,0.3256,0.48474,0.30989,0.44857,0.30798,0.35316,0.090905,0.1391,0.22541,0.17868,0.49433,0.35602,0.11008,0.23696,0.17743,0.25807,0.34229,0.025916,-0.015391,0.040303,0.10257,0.15879,-0.072084,-0.0074505,-0.031013,0.064924,-0.01898,0.084817,-0.097267,-0.22734,-0.048724,-0.17398,-0.17422,-0.026535,-0.19208,0.064848,-0.20603,-0.26712,-0.023585,-0.17666,0.0024893,-0.072576,-0.1582,-0.1574,-0.29213,-0.00084022,0.1408,-0.1944,0.09404,0.26829,0.14221,-0.023413,0.059599,-0.043275,0.097614,-0.0063974,0.053931,-0.012654,-0.03875
18,-0.016679,0.15906,-0.1855,0.50546,0.16673,0.13886,0.067351,0.25336,0.20077,0.037989,0.19679,0.34785,0.15002,0.21188,0.2014,0.3806,0.24357,0.27135,1,0.27181,0.42314,0.3944,0.22983,0.31282,0.016611,0.32249,0.26485,0.50671,0.15464,0.2045,0.33978,0.30196,0.015269,0.26386,0.15863,0.11834,0.16852,0.047938,0.12194,-0.10269,-0.054632,-0.13436,-0.094091,-0.0068006,-0.068041,0.18608,-0.1636,-0.040009,-0.24112,-0.21376,0.24107,-0.059535,-0.040664,-0.197,0.11293,-0.14315,-0.27554,-0.12167,0.099409,-0.22214,-0.10227,0.087785,0.12545,0.061863,-0.20098,-0.14234,-0.0022268,-0.011925,-0.44835,0.22921,0.1715,0.02246,-0.05927,-0.20947,-0.11178,-0.20278,-0.33506,-0.21349,0.029986
19,0.079532,-0.024931,-0.10064,0.24687,0.29213,0.20018,-0.012667,0.17521,0.43402,0.31199,0.09905,0.22328,0.28431,0.36074,0.39607,0.41677,0.047615,0.29848,0.27181,1,0.39287,0.41076,0.38202,0.22461,0.1515,0.24787,0.19087,0.43143,0.25183,0.37992,0.30091,0.27203,0.14538,0.20624,0.15953,0.17655,-0.0096711,0.31463,0.26824,0.25939,0.3068,0.13683,0.12525,-0.025599,-0.15139,0.21415,0.094167,0.12344,-0.039547,0.13405,0.16893,0.11004,-0.28886,-0.06061,0.048926,-0.35377,-0.060808,-0.14304,0.12486,-0.026086,-0.035142,-0.01792,0.10542,-0.037604,-0.066902,0.17081,-0.03597,-0.13412,-0.10024,0.057222,0.14217,-0.30511,0.17269,-0.40089,-0.0017458,-0.17341,0.016656,-0.022776,-0.021929
