,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,-0.054832,0.13386,0.1767,0.058306,0.25411,0.098709,0.34635,0.026046,0.25211,0.33207,1,0.034087,0.39755,0.20427,0.00072008,0.2948,0.065474,0.0010117,0.1959,0.12667,0.097893,0.42393,0.15415,0.25809,0.32373,0.02348,-0.0053373,0.14509,0.29701,0.24056,0.10466,0.10984,0.29574,0.22397,0.24466,0.29985,-0.076475,-0.15133,-0.062108,0.2754,-0.2023,0.35306,0.040885,0.0049323,0.048658,-0.027468,-0.015969,0.16777,0.022013,0.15772,0.17119,0.031313,0.037792,-0.031133,-0.03286,0.068425,-0.067754,0.086017,0.18012,0.22145,-0.14185,0.12041,-0.052977,-0.082548,0.17863,0.15267,0.26431,-0.0088188,-0.00019823,-0.12745,-0.16597,-0.028853,0.38423,-0.0081349,-0.13592,0.10008,-0.34083,-0.023272,0.25913,-0.0090953,0.11757,0.21226,0.12395,0.21557,0.16644,0.22758
11,0.049469,0.00097002,-0.16729,0.34117,0.073322,0.41532,0.34621,-0.041852,-0.055639,0.20923,0.034087,1,0.18025,0.46665,0.14795,0.061476,0.035374,0.16386,0.12771,0.22334,0.1676,0.37322,0.22315,0.27887,0.34465,0.10199,0.15257,0.2755,0.17899,0.27814,0.24202,0.22358,0.19978,0.033659,0.48303,0.27151,0.24084,-0.012063,0.23775,0.14399,0.05401,0.028799,0.014729,0.13177,-0.09342,-0.10495,0.30513,0.044514,-0.070701,0.14104,0.19066,0.23357,0.074529,-0.11507,0.19218,0.11482,0.14131,0.038456,-0.17635,-0.17637,-0.020445,-0.14251,-0.1056,-0.24355,0.1456,0.099593,0.060913,-0.036877,0.078661,0.061466,-0.28942,0.13098,-0.13438,-0.26359,-0.15583,0.23715,-0.16882,0.0067749,0.0079585,0.088898,-0.17654,0.1925,-0.0082063,0.083528,0.38035,-0.31873
12,-0.20795,0.11691,0.19328,0.009412,0.073735,-0.043482,0.4277,0.010764,0.11279,0.03335,0.39755,0.18025,1,0.29462,0.16255,0.33274,0.12492,0.35016,0.38401,0.39839,0.078843,0.4374,0.33172,0.64073,0.38435,0.31198,0.31946,0.19855,0.48835,0.33919,0.15216,0.045633,0.37964,0.090579,0.26471,0.18112,-0.23058,0.060006,-0.015949,-0.020336,0.097468,0.18528,0.21232,0.085604,0.18028,0.25837,0.19197,0.28549,0.08103,0.21165,0.15897,-0.046665,-0.064658,0.025951,-0.03228,0.065306,0.13615,-0.078009,0.12086,-0.14703,-0.12098,0.19339,0.0010386,-0.21023,-0.2372,0.065935,0.14723,-0.13703,-0.1972,-0.029524,-0.20377,-0.16313,-0.099301,0.11055,-0.040943,0.28039,-0.34005,-0.15026,0.2364,-0.2527,0.1853,-0.039329,0.085729,0.21042,0.21982,0.24855
13,0.0073795,-0.12764,0.031909,0.37186,0.22444,0.36105,0.25515,0.082245,0.10267,0.17227,0.20427,0.46665,0.29462,1,0.35929,0.25805,0.053268,0.23702,0.36612,0.35005,0.51257,0.57259,0.3635,0.31306,0.19983,0.22732,0.17774,0.2091,0.43252,0.35119,-0.086667,0.24755,0.070019,0.072442,0.33548,0.26914,0.30568,0.04855,0.22357,-0.0059962,0.28586,-0.0080645,-0.13466,0.15938,-0.18103,0.20254,0.25286,0.25673,-0.048256,0.28066,0.09653,0.32187,-0.028477,0.02034,0.1086,-0.085473,-0.0054112,0.0079399,-0.084366,-0.15326,0.029778,0.10684,0.26709,-0.30477,-0.12605,0.10274,-0.079721,0.1074,-0.018763,0.10305,-0.27394,0.034431,-0.10768,0.0031501,-0.14514,0.36852,-0.39358,-0.066719,0.0090664,0.15005,-0.1411,-0.16654,-0.15449,0.15645,0.13567,-0.067539
14,-0.28869,-0.18867,0.020102,0.05829,-0.21685,0.16201,0.25417,0.16609,0.15985,0.017639,0.00072008,0.14795,0.16255,0.35929,1,0.031472,0.056188,0.21818,0.14358,0.15231,0.18783,0.20465,0.53544,0.33881,0.38376,0.068519,0.23386,0.2438,0.097965,0.20892,0.33102,0.082311,-0.005687,0.063902,-0.14061,-0.093431,0.015487,0.14765,0.010157,0.00074539,0.12094,-0.15648,-0.0057615,0.26816,-0.11999,-0.13381,0.15739,0.22956,-0.28937,0.073569,0.069895,0.1702,0.13269,0.18355,0.065922,0.0016057,0.1286,-0.40161,-0.038777,0.0040083,0.23513,-0.12746,0.48212,-0.033036,-0.1793,0.095561,-0.28862,-0.026258,-0.094986,0.02759,-0.041965,0.049796,0.072245,0.021793,0.21076,0.10311,-0.02334,-0.079285,-0.15268,-0.15863,-0.15764,-0.44823,-0.21296,0.02492,0.060226,0.10342
15,-0.14366,-0.29237,-0.0050886,0.091638,0.16008,0.18209,0.28216,0.16602,0.24244,0.25556,0.2948,0.061476,0.33274,0.25805,0.031472,1,0.23287,0.07898,0.29627,0.42076,0.1331,0.31572,0.38487,0.29366,0.31873,0.20348,0.075658,0.073791,0.36766,0.16135,0.3539,0.0094717,0.42955,0.17606,0.092142,0.17864,-0.26895,-0.26511,-0.077872,0.40362,0.24817,0.057568,-0.10401,0.065427,-0.055197,0.12513,-0.19582,0.12612,0.11682,-0.18639,-0.0098077,-0.10843,0.083758,0.097187,-0.12753,-0.12366,-0.028686,-0.048865,0.049305,-0.088629,0.12254,0.24132,0.026331,-0.024991,-0.03576,0.21638,0.2577,0.23347,-0.090394,0.051503,-0.26346,-0.20989,-0.073749,0.15413,-0.14243,0.14878,-0.35318,-0.10692,0.088444,-0.17377,0.013427,0.18563,-0.0036697,-0.013986,0.12339,0.082974
16,-0.37368,-0.23531,-0.202,-0.098115,-0.21417,-0.00019888,-0.013641,-0.23949,0.31178,0.30201,0.065474,0.035374,0.12492,0.053268,0.056188,0.23287,1,0.26894,0.34061,0.19559,0.20297,0.37033,0.15591,0.13159,0.27842,0.32172,0.086713,0.16104,0.18229,0.32745,0.38082,0.021733,-0.051563,0.25596,0.20542,0.14814,0.1267,0.019513,0.12074,0.28839,0.02728,-0.050871,-0.12067,-0.043886,-0.066038,-0.20818,-0.17917,-0.0065454,0.17664,-0.21027,-0.31067,0.037447,0.0020032,-0.034498,-0.0020558,-0.12696,-0.1878,-0.085961,0.098234,-0.14929,-0.37904,0.11196,0.031908,-0.037302,0.1213,0.030009,0.10866,-0.039843,-0.18676,-0.10278,0.10653,-0.32036,-0.26276,-0.030099,-0.30431,-0.068461,-0.3516,-0.039431,-0.16075,-0.041312,0.0018723,-0.10735,0.039914,-0.11821,0.13797,0.021386
17,-0.22512,-0.16177,0.11458,0.030767,-0.10985,-0.080132,0.22723,-0.17204,0.18562,0.072151,0.0010117,0.16386,0.35016,0.23702,0.21818,0.07898,0.26894,1,0.25463,0.20369,0.15414,0.24387,0.34571,0.24974,0.38476,0.28222,0.20299,0.12084,0.40186,0.18488,0.16657,0.072723,-0.014399,-0.19046,0.056223,0.063054,0.025709,0.067142,-0.025926,0.06073,0.043469,-0.030554,-0.10807,0.13384,-0.053883,0.063103,0.17267,0.0074772,-0.16327,0.14005,0.12365,-0.111,0.031759,-0.083774,-0.0063749,0.16397,-0.070945,0.02118,0.11646,-0.27292,-0.32229,-0.013654,0.22562,-0.22935,-0.16729,-0.027384,-0.15353,-0.0019768,-0.40675,0.049892,0.040922,-0.043505,-0.13209,-0.13128,-0.10496,0.020688,-0.38223,0.018896,0.20818,-0.12505,0.12547,-0.2782,-0.21434,0.28424,0.24646,-0.045075
18,-0.25941,0.10398,0.039156,0.20305,0.039696,-0.11414,0.05486,-0.076454,0.17018,0.18718,0.1959,0.12771,0.38401,0.36612,0.14358,0.29627,0.34061,0.25463,1,0.15543,0.24,0.47643,0.28801,0.25375,0.35446,0.37201,0.44239,0.34267,0.27365,0.39505,0.17657,0.12649,0.177,0.016403,0.212,0.14152,0.1529,0.061642,0.020654,0.21744,0.11974,0.16047,-0.13692,0.066577,0.071912,0.12571,-0.15156,0.24713,0.0038628,0.09842,-0.077806,0.10571,-0.19405,-0.024978,-0.079913,-0.12455,-0.063871,-0.069882,-0.011611,-0.39437,-0.3351,0.11808,0.11772,-0.12079,-0.16665,0.11856,0.14967,-0.050584,-0.10134,0.029534,-0.16281,-0.37612,-0.17213,-0.17972,-0.24181,0.22455,-0.36518,0.060696,-0.0011055,-0.05378,0.27456,-0.13802,0.15745,0.20706,0.014872,0.24867
19,-0.30953,-0.34402,-0.22095,-0.087582,-0.16161,0.19453,0.34612,-0.11284,0.054363,-0.046754,0.12667,0.22334,0.39839,0.35005,0.15231,0.42076,0.19559,0.20369,0.15543,1,0.18226,0.46945,0.32949,0.45446,0.39795,0.37498,0.024078,0.1532,0.43586,0.0423,0.18369,-0.041229,0.27795,0.14876,0.30749,-0.0011622,-0.15663,0.077688,0.0067983,0.031706,0.21431,-0.10116,-0.0037398,0.15205,0.04546,0.0032439,-0.029354,0.12081,0.037253,-0.22881,0.26952,-0.24723,0.11503,0.0073855,0.087359,-0.0038538,0.14142,-0.052279,-0.19549,-0.26651,-0.020119,0.36618,0.030494,-0.22487,-0.23993,0.070885,0.05041,-0.26533,-0.1362,-0.12003,-0.17861,-0.41287,0.086768,0.032546,-0.081295,0.26768,-0.18584,-0.15571,-0.039565,-0.30713,-0.23796,0.023983,0.042691,-0.12084,-0.042127,0.11585
