,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
10,0.162,0.24355,0.16015,-0.16636,0.24272,0.17966,0.17611,-0.043933,0.40675,0.027077,1,0.28491,0.279,0.18602,0.12337,0.19982,0.18479,0.37724,0.20856,0.2834,0.20043,0.40661,0.27691,0.29766,0.10998,0.32294,-0.026544,0.47974,0.35805,0.071544,0.066974,0.21411,0.13246,-0.052967,0.19139,0.081673,0.12745,0.3089,-0.088654,0.08412,0.10165,-0.020653,0.038599,-0.034113,-0.038126,0.043615,0.079269,0.040154,0.041187,0.13756,0.035713,0.17734,0.20338,0.039501,0.010176,0.10358,-0.024746,0.28785,0.14166,0.15717,0.36341,-0.044931,0.034308,0.1509,-0.11408,0.28142,-0.21571,-0.21699,0.086424,0.18119,0.10277,-0.054292,-0.057252,-0.046815
11,0.057155,-0.077797,0.16425,-0.030061,0.19283,0.1722,0.20402,0.081213,0.25303,-0.06039,0.28491,1,0.018941,0.24498,0.14572,0.21646,0.32918,0.086382,0.13431,0.29648,0.31042,0.20176,0.022093,0.36994,0.33592,0.3471,0.20957,0.14787,0.40068,0.14185,0.031987,0.044946,0.032945,0.023178,0.18193,-0.19182,0.19719,-0.044412,-0.013523,-0.0087348,0.24357,0.038364,-0.025728,0.30228,0.1402,0.025408,0.16419,-0.12226,-0.128,0.10023,0.20512,-0.0096628,-0.068754,-0.0055524,0.24272,-0.12374,0.051064,0.12057,-0.027593,0.05246,-0.067415,-0.011406,-0.12982,0.13482,-0.13344,-0.18065,0.014044,-0.31594,-0.047327,0.038884,0.18157,-0.30021,-0.024415,-0.0277
12,0.073151,0.13543,-0.035317,-0.056283,0.094901,0.18431,0.42242,0.10566,0.20982,-0.12634,0.279,0.018941,1,0.32744,0.1853,0.00010573,0.0056569,0.16819,0.074502,0.15305,0.18246,0.013717,0.41538,0.14516,0.099232,0.16537,-0.020077,0.19344,0.28112,0.041059,0.092771,0.16143,0.28833,0.041406,0.14241,-0.05728,-0.0066812,0.25074,-0.066958,0.07416,0.012441,0.15777,0.080001,-0.053908,0.016012,-0.09797,-0.036954,0.062062,-0.1981,-0.048196,-0.076584,-0.0040878,0.31992,0.074386,-0.026008,-0.03425,-0.12548,-0.14894,-0.13345,0.21023,0.07224,0.25245,-0.29852,0.079837,0.25779,0.23969,-0.16801,0.054723,-0.13371,-0.19827,-0.11275,0.17255,-0.21378,-0.0035468
13,0.12297,0.18773,0.0009513,0.10463,0.12401,0.11915,0.18854,0.49075,0.32316,0.0833,0.18602,0.24498,0.32744,1,0.26324,0.20397,0.10398,0.20773,0.29895,0.41043,0.38447,0.23756,0.17997,0.44855,0.49688,0.35922,0.3377,0.20288,0.28176,-0.0029829,0.12042,0.40764,0.2472,-0.049304,-0.13628,0.10882,0.12483,0.1878,0.11927,-0.27545,0.15864,-0.027789,0.058269,0.29613,0.065493,-0.18953,-0.034766,-0.021234,-0.0043991,0.096831,0.15162,-0.07471,0.24214,0.16617,0.13901,-0.24119,-0.22963,0.13866,-0.20284,-0.20965,-0.031191,0.12041,-0.23251,0.017417,0.015326,-0.056718,-0.38494,-0.025348,-0.038474,-0.094587,-0.21738,0.22023,0.14225,-0.24596
14,0.51005,0.025949,0.1747,0.054489,0.031262,-0.048885,0.13517,0.46539,0.11425,0.13169,0.12337,0.14572,0.1853,0.26324,1,0.23541,0.32107,0.071305,-0.037126,0.21137,0.32756,0.21872,0.19342,-0.041998,0.16022,0.23963,0.21274,0.015505,0.093645,0.090015,-0.12888,0.15825,0.2302,0.022997,0.13416,0.055096,0.30314,0.061788,0.23458,-0.099539,-0.077086,-0.077531,-0.052236,-0.023312,-0.17102,-0.18019,-0.016637,0.1838,0.10922,-0.020271,-0.080403,0.14144,0.10258,-0.12157,-0.18285,0.045218,-0.0084128,-0.27711,-0.05369,-0.0871,0.11875,0.14897,-0.23917,-0.089909,-0.090789,-0.020879,-0.14556,-0.22272,-0.15194,-0.23926,0.10155,0.10652,-0.19689,-0.19438
15,0.1116,-0.060823,0.18059,-0.15003,0.27232,-0.082153,0.34184,0.26591,-0.13213,0.33158,0.19982,0.21646,0.00010573,0.20397,0.23541,1,0.18868,0.1059,0.34807,0.25852,0.57795,0.54174,0.03149,-0.087872,0.27145,0.26439,0.52735,0.35377,0.35829,0.24533,-0.096347,0.50978,0.20045,-0.26885,0.34658,-0.013772,0.15396,-0.054767,-0.046657,-0.096785,0.19691,0.17764,-0.041458,0.010218,0.043718,-0.1878,0.051745,0.050103,0.087738,0.041345,-0.15352,-0.11513,0.15339,0.0094696,0.11657,0.13341,-0.2128,0.12779,-0.1376,-0.066969,-0.095157,-0.20939,0.071412,-0.02324,0.029154,0.11889,-0.084273,-0.34286,0.04254,0.022207,-0.093241,-0.081578,-0.21831,-0.13462
16,0.10812,-0.13632,0.29408,0.005086,0.07115,-0.18877,0.14919,0.18658,0.10478,0.29917,0.18479,0.32918,0.0056569,0.10398,0.32107,0.18868,1,0.18548,-0.1796,0.12176,0.36998,0.31237,0.21683,0.02203,0.20375,-0.013825,0.10878,-0.082689,0.12994,0.059069,0.14504,-0.047139,0.20153,0.039983,0.21833,-0.14803,0.33387,0.26968,-0.054547,-0.056747,-0.015566,0.020831,0.015688,0.2219,0.029613,-0.32596,0.10292,0.1506,0.10308,0.23849,-0.095458,-0.11213,0.22654,0.1168,-0.17177,-0.074268,-0.041801,-0.014404,-0.3353,0.11301,-0.022661,0.16349,0.099579,-0.10503,-0.17399,0.18072,-0.28891,-0.25042,-0.070495,-0.18701,0.22745,0.073362,0.011581,-0.33337
17,0.13172,-0.22346,-0.13075,-0.096569,0.09997,-0.25957,-0.0882,0.037151,0.11577,0.15059,0.37724,0.086382,0.16819,0.20773,0.071305,0.1059,0.18548,1,-0.00216,0.1862,0.092765,0.45402,0.13854,0.18959,0.0021737,0.12215,0.42192,0.24267,0.0089323,0.045998,0.26655,0.31751,0.28321,0.15385,0.045515,-0.034302,0.19504,0.038267,-0.25379,-0.0085801,0.043694,0.17174,-0.033207,0.22034,-0.038623,0.10881,0.18227,-0.22499,0.13733,0.14404,-0.18165,0.16945,0.2849,0.10865,-0.23727,-0.17112,0.15547,0.16442,-0.11595,-0.25301,0.24556,-0.1713,0.14161,-0.049635,0.26481,0.067995,-0.50753,-0.37737,0.02439,-0.044969,0.042426,-0.10099,-0.14012,-0.3351
18,0.19589,0.0060388,0.2373,0.0022922,-0.23718,0.25723,0.20957,-0.012749,0.3338,0.13542,0.20856,0.13431,0.074502,0.29895,-0.037126,0.34807,-0.1796,-0.00216,1,0.19585,0.21549,0.32036,0.0088754,-0.0083887,0.22646,0.41889,0.19426,0.31179,0.35768,-0.10205,0.084823,0.19155,0.25154,-0.22376,-0.017126,-0.013506,-0.0049969,-0.14592,0.047112,0.1224,-0.063937,-0.074962,0.00086556,0.17828,0.16918,0.12624,-0.0082715,-0.1248,0.024274,-0.0053231,0.016359,-0.068564,-0.14904,-0.0095419,0.16222,0.030637,-0.17145,0.20786,0.21376,0.12658,0.1,-0.16346,-0.11868,0.15472,0.2203,0.23059,-0.038395,-0.168,-0.12413,0.10717,-0.21983,0.12758,-0.14913,0.22601
19,0.064,0.066542,-0.07508,0.34139,-0.11137,0.00063585,0.18536,0.24509,0.12659,0.22236,0.2834,0.29648,0.15305,0.41043,0.21137,0.25852,0.12176,0.1862,0.19585,1,0.29056,0.2843,0.050535,0.20083,0.2874,0.32671,0.46354,0.17553,0.33576,0.2255,0.063805,0.34687,0.40128,-0.1411,-0.034329,0.023955,0.15295,0.10033,0.090529,0.0048765,0.25668,0.084934,-0.13398,0.26733,-0.15815,-0.19542,-0.011885,-0.083254,-0.19592,-0.065927,0.090399,-0.080604,0.15352,-0.12466,-0.057254,-0.028121,-0.038863,0.22213,0.10086,0.04334,0.11283,-0.23165,-0.39157,0.12569,-0.034904,0.023504,-0.18359,-0.20103,-0.1745,-0.0074817,-0.028691,-0.13385,-0.11459,-0.10675
20,0.047193,-0.11415,0.031827,-0.019301,0.023948,0.095937,0.45333,0.37276,0.13421,0.14451,0.20043,0.31042,0.18246,0.38447,0.32756,0.57795,0.36998,0.092765,0.21549,0.29056,1,0.24576,0.16593,0.10689,0.44457,0.31206,0.24019,0.34511,0.40921,0.55919,-0.0014986,0.39437,0.18091,0.037557,0.34452,0.15748,0.34954,0.087727,0.21561,-0.25097,0.23863,0.00093102,-0.23332,0.021,0.015665,-0.4366,0.015922,-0.1189,-0.028675,-0.21391,-0.1976,-0.13323,-0.0029312,0.013574,-0.13273,-0.04467,-0.24603,-0.00083666,-0.15913,-0.21009,-0.062661,-0.029587,-0.29974,0.12754,0.018457,0.0020143,-0.35106,-0.31744,0.032576,-0.25878,-0.1246,0.11921,-0.31475,-0.05639
21,0.2199,-0.03921,0.090354,-0.021927,0.18558,-0.11907,0.13585,0.19654,0.13951,0.34198,0.40661,0.20176,0.013717,0.23756,0.21872,0.54174,0.31237,0.45402,0.32036,0.2843,0.24576,1,0.16314,0.16087,0.18618,0.38529,0.4926,0.38081,0.20331,0.017663,0.035093,0.34146,0.41108,-0.10408,0.11348,-0.30722,0.087672,-0.080023,-0.15461,0.0282,0.10679,-0.039303,-0.055857,0.10982,-0.10209,-0.0059508,0.089985,-0.10189,-0.026908,0.33585,-0.17281,0.096664,0.28219,0.10032,0.029891,0.14323,0.0057742,0.22022,-0.012925,-0.026305,-0.015296,-0.18556,0.13123,-0.060379,0.10762,0.20917,-0.2335,-0.43782,0.15211,0.15901,-0.13778,-0.03767,-0.25911,-0.11522
22,0.19493,0.21472,0.23549,0.099359,-0.071413,0.36482,0.11894,-0.079772,0.34746,0.056974,0.27691,0.022093,0.41538,0.17997,0.19342,0.03149,0.21683,0.13854,0.0088754,0.050535,0.16593,0.16314,1,0.21811,0.050806,0.1629,0.0069196,-0.0045317,0.28411,-0.058455,0.29307,0.079765,0.30082,0.16156,0.057969,-0.090399,0.41222,0.11106,0.0019651,0.12308,-0.16428,0.31085,0.12612,-0.11879,0.0092268,0.019925,0.28332,0.13444,-0.037977,0.23783,-0.33292,0.20425,0.21194,0.30718,-0.015505,0.16284,-0.11506,0.23782,-0.020609,-0.044111,0.26289,0.33231,-0.1426,-0.30524,0.14327,0.15311,-0.3014,-0.16036,0.19167,-0.20703,0.030981,0.28398,0.098222,0.030884
