,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
10,0.23242,0.087284,-0.011466,0.55917,0.36802,0.079232,0.196,0.15148,0.045773,0.24585,1,0.26944,0.3383,0.15176,0.26699,0.27817,0.13635,0.45269,0.22242,0.26292,0.093903,0.092948,0.28319,-0.0033257,0.15299,0.20645,0.011357,0.13545,0.063146,0.094396,0.15195,0.18755,-0.025999,-0.16187,-0.026528,0.070139,-0.017391,0.09311,-0.31276,0.017118,0.14994,0.015617,0.21642,-0.097282,0.17024,0.12077,0.0032601,0.088382,0.3124,-0.2689,-0.18126,0.022148
11,0.30416,0.22133,-0.005337,0.19635,0.060555,0.39047,0.12901,-0.11443,0.16066,0.20134,0.26944,1,0.21408,0.17951,0.31356,0.26689,0.13172,-0.096925,0.2563,0.16169,0.28045,0.025205,0.27478,0.136,0.29643,0.062349,-0.18259,0.19666,0.11452,0.32922,0.32256,0.12297,0.048521,0.10937,0.055279,-0.022075,-0.02164,0.43863,0.096028,0.10442,0.0048725,-0.16672,0.11475,-0.12841,0.083398,-0.054307,-0.31246,-0.11805,0.027166,0.0028371,-0.060211,0.13153
12,0.19068,0.11888,0.23806,0.016031,0.37498,0.37469,0.30517,0.23765,0.20252,0.31878,0.3383,0.21408,1,0.28078,0.29891,0.28586,0.23725,0.18734,0.12534,0.25308,0.16062,0.07418,0.16417,0.18201,0.23515,0.076531,0.19485,0.073808,0.044899,0.13592,0.30701,-0.146,-0.093394,0.089743,-0.13238,0.1161,-0.19254,-0.073667,-0.14852,-0.050821,0.011086,-0.31345,0.17244,0.19287,-0.027754,0.084638,-0.048133,-0.010862,0.10748,-0.088809,0.016829,0.1911
13,0.31588,0.34085,-0.11961,0.2726,0.31121,0.025481,0.26489,0.18575,0.080226,0.20582,0.15176,0.17951,0.28078,1,0.30773,0.18161,-0.13148,-0.016541,-0.15507,0.19468,0.2263,0.31139,0.30674,0.27659,0.026804,0.12129,0.034635,0.040965,0.11256,-0.036344,0.37222,0.10972,-0.10991,0.090726,0.059693,0.22098,-0.063957,0.31782,-0.035251,0.0088454,-0.058527,-0.043591,-0.097345,-0.080192,0.020727,0.22877,-0.069665,-0.014693,-0.046105,-0.31113,-0.0076772,0.12256
14,0.42595,0.44102,0.19141,0.0088113,0.29685,0.081254,0.25987,0.18504,0.33872,0.27532,0.26699,0.31356,0.29891,0.30773,1,0.2608,0.41056,0.15005,-0.081596,0.31118,0.42676,0.29711,0.17716,0.35468,0.11198,-0.097135,0.11984,0.32319,0.10762,0.14233,0.15592,-0.021918,-0.083912,-0.14846,0.10328,0.273,0.062659,0.094442,-0.1882,-0.10709,0.003146,-0.11388,0.11038,0.025839,0.49545,-0.056652,-0.11949,-0.041554,-0.15859,-0.1394,-0.18937,-0.23972
15,0.33201,-0.062376,-0.11401,0.29282,-0.018554,0.31704,0.23198,0.011543,-0.012317,0.31743,0.27817,0.26689,0.28586,0.18161,0.2608,1,0.23395,0.11986,0.16074,0.30807,0.24922,0.23301,0.1117,0.2286,0.14423,-0.31696,0.19894,0.047027,0.079912,0.3227,0.25461,0.0061576,-0.067973,0.18375,0.067996,0.38731,-0.019041,0.14969,-0.32216,-0.22591,-0.13432,-0.015004,-0.20669,0.042228,0.14837,0.20907,-0.3477,-0.071593,0.22924,-0.15032,-0.094223,0.25216
16,0.30242,0.19161,0.12506,-0.13709,0.063965,0.078637,0.22835,0.10131,0.26684,0.30301,0.13635,0.13172,0.23725,-0.13148,0.41056,0.23395,1,0.20346,0.16318,0.30664,0.18048,0.073399,0.18408,0.21137,0.23702,0.22928,0.088029,0.22777,0.12629,0.16624,-0.07493,-0.25028,-0.16363,-0.17064,-0.03893,0.10074,0.094868,0.15907,0.087367,0.10955,-0.28502,-0.14979,0.081492,0.068028,0.28048,0.0099817,0.065218,0.018753,0.13504,-0.14808,-0.044992,-0.1996
17,0.070176,-0.096306,-0.058742,0.14758,0.24099,0.091634,0.16725,0.12912,0.15153,0.22938,0.45269,-0.096925,0.18734,-0.016541,0.15005,0.11986,0.20346,1,0.10895,-0.02659,-0.068444,0.19514,0.014404,0.11234,-0.13724,-0.043343,-0.071041,-0.01473,-0.16127,0.13283,0.10805,0.03114,0.049532,-0.18193,0.25079,0.066837,-0.078053,-0.10181,-0.15058,0.10046,0.037826,0.021808,0.14863,-0.11206,0.029045,-0.216,0.046442,0.24834,0.10538,-0.070608,-0.2527,-0.18665
18,0.1492,-0.056351,-0.056695,0.26104,0.022488,0.2737,0.051621,-0.12595,-0.13571,0.33528,0.22242,0.2563,0.12534,-0.15507,-0.081596,0.16074,0.16318,0.10895,1,0.11848,-0.083417,0.065887,0.14927,-0.065711,0.040436,0.20148,-0.11967,0.25172,0.037475,0.12388,0.015736,0.098694,0.26373,0.33071,0.022426,-0.035715,-0.015715,-0.04473,-0.045402,0.089148,0.020882,-0.20099,-0.32934,0.14874,-0.093906,0.0829,0.063377,0.087782,0.0076576,-0.056554,-0.075181,0.12263
19,0.14688,0.3309,-0.0089863,0.21718,0.20014,0.094344,0.18661,0.084266,-0.091235,0.15768,0.26292,0.16169,0.25308,0.19468,0.31118,0.30807,0.30664,-0.02659,0.11848,1,0.057716,0.18235,0.13176,0.21354,-0.19108,0.092157,0.099316,-0.19672,0.12808,0.00062629,0.027452,0.1502,-0.25443,0.13358,-0.020308,0.11813,0.14434,0.27883,-0.15436,-0.046747,-0.064465,-0.14436,-0.042381,0.3214,0.14759,0.29617,-0.073307,-0.23043,0.19481,-0.022599,-0.26656,0.11969
