,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
10,0.72422,0.69308,0.70542,0.64852,0.74623,0.60159,0.66367,0.72338,0.62652,0.59428,1,0.55843,0.68197,0.5086,0.53454,0.55193,0.38223,0.43313,0.39506,0.28341,0.26796,0.42277,0.28964,0.15315,0.10155,0.23934,-0.19367,-0.10439,-0.055127,-0.057408,-0.27716,0.065879,-0.16497,-0.23122,-0.13762,-0.15483,0.0063132,-0.0067053,-0.61856,-0.38905,-0.041109,-0.2575,-0.16558,-0.069584,0.030676,-0.053674,-0.23095,-0.21515,-0.089646,-0.2257,-0.25837,-0.30397,-0.31812,0.08082,-0.26543,-0.24478,-0.17767,0.042555,-0.1127,-0.052558,-0.22148,-0.051217,0.014092,0.12465,-0.16669,-0.34589,-0.12634,0.17889,0.11553,-0.028047,-0.14918,-0.13427,0.35685,0.092562,-0.21114,-0.025393,-0.0033274,-0.057624,0.27334,0.11627,-0.0976,-0.0050904,-0.15767,-0.23786,0.07352,0.41375,0.077101,0.072055,0.15474,-0.065111,-0.13232,-0.079583,0.19725,-0.067544,0.082804,0.42732,0.13956,0.078692,0.28867,0.26046,0.25225,0.19912,0.098042,0.069585,-0.099053,-0.059657,-0.078971
11,0.72578,0.65347,0.68698,0.62983,0.66209,0.6013,0.55837,0.62013,0.59773,0.47154,0.55843,1,0.44571,0.52041,0.57685,0.32558,0.31551,0.60908,0.26143,0.14123,0.32915,0.21923,0.13221,-0.15586,0.22208,0.21901,-0.36209,-0.049952,0.024637,-0.018075,-0.3376,0.029621,-0.24867,-0.29721,-0.024814,-0.31822,-0.066293,-0.15032,-0.46338,-0.19275,-0.021102,-0.30668,-0.22132,-0.19609,0.12891,-0.11505,-0.26418,-0.22879,-0.057209,-0.34239,-0.36877,-0.21782,-0.2549,0.098359,-0.3205,-0.41868,-0.23762,-0.16574,-0.062128,-0.080646,-0.15288,0.041891,-0.048379,0.039638,-0.02958,-0.18314,-0.24134,-0.058248,0.076586,0.0044518,0.19128,-0.28348,0.24258,0.003502,-0.11055,-0.20596,0.20951,-0.0075817,0.38814,0.028225,-0.04863,0.029404,-0.13274,-0.14743,0.049167,0.37797,-0.15394,0.082238,0.11789,-0.1789,0.17546,-0.066513,-0.013716,-0.21356,0.071777,0.41473,0.14248,0.022106,0.22787,0.14482,0.045214,0.093035,-0.034727,0.089227,-0.092314,-0.10113,-0.0030256
12,0.60145,0.76964,0.58569,0.62137,0.62751,0.59577,0.66206,0.66787,0.58537,0.6129,0.68197,0.44571,1,0.41599,0.45319,0.49176,0.4205,0.37744,0.24446,0.24913,0.16934,0.27692,0.018972,-0.018685,0.12368,0.034341,-0.074843,-0.2054,-0.28143,-0.1828,-0.22035,-0.014589,-0.17896,-0.12465,-0.064892,-0.14825,0.15022,-0.072021,-0.5696,-0.40551,-0.25469,-0.45223,-0.29945,-0.23475,-0.031168,-0.087174,-0.38267,-0.30203,-0.31284,-0.32166,-0.33881,-0.35363,-0.22935,-0.077792,-0.27944,-0.19522,-0.15158,-0.028517,-0.10867,-0.062308,-0.23071,-0.07563,-0.14789,0.094568,-0.22405,-0.40397,-0.10178,0.00057842,0.24078,-0.25816,-0.2152,-0.15011,0.13391,-0.11885,-0.3355,-0.011192,0.21827,-0.038247,0.13023,-0.018425,-0.17811,0.1222,-0.040855,-0.064659,0.013413,0.3304,-0.02855,-0.0043513,0.066147,-0.16388,-0.11232,-0.32115,0.17226,0.09272,-0.026174,0.17232,0.36988,0.27465,0.078122,0.080705,0.11419,0.070778,0.16963,0.1803,-0.19123,-0.091617,0.077317
13,0.65089,0.5631,0.60887,0.61502,0.62903,0.45655,0.53855,0.64263,0.51921,0.57986,0.5086,0.52041,0.41599,1,0.52387,0.41564,0.21098,0.57033,0.46906,0.20412,0.31014,0.2879,-7.4332e-05,-0.12279,0.092794,0.10049,-0.36611,-0.15124,-0.10184,0.17924,-0.016057,0.13663,-0.36153,-0.24968,-0.097959,-0.13506,0.018943,0.086906,-0.41462,-0.48038,-0.15008,-0.13154,-0.099778,-0.34459,0.19472,-0.19269,-0.0012761,-0.073949,0.14578,-0.37076,-0.36921,-0.1856,-0.08112,-0.18102,-0.069885,-0.13706,-0.2595,-0.12814,-0.12171,-0.062133,-0.075351,-0.13072,0.013357,0.065001,-0.19933,-0.13349,-0.19429,0.24957,-0.074606,0.094421,0.091448,-0.1046,0.18298,0.068028,-0.1446,-0.26549,-0.11361,-0.10635,0.021663,0.027603,-0.0026054,0.29376,-0.011881,0.079251,0.32607,0.42615,-0.091778,0.092981,0.14451,-0.25285,0.19516,0.23294,0.090251,-0.17411,0.13429,0.44556,0.028778,0.01872,0.021278,0.05226,0.12128,0.11985,0.32697,-0.21219,-0.10521,0.21853,-0.12664
14,0.64943,0.5039,0.62509,0.58799,0.55445,0.61217,0.4748,0.52655,0.62352,0.47957,0.53454,0.57685,0.45319,0.52387,1,0.33096,0.24459,0.64588,0.41838,0.22065,0.24481,0.28416,0.032111,-0.069913,0.3284,0.27056,-0.19828,-0.068341,-0.1125,0.084473,-0.26364,0.097319,-0.22169,-0.21528,-0.1773,-0.25461,0.057317,0.0827,-0.50076,-0.10374,-0.27212,-0.2803,-0.24015,0.015651,0.0095719,-0.056283,-0.20214,-0.059655,-0.075073,-0.32824,-0.2964,-0.17066,-0.25548,-0.17421,-0.089128,-0.2595,-0.21098,-0.0078541,-0.21218,0.036793,-0.30565,0.0030111,0.096829,0.0097886,-0.10953,-0.2133,-0.29015,0.11497,0.17903,-0.17666,0.29281,-0.24686,0.34603,0.081994,-0.29388,-0.19796,-0.0084691,0.083836,0.24528,0.015188,0.017322,0.029769,-0.2407,-0.089801,0.0656,0.16415,-0.10246,0.25052,0.084286,-0.29097,0.24921,0.12894,-0.19767,-0.15024,0.18909,0.43233,0.14531,-0.046761,0.11136,0.13497,0.0093525,0.03851,0.0045481,-0.13702,-0.18424,-0.15348,0.033841
15,0.60387,0.51597,0.54218,0.52313,0.55277,0.38351,0.62573,0.55807,0.5001,0.52325,0.55193,0.32558,0.49176,0.41564,0.33096,1,0.50831,0.25398,0.34498,0.13555,0.25805,0.23119,0.21701,-0.20988,0.0076603,0.094183,-0.17439,-0.13978,0.018169,-0.21736,-0.037984,0.24776,-0.25816,-0.21588,-0.07141,-0.081842,0.15367,0.018022,-0.40582,-0.18569,-0.10797,-0.27794,-0.19991,-0.19736,0.083715,0.074366,-0.40238,-0.09417,0.15202,-0.17038,-0.13177,-0.18965,-0.26474,-0.16549,-0.046912,0.051391,-0.30115,-0.032456,-0.06877,0.11989,-0.16622,-0.271,-0.18843,0.25675,-0.24015,-0.21251,-0.10239,0.0056789,0.084506,0.057091,-0.0076741,0.06787,0.26836,0.18543,-0.077361,-0.13383,0.10565,-0.27968,-0.0374,0.23553,-0.033713,0.039412,-0.01056,-0.11035,0.1151,0.26299,-0.089866,0.23441,0.053848,-0.32709,0.017255,-0.20034,0.38326,0.058286,0.045979,0.20292,-0.10366,0.094983,0.19826,0.27572,0.030984,0.087164,0.11719,0.075163,0.080655,0.067596,-0.23012
16,0.53147,0.53025,0.43204,0.41759,0.36888,0.28016,0.39271,0.43671,0.38473,0.43151,0.38223,0.31551,0.4205,0.21098,0.24459,0.50831,1,0.26995,0.28809,-0.07983,-0.10734,-0.015453,0.24972,-0.012415,0.21077,0.1917,0.11068,-0.03422,0.30295,-0.038791,-0.24426,0.0023397,-0.14318,-0.19846,-0.1314,0.014,0.08102,-0.17,-0.42339,0.034845,0.035145,-0.25512,-0.06653,-0.1045,-0.01161,-0.13472,-0.46564,-0.17249,0.080799,-0.14662,-0.083783,-0.10663,-0.089274,-0.07525,-0.25386,0.034848,-0.18396,-0.12231,-0.21961,0.14058,0.16998,-0.16085,-0.10834,0.09656,-0.14108,-0.18057,-0.28949,-0.13554,0.41775,0.072916,-0.015974,-0.2794,0.020788,0.10999,-0.12825,-0.20541,0.042939,-0.028429,-0.074033,-0.081727,-0.0065852,0.13383,-0.081227,-0.03745,0.044674,0.23249,-0.078407,0.11924,0.13146,-0.36947,0.12445,0.031948,0.14587,-0.024349,-0.036739,0.012771,0.15721,-0.029731,0.20288,0.13833,-0.023597,0.18516,0.0021947,0.095353,-0.082879,0.23203,-0.14506
17,0.54998,0.54153,0.549,0.44775,0.5274,0.54867,0.49114,0.51831,0.58326,0.44257,0.43313,0.60908,0.37744,0.57033,0.64588,0.25398,0.26995,1,0.17064,0.26536,0.21254,0.22707,0.014246,-0.033157,0.26022,0.22746,-0.31619,-0.10035,-0.10456,0.1972,-0.1157,-0.20591,-0.33042,-0.23389,-0.26657,-0.28303,-0.087827,0.064473,-0.34002,-0.13443,-0.14912,0.0082499,-0.26156,-0.099245,0.11433,-0.034888,-0.021241,-0.18737,0.1562,-0.22447,-0.24352,-0.10519,-0.13718,-0.17024,-0.11054,-0.22526,-0.29285,0.12398,-0.23519,-0.1149,0.020764,-0.13186,-0.080501,-0.083045,-0.12816,-0.36053,-0.1785,0.058878,0.14601,0.18333,0.35966,-0.22624,0.14952,-0.023135,-0.19608,-0.25928,0.028652,0.18138,0.26529,-0.020364,-0.081874,0.20783,-0.060893,-0.12842,0.17068,0.2011,-0.16141,0.097821,0.0028025,-0.09232,0.23325,-0.030033,-0.066829,-0.11856,0.25826,0.37929,0.07511,0.028287,0.27455,0.15072,-0.022283,0.20635,0.11574,-0.15246,-0.014327,0.035072,-0.10652
18,0.46406,0.28753,0.40629,0.4562,0.39225,0.39565,0.24778,0.3648,0.41279,0.42111,0.39506,0.26143,0.24446,0.46906,0.41838,0.34498,0.28809,0.17064,1,0.26408,0.1138,0.23091,0.21504,0.039239,0.055276,0.17638,-0.32647,0.069204,0.11502,0.12401,-0.088593,0.18615,-0.031602,-0.099993,0.047246,-0.083631,0.0084501,-0.15904,-0.45951,-0.048374,-0.092352,-0.25796,-0.17168,0.044893,0.037452,0.062339,-0.27325,0.16432,-0.1271,-0.052995,-0.25772,-0.0096842,-0.086295,0.068101,0.11176,-0.11839,-0.0054857,-0.10417,0.082736,0.0050842,-0.062404,-0.19564,0.12598,0.050266,-0.21843,0.064447,-0.32787,0.12256,-0.016794,-0.0021204,0.095285,-0.070459,0.091712,0.16299,-0.14861,-0.14909,0.063125,-0.091709,-0.12732,0.065466,-0.15936,-0.057865,-0.095285,-0.007424,0.17874,0.094445,0.10177,0.087682,0.15092,-0.041493,0.12386,0.31783,0.070135,-0.085454,0.1326,0.30693,0.04834,0.029351,0.11886,0.21504,0.22575,-0.061535,0.24141,0.075754,-0.21568,0.044797,-0.039677
19,0.17245,0.26518,0.21468,0.14425,0.3288,0.18401,0.10951,0.34257,0.12455,0.25854,0.28341,0.14123,0.24913,0.20412,0.22065,0.13555,-0.07983,0.26536,0.26408,1,0.35861,0.25655,0.04926,-0.23964,0.10953,0.16616,-0.25014,0.19211,-0.089297,-0.060179,-0.043872,0.044319,-0.011874,-0.24427,0.050575,0.060928,0.071374,0.029126,-0.16115,-0.12992,-0.14762,-0.19256,-0.19124,0.020672,-0.027679,0.2371,0.086359,-0.27895,0.068661,0.049884,0.051479,-0.0098132,0.20864,-0.049441,-0.1406,-0.29274,0.1905,0.1446,0.10749,-0.17037,-0.1652,-0.14571,-0.037725,-0.16098,0.12082,-0.2659,-0.016025,0.022576,-0.086761,-0.05197,0.18907,-0.068628,0.064351,-0.013815,0.14092,0.1296,0.16617,-0.1115,0.19052,0.043506,0.024083,-0.10012,-0.057458,-0.42774,0.21651,-0.042659,-0.038756,-0.16808,0.01797,0.015455,-0.020399,-0.015087,0.073255,0.0018521,0.16101,0.23887,0.00074122,-0.0029366,4.033e-05,-0.035145,0.43857,0.15096,0.43518,-0.052059,0.11858,-0.077447,0.008455
