,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
10,0.87436,0.85151,0.85643,0.864,0.85558,0.84311,0.84757,0.8237,0.8564,0.79996,1,0.86076,0.82372,0.79295,0.77836,0.81696,0.86234,0.86658,0.76826,0.76913,0.78988,0.80277,0.79683,0.74248,0.80057,0.65607,0.70512,0.69208,0.74813,0.72722,0.65858,0.51319,0.59256,0.70256,0.48685,0.48915,0.55335,0.31685,0.48141,0.52039,0.15069,0.41175,0.50768,0.0041577,0.28978,0.22126,0.00070574,0.47224,0.20017,-0.02151,-0.012107,0.1113,-0.19468,-0.11053,0.21644,0.072614,0.092255,-0.16764,0.15552,-0.10873,-0.089914,0.12136,-0.38903,-0.24306,-0.15954,-0.073376,-0.14372,0.095395,-0.014296,-0.27268,-0.22631,-0.11565,0.049438,-0.080126,-0.20514,0.01298,-0.29585,-0.10888,-0.037255,-0.019497,0.093297,-0.13169,-0.079143,-0.16983,-0.13802,-0.032451,0.018023,0.16074,-0.20059,-0.27549,-0.074192,0.067644,0.23648,-0.070636,-0.01523,-0.090505,0.22204,-0.22424,-0.10004,-0.14557,0.1957,-0.16465,-0.14505,0.083732,-0.093824,0.10691,-0.11608,0.0070004,-0.038577,0.073991,0.19461,-0.030267,0.29889,0.10486,-0.1264,0.2043,0.041828,-0.020303,-0.12263
11,0.85036,0.82872,0.79239,0.79528,0.81697,0.84507,0.76974,0.80237,0.80732,0.69046,0.86076,1,0.73864,0.7798,0.73919,0.80705,0.85718,0.84022,0.76733,0.70191,0.74066,0.72268,0.73049,0.63591,0.79203,0.5458,0.57679,0.61675,0.73557,0.64394,0.6335,0.48982,0.67501,0.63222,0.48289,0.38922,0.50313,0.32685,0.46891,0.47079,0.21667,0.28936,0.50257,-0.076502,0.24418,0.29492,-0.070878,0.40194,0.27769,0.040014,-0.00047892,0.24275,-0.1775,-0.05241,0.082838,0.094997,0.042049,-0.13714,0.20628,-0.10286,-0.14676,0.053311,-0.32205,-0.10524,-0.14721,-0.019412,-0.029848,-0.0065177,-0.097143,-0.28191,-0.16347,-0.12271,0.070133,0.024997,-0.081574,-0.0066241,-0.35455,0.069935,0.026246,-0.005777,0.026994,-0.078594,-0.17845,-0.19585,-0.026207,-0.045358,-0.073269,0.13458,-0.28287,-0.27324,-0.12351,0.068284,0.20108,-0.1644,-0.10034,-0.099803,0.18393,-0.1247,-0.12955,-0.11671,0.19517,-0.29288,-0.20761,0.088688,-0.07646,0.047714,-0.059457,0.095169,0.045761,0.081117,0.18703,0.076217,0.23901,0.10767,-0.26979,0.24477,0.060098,-0.017892,-0.17902
12,0.80306,0.82544,0.8655,0.89074,0.82383,0.84531,0.86696,0.776,0.83955,0.81458,0.82372,0.73864,1,0.82702,0.81721,0.76898,0.77576,0.79251,0.75087,0.73139,0.7397,0.77286,0.73819,0.79229,0.75375,0.68335,0.7167,0.6122,0.73929,0.74577,0.73214,0.45719,0.61881,0.64892,0.48499,0.34113,0.49981,0.35121,0.40005,0.58073,0.22593,0.39831,0.46071,0.19843,0.32168,0.23576,-0.0043502,0.40943,0.062262,0.0090227,-0.054917,0.064538,-0.12484,-0.069981,0.18722,-0.01702,-0.013913,-0.17947,0.18487,-0.15521,-0.29187,0.1712,-0.36352,-0.2872,-0.24293,-0.1933,-0.072184,0.16651,-0.10838,-0.16654,-0.20138,-0.20993,0.01434,-0.17415,-0.15212,-0.092977,-0.25215,-0.19034,-0.00052034,0.022245,0.016184,-0.22694,-0.045636,0.0087207,-0.039891,-0.09604,-0.066921,0.055705,-0.40066,-0.27575,0.012306,-0.13075,0.10743,-0.16557,-0.20576,-0.086396,0.2974,-0.039209,0.046576,-0.051859,0.058831,-0.14654,-0.070592,0.043738,-0.24249,0.2057,-0.17493,0.24707,0.0043679,0.10239,-0.0071114,0.050111,0.27638,0.10957,-0.22653,0.17477,0.1607,-0.022339,-0.26501
13,0.84932,0.86805,0.84128,0.8377,0.81633,0.85554,0.82429,0.80394,0.81662,0.8044,0.79295,0.7798,0.82702,1,0.75968,0.79977,0.76335,0.78552,0.74242,0.71575,0.78955,0.74754,0.75563,0.75128,0.77004,0.71737,0.60126,0.71688,0.75646,0.73765,0.66334,0.42811,0.62542,0.5826,0.57385,0.33173,0.44256,0.39306,0.43123,0.57325,0.1896,0.48144,0.38693,0.14537,0.27874,0.29051,-0.034977,0.38855,0.20494,0.040803,-0.085559,0.14586,-0.13831,-0.031825,-0.048487,0.020958,0.097008,-0.2149,0.228,-0.0040203,-0.16407,0.24872,-0.26411,-0.29881,-0.12381,-0.15348,-0.1017,0.11883,-0.091228,-0.17521,-0.13448,-0.04039,0.00032883,-0.13719,-0.11644,-0.064297,-0.26474,0.015199,-0.079808,0.078318,0.054904,-0.29181,-0.015069,-0.15836,-0.10554,-0.12398,-0.10304,0.20801,-0.18435,-0.092806,0.010176,-0.040265,0.21039,-0.12442,-0.1832,-0.021418,0.19959,0.074931,0.00054734,-0.12748,0.1243,-0.20669,-0.15498,0.058129,-0.090665,0.063799,-0.055902,-0.0012437,0.15756,0.13461,0.18796,0.013528,0.28956,0.14878,-0.20994,0.19634,0.082498,-0.093116,-0.18233
14,0.78077,0.77441,0.81914,0.79991,0.7727,0.73604,0.83096,0.7701,0.79473,0.79341,0.77836,0.73919,0.81721,0.75968,1,0.76994,0.8425,0.74914,0.71616,0.72313,0.70479,0.77029,0.74141,0.71595,0.65998,0.61249,0.61353,0.71418,0.67283,0.70144,0.64257,0.38965,0.65572,0.64578,0.49458,0.44226,0.5392,0.3877,0.47258,0.51586,0.19828,0.4999,0.37481,0.11914,0.21703,0.23636,-0.0084113,0.3461,0.33151,-0.012704,-0.015083,0.09222,-0.1363,0.058358,0.14798,0.10852,0.087818,-0.32262,0.095217,-0.11414,-0.19927,0.093585,-0.41121,-0.21358,-0.14666,0.051304,-0.12904,0.15258,-0.13551,-0.33465,-0.30028,-0.028279,0.02778,-0.069202,-0.21273,-0.14563,-0.20173,-0.050616,-0.051932,0.12422,-0.018596,-0.22205,-0.11253,-0.20987,-0.010837,-0.077205,0.031705,0.12935,-0.27746,-0.20246,0.18709,-0.062174,0.01215,-0.16701,-0.15363,-0.11229,0.3703,0.072365,-0.13025,-0.11978,0.21343,-0.10425,-0.089676,0.0064108,-0.18434,0.093851,-0.12846,0.052941,0.07993,0.13354,0.13045,-0.036411,0.063117,0.10712,-0.19826,0.043887,0.028097,-0.067661,-0.17203
15,0.8641,0.82018,0.85538,0.83486,0.8648,0.85931,0.77811,0.81712,0.85937,0.8187,0.81696,0.80705,0.76898,0.79977,0.76994,1,0.82649,0.85016,0.78143,0.79301,0.73184,0.73525,0.72724,0.73221,0.7936,0.66788,0.55946,0.66695,0.65265,0.79569,0.68037,0.43371,0.58549,0.56821,0.5333,0.47818,0.41606,0.31615,0.3315,0.51569,0.30528,0.43789,0.40203,0.066441,0.29978,0.31356,-0.0032853,0.40583,0.2327,-0.10809,0.049086,0.071892,-0.095753,-0.082856,0.11871,0.21355,0.059597,-0.19531,0.065319,-0.17427,-0.074925,0.20613,-0.24221,-0.2835,-0.25302,-0.15858,-0.12101,0.018646,-0.12016,-0.23334,-0.23682,-0.03555,0.046873,-0.027332,0.0019072,-0.21941,-0.38972,-0.091221,-0.066198,-0.061947,-0.056416,-0.22469,-0.12856,-0.16927,0.0035152,-0.12188,-0.047795,0.21035,-0.077982,-0.19015,0.015767,0.054982,0.25982,-0.06408,-0.17495,-0.16649,0.32741,-0.083102,-0.12508,-0.12801,0.25377,-0.15661,-0.18823,0.063472,-0.056628,0.0086549,-0.070468,0.074301,0.051217,-0.037781,0.097014,-0.0036551,0.28573,0.23889,-0.11492,0.13579,0.093946,0.0025533,-0.092666
16,0.83488,0.82121,0.84501,0.82496,0.82463,0.8065,0.80585,0.78681,0.82076,0.7637,0.86234,0.85718,0.77576,0.76335,0.8425,0.82649,1,0.83493,0.75078,0.7786,0.73986,0.77954,0.76024,0.71881,0.80131,0.62369,0.6181,0.66744,0.72403,0.64188,0.64591,0.42237,0.6018,0.63089,0.47119,0.38677,0.55815,0.32732,0.36579,0.52303,0.28047,0.43478,0.38038,0.092981,0.18507,0.30161,0.018624,0.38049,0.13138,-0.0052689,0.062144,0.19802,-0.26286,-0.025781,0.08169,0.14811,0.13986,-0.15751,0.17982,-0.10418,-0.25279,0.038494,-0.39613,-0.2338,-0.148,-0.027619,-0.086982,0.0077529,-0.10712,-0.21244,-0.27291,-0.0089992,0.10389,0.074021,-0.11466,-0.040867,-0.24497,0.023104,-0.02402,0.068661,-0.12562,-0.22695,-0.10286,-0.11521,-0.035208,-0.023777,-0.071961,0.085042,-0.17191,-0.21949,0.0040955,0.16386,0.20898,-0.11052,0.00899,-0.06807,0.31184,-0.11183,-0.24039,-0.12322,0.27729,-0.13163,-0.10623,0.016586,-0.090079,0.021293,-0.12537,-0.015173,-0.03057,0.16886,0.23637,-0.04726,0.10492,0.073273,-0.27056,0.15916,0.16521,-0.12705,-0.14759
17,0.87609,0.83594,0.846,0.84528,0.86317,0.82944,0.79596,0.84323,0.86159,0.78681,0.86658,0.84022,0.79251,0.78552,0.74914,0.85016,0.83493,1,0.72408,0.78778,0.77993,0.75889,0.71977,0.6895,0.77585,0.61398,0.63102,0.62921,0.70438,0.68409,0.70808,0.51198,0.58248,0.62293,0.47565,0.49421,0.47109,0.25162,0.47912,0.44043,0.22669,0.32984,0.48317,-0.020165,0.26619,0.24434,0.077323,0.5286,0.19675,-0.12179,-0.083829,0.13129,-0.16234,-0.052895,0.10929,0.10631,0.080302,-0.23079,0.23747,-0.029053,-0.068343,0.2049,-0.42968,-0.17916,-0.16501,-0.20451,-0.059853,0.13466,-0.057585,-0.23374,-0.242,-0.19645,0.080479,-0.016449,-0.12291,-0.030259,-0.38232,-0.12693,-0.088265,-0.03675,-0.040393,-0.14497,-0.040748,-0.20262,-0.063988,-0.064521,-0.15955,0.14263,-0.21648,-0.1322,-0.071847,0.012587,0.25729,-0.098522,-0.076269,-0.12113,0.13081,-0.10804,-0.12694,-0.08076,0.24624,-0.19661,-0.20888,0.042175,-0.027495,0.082828,0.0039695,0.051982,-0.060152,-0.033369,0.097088,0.016505,0.29267,0.12632,-0.132,0.24503,0.043497,-0.0074791,-0.075145
18,0.80144,0.81421,0.77322,0.78462,0.81769,0.76001,0.78797,0.77693,0.74844,0.66617,0.76826,0.76733,0.75087,0.74242,0.71616,0.78143,0.75078,0.72408,1,0.71066,0.76732,0.66551,0.63398,0.628,0.67914,0.60205,0.63821,0.60948,0.66403,0.62114,0.67131,0.30328,0.61354,0.49442,0.47651,0.42313,0.55554,0.27782,0.32842,0.52853,0.24869,0.43137,0.37882,-0.0029941,0.3031,0.26595,-0.080658,0.46785,0.18693,0.062063,0.015856,0.16086,-0.31421,0.058534,0.19896,0.1208,0.058609,-0.10956,0.11783,-0.23702,-0.066786,0.22038,-0.3162,-0.17159,-0.17018,-0.11002,-0.16058,0.053713,-0.16716,-0.26654,-0.019294,0.027296,0.023028,-0.20743,-0.12176,-0.11274,-0.33038,0.035058,-0.16293,-0.039628,-0.091772,-0.26163,-0.10353,-0.19323,-0.10219,-0.13045,0.060427,0.070127,-0.19469,-0.29906,-0.071887,0.0048654,0.023784,-0.10076,-0.20917,0.0032269,0.16842,-0.14686,-0.023978,0.11718,-0.077079,-0.072076,-0.11749,-0.0081709,-0.30336,-0.079664,-0.1831,0.020124,0.085156,0.22992,0.068001,0.064901,0.24648,0.10088,-0.15165,0.18208,-0.049066,-0.054426,-0.10908
19,0.81624,0.77649,0.78899,0.79056,0.781,0.81218,0.77695,0.7407,0.80807,0.72838,0.76913,0.70191,0.73139,0.71575,0.72313,0.79301,0.7786,0.78778,0.71066,1,0.72067,0.6469,0.66624,0.75769,0.72425,0.54669,0.62664,0.66899,0.70046,0.5798,0.65213,0.49869,0.48791,0.56321,0.49229,0.41078,0.46881,0.34737,0.40374,0.36672,0.22483,0.35034,0.35405,0.048361,0.28472,0.34911,0.13131,0.42148,0.084705,-0.10079,0.010597,0.082541,-0.1686,-0.28195,0.16547,0.045783,0.035937,-0.20949,0.26298,-0.076486,-0.22759,0.29869,-0.3008,-0.18368,-0.080032,-0.18961,-0.18096,0.152,-0.086456,-0.20004,-0.273,-0.106,0.1255,-0.040539,-0.19662,-0.16138,-0.29746,-0.11385,0.0015629,0.068921,-0.10286,-0.14804,0.030224,-0.22889,-0.1332,-0.15853,-0.11148,0.21091,-0.24116,-0.033082,-0.019556,-0.14306,0.18155,-0.001842,-0.19831,-0.29473,0.22032,-0.050294,-0.087929,-0.16076,0.16067,-0.13739,-0.16012,-0.075143,0.073134,0.032895,0.053866,0.037448,-0.098407,0.11116,0.077254,0.0027313,0.28199,0.33183,-0.25071,0.078267,0.073302,0.052674,-0.13483
