,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
10,0.5279,0.66288,0.65227,0.56384,0.48569,0.44178,0.3687,0.47304,0.38136,0.38892,1,0.37335,0.26291,0.35976,0.18147,0.36789,0.15337,0.23199,-0.035286,0.35395,-0.041703,-0.042644,0.092223,-0.14271,-0.069627,0.26232,0.17063,0.14698,-0.032839,-0.17602,-0.12116,-0.034333,0.049771,-0.25998,-0.25729,0.028902,-0.10087,-0.044791,-0.058486,0.15087,0.00078037,-0.3183,-0.11207,-0.32426,-0.20896,-0.16193,-0.15714,-0.040682,-0.23841,0.10573,-0.0059636,-0.088506,-0.27831,0.056709,-0.058097,-0.17696,-0.17081,0.27749,-0.12361,-0.0088959,0.2258,-0.22227,-0.29249,0.10201,-0.10062,0.3033,0.0045856,-0.079491,0.11498,0.096406,0.1108,-0.089062,-0.14894,0.25526,0.27447,0.16309,0.036371,0.13631,0.09554,-0.020008,0.17848,0.065316,0.1265,0.25575,0.12282
11,0.53175,0.56024,0.53374,0.61702,0.48958,0.47409,0.5619,0.64462,0.46652,0.3156,0.37335,1,0.16188,0.51547,0.13054,0.37245,0.27115,0.35845,0.043504,0.2039,0.22562,0.066758,-0.16346,-0.13716,0.047859,0.20111,-0.062602,0.064822,0.058068,-0.012871,-0.040228,-0.097923,-0.12191,-0.20521,0.01174,0.058313,-0.35423,-0.30526,0.12823,-0.10192,0.20431,-0.22548,0.05668,-0.026741,-0.11529,0.1541,-0.080021,-0.18119,0.11182,0.15382,0.12106,0.23742,-0.23773,-0.1392,0.22861,0.039016,-0.15262,0.061033,0.21748,0.071564,-0.14015,-0.35438,-0.058911,0.11497,-0.13698,0.39536,0.27472,0.026915,0.10498,0.10355,-0.19646,0.0025145,0.13674,0.058211,0.00041193,0.055746,0.05386,0.13211,-0.058711,0.032438,0.21132,0.32251,0.26649,0.23285,0.029471
12,0.35219,0.4696,0.43622,0.5476,0.2759,0.4565,0.30862,0.25434,0.35016,0.35835,0.26291,0.16188,1,0.19473,0.031031,0.1602,0.089693,0.067909,0.26319,0.14735,0.06412,0.10127,-0.0039335,0.163,0.061279,0.18968,0.2284,-0.12384,0.20373,-0.085049,-0.0218,0.13338,0.17594,-0.14424,-0.26639,-0.18248,-0.22264,0.16187,0.31883,0.12544,0.11445,-0.091169,0.0027105,-0.14208,0.054383,-0.093291,0.11637,-0.099866,-0.23176,0.087453,-0.069213,-0.10458,-0.034694,0.10047,0.20952,-0.0053998,-0.030133,0.22217,0.050261,0.16496,-0.0048427,0.070675,-0.075316,-0.0056666,0.1622,0.15392,-0.090653,-0.09587,0.065932,0.034784,0.1614,-0.036081,0.029675,0.12599,0.1056,0.0014751,0.1403,0.20914,-0.13291,-0.00031713,0.12534,-0.047485,0.021904,0.27939,0.13599
13,0.43458,0.52878,0.50462,0.46517,0.32841,0.50777,0.41038,0.52028,0.25929,0.49081,0.35976,0.51547,0.19473,1,0.14179,0.36634,0.55053,0.51873,0.20904,0.25247,0.044504,-0.13382,0.093247,-0.21548,-0.017403,-0.062089,-0.021462,-0.10669,-0.147,0.0012673,0.19593,0.040317,0.23548,-0.2227,0.15001,0.12817,-0.15607,-0.236,-0.0014574,-0.055396,-0.010794,-0.16589,0.15818,-0.20558,-0.20443,0.17431,-0.23862,-0.093144,0.0045263,0.2292,0.2516,0.13215,-0.16223,-0.077357,0.0030494,-0.19967,-0.21833,0.139,0.17507,0.015232,-0.088811,-0.23757,0.10615,0.012465,-0.24708,0.26236,-0.071352,0.099304,-0.16813,0.016066,-0.073228,-0.1301,0.091741,-0.28216,0.23649,-0.042846,-0.093784,0.28213,0.055978,0.033913,0.18556,0.12984,0.25217,0.26567,-0.013467
14,0.27108,0.29975,0.20601,0.38413,0.20173,0.1858,0.26592,0.12654,0.15977,0.23921,0.18147,0.13054,0.031031,0.14179,1,-0.12085,0.18932,0.25932,-0.04738,0.25543,-0.29537,-0.080685,-0.019356,-0.2902,0.11989,-0.11592,-0.091001,0.32915,0.17713,-0.0023938,-0.0025369,-0.29125,-0.17128,0.015072,-0.29676,-0.22462,-0.22437,-0.12105,-0.16755,0.22968,0.14315,-0.12868,-0.2011,-0.16834,-0.11942,0.22115,-0.19146,-0.034274,-0.25997,-0.18613,-0.032142,-0.079247,0.053834,-0.016761,-0.095172,0.17864,0.1513,0.089312,0.051214,0.09435,-0.010115,-0.11088,-0.25329,0.17334,0.16586,-0.17988,0.0016636,0.016423,-0.14934,0.13267,-0.13063,0.067741,-0.18033,0.047213,0.052683,0.12684,0.07937,-0.094522,-0.25015,0.037401,0.062356,0.35463,0.22594,0.26831,-0.079193
15,0.40238,0.29119,0.379,0.3432,0.18206,0.20906,0.3855,0.26226,0.44624,0.32241,0.36789,0.37245,0.1602,0.36634,-0.12085,1,0.31295,0.14101,0.1033,0.14223,0.07596,0.040359,-0.15742,0.070283,-0.086911,0.2021,0.23037,-0.24347,0.037559,-0.16991,0.015817,0.07897,0.17969,-0.11209,0.095432,0.097055,-0.22358,-0.0010671,-0.01506,0.065382,0.17834,-0.040831,-0.039461,-0.17698,-0.031365,0.024573,0.10622,0.054848,0.10091,0.3181,0.2587,-0.15552,-0.031655,-0.07185,0.11358,0.051072,-0.2208,0.24494,0.024962,0.066276,0.13869,-0.12598,-0.073306,-0.19865,-0.14424,0.18284,-0.034658,-0.09423,0.029232,0.0015453,-0.030689,-0.086218,0.11353,0.16037,-0.072337,0.010083,-0.21793,0.21336,0.18434,-0.19398,0.28916,0.0062092,0.176,0.23782,-0.01266
16,0.3332,0.29799,0.26329,0.38884,0.24759,0.16157,0.2206,0.18441,0.17968,0.40665,0.15337,0.27115,0.089693,0.55053,0.18932,0.31295,1,0.30815,-0.093691,0.24578,-0.11641,-0.12323,0.081425,-0.31776,-0.0067684,-0.12942,0.12215,-0.14116,-0.013005,0.029156,0.20869,-0.072406,0.15707,-0.15182,0.13506,-0.20498,-0.022501,0.0079552,-0.0058922,0.091233,-0.059435,0.12151,-0.18794,-0.08014,-0.033397,-0.14909,0.039356,-0.11338,0.092521,0.32246,0.081773,0.038157,0.10136,0.10798,0.048082,0.038722,-0.049666,-0.014216,0.20029,0.18282,0.021788,0.10316,-0.031773,-0.036089,-0.16891,0.19167,-0.0064144,-0.14963,0.020576,0.15138,0.11743,-0.050712,0.019265,-0.049029,0.0089619,0.0006111,0.016236,0.272,-0.05388,0.13481,0.088841,0.001264,0.058429,0.25028,-0.15432
17,0.33103,0.41698,0.25015,0.2892,0.25636,0.21227,0.4791,0.34133,0.19376,0.42185,0.23199,0.35845,0.067909,0.51873,0.25932,0.14101,0.30815,1,0.25554,0.3121,0.12192,0.21464,0.26984,-0.15451,0.085089,-0.022152,0.039285,0.052156,-0.02909,0.052854,0.22389,0.17896,0.19604,0.15206,0.032311,0.014805,-0.035128,0.084182,0.22798,-0.034294,0.13679,-0.13941,0.062746,0.036708,-0.071348,0.19194,0.019951,-0.030838,0.036504,0.25258,0.10258,0.21403,0.10098,-0.28436,0.26085,0.10623,-0.19134,0.05109,0.30647,-0.021808,-0.18851,-0.13243,-0.22305,-0.15178,-0.052919,0.31898,0.14897,0.27472,-0.050579,0.094566,0.15387,0.12156,0.067461,-0.12583,0.0053379,0.009385,-0.031314,0.1112,0.12529,-0.0055541,0.066256,0.41043,0.032921,0.066916,-0.2718
18,-0.091631,0.038078,0.027024,0.043569,-0.19797,-0.099041,0.15438,0.14168,-0.01483,0.17048,-0.035286,0.043504,0.26319,0.20904,-0.04738,0.1033,-0.093691,0.25554,1,-0.036167,0.005699,-0.10298,0.059348,0.14233,0.16847,0.33142,-0.091127,-0.079327,0.27234,0.059666,0.16187,0.15794,0.19608,0.38048,-0.14138,0.071946,-0.09874,0.30729,0.25553,0.14777,0.40269,0.21092,0.063754,0.14766,0.092998,0.35523,0.00056333,0.16302,0.15891,0.28076,0.0077764,0.031309,0.024508,0.1694,0.26949,-0.21246,0.098841,0.0044544,0.11683,0.29133,0.04429,-0.015234,0.09654,-0.019484,-0.036121,0.018631,0.19092,0.23905,-0.10513,0.0067305,0.039491,0.089408,0.099125,0.0073856,-0.11953,-0.13805,-0.080532,0.23248,0.26744,0.038678,-0.095971,0.23525,-0.2094,-0.096331,-0.087573
19,0.15031,0.18734,0.12753,0.27747,0.03464,0.089558,0.21523,0.22578,0.013231,-0.073208,0.35395,0.2039,0.14735,0.25247,0.25543,0.14223,0.24578,0.3121,-0.036167,1,-0.21471,0.19532,0.067065,-0.035579,-0.064155,0.10192,0.23294,-0.076997,-0.30499,0.05413,-0.15989,0.11446,0.0022946,-0.11679,-0.046264,0.093248,-0.11044,0.029381,0.18674,0.035083,-0.016947,-0.12619,0.0010225,-0.17096,-0.12811,0.07739,0.43661,0.23491,-0.23774,0.098824,-0.014588,0.071433,0.21395,0.055108,-0.12838,0.10714,-0.042906,0.21413,0.14145,-0.29806,-0.04319,0.057591,0.14879,-0.096811,0.30333,-0.018626,-0.20647,0.1484,0.19217,0.15727,0.33268,-0.052747,0.13669,-0.016033,-0.058978,0.098235,0.20921,0.053287,-0.13377,-0.082375,0.30609,-0.037772,0.023778,-0.010079,-0.033315
