,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,0.019156,0.0028626,0.17993,0.069686,0.047658,0.2651,0.21329,0.058698,-0.0086691,0.17032,1,0.30509,0.11516,0.23368,0.25819,0.39714,-0.018319,0.37646,0.24279,0.18898,-0.032901,0.33388,0.19036,0.26562,0.39197,0.21376,0.25007,0.28939,0.21361,-0.088462,-0.098576,0.15482,-0.014481,0.21787,0.11518,0.36653,0.2058,-0.081342,0.058082,0.061909,0.16176,0.21983,-0.14162,-0.022328,-0.2038,-0.16198,-0.20822,0.22913,0.21269,0.15791,0.22398,-0.15816,-0.097436,-0.038614,-0.060324,0.026648,-0.06655,-0.17799,0.084859,0.10844,0.10947,0.018517,-0.2345,-0.10265,-0.014327,-0.23305,0.20371,-0.12233,0.019783,-0.10006,-0.016977,-0.046234,-0.037479,-0.18288,-0.37888,-0.26841,-0.10665,0.25191,-0.23893,-0.10839,-0.15259
11,-0.2684,-0.091036,-0.029833,0.12773,-0.069668,0.098461,-0.087781,0.25976,-0.095249,0.19928,0.30509,1,0.3645,0.27653,0.39216,0.39554,0.43733,0.28355,0.15024,0.21685,0.33044,0.057984,0.39645,0.33321,0.23386,0.4867,0.25715,0.41613,0.21948,0.1787,0.16733,0.034524,0.081325,0.15361,0.071529,0.13996,0.093456,0.20374,0.53125,0.10576,-0.049841,-0.080978,0.084636,-0.047508,-0.055519,0.032061,-0.31975,0.30124,-0.044334,-0.12004,0.11341,-0.13055,0.1044,0.12856,0.11731,-0.056088,-0.027425,-0.16159,0.27614,-0.074549,0.31078,0.09347,-0.1781,-0.35703,-0.10083,-0.18542,-0.023364,-0.337,-0.12748,-0.19299,0.092064,0.02322,-0.11494,-0.15076,-0.25101,0.052598,-0.07096,0.11153,-0.19002,-0.026515,-0.028631
12,-0.23633,-0.23058,-0.048251,-0.21983,0.24409,0.33692,0.1949,0.013807,0.095139,0.25681,0.11516,0.3645,1,0.22567,0.52575,0.077847,0.14367,0.33479,0.16031,0.079711,0.082945,0.28969,0.11612,0.017155,0.11021,0.37198,0.39696,0.16759,0.24714,0.19731,0.2201,-0.1754,0.087804,0.30557,0.14988,0.16911,0.094313,0.45369,0.21184,0.24027,0.083393,0.20214,0.022827,-0.095112,-0.0034243,-0.16957,-0.032853,0.022729,0.014939,0.14759,0.30266,-0.045915,0.11213,-0.14235,-0.159,-0.054254,0.20986,-0.20455,-0.04233,-0.2229,-0.039008,0.042076,-0.16734,-0.22568,-0.15295,-0.29926,-0.043749,-0.26577,-0.013348,0.19484,0.20917,-0.011879,0.073064,-0.14203,0.078446,0.11307,-0.083682,0.23025,0.031702,-0.08339,0.18364
13,-0.021012,-0.014225,0.099325,0.033983,0.018327,0.19996,-0.084848,-0.40199,0.16711,-0.022421,0.23368,0.27653,0.22567,1,0.046078,0.070622,-0.081992,0.27385,0.11952,0.21192,0.29521,0.19287,0.1413,0.094746,0.1196,0.35067,0.18353,0.28043,0.14998,0.19415,0.028365,0.18344,-0.25441,-0.053147,0.060503,0.37823,-0.073644,0.091144,0.11789,0.17504,0.085179,0.24432,0.16457,0.13296,-0.26046,0.019599,-0.19571,0.22691,-0.14499,-0.06114,-0.0051222,-0.057431,-0.027272,-0.06803,0.31608,-0.23097,-0.22345,-0.46327,0.050379,0.37892,-0.10842,0.13579,-0.16753,-0.083964,-0.12544,-0.23682,0.027063,-0.048476,0.016494,0.055061,-0.078952,0.31524,-0.24679,-0.05397,-0.025272,0.036771,-0.18373,-0.10665,-0.18772,-0.075396,-0.12999
14,-0.32166,-0.088946,-0.22597,-0.16371,0.063411,0.17229,0.18906,-0.076117,-0.17327,0.20299,0.25819,0.39216,0.52575,0.046078,1,0.47603,0.23591,0.44784,0.20116,0.11264,0.29561,0.2723,0.20239,0.27182,0.45348,0.21144,0.21491,0.30946,0.14968,0.22163,0.23347,0.18647,0.24126,0.37852,0.21819,0.21827,0.25011,0.34003,0.34516,0.19059,0.03337,0.033565,0.10288,0.012603,0.0021389,-0.073504,0.073773,0.20011,0.094562,-0.039071,0.22465,0.042708,0.11871,-0.032945,-0.052329,0.059964,0.077656,-0.21316,-0.00074422,-0.12735,0.080323,0.13723,-0.063412,-0.28076,0.11975,-0.41948,0.025004,-0.20396,-0.14802,-0.011147,0.0036526,-0.12927,0.17874,-0.31547,0.0045491,0.033346,0.05728,0.15875,0.27135,-0.23899,-0.053704
15,-0.0014425,0.17321,-0.036851,0.072069,0.048155,0.035941,0.23154,-0.0014573,0.0010842,0.37623,0.39714,0.39554,0.077847,0.070622,0.47603,1,0.26567,0.399,0.041134,0.27608,0.24824,0.39746,0.3618,0.30633,0.36512,0.078995,0.26431,0.22128,0.28342,0.27568,-0.0077872,0.18421,0.22938,0.13225,-0.0081343,0.1196,0.29443,-0.00022186,0.10544,0.25512,0.15468,0.16992,0.12482,-0.14008,0.038184,-0.059145,-0.1207,0.22612,0.14492,0.043066,-0.015724,-0.075132,0.060382,-0.086279,0.10507,-0.098107,0.037288,-0.21771,-0.0091022,-0.029793,0.1435,0.039006,-0.079231,-0.23956,0.25215,-0.36166,0.087247,-0.099683,-0.050351,-0.27149,-0.0051065,-0.21918,0.086957,-0.21817,-0.14927,-0.072598,-0.23368,0.023633,-0.10593,-0.12779,0.001081
16,0.062089,-0.023903,-0.11669,0.22829,0.095894,-0.0013536,0.0021446,0.28027,0.055179,0.24155,-0.018319,0.43733,0.14367,-0.081992,0.23591,0.26567,1,0.013213,0.26483,0.19037,0.23072,0.034159,0.10284,0.35405,0.088937,0.14364,0.15625,0.59486,-0.067933,0.39227,0.36612,-0.0006757,0.34218,0.21537,0.097043,0.18125,0.018504,0.21174,0.39931,-0.13356,0.17628,0.12655,-0.16402,0.090653,-0.039449,-0.2124,-0.29163,0.40217,0.083296,0.055092,0.21412,0.027001,0.049413,0.071287,0.11272,-0.08298,0.12333,0.053289,0.25889,-0.013498,0.18194,0.017315,-0.010984,-0.23394,-0.18648,-0.141,0.075743,-0.074511,-0.069614,-0.19537,0.095635,0.06895,-0.012145,-0.21056,-0.15464,-0.15231,-0.020869,0.035992,0.033057,-0.10738,-0.20815
17,-0.33929,0.041052,-0.016129,-0.17802,-0.032975,0.51824,0.21235,-0.18491,0.058968,0.15223,0.37646,0.28355,0.33479,0.27385,0.44784,0.399,0.013213,1,0.30854,0.16963,0.32997,0.43616,0.22831,0.21059,0.37506,0.37413,0.40794,0.28898,0.18399,0.10797,0.13094,0.18213,0.10964,0.21649,0.13337,0.10351,0.24354,0.15881,0.068044,0.26751,0.094917,0.33917,0.1223,-0.033231,0.044461,-0.23615,0.11905,0.26652,0.045947,-0.0028888,0.0085251,-0.11667,0.097836,0.13933,-0.15935,-0.07423,-0.01781,-0.25518,-0.045674,0.12763,0.012495,0.076964,-0.074809,-0.16596,-0.046839,-0.34083,-0.18443,-0.068243,-0.37864,-0.14703,-0.20694,0.087566,-0.12615,-0.32394,-0.050598,-0.32054,-0.20828,0.04268,0.01166,-0.087857,-0.01476
18,-0.23586,-0.17754,-0.059599,0.090738,0.089484,0.13842,0.0038135,0.080672,0.026328,0.14046,0.24279,0.15024,0.16031,0.11952,0.20116,0.041134,0.26483,0.30854,1,0.17872,0.28048,0.11388,0.051794,0.08198,0.1236,0.27885,0.27147,0.39705,-0.039668,0.18432,0.32705,0.020349,0.19753,0.22388,0.14423,0.26422,0.22933,0.062714,0.059415,-0.049844,0.34569,0.18579,-0.15281,0.24039,-0.10089,0.02157,-0.055694,0.25774,0.091115,0.021945,0.23026,0.046171,-0.21168,0.22991,-0.052105,-0.0094979,-0.017869,-0.04198,-0.061515,0.16277,0.15147,-0.11712,-0.064828,0.033718,-0.31535,0.15494,-0.18217,0.15829,-0.21246,0.0060485,0.20063,0.095308,-0.27121,0.014393,-0.18576,-0.26976,-0.2349,0.2994,-0.098202,-0.088944,-0.1245
19,0.0010416,-0.085042,-0.0048568,0.02341,-0.10087,0.033145,0.11457,0.21589,0.3845,0.41635,0.18898,0.21685,0.079711,0.21192,0.11264,0.27608,0.19037,0.16963,0.17872,1,0.10226,0.17715,0.14472,0.09426,0.022383,0.21878,0.26464,0.24723,0.0093232,0.17981,0.11499,0.091225,0.24433,-0.096262,0.032495,0.15142,0.020553,0.078267,0.29366,0.24023,0.44747,0.081223,0.052391,-0.11896,-0.044958,0.047389,0.00011483,-0.03713,-0.025241,0.054687,-0.088404,-0.035342,-0.039822,0.070154,0.35273,-0.059132,-0.0082304,-0.34552,0.018035,-0.00039749,0.17117,-0.11641,-0.0010917,-0.11617,0.02668,-0.18605,0.07323,-0.30796,-0.15344,-0.30943,-0.304,-0.10065,-0.24616,0.17893,-0.25403,-0.10983,-0.13314,-0.13654,-0.19446,-0.071796,-0.24325
