,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
10,0.87098,0.86923,0.82805,0.87654,0.86055,0.84295,0.91923,0.87031,0.79272,0.83939,1,0.85927,0.8409,0.86379,0.80592,0.81427,0.83007,0.83194,0.71815,0.82079,0.80895,0.84203,0.76476,0.8018,0.70819,0.73725,0.6013,0.78844,0.6181,0.6882,0.53988,0.75912,0.66253,0.68868,0.3758,0.52254,0.43937,0.57441,0.60648,0.5159,0.30274,0.3906,0.39936,0.53529,0.39959,0.26556,0.36032,0.25585,-0.01323,-0.033915,0.29881,0.28344,0.22552,0.32598,-0.12227,0.0077221,0.039741,0.11298,-0.061921,-0.33472,0.015715,-0.050497,0.010779,-0.13186,-0.19853,-0.16124,0.21105,-0.066027,0.12301,-0.14569,-0.099547,0.10466,-0.058083,0.17671,-0.17239,-0.046277,-0.2077,-0.036296,0.058021,-0.21211,-0.26497,-0.28189,0.002034,-0.068799,0.032442,-0.11351,-0.15109,-0.16686,0.19514,0.039391,0.11859,-0.058583,-0.093515,-0.10577,0.0043321,-0.094281,-0.017947,-0.19188,0.029983,-0.052754,-0.020304,0.15395,0.072857,0.34538,-0.19956,-0.053061,0.19814,0.12634,0.32539,-0.051682,0.10689,0.0071587,-0.031111,-0.1335,0.098553,0.090697,0.13332,0.1333,0.16289,-0.12619,0.10889,0.064779,0.079219,0.084012,-0.10233
11,0.87136,0.88302,0.85325,0.83367,0.87338,0.84257,0.86364,0.85405,0.84224,0.85213,0.85927,1,0.86997,0.87555,0.77178,0.85163,0.82295,0.82953,0.74299,0.77097,0.76056,0.81914,0.68269,0.82306,0.63529,0.76083,0.56492,0.72006,0.62572,0.68012,0.62835,0.76129,0.69499,0.64026,0.4156,0.57232,0.57473,0.55667,0.6045,0.4524,0.25148,0.43046,0.41131,0.49342,0.39836,0.18202,0.33065,0.26361,-0.10593,0.017256,0.19959,0.17448,0.22608,0.25516,-0.033357,0.11205,0.035906,0.071734,-0.031722,-0.1692,0.065739,-0.19858,0.031699,-0.26844,-0.17724,-0.11526,0.14417,-0.13046,0.02112,0.085403,-0.19135,0.050346,0.034553,0.20646,-0.14792,0.0525,-0.23851,-0.057844,0.02667,-0.065921,-0.27226,-0.20449,0.015627,-0.095665,0.057465,-0.022282,-0.054999,-0.12275,0.063917,0.029784,0.11681,-0.0491,-0.090078,-0.053508,0.025174,-0.040413,-0.06277,-0.19102,-0.1011,0.033951,0.028474,0.22046,0.025916,0.28449,-0.12652,-0.09512,0.12779,0.16419,0.19264,0.0053619,0.22525,-0.030182,-0.030957,-0.087534,0.016428,-0.02228,-7.6259e-05,0.12623,0.12405,-0.062013,0.11553,0.03336,0.15127,0.014336,-0.055206
12,0.8898,0.86642,0.85139,0.80605,0.90883,0.85254,0.84584,0.86797,0.84247,0.87596,0.8409,0.86997,1,0.83302,0.81987,0.84372,0.76169,0.79381,0.78657,0.7797,0.73266,0.75455,0.68352,0.79399,0.63437,0.74505,0.58117,0.70663,0.49381,0.70781,0.68483,0.69943,0.6922,0.5972,0.47215,0.38197,0.50658,0.50877,0.55664,0.51665,0.27082,0.50464,0.38476,0.62744,0.4256,0.33794,0.30837,0.26974,-0.12772,0.027485,0.26647,0.11151,0.35888,0.21786,-0.23673,0.10423,0.050552,0.1101,-0.030672,-0.31081,0.11869,-0.12736,0.0099405,-0.11143,-0.16424,-0.16567,0.1438,-0.14263,-0.002666,-0.066107,-0.1489,-0.039098,-0.085582,0.13465,-0.16553,-0.078525,-0.18528,-0.061673,0.0061271,-0.21065,-0.25411,-0.21341,0.0048948,-0.093907,-0.057548,-0.056574,-0.15798,-0.12746,0.11537,0.031782,-0.054295,-0.13729,0.0055305,-0.089386,0.099063,-0.10982,-0.15462,-0.24673,-0.12104,0.050425,0.0045001,0.36392,0.065056,0.15815,-0.22068,-0.11144,0.17856,0.16408,0.12907,0.11728,0.13329,-0.063314,-0.00034715,-0.13251,0.07807,-0.038888,0.069422,0.14899,0.0488,-0.078763,0.16687,0.013603,-0.0049685,0.090223,-0.15112
13,0.87003,0.85623,0.84953,0.85366,0.83478,0.86458,0.88325,0.8809,0.81925,0.87677,0.86379,0.87555,0.83302,1,0.83884,0.86439,0.79251,0.83464,0.67505,0.76174,0.85131,0.82529,0.67626,0.7412,0.68818,0.6919,0.56223,0.7566,0.54465,0.6241,0.54353,0.81282,0.65903,0.68833,0.39151,0.4128,0.59063,0.61855,0.62533,0.50202,0.20876,0.40558,0.4052,0.45855,0.44219,0.23,0.38991,0.27081,-0.16534,0.10293,0.12743,0.21893,0.32704,0.2135,-0.078198,0.16827,0.078114,0.18118,-0.084857,-0.22476,0.065664,-0.12066,0.11941,-0.21281,-0.1174,-0.1387,-0.037172,-0.13745,-0.041745,-0.065423,-0.074537,0.1367,-0.051508,0.11733,-0.0068495,0.016233,-0.10664,-0.018689,0.18881,-0.17139,-0.18639,-0.20405,0.050414,-0.020754,-0.10727,-0.036639,-0.085207,-0.30141,0.16178,0.0691,0.046266,0.055261,-0.034891,-0.10178,-0.026611,-0.12961,-0.046623,-0.21526,-0.11757,0.15617,0.040383,0.1701,0.18268,0.22513,-0.2033,-0.026049,0.09313,0.05496,0.21959,-0.057431,0.10729,0.0030294,0.064079,-0.16771,0.040983,-0.0019382,0.057545,0.16376,0.12685,-0.11287,0.097701,0.066958,0.084864,0.16269,-0.1387
14,0.78294,0.83094,0.83333,0.81995,0.80097,0.832,0.82294,0.84298,0.80974,0.82187,0.80592,0.77178,0.81987,0.83884,1,0.80872,0.72041,0.75718,0.76101,0.67678,0.76256,0.76245,0.70878,0.73245,0.62143,0.75964,0.60078,0.7555,0.56004,0.55954,0.55859,0.68107,0.6341,0.57059,0.39356,0.41319,0.45348,0.48588,0.56763,0.46262,0.26107,0.43015,0.36937,0.46883,0.53348,0.47861,0.24069,0.33285,-0.10816,0.0909,0.11828,0.20131,0.34442,0.21943,-0.2118,0.063868,0.21107,0.20568,-0.063119,-0.2364,-0.11319,-0.024326,0.076434,-0.085316,-0.19427,-0.14133,0.060385,-0.19502,-0.084337,0.016572,0.031876,0.071252,-0.094793,0.03057,0.0073907,-0.045083,-0.25152,-0.065798,0.11025,-0.19573,-0.23278,-0.31065,-0.036175,0.034626,-0.026671,-0.14539,-0.1159,-0.20192,0.1772,-0.0848,-0.1191,0.12803,-0.08343,-0.13009,0.098285,-0.15311,-0.008054,-0.18436,-0.10478,0.098725,0.10639,0.40553,0.17777,0.20113,-0.16359,-0.14235,0.21787,0.1214,0.16614,-0.080809,0.085976,-0.081686,0.088,-0.25873,-0.072785,0.061776,0.039863,0.22572,0.0031121,-0.26719,0.056523,0.013478,-0.067222,0.088894,-0.28689
15,0.83329,0.84143,0.88548,0.80282,0.83403,0.86067,0.83657,0.88244,0.82366,0.90727,0.81427,0.85163,0.84372,0.86439,0.80872,1,0.84565,0.81931,0.70959,0.79908,0.73724,0.79206,0.69362,0.79621,0.61018,0.71462,0.64446,0.74806,0.5288,0.65244,0.55166,0.7449,0.621,0.67024,0.49733,0.40267,0.50811,0.52632,0.70257,0.58115,0.21588,0.37873,0.40252,0.54287,0.40016,0.32533,0.43119,0.20958,-0.17877,0.11796,0.22658,0.13834,0.34691,0.18211,-0.095811,0.10328,0.10964,0.11727,-0.045425,-0.20582,0.11174,0.056935,0.055046,-0.12886,-0.082264,-0.010954,0.11882,-0.11023,0.11193,0.0091606,-0.093941,0.12391,-0.044612,0.063726,-0.209,0.071102,-0.10193,0.080386,0.059533,-0.049366,-0.16676,-0.12061,-0.019855,0.077603,0.044418,-0.13502,-0.12242,-0.1698,0.1129,0.05645,0.018115,0.08788,-0.14565,-0.18313,-0.08104,-0.21897,-0.033603,-0.22227,-0.051013,0.033481,0.045685,0.26566,0.12938,0.17435,-0.063838,0.065653,0.068936,0.090408,0.17186,-0.030667,0.11432,-0.097182,0.16211,-0.21344,-0.061469,0.13165,0.049282,0.037751,0.10483,-0.075502,0.10644,0.074499,0.0060337,0.054683,-0.19807
16,0.78684,0.80982,0.83321,0.79736,0.76152,0.7828,0.81754,0.828,0.77387,0.86904,0.83007,0.82295,0.76169,0.79251,0.72041,0.84565,1,0.74587,0.57577,0.77302,0.75629,0.73239,0.71074,0.83859,0.69712,0.73996,0.57454,0.75618,0.5805,0.53199,0.56362,0.7289,0.58557,0.60797,0.39756,0.51313,0.53548,0.46106,0.65093,0.48468,0.20086,0.30614,0.44747,0.49533,0.39412,0.24991,0.3986,0.13823,-0.044407,0.064611,0.21643,0.18536,0.22344,0.32117,-0.10025,0.11238,0.19982,0.11371,-0.10509,-0.17661,0.18709,0.024302,0.082732,-0.1524,-0.19075,0.0018955,0.11866,-0.059514,0.19366,-0.066964,-0.08688,-0.036268,-0.044126,0.079397,-0.10797,0.069114,-0.1113,0.14572,0.047647,-0.11909,-0.17583,-0.16977,0.090292,-0.011499,0.031674,-0.19173,0.027779,-0.14252,0.13582,0.042637,0.0064131,-0.062472,-0.07141,-0.1737,-0.02376,-0.11801,-0.055178,-0.1691,0.023951,0.058846,-0.11089,0.15441,0.22485,0.28533,-0.13909,0.010305,0.10965,0.21568,0.39215,-0.033925,0.10797,-0.065772,-0.11076,-0.076703,0.0069676,0.16945,-0.011346,0.11068,0.18217,-0.035734,0.098516,0.063011,0.093225,-0.022272,-0.17534
17,0.82817,0.8009,0.7924,0.79605,0.76944,0.78566,0.81672,0.79912,0.7835,0.79636,0.83194,0.82953,0.79381,0.83464,0.75718,0.81931,0.74587,1,0.70451,0.71229,0.73277,0.81009,0.66131,0.77436,0.57382,0.69035,0.56699,0.71047,0.54626,0.61864,0.53622,0.76718,0.64025,0.61864,0.39343,0.47837,0.45,0.50033,0.58395,0.56172,0.25134,0.38444,0.43959,0.54397,0.35057,0.25864,0.35762,0.18327,-0.084446,-0.033937,0.16814,0.28037,0.25723,0.30518,-0.23221,0.12961,0.081138,0.013491,-0.065199,-0.21159,0.050828,-0.047727,0.053395,-0.16561,-0.14711,-0.10765,0.13766,-0.10416,0.052141,-0.062927,-0.017658,0.087547,-0.050026,0.22592,-0.093978,0.12604,-0.14667,0.074173,0.11771,-0.24473,-0.28762,-0.11216,0.040839,-0.090297,-0.1448,-0.066523,-0.19749,-0.19246,0.12309,-0.031943,0.06949,0.077643,-0.057409,0.032495,-0.0031713,-0.1954,-0.0016151,-0.11407,0.12364,-0.10528,-0.0030391,0.25039,0.20775,0.3783,-0.15494,-0.015346,0.11509,0.12359,0.18442,0.016659,0.047376,-0.054281,0.0092389,-0.19535,-0.022725,-0.0058502,0.041083,0.12153,0.063043,-0.08519,0.087164,0.22557,-0.012429,0.068476,-0.14715
18,0.78365,0.77955,0.66542,0.7774,0.77085,0.76819,0.76824,0.71897,0.78268,0.71913,0.71815,0.74299,0.78657,0.67505,0.76101,0.70959,0.57577,0.70451,1,0.66583,0.69059,0.70234,0.6891,0.68813,0.52692,0.67861,0.50327,0.52428,0.49127,0.60901,0.53838,0.50247,0.68592,0.55763,0.5242,0.45875,0.37154,0.44301,0.47396,0.46392,0.23093,0.39818,0.2643,0.55852,0.4176,0.34088,0.34035,0.23391,-0.076581,-0.011137,0.21885,0.1723,0.2601,0.15513,-0.28982,-0.01347,0.030873,0.023479,0.026374,-0.29242,-0.035595,-0.10464,-0.093376,-0.17535,-0.17353,-0.21468,0.22158,-0.099726,-0.013199,-0.054541,-0.11825,-0.045633,-0.11331,0.025541,-0.082904,0.12366,-0.385,0.0014218,-0.21806,-0.13902,-0.31221,-0.22534,-0.11622,-0.029327,-0.039498,-0.10879,-0.24665,-0.20389,0.13866,-0.13108,0.027467,0.054333,0.16414,0.10142,0.0511,-0.1281,-0.04216,-0.1322,0.067971,-0.078155,0.0035224,0.3153,-0.057362,0.22829,-0.25082,-0.11215,0.05252,0.154,0.099561,0.071724,0.20476,-0.033872,0.10364,-0.076109,-0.024603,-0.090469,-0.0657,-0.029369,-0.0038339,-0.2015,-0.05751,0.079606,-0.12987,-0.072412,-0.13201
19,0.8481,0.79943,0.84045,0.75333,0.74729,0.81742,0.80766,0.80291,0.73867,0.82939,0.82079,0.77097,0.7797,0.76174,0.67678,0.79908,0.77302,0.71229,0.66583,1,0.701,0.79167,0.74714,0.73624,0.55104,0.7026,0.52592,0.68231,0.53365,0.68901,0.6147,0.63007,0.63308,0.66332,0.38525,0.51872,0.37459,0.50221,0.58549,0.49877,0.32982,0.4743,0.40296,0.60378,0.29771,0.37462,0.42096,0.11533,-0.16393,0.05446,0.22463,0.27936,0.26164,0.20989,-0.070717,0.1191,-0.1727,0.032678,-0.053276,-0.26831,0.12377,-0.062499,-0.016729,-0.14441,-0.10134,0.023676,0.16333,-0.17,0.14463,-0.020101,-0.064027,0.054214,-0.068149,0.2373,-0.21269,-0.056945,-0.11803,0.028161,-0.14316,-0.055857,-0.25045,-0.28539,0.051086,0.041986,0.17641,-0.12174,-0.090987,-0.24459,0.19894,0.073512,0.16154,0.021601,0.055083,-0.022223,0.023069,-0.1674,-0.28104,-0.22981,-0.13307,0.018216,0.21239,0.27351,0.17316,0.12205,-0.094597,0.016243,0.25834,0.11033,0.15832,-0.01017,0.24877,0.067322,-0.0083682,-0.091671,-0.025447,0.065693,0.051391,-0.071441,0.18858,-0.076802,0.16478,0.16163,0.052182,-0.12722,-0.19113
