,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
10,0.66946,0.43167,0.57669,0.5659,0.51176,0.56777,0.51868,0.61045,0.58383,0.50298,1,0.54183,0.51558,0.37124,0.35565,0.52871,0.60608,0.2229,0.25709,0.51702,0.35451,-0.092667,-0.21226,0.18535,-0.12888,0.20798,0.078668,-0.24124,0.049491,-0.19943,-0.29865,0.051211,-0.075436,-0.073868,-0.33977,0.022336,-0.37185,-0.10927,-0.057787,-0.044306,-0.21117,0.039971,-0.41784,-0.12769,-0.2395,-0.12522,-0.2303,-0.16397,-0.14952,-0.040618,-0.27172,-0.18814,-0.22027,-0.10742,-0.16257,-0.25793,0.10038,-0.39455,-0.0053137,0.036312,-0.039885,-0.026897,-0.15571,-0.1611,-0.15832,-0.22703,-0.12403,0.20136,-0.027896,-0.053054,0.022914,-0.193,0.19106,-0.113,-0.0058534,-0.26743,0.11084,0.080661,-0.053335,-0.13938,0.2973,-0.2972,0.00017847,0.02392,-0.0016908,0.064334,0.25165,0.19193,0.16311,0.28213,0.070184,0.16182,0.028553,-0.24547,0.084938,0.18693,-0.16316,-0.032501,0.16558,-0.12206,-0.09026,0.3149
11,0.80035,0.78776,0.77402,0.77306,0.61654,0.69622,0.78509,0.7879,0.76621,0.63038,0.54183,1,0.54973,0.59619,0.42961,0.37791,0.46528,0.29046,0.41779,0.60009,0.054395,0.31281,-0.025911,0.013847,0.051627,0.047754,-0.11553,-0.14936,0.18139,-0.17021,-0.31161,-0.19043,-0.21555,0.13032,-0.26218,-0.32415,-0.15662,-0.28284,-0.47457,-0.13351,-0.1824,-0.26352,-0.3635,0.090485,-0.30492,-0.23945,-0.23711,-0.25577,-0.33281,-0.23944,-0.38158,-0.068896,0.0018033,-0.042942,-0.1885,-0.41004,0.087995,-0.06167,0.089166,-0.14263,0.0052952,0.073926,-0.21144,-0.19319,-0.14824,0.10299,-0.13777,0.076943,0.010126,0.07733,-0.1218,-0.19444,0.20824,-0.25124,-0.076985,-0.1779,-0.023938,-0.16981,0.058939,-0.10162,0.2693,-0.15233,0.023101,0.029261,0.16902,0.27717,0.0064764,0.15706,-0.012459,0.17608,0.16915,0.19583,0.12617,0.03432,0.16732,0.079734,0.0080568,0.042162,0.12826,-0.0031261,0.16249,0.31118
12,0.54469,0.56307,0.52515,0.61903,0.43957,0.51274,0.56994,0.59507,0.60069,0.55929,0.51558,0.54973,1,0.31295,0.3129,0.20989,0.40298,0.19375,0.2983,0.31131,0.22427,0.16928,-0.11525,0.24048,0.15132,-0.0030164,0.059759,0.14853,0.083277,-0.1307,-0.13807,-0.1069,-0.052312,0.20101,-0.059768,-0.11923,-0.1265,-0.15845,-0.015614,0.014045,-0.14759,-0.26034,-0.44117,-0.034807,-0.29563,0.050128,-0.22703,-0.11499,-0.2115,-0.016357,-0.25345,-0.1003,0.16394,-0.0034901,-0.17431,-0.2177,0.19848,-0.16398,0.030184,-0.034563,-0.13393,-0.020512,-0.030846,0.0047885,-0.3725,-0.2013,-0.017432,0.06851,-0.097912,-0.16047,-0.25846,-0.10497,0.25394,-0.05781,-0.077504,-0.22275,0.13154,-0.084696,0.13214,-0.13244,0.31405,-0.1849,0.13459,0.10062,0.19009,-0.060592,0.18868,0.060258,0.046227,0.15569,0.12154,0.26585,0.035983,-0.028132,0.17922,0.15245,-0.24242,0.013004,0.19568,-0.24144,0.10795,0.44894
13,0.63106,0.55481,0.67066,0.65268,0.59512,0.54966,0.44414,0.46372,0.52336,0.39373,0.37124,0.59619,0.31295,1,0.29265,0.30805,0.37695,0.38105,0.33552,0.34466,0.15382,0.22318,0.1152,0.15795,-0.15675,-0.10918,0.01647,-0.16594,0.11719,-0.17153,-0.02092,-0.19191,-0.19446,-0.022857,0.00047321,-0.24507,-0.12836,-0.36984,-0.2195,-0.18495,-0.15207,-0.25796,-0.12951,-0.09948,-0.12178,-0.016543,-0.16189,0.028872,-0.28057,-0.10331,-0.32986,-0.073156,0.046082,-0.1654,0.055631,-0.40986,-0.1218,-0.010998,0.11926,-0.2087,-0.054279,0.090376,-0.34274,-0.066114,-0.1193,0.033734,-0.24488,0.10001,0.15214,-0.094386,-0.39853,-0.26657,-0.099028,-0.03213,0.10598,-0.13588,-0.1506,0.080654,-0.19474,-0.11059,0.22132,-0.14664,-0.19835,-0.16747,0.20666,0.072852,-0.085552,0.35863,0.07569,0.20255,0.10904,0.035483,0.069347,0.066969,0.12924,0.071501,-0.0014689,-0.069494,0.017705,-0.14172,0.022257,0.22953
14,0.5597,0.43507,0.50411,0.43213,0.49162,0.36503,0.52817,0.46193,0.43366,0.52905,0.35565,0.42961,0.3129,0.29265,1,0.26327,0.10614,0.17869,0.036769,0.32823,0.35861,0.1887,0.14257,-0.077159,0.022837,-0.038546,0.1725,0.035105,0.01405,-0.23633,-0.16839,-0.057955,-0.24777,-0.14201,-0.064562,-0.088405,-0.16497,-0.17927,-0.036313,-0.40546,-0.53431,-0.13769,-0.21384,0.09624,-0.14768,-0.058911,-0.12521,-0.12796,-0.32352,-0.12154,-0.25238,-0.2045,0.02057,-0.18129,-0.074682,-0.35102,0.092392,-0.060446,-0.10761,-0.20766,0.067317,0.0041522,-0.16125,-0.053154,-0.023407,-0.047986,-0.036808,0.068839,-0.088623,-0.044161,-0.030972,-0.07234,0.24878,-0.17335,-0.064533,-0.17139,0.023182,-0.2942,0.086705,0.10242,0.058429,-0.040576,-0.16871,-0.029103,-0.14283,0.21219,0.20874,-0.12246,0.067306,-0.15349,0.002414,-0.095354,0.12546,-0.12739,0.25743,0.10584,0.24495,0.13389,-0.015223,-0.0061015,0.061614,0.1623
15,0.45306,0.23088,0.43519,0.40134,0.28038,0.29702,0.37082,0.44492,0.25105,0.32164,0.52871,0.37791,0.20989,0.30805,0.26327,1,0.42303,0.21033,0.23568,0.46032,0.38343,-0.045308,0.10133,0.028943,-0.18664,0.12557,-0.023094,-0.24551,0.044459,-0.1276,0.057025,-0.10217,-0.011557,-0.20989,-0.26209,-0.14116,-0.32526,0.039098,-0.089178,-0.08778,0.02293,0.08552,-0.050358,-0.041996,-0.14756,-0.16802,-0.099337,-0.15569,0.095707,0.079148,-0.18459,-0.12174,-0.20152,-0.015711,-0.073829,-0.19906,-0.04609,-0.27157,0.026863,0.08012,0.2525,0.23774,-0.3276,0.0058595,-0.1109,0.019052,-0.19285,0.08062,-0.14391,0.1306,0.088531,-0.108,0.081273,-0.039014,0.13017,-0.078951,-0.063598,-0.09558,-0.15169,-0.13325,0.12978,-0.41438,0.13112,0.32869,-0.041029,-0.0034434,0.049637,0.16381,0.29431,0.1892,0.16057,0.30185,0.013665,-0.083314,-0.050054,-0.091835,-0.17354,-0.19163,-0.096533,-0.10513,0.028323,0.31705
16,0.47706,0.46638,0.48703,0.52306,0.47238,0.43568,0.41326,0.50553,0.62721,0.45836,0.60608,0.46528,0.40298,0.37695,0.10614,0.42303,1,0.15459,0.27726,0.36562,0.29604,0.27669,0.048855,0.13007,-0.050699,0.077612,0.076721,-0.036817,0.058913,-0.030138,-0.10237,-0.1096,0.14925,0.039936,-0.22757,-0.0059726,-0.28748,-0.013649,-0.035329,0.017175,0.070715,-0.064911,-0.32519,0.039223,-0.10225,-0.072624,-0.099127,-0.062806,0.16446,-0.21216,-0.20925,-0.13481,-0.1508,-0.0027337,-0.017285,-0.19552,0.17608,-0.193,0.19023,0.00060529,-0.029492,0.22634,-0.047138,-0.18357,-0.099204,-0.17142,-0.19178,0.12763,0.204,0.091102,-0.20518,0.03864,0.40354,-0.040413,-0.1626,-0.029836,0.24402,0.072271,0.095387,-0.1782,0.34799,-0.08941,-0.04059,0.27016,0.19233,-0.07471,-0.20309,0.35266,0.15573,0.34814,0.16631,0.26751,0.0056483,-0.039704,-0.15476,0.12405,-0.093179,-0.067349,0.28873,-0.044034,0.11718,0.20431
17,0.37722,0.19721,0.35553,0.23213,0.30371,0.16677,0.32615,0.21755,0.1569,0.2553,0.2229,0.29046,0.19375,0.38105,0.17869,0.21033,0.15459,1,-0.042894,0.32475,0.22698,0.20556,-0.14838,0.017572,0.044702,0.017797,0.19002,-0.048378,-0.04271,0.013784,-0.21542,-0.067624,0.040655,0.053844,0.071293,-0.13093,0.083514,-0.11382,-0.096283,0.088037,0.038298,-0.0062117,0.041829,-0.20784,-0.013408,-0.1639,-0.14743,0.11805,-0.34093,0.29983,-0.26092,0.0049142,-0.013029,-0.17959,-0.18759,0.066837,0.14953,0.045972,-0.23346,-0.012528,0.11837,0.094962,-0.27388,0.12941,-0.14064,-0.037912,-0.37004,0.32447,0.13113,0.10843,-0.0029082,-0.22253,0.040663,-0.093924,0.25832,-0.083235,0.036696,-0.044853,-0.084958,-0.023191,0.16978,-0.046138,-0.028388,-0.093959,0.1575,0.19241,-0.0068819,-0.01716,0.0324,0.036818,0.015006,0.013863,0.31843,-0.17416,0.014662,0.14616,0.11385,0.025593,0.014278,-0.37849,0.12462,0.14122
18,0.26839,0.39994,0.36719,0.47357,0.18505,0.43035,0.35511,0.31607,0.32207,0.29043,0.25709,0.41779,0.2983,0.33552,0.036769,0.23568,0.27726,-0.042894,1,0.32309,0.030164,0.17059,-0.055316,0.014999,-0.24199,0.19191,-0.19197,-0.37304,0.069504,-0.061409,0.04852,-0.18409,-0.24552,0.067409,-0.1239,-0.27237,6.0876e-05,0.069345,-0.23053,-0.20373,-0.076941,-0.13384,-0.021767,0.15581,-0.18901,-0.15282,-0.12602,-0.17716,-0.24961,-0.20132,0.018955,0.0015685,0.071074,0.084471,-0.1708,-0.077806,-0.084602,0.018457,0.018623,0.26908,0.15623,-0.31135,-0.12543,0.046317,-0.30953,0.037343,0.061026,-0.28835,0.21087,0.053471,-0.22791,-0.24045,0.13664,-0.062546,-0.03065,-0.1234,-0.23419,0.11352,0.0019173,0.10628,0.33526,-0.12508,-0.010311,0.079252,0.058519,-0.17146,-0.17327,0.015909,0.065187,0.018144,0.072213,0.23127,0.024592,0.27098,0.078613,-0.0096438,0.041816,0.044258,0.084185,-0.11912,0.078005,0.14316
19,0.53148,0.53187,0.45476,0.48147,0.38842,0.50949,0.66764,0.57822,0.40913,0.45031,0.51702,0.60009,0.31131,0.34466,0.32823,0.46032,0.36562,0.32475,0.32309,1,0.23814,0.16112,-0.037319,0.1647,-0.11333,0.045968,-0.20241,-0.065111,0.080048,-0.25835,-0.051101,-0.10356,0.042008,-0.1139,-0.15434,-0.28452,-0.13908,-0.042462,-0.25812,-0.14103,-0.19584,0.030281,-0.41783,0.12047,-0.08604,-0.4811,-0.16192,-0.0094935,-0.15067,-0.10355,-0.26274,-0.097972,-0.14061,-0.017433,-0.031835,-0.16984,-0.051952,-0.047696,0.23368,-0.024982,0.057112,0.049093,-0.1089,-0.076134,-0.11303,0.046267,0.073554,0.063092,-0.022392,0.060107,-0.0054826,-0.12774,0.064161,-0.22202,0.0383,-0.20272,-0.1867,-0.046379,0.0068779,0.061783,0.20076,-0.17149,-0.048973,0.041028,-0.040266,0.31903,-0.040925,0.033318,-0.21445,0.039809,0.24996,0.37435,0.17318,-0.073593,0.071193,0.13483,0.063929,-0.020901,0.013133,-0.0097227,0.051434,0.20178
