,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
10,0.66351,0.66912,0.62464,0.64858,0.76192,0.68313,0.62832,0.61572,0.61849,0.55959,1,0.37437,0.62754,0.40355,0.25239,0.11668,0.12311,0.52156,0.21955,0.35717,0.1122,0.24236,0.065797,0.20209,-0.026887,0.28665,0.03602,-0.021988,-0.31446,0.027605,-0.15679,-0.16461,-0.11234,-0.34314,-0.033163,-0.16219,-0.191,-0.29827,-0.43637,-0.21194,-0.30312,-0.015312,-0.32283,0.036222,-0.18579,-0.31701,-0.061813,-0.18851,0.017703,-0.33828,-0.21247,0.15385,-0.19152,0.015653,-0.0092112,0.020369,-0.13447,-0.11511,0.15579,0.018487,0.0097822,0.034587,-0.10573,-0.050028,0.055389,0.02592,-0.21743,0.12991,0.32845,-0.28205,0.2529,-0.28787,-0.021231,-0.16003,-0.022867,0.29375,0.038449,0.19586,-0.23457,-0.17568,-0.018282,-0.39466,0.2297,-0.18047,-0.19518,0.22152,-0.24158,0.04374,0.074436,0.13823,0.057763,-0.32105,0.088757,0.11572,0.13539,-0.11656,-0.028838,0.078101,-0.043992
11,0.38904,0.34411,0.42182,0.3905,0.32649,0.29021,0.3192,0.2166,0.30624,0.25947,0.37437,1,0.46507,0.30829,0.078072,0.26073,-0.078658,0.16414,0.35955,-0.030558,-0.15968,-0.019341,-0.038876,0.19265,-0.027045,0.046999,0.031103,0.025769,-0.14808,-0.0042889,0.1414,-0.020103,0.07371,0.14925,-0.1065,0.20345,0.010664,-0.28568,-0.3573,-0.27666,-0.18433,-0.070826,-0.08005,-0.091928,-0.11528,-0.24264,-0.25869,-0.24951,0.18095,-0.0083579,-0.17292,-0.20023,-0.45146,-0.14891,-0.027636,-0.14864,0.16165,-0.20561,-0.049365,-0.088329,0.093507,-0.16953,-0.1995,-0.11419,0.23679,0.30401,-0.26607,-0.21572,0.075024,-0.093418,0.023942,0.20848,-0.20704,-0.17819,0.12089,0.28973,0.32586,0.33444,-0.1955,-0.10551,-0.2812,-0.11718,0.0072754,-0.18775,0.043953,-0.28031,-0.11697,-0.080095,0.19941,-0.015123,-0.044446,0.040394,0.060755,0.043494,0.084164,0.065465,0.22654,-0.24387,-0.069122
12,0.70046,0.63792,0.62066,0.64244,0.58089,0.6393,0.40667,0.49984,0.60179,0.43967,0.62754,0.46507,1,0.36424,0.23671,0.29015,0.22402,0.46657,0.32481,0.25407,0.091055,-0.01903,-0.02256,0.19452,-0.13236,0.11134,-0.053604,-0.048562,-0.29309,-0.11628,-0.17947,-0.19839,0.041494,-0.049504,-0.12151,-0.060516,-0.21631,-0.32049,-0.34105,-0.19258,-0.099355,-0.047148,-0.20826,-0.26853,-0.28639,-0.38537,-0.35427,-0.18873,-0.10953,-0.21622,-0.28687,0.13473,-0.38795,-0.22212,-0.039128,0.11623,-0.17872,-0.20483,-0.068228,-0.1559,0.1568,0.065674,-0.14288,-0.056333,0.080018,0.331,-0.48437,-0.060254,0.25962,-0.18006,0.14057,0.033586,-0.20401,-0.20994,0.15583,0.013876,0.0067268,0.26992,-0.19091,-0.048526,-0.092322,-0.29603,0.28305,0.010099,-0.089578,-0.18347,0.02166,0.017596,0.011799,0.14448,-0.067996,-0.22447,0.0035643,0.011747,0.27302,0.10673,0.32398,-0.10898,0.080046
13,0.60069,0.53378,0.40347,0.50802,0.57025,0.5291,0.5991,0.44027,0.45143,0.47142,0.40355,0.30829,0.36424,1,0.45527,0.17969,0.32436,0.15154,0.39745,0.28767,0.05897,0.053776,-0.031702,0.29009,-0.22043,0.0088292,-0.22514,-0.12512,-0.54186,-0.046002,-0.31285,0.009918,-0.2229,-0.098899,-0.32871,-0.14367,0.011504,-0.15264,-0.21262,-0.33114,-0.040151,0.017661,0.11602,-0.12215,-0.24045,-0.37238,-0.15119,-0.4761,-0.22924,-0.35289,-0.25206,-0.18675,-0.076505,-0.15814,-0.16512,0.038263,-0.043542,-0.080354,0.086201,-0.21068,0.08729,-0.0086943,0.023792,-0.14348,0.13868,-0.033926,-0.24112,0.15766,0.3883,-0.40619,0.21314,0.11698,-0.033862,-0.11185,-0.074437,0.12235,-0.014388,-0.075328,-0.22067,-0.24971,-0.042816,-0.21804,0.29342,-0.055786,0.051012,-0.32401,-0.17281,0.068826,0.011897,-0.17252,0.17499,-0.04378,0.17623,0.24265,0.091263,0.061032,0.052308,-0.26311,-0.015994
14,0.54294,0.44905,0.4103,0.30071,0.38767,0.46063,0.51613,0.6535,0.36384,0.52414,0.25239,0.078072,0.23671,0.45527,1,0.18054,0.32833,0.036458,0.068767,0.31946,0.20307,0.1416,-0.26016,0.32807,-0.07345,0.15072,-0.015796,-0.21458,-0.51791,-0.1039,-0.1624,-0.070226,0.017231,-0.32887,-0.28138,-0.42676,-0.077763,-0.30335,-0.2236,-0.31891,-0.058083,-0.19946,0.06865,-0.060725,-0.052163,-0.56443,-0.05448,-0.48816,-0.18509,-0.22383,0.083571,-0.11478,-0.21401,-0.15599,-0.12299,-0.02165,-0.31648,0.045418,0.36619,0.061765,0.2687,0.078665,0.1433,-0.1533,0.035322,-0.11123,0.083772,0.25822,0.23645,-0.28453,0.33773,0.24621,0.1325,-0.058754,0.20227,-0.02656,-0.020183,-0.023491,-0.027342,-0.25887,0.31495,0.068896,0.35093,0.048577,-0.03271,-0.27058,-0.080544,-0.035911,0.12846,0.011824,0.17577,0.12051,0.13607,0.014495,0.0043755,0.034609,0.056138,-0.085832,-0.0562
15,0.37087,0.34133,0.32895,0.37676,0.34844,0.25588,0.25415,0.19868,0.36181,0.39452,0.11668,0.26073,0.29015,0.17969,0.18054,1,0.056019,-0.020374,-0.018548,0.095713,-0.036686,-0.17425,0.16228,0.10762,0.018946,-0.14321,-0.020695,-0.006803,-0.13138,-0.019715,-0.16119,-0.087809,-0.32576,-0.12155,-0.049523,-0.037449,-0.25302,-0.21356,0.26945,-0.26331,-0.14987,-0.35877,0.1548,-0.51679,0.052728,-0.21085,-0.3473,-0.18089,-0.24333,-0.079522,-0.0043725,-0.30328,-0.27258,-0.088329,-0.072357,-0.029444,0.041665,-0.059354,-0.069786,-0.045556,0.057858,-0.17426,-0.023053,0.17822,0.031673,0.16484,-0.40108,-0.10806,-0.0197,0.044461,-0.20308,-0.08317,-0.29342,-0.10119,0.12494,-0.14542,-0.16247,0.2938,0.1056,-0.36416,-0.016278,-0.24366,0.16721,-0.084109,-0.10274,-0.045142,0.13537,0.20459,-0.10354,0.14464,0.22653,-0.038261,-0.21706,0.073547,0.066329,-0.14275,0.016125,0.029342,0.04566
16,0.25972,0.15254,0.26234,0.33088,0.21257,0.41986,0.22905,0.37055,0.21932,0.25627,0.12311,-0.078658,0.22402,0.32436,0.32833,0.056019,1,0.10844,0.22545,0.071593,0.33959,0.0044822,-0.13357,0.042819,-0.082906,0.07737,0.088445,-0.23916,-0.28905,0.063439,-0.093821,0.26476,-0.14207,-0.095539,-0.32502,-0.27317,0.045209,0.0068169,-0.088822,-0.061382,-0.22509,0.042742,0.0049174,-0.10099,0.026756,-0.12608,0.19445,-0.20063,-0.20776,0.050092,-0.11705,0.066804,-0.022939,-0.20923,-0.29887,0.39486,0.11889,-0.0046642,0.0029612,-0.1121,-0.10742,-0.111,0.038887,-0.15491,-0.044006,-0.20168,0.10349,-0.068572,0.051092,-0.27428,0.14743,0.10239,0.018517,0.026431,-0.25785,-0.13448,-0.043721,-0.36461,0.18092,-0.0082045,0.16978,0.080691,0.30105,0.2108,-0.06178,-0.018372,0.092466,0.0041783,0.17113,0.061422,0.10525,0.033558,0.12953,0.0074194,0.012867,-0.012154,0.053382,0.13934,0.055304
17,0.42082,0.40445,0.53896,0.3551,0.52684,0.41812,0.31084,0.53741,0.44555,0.29712,0.52156,0.16414,0.46657,0.15154,0.036458,-0.020374,0.10844,1,0.23008,0.15609,0.040638,0.11353,0.077619,0.073796,0.07914,0.00012529,0.046525,-0.043453,-0.12034,-0.1377,-0.11552,-0.14412,0.030403,-0.0026186,0.071021,0.073936,-0.26033,-0.023909,-0.39943,0.013068,-0.084746,0.013706,-0.24078,0.086333,-0.15512,-0.0023313,-0.035505,-0.02965,-0.15884,-0.38093,0.038614,0.16001,-0.071403,-0.058021,0.20324,0.082508,-0.0065137,-0.15237,-0.041549,0.046318,0.081192,0.22934,0.10699,-0.14979,0.04166,0.18222,-0.14648,0.0015307,0.19239,-0.043204,0.24023,0.070926,-0.03661,-0.24017,-0.036224,0.13133,0.0090644,0.16234,0.12446,-0.069421,-0.12209,-0.36687,0.20072,0.19078,0.02667,0.18801,0.15098,-0.26894,-0.12398,0.13588,-0.10289,-0.17232,0.084878,0.1839,0.07239,0.0048011,0.11452,-0.051249,0.043866
18,0.3912,0.31345,0.28218,0.36219,0.39197,0.2849,0.2946,0.27964,0.20291,0.159,0.21955,0.35955,0.32481,0.39745,0.068767,-0.018548,0.22545,0.23008,1,0.14305,0.094877,0.0096691,0.13864,-0.074888,0.031449,0.075999,0.070307,0.086437,-0.1996,-0.21434,0.097486,-0.29766,-0.10422,0.046371,-0.28307,-0.0053642,-0.24914,-0.0276,-0.13703,-0.0061978,-0.1802,0.095646,-0.12467,-0.30223,-0.021599,-0.37072,-0.29821,-0.15491,-0.037756,-0.11106,-0.33267,0.011229,-0.24675,-0.058453,-0.16911,0.09099,-0.20912,-0.156,-0.14303,-0.037672,-0.24596,-0.13858,0.15041,-0.1498,0.13725,0.19313,-0.12757,-0.15628,-0.17284,-0.29469,-0.067821,0.28588,-0.015491,-0.26335,0.067366,0.054122,-0.055534,-0.21005,-0.085512,-0.14454,-0.11335,-0.013978,0.1521,0.029219,0.01984,0.09986,-0.18749,-0.062377,0.036846,-0.13633,-0.17539,-0.23955,0.16078,0.28649,0.1083,-0.048409,-0.12357,-0.02454,-0.10024
19,0.53336,0.52154,0.26333,0.39863,0.35428,0.35636,0.40886,0.41207,0.3671,0.3347,0.35717,-0.030558,0.25407,0.28767,0.31946,0.095713,0.071593,0.15609,0.14305,1,0.19242,0.13042,-0.08172,-0.060245,-0.032873,0.14201,-0.15699,0.040672,-0.26034,0.035076,-0.14058,-0.10625,-0.17182,-0.24811,-0.26266,-0.43291,-0.36442,-0.1492,-0.32243,-0.018779,-0.1067,-0.074402,-0.19478,-0.35598,-0.22114,-0.46074,-0.0045094,-0.19979,0.1552,-0.13285,-0.14137,-0.079441,-0.037255,-0.061545,-0.21245,-0.065095,-0.13963,-0.2922,0.19306,-0.067848,0.12712,-0.052425,-0.044615,-0.03208,0.0083874,0.16134,-0.16604,0.274,0.18316,-0.25515,-0.14227,-0.10473,-0.079723,0.0038327,-0.018193,-0.030736,-0.14748,-0.037997,0.048823,-0.38276,0.248,-0.30243,0.21164,-0.030235,-0.055862,0.22196,0.090844,0.05227,0.0039104,0.08136,-0.084567,-0.16888,-0.0132,0.17407,-0.058,0.03674,0.045964,0.36843,0.14674
