,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
10,0.22591,0.12527,0.16814,0.22537,0.30208,0.14111,-0.04417,0.33446,0.16257,0.060654,1,0.19793,0.32876,0.34143,-0.056432,0.47163,0.21095,0.24738,0.33831,0.17883,-0.033315,0.18179,0.12887,-0.052564,0.12771,0.14255,0.18116,0.25435,0.19691,0.083368,0.28633,0.28971,0.25255,0.19379,-0.34438,0.1039,-0.07212,-0.02839,0.042843,0.22946,-0.017644,-0.12936,0.19003,-0.12373,0.19027,-0.099868,-0.12037,0.26602,-0.1424,0.18218,-0.14708,0.39937,-0.18261,0.039919,-0.043795,-0.33802,-0.18122,0.0021539,-0.11767,0.24965,0.016045
11,-0.054935,-0.042003,0.12151,0.33036,0.097458,0.38503,0.11671,0.2629,0.33858,0.21298,0.19793,1,0.20628,0.20948,0.4593,0.15425,0.36419,0.48748,0.22061,0.38651,0.11329,0.16058,0.16561,-0.08123,0.047788,-0.033909,0.11927,0.38875,0.20199,0.052919,0.28245,0.32152,0.07505,0.048389,-0.098763,0.1579,0.32568,0.14064,0.31034,0.21914,-0.11379,0.076314,0.097887,-0.13487,0.057678,-0.20065,-0.14053,0.11177,-0.068359,0.096997,-0.096127,0.16431,-0.064862,0.16056,-0.095344,0.055199,-0.2066,-0.13556,-0.21807,0.34487,-0.13387
12,0.24285,0.1189,0.021097,0.14049,0.12527,-0.15519,0.10791,0.34534,-0.072157,0.069986,0.32876,0.20628,1,0.11273,0.15521,0.3662,0.19276,0.40897,0.22956,0.051708,0.29299,0.21516,0.087531,0.038181,0.11339,0.25551,0.28092,0.32833,0.061902,-0.022618,-0.013713,-0.15588,-0.15551,0.11051,-0.0052531,-0.089859,0.053796,0.2153,0.16341,0.063651,0.032946,-0.099988,0.10556,-0.036873,0.11441,-0.1743,-0.16198,0.30462,-0.10638,0.16516,-0.052313,0.13821,0.01652,-0.24805,0.14761,-0.32425,-0.21617,-0.054281,-0.11449,0.11443,-0.32217
13,0.054761,0.081387,0.12498,0.31663,0.23522,0.24813,0.12822,0.19212,0.28162,0.22462,0.34143,0.20948,0.11273,1,0.22879,0.27498,0.49143,0.2501,0.36241,0.40858,0.11465,-0.065863,0.28553,-0.051055,0.32824,0.13279,0.32314,-0.057368,0.14553,0.23124,0.26482,0.14167,0.19013,-0.020536,0.078954,0.064046,0.23049,0.10787,0.14357,0.13518,0.22217,0.031433,0.2165,0.069356,0.14727,-0.085506,-0.064686,0.24522,-0.1904,0.073125,0.065697,0.42359,-0.033019,0.11945,-0.1405,-0.13338,-0.08891,0.081824,-0.036714,-0.052504,0.14284
14,0.057178,0.02376,0.1681,0.084286,0.16301,0.17052,0.18541,0.11457,0.042644,0.1678,-0.056432,0.4593,0.15521,0.22879,1,0.30344,0.36612,0.39109,0.27182,0.49627,0.20261,0.002827,0.1658,0.12839,0.079725,0.18838,0.19477,0.12364,0.22459,0.015003,0.19743,0.1943,0.054985,-0.028587,0.022339,0.15192,0.2073,0.17416,0.22152,0.36126,0.13763,0.32188,-0.1267,0.020445,-0.025411,-0.20213,0.0087818,-0.00095377,-0.0031006,-0.074945,0.098128,0.14569,-0.25027,-0.031769,-0.14858,0.25129,0.031878,0.028763,-0.050539,-0.011279,-0.042534
15,0.23368,0.32162,0.1069,0.11132,0.15898,0.14038,-0.1361,0.43757,-0.039994,-0.047941,0.47163,0.15425,0.3662,0.27498,0.30344,1,0.049862,0.27492,0.29667,0.2572,0.35078,0.28996,0.17154,0.1773,0.18882,0.31916,0.36219,0.28369,0.39591,0.19874,0.045616,0.075925,-0.055995,0.22646,-0.062585,-0.037356,-0.076203,0.2127,0.096853,0.17779,0.19409,0.065856,-0.30219,-0.080146,0.086027,-0.28316,-0.31529,0.17677,-0.25636,-0.14409,0.0421,0.28825,-0.35265,-0.14346,0.05844,-0.11353,0.044782,-0.10375,0.012116,-0.05389,-0.032068
16,-0.036007,-0.27817,-0.093005,0.37804,0.28115,0.071136,0.0051922,0.1993,0.15582,0.20794,0.21095,0.36419,0.19276,0.49143,0.36612,0.049862,1,0.38147,0.39102,0.34707,0.034585,-0.095897,0.26346,0.099836,0.035248,0.19626,0.10005,0.035145,0.19423,-0.15185,0.33976,0.33093,0.21589,-0.017632,-0.17948,0.25442,0.32062,0.16038,0.32827,0.48292,0.068161,0.093002,0.24932,-0.15599,0.27376,0.089876,-0.0067139,0.094866,-0.15665,0.12154,-0.012201,0.089904,-0.016527,-0.099167,-0.053749,0.00050266,-0.3926,0.22434,-0.15808,-0.053137,0.11928
17,0.20953,-0.0055559,0.25905,0.33994,0.29982,0.21212,0.25614,0.39527,0.20013,0.30538,0.24738,0.48748,0.40897,0.2501,0.39109,0.27492,0.38147,1,0.32878,0.37896,0.17953,0.18368,0.16345,0.05773,0.1666,0.27756,0.22785,0.24204,-0.11061,0.15864,0.29415,0.1508,0.27927,0.1428,-0.026904,0.11823,0.050378,0.13548,0.26766,0.046557,0.12743,0.070936,0.12162,-0.16791,-0.0069022,-0.0038214,-0.35987,0.048923,-0.29382,0.09793,0.16857,0.23615,-0.27855,0.13631,-0.063156,0.027133,-0.12688,0.078082,0.03022,0.23497,-0.096304
18,0.01861,-0.11575,0.024504,0.26219,0.14172,0.11645,0.029847,0.2602,0.059529,0.25603,0.33831,0.22061,0.22956,0.36241,0.27182,0.29667,0.39102,0.32878,1,0.22912,0.12526,-0.0036335,-0.098779,0.30525,-0.027392,0.024137,0.061677,0.25753,-0.056748,0.035091,0.19182,0.19149,0.056576,0.052697,0.20945,0.18093,-0.063297,-0.05862,0.32193,0.07072,-0.14548,0.098292,0.17607,0.2535,-0.15096,-0.11609,0.090842,0.26065,-0.036036,0.084634,-0.094489,0.12459,-0.19066,-0.066617,0.12211,-0.33948,-0.24896,0.19208,0.11461,-0.051711,0.22935
19,0.30433,0.068904,0.2058,0.43129,0.1735,0.32567,0.16888,0.038185,0.15051,0.070442,0.17883,0.38651,0.051708,0.40858,0.49627,0.2572,0.34707,0.37896,0.22912,1,0.067032,-0.02291,0.23791,0.19872,0.31178,0.18784,0.18551,0.081848,0.28719,0.028863,0.27416,0.32909,0.12237,-0.12579,-0.11823,0.24951,0.13875,0.32956,0.27822,0.21773,-0.040608,0.10577,0.097073,0.15869,0.085735,-0.1891,-0.3886,0.029185,0.096318,0.0064658,-0.24232,0.11747,-0.38953,0.043002,0.00067204,0.17632,0.010772,0.019211,0.042773,-0.035463,-0.028004
20,0.17964,0.21911,0.10188,0.21662,-0.055619,0.013023,-0.044417,0.11686,0.016545,-0.13455,-0.033315,0.11329,0.29299,0.11465,0.20261,0.35078,0.034585,0.17953,0.12526,0.067032,1,-0.12648,0.20789,0.24584,0.12266,0.14905,-0.073571,0.11477,0.26835,0.22975,0.088501,0.075649,-0.16387,-0.044427,0.052462,-0.17402,0.13061,0.12768,0.22376,0.14621,0.30658,0.014171,-0.41438,0.093114,0.056139,0.17287,-0.062318,0.33021,0.13333,0.20845,0.34936,0.091295,-0.063748,-0.33943,0.18934,0.040968,0.20114,0.056296,0.19472,-0.11205,0.056431
21,-0.012653,0.0010392,-0.16916,0.19868,0.21852,0.091386,0.1504,0.38155,0.095938,-0.010029,0.18179,0.16058,0.21516,-0.065863,0.002827,0.28996,-0.095897,0.18368,-0.0036335,-0.02291,-0.12648,1,-0.047761,0.022537,0.22339,0.23219,0.38157,-0.026891,0.26958,-0.020419,0.014067,-0.18946,-0.038937,0.25081,-0.036036,0.13701,-0.14439,0.12168,-0.0012589,-0.15794,0.17584,0.071311,-0.23785,-0.11088,-0.10071,-0.22673,-0.079683,-0.11764,-0.37988,-0.15651,-0.020556,0.039562,-0.13146,0.027689,-0.12973,-0.016779,0.038369,0.04622,-0.016798,0.0081879,-0.16374
22,0.087479,0.17555,0.10382,0.30692,0.15129,0.19774,0.012263,0.19952,0.18679,0.26541,0.12887,0.16561,0.087531,0.28553,0.1658,0.17154,0.26346,0.16345,-0.098779,0.23791,0.20789,-0.047761,1,0.025666,0.15149,0.1808,0.27369,0.065392,0.22394,0.2159,0.32251,-0.056391,0.24435,0.071939,0.06541,0.082682,0.16424,0.18321,0.14879,0.29599,0.23438,0.00077898,-0.21229,-0.067159,0.032546,0.041749,-0.019617,0.1069,-0.22052,0.046525,-0.061026,0.088306,0.060906,-0.089603,-0.12736,-0.16062,-0.01097,0.025087,0.08627,-0.026129,0.04592
23,-0.01719,-0.12848,0.01424,0.22437,-0.20202,0.0056288,0.013089,-0.058471,-0.30612,0.0071514,-0.052564,-0.08123,0.038181,-0.051055,0.12839,0.1773,0.099836,0.05773,0.30525,0.19872,0.24584,0.022537,0.025666,1,0.1696,0.066571,0.03721,0.18693,0.05449,-0.016629,-0.085346,-0.084916,-0.30241,-0.054651,0.18989,0.10581,0.038933,-0.049009,0.2771,0.12534,-0.15531,0.14183,-0.020967,-0.10468,-0.38045,-0.054483,-0.0483,0.1785,0.22598,0.077237,0.015014,-0.12428,-0.53984,-0.13033,0.12015,0.0057728,-0.088847,0.0039055,0.095791,-0.42557,0.23024
24,0.43451,-0.081407,0.25282,0.28267,0.22099,0.012641,0.089335,0.083462,0.051142,-0.0029559,0.12771,0.047788,0.11339,0.32824,0.079725,0.18882,0.035248,0.1666,-0.027392,0.31178,0.12266,0.22339,0.15149,0.1696,1,0.2015,0.31226,0.01793,0.2078,0.30712,-0.034708,-0.22547,-0.21174,0.038748,-0.1834,0.32669,-0.026721,-0.060401,0.16863,0.017585,0.23651,-0.062703,-0.12196,-0.18074,-0.075869,-0.15564,-0.1199,0.24763,0.033456,-0.018193,0.10116,0.12171,-0.097339,0.070521,-0.22673,0.1138,0.089764,0.14212,0.21482,-0.085276,0.10012
