,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
10,0.67746,0.64663,0.65682,0.68364,0.66525,0.67542,0.60631,0.58237,0.60031,0.4762,1,0.62491,0.43724,0.42225,0.55741,0.50566,0.25116,0.36102,0.18634,0.27096,0.35048,0.21477,-0.18161,0.11279,-0.19722,0.044343,0.17995,-0.084238,0.081887,-0.11391,0.119,-0.033619,-0.18097,-0.15933,-0.31775,0.063713,-0.0023629,-0.32781,-0.37143,-0.28195,-0.29729,-0.14657,-0.091623,-0.27132,-0.3067,-0.10552,-0.19169,-0.14833,-0.2378,-0.41114,-0.39076,-0.17089,0.074811,-0.089211,-0.53866,-0.15476,-0.29412,-0.15402,-0.18344,-0.072307,-0.13969,-0.12843,-0.15348,0.085428,0.12573,-0.13157,-0.20295,-0.1973,-0.3695,0.16205,0.14977,0.21289,0.3172,-0.1147,0.10648,0.13784,-0.28742,0.1233,0.17907,-0.20094,0.08278,0.10657,-0.0057744,0.2117,0.2695,-0.20636,0.15999,-0.09276,-0.00083817,-0.065811,0.20362,-0.014343,-0.056795,0.07781,0.13354,0.095845,-0.20571,0.11894,0.31144,0.060936,-0.1416,0.095217,-0.0076879,0.032735,0.076371,-0.10755
11,0.84721,0.70388,0.75085,0.6801,0.69989,0.6277,0.72546,0.65774,0.76358,0.47635,0.62491,1,0.675,0.47894,0.42851,0.42216,0.2706,0.33275,0.39478,0.35463,0.50768,0.35443,-0.21634,0.065426,-0.060124,-0.052934,0.17449,-0.2097,0.05981,-0.36204,-0.16862,-0.087274,-0.25113,-0.081373,-0.19754,-0.0797,-0.19609,-0.41992,-0.2325,-0.36153,-0.42301,-0.28053,-0.21854,-0.29553,-0.024265,-0.28916,-0.17498,-0.098451,-0.31156,-0.20121,-0.50226,-0.14406,0.13391,-0.16334,-0.40413,-0.023589,-0.21752,-0.038125,-0.36883,-0.035136,0.00053723,-0.23519,0.066489,0.13945,0.19719,-0.14422,-0.11591,-0.048507,-0.3224,0.29959,0.046568,0.084746,0.05077,0.064693,-0.01926,0.11466,-0.25004,-0.0022617,0.15465,-0.17156,0.028064,0.012369,0.021613,0.0073411,0.19933,-0.12306,0.25046,-0.060018,0.022037,0.063777,0.21869,-0.12761,0.16272,0.25844,-0.035058,0.12043,0.047666,0.23007,0.29283,0.25211,-0.12277,0.17032,0.098228,0.17446,-0.12212,-0.039797
12,0.67184,0.60814,0.59842,0.5338,0.56454,0.40543,0.59197,0.53803,0.63113,0.27993,0.43724,0.675,1,0.32136,0.41524,0.41605,0.2765,0.28962,0.2419,0.20107,0.22444,0.27591,-0.16414,0.18345,-0.22339,0.23998,-0.028446,-0.17504,0.0018794,-0.10376,-0.22909,-0.13239,-0.087747,-0.083594,-0.19718,-0.17834,0.0068168,-0.37775,-0.25953,-0.36615,-0.33698,-0.35195,-0.015009,-0.18164,-0.27281,-0.2202,-0.37703,-0.013186,-0.34589,-0.17813,-0.39594,-0.11671,0.020986,-0.053863,-0.26987,0.10334,-0.31799,0.035321,-0.46144,-0.23643,0.033651,-0.014885,-0.16692,-0.14475,0.06598,-0.090126,-0.17775,-0.1487,-0.31173,0.21713,0.079199,0.14046,-0.017515,0.21171,0.014207,-0.0044177,-0.12722,0.13969,-0.027859,0.093702,-0.06895,0.0083328,-0.090504,0.10447,0.03476,-0.046397,0.27888,-0.1089,0.053774,0.042836,0.11561,-0.20514,0.25226,0.04064,0.12367,0.25046,-0.091442,0.38237,0.33765,0.20455,-0.34488,0.20503,0.26946,0.071322,-0.042916,-0.041429
13,0.59845,0.58354,0.61421,0.59883,0.66131,0.49118,0.57856,0.52301,0.45329,0.35381,0.42225,0.47894,0.32136,1,0.33771,0.27423,0.39085,0.33841,0.25305,0.31917,0.32366,0.25959,0.052594,0.063744,-0.16634,-0.064574,0.22676,0.028856,0.01886,-0.36749,-0.1581,-0.1196,-0.39635,-0.16266,-0.048585,-0.043721,-0.30372,-0.24145,-0.20194,-0.18879,-0.16953,-0.094711,-0.11881,-0.28858,-0.18418,-0.33888,-0.053317,-0.22266,-0.15697,-0.11676,-0.23284,0.051085,0.017817,-0.38748,-0.18188,0.050858,-0.22872,-0.12134,-0.19141,-0.036767,-0.15516,-0.045379,-0.052117,-0.060495,0.11466,-0.045554,-0.16571,0.057654,-0.14936,0.1563,0.18554,0.083983,0.12786,0.098859,-0.091983,-0.0087256,-0.20568,0.0048608,0.020946,-0.22641,0.17656,0.14633,0.00037285,-0.07165,0.1184,-0.13697,0.22222,-0.0018684,-0.062983,0.11497,0.24045,-0.044691,0.13522,0.14435,0.0046818,0.32966,-0.094552,0.1137,0.22695,-0.046503,-0.10771,0.13884,0.17672,0.11937,-0.057237,-0.021449
14,0.55989,0.52089,0.49852,0.44488,0.59314,0.4774,0.52727,0.47507,0.57832,0.37758,0.55741,0.42851,0.41524,0.33771,1,0.46298,0.12321,0.45594,0.13829,0.10988,0.22187,0.16404,-0.060943,0.37168,0.0017186,-0.005246,-0.074762,-0.1027,-0.05255,-0.030187,0.15354,-0.10709,-0.031394,-0.018999,-0.20039,0.16894,0.14416,-0.12694,-0.025686,0.0089922,-0.042436,-0.064471,0.31179,-0.32939,-0.098621,-0.058801,-0.10642,0.14065,-0.12054,-0.27811,-0.15644,0.0013441,0.13671,-0.093332,-0.16665,0.013551,-0.27106,-0.07332,-0.32205,0.025255,-0.031681,-0.035588,-0.25052,-0.0099817,0.042379,0.073332,-0.25945,-0.27842,-0.15005,0.17391,-0.010815,0.25483,0.19643,-0.09171,-0.035443,0.018881,0.0246,0.042484,0.14191,-0.063305,0.16939,-0.057917,0.13547,0.16359,0.17457,-0.076784,0.26827,0.048004,-0.072007,0.027124,-0.030079,-0.10689,0.2772,0.16593,0.082149,0.10102,-0.17807,0.29318,0.25682,0.17091,-0.29173,0.07902,-0.01161,-0.049363,0.14367,-0.25067
15,0.59894,0.615,0.56909,0.61362,0.50562,0.34292,0.53437,0.60694,0.50016,0.37078,0.50566,0.42216,0.41605,0.27423,0.46298,1,0.31255,0.12713,0.065206,0.28661,0.16459,0.0325,0.081647,0.10815,0.098099,0.035832,0.058083,-0.18982,-0.039901,-0.11157,-0.0020259,-0.070692,-0.059118,-0.035876,-0.42082,0.12199,-0.0043936,-0.24098,-0.20779,-0.27012,-0.13387,-0.18535,-0.0615,-0.19403,-0.014923,-0.0092262,-0.2501,0.12203,-0.30746,-0.60339,-0.12945,-0.12229,0.028093,-0.085882,-0.10331,-0.12375,-0.19553,0.048544,-0.13852,-0.12345,0.027718,0.078785,0.023779,0.077156,-0.09916,-0.12997,-0.12516,-0.273,-0.08881,0.21539,0.030615,0.22858,0.060085,-0.1858,0.060219,0.0093374,-0.10519,0.15518,-0.010652,-0.18603,-0.0073668,0.027965,0.15544,0.13966,0.19599,-0.15314,0.3549,-0.056707,0.0003603,-0.28984,0.12717,0.20083,0.054717,0.054912,-0.060024,0.022092,-0.075731,0.21129,0.27584,-0.043627,-0.10298,-0.06204,0.14301,-0.060008,0.035386,0.051227
16,0.45446,0.4986,0.23014,0.45861,0.38747,0.46162,0.56197,0.44939,0.30808,0.44318,0.25116,0.2706,0.2765,0.39085,0.12321,0.31255,1,-0.057312,0.098868,0.17427,0.12219,0.26262,-0.0036125,0.20686,0.028813,0.048238,-0.080207,-0.48434,-0.040687,-0.082606,-0.073817,-0.027973,0.02535,-0.20588,-0.34924,-0.029532,-0.12942,-0.20191,-0.096502,-0.41384,-0.17359,0.0014856,-0.10047,-0.12782,-0.2222,-0.27226,-0.19367,-0.18943,-0.11211,-0.036065,-0.12971,0.17969,-0.089673,-0.10648,0.098799,-0.0047623,0.0049893,-0.16533,-0.34986,0.081571,0.28435,-0.062268,-0.067024,-0.097372,0.16305,-0.21303,0.11628,-0.12031,-0.30366,0.038659,0.072497,-0.048132,0.048098,0.25952,-0.13473,0.11782,-0.13312,-0.10106,0.11377,-0.21765,-0.0018829,-0.086039,0.13907,-0.043265,-0.12591,0.050774,0.072768,0.043437,0.17488,0.014841,0.0017164,0.22073,0.027488,0.18552,-0.20621,0.059373,-0.3334,0.058635,-0.081956,0.018638,-0.029197,-0.158,0.1249,0.37064,-0.051619,0.16577
17,0.29261,0.2219,0.34138,0.32418,0.40638,0.308,0.16548,0.37381,0.2534,0.28296,0.36102,0.33275,0.28962,0.33841,0.45594,0.12713,-0.057312,1,0.19971,-0.14533,0.34186,0.12532,-0.14181,0.18408,0.078292,-0.13513,-0.0077211,0.0034322,-0.06721,-0.27,0.0047973,-0.14504,-0.24457,-0.46505,0.070116,-0.16731,0.08349,-0.09796,-0.036637,-0.104,-0.11201,0.17003,0.2391,-0.56069,-0.15223,-0.16343,-0.18398,0.14718,0.011923,-0.062013,0.0015521,-0.061387,0.28749,-0.2379,-0.30512,0.12744,-0.24452,-0.33318,-0.19253,-0.016122,-0.16653,0.046753,-0.29136,-0.074165,0.02837,0.041476,-0.45685,0.17228,-0.21688,0.097506,0.289,0.27627,0.1229,0.089133,-0.17977,-0.032365,-0.090339,-0.076576,0.060246,-0.18081,0.23526,-0.098405,-0.11938,0.12879,-0.16202,0.0044453,0.28823,-0.090992,-0.10489,0.21626,0.16089,-0.28821,-0.019701,0.1248,-0.012372,0.038499,0.064321,0.054625,0.16502,0.12133,-0.2002,0.12441,0.10792,-0.006501,-0.11973,-0.084947
18,0.28087,0.30456,0.36658,0.14069,0.26508,0.29511,0.32582,0.36173,0.27498,0.35064,0.18634,0.39478,0.2419,0.25305,0.13829,0.065206,0.098868,0.19971,1,0.20355,0.19354,0.1753,0.0033397,0.062005,0.069199,-0.16826,0.06707,0.063012,0.16179,-0.28018,0.046126,0.02495,-0.06545,-0.080435,0.024928,0.15299,-0.036199,-0.15728,-0.069355,-0.21233,-0.26106,0.075852,-0.191,-0.24021,-0.05626,-0.24036,0.1941,0.12001,0.20316,0.087973,-0.26544,0.0082124,0.19338,-0.081769,-0.1929,0.14039,0.13257,-0.0050065,-0.33667,0.04558,-0.14447,0.029688,-0.097361,0.25301,0.29217,-0.074572,0.051046,0.27109,-0.13536,0.30998,0.20148,0.09456,0.20182,0.19621,-0.11208,0.35256,-0.025334,-0.35169,0.30516,-0.0050222,-0.32234,0.01577,-0.18848,-0.32626,0.20509,-0.17887,0.064453,-0.16275,0.06782,-0.091178,-0.022974,-0.18842,0.082591,0.20659,0.2115,0.075919,-0.078115,0.22061,0.028944,0.16474,0.034022,0.26693,0.067916,0.13516,-0.27178,-0.28507
19,0.34409,0.20673,0.2641,0.2673,0.2752,0.1994,0.34245,0.22683,0.27161,-0.00093086,0.27096,0.35463,0.20107,0.31917,0.10988,0.28661,0.17427,-0.14533,0.20355,1,0.0076018,0.28008,0.032103,0.011122,-0.020103,-0.10849,-0.071843,0.12238,0.17502,-0.23029,-0.0094236,0.085695,-0.087943,0.0051489,-0.17835,0.032875,-0.055831,0.092204,0.025445,-0.29259,-0.25369,-0.038304,-0.40455,0.091689,0.12822,0.057669,0.095782,-0.36214,-0.010661,-0.30501,-0.2287,0.10067,0.023708,-0.082011,-0.058314,0.033214,0.022949,0.31616,0.19533,-0.086751,-0.028196,0.054247,-0.078111,0.25223,-0.034487,-0.25101,0.20756,-0.042618,-0.081792,0.21786,-0.12817,0.022448,0.025261,-0.11126,0.18808,0.12836,-0.031321,0.023805,0.36688,0.091707,-0.15566,0.037817,0.17763,-0.02204,0.37748,-0.22633,-0.072888,0.054932,-0.072012,-0.18993,0.19691,0.064613,0.2332,-0.094325,0.0056622,0.20883,-0.11258,-0.033808,-0.13139,-0.15367,-0.034082,-0.073671,0.23091,-0.15336,-0.086709,0.13975
