,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
10,0.31916,0.19698,-0.071159,0.071345,0.21344,0.057405,0.48252,-0.015065,0.2527,0.15746,1,0.084445,0.075032,0.18142,0.45182,0.21152,0.26804,0.091675,0.15826,0.20344,0.13677,0.32623,0.13674,-0.01398,0.50141,0.10803,0.18614,0.42756,0.21829,0.23919,0.085216,-0.016694,-0.10111,0.0034651,0.38805,-0.0025108,-0.06999,-0.21191,0.19546,0.13356,0.068082,0.025346,-0.074087,0.055047,0.026911,0.20381,0.12084,-0.44208,-0.018288,0.043942,0.26719,-0.032556,0.17723,0.14441,-0.013472,-0.14303,0.0018956,-0.095383,0.074704,-0.019562,0.18099,-0.14649,0.22723,0.034231,-0.028446,0.092966,0.028091,0.07978,-0.0087588,0.11237,-0.0011503,-0.057776,-0.035808,0.17612,0.025203,-0.20715,0.096204,0.031342,-0.18572,-0.10621
11,-0.21531,-0.017125,0.088622,-0.0030837,0.022905,0.10026,-0.10221,0.048787,0.11081,0.27464,0.084445,1,0.17534,0.23466,0.12633,0.49672,0.2947,0.049,0.31972,0.27204,0.40495,0.3819,0.34143,0.2425,0.22462,0.31379,0.1847,0.037977,0.15651,0.14043,0.31616,0.16491,-0.033697,-0.079757,0.22104,0.17319,0.15644,0.21543,0.2325,0.057542,0.21822,0.071824,-0.023857,-0.12436,0.17261,0.033522,0.13456,0.22784,0.082449,-0.081019,-0.20236,-0.011819,-0.15012,-0.26048,0.056339,-0.076581,-0.12285,0.071638,0.14788,-0.16478,0.017812,-0.21999,-0.11761,-0.071758,-0.042092,0.17124,0.010786,0.048683,-0.1181,-0.29568,0.0044325,0.17906,-0.37162,0.11196,-0.20409,-0.19607,-0.35637,-0.16029,-0.0040499,0.2146
12,0.142,0.24821,-0.1025,0.079013,-0.011506,0.18547,0.02971,0.13846,0.18685,0.26445,0.075032,0.17534,1,0.21544,-0.10282,0.31989,0.091685,0.21591,0.1928,0.37156,0.23584,0.13025,0.21527,0.3125,0.11493,0.20589,-0.12154,0.33731,0.21119,0.043705,0.34981,-0.0025647,-0.048388,0.35584,0.094387,0.2869,0.34626,0.39698,0.17713,0.4142,-0.081264,0.079823,-0.2276,0.025441,0.033191,-0.11649,0.071974,0.20083,-0.16234,-0.23115,-0.013956,0.02195,0.17125,0.12331,0.12941,-0.079232,-0.21366,0.060096,0.20447,-0.51214,0.44577,-0.099283,0.049252,0.024055,-0.11787,0.2827,-0.2758,0.19239,0.12488,-0.317,0.0062756,0.33768,-0.37468,-0.16347,0.092458,-0.1635,-0.076249,0.15343,0.099482,-0.053547
13,-0.0867,0.057677,0.080641,0.16882,-0.0016568,0.1197,0.10241,0.23156,0.19536,0.072473,0.18142,0.23466,0.21544,1,0.18735,0.33417,0.44505,0.26043,0.30599,0.0031397,0.28819,0.31572,0.19816,0.22858,0.14446,0.10587,0.2032,0.1736,0.10163,0.42957,0.30812,0.14366,-0.041865,0.25609,0.35431,0.034046,0.34668,0.23947,-0.038933,0.074034,0.21842,-0.0082148,-0.043738,0.048679,0.36997,0.066703,0.37254,0.17303,0.32838,-0.24056,0.17387,0.17091,-0.042396,0.1102,-0.027784,0.093515,-0.015937,-0.058597,0.0071559,-0.19218,0.19257,-0.33146,-0.058837,0.16681,0.0017295,0.29478,-0.15772,0.17115,0.062321,0.13993,-0.17253,0.046282,-0.041769,-0.047635,-0.44625,0.034647,0.027798,0.26391,-0.20058,0.072564
14,0.098505,-0.25167,-0.122,0.10057,0.070063,-0.050023,0.24836,0.10265,0.15363,0.23031,0.45182,0.12633,-0.10282,0.18735,1,0.10248,0.21517,0.19558,-0.060494,0.24493,0.22567,0.35462,0.26172,0.1531,0.46606,0.19364,0.094993,0.2038,0.32141,0.15374,0.031786,-0.12084,0.11228,0.038336,0.28565,0.1331,0.12227,-0.10169,-0.034257,0.064319,0.12803,0.0070361,0.067717,0.0057999,0.012811,0.060083,-0.015286,-0.15921,-0.1678,-0.0033427,0.22917,-0.13721,0.0093667,-0.03682,-0.25239,-0.081093,0.018876,-0.047622,-0.18299,0.12713,0.066044,-0.21377,0.15621,0.034126,-0.060227,0.16512,-0.024038,-0.11096,-0.20257,0.21297,-0.0093516,-0.11754,-0.11248,0.063258,-0.038989,-0.17259,-0.091289,0.13202,-0.22204,0.0076751
15,-0.14385,0.1876,0.13877,0.10016,0.21895,0.14503,0.054156,0.14872,0.09157,0.06594,0.21152,0.49672,0.31989,0.33417,0.10248,1,0.28757,-0.013258,0.47912,0.24347,0.2448,0.20012,0.36721,0.33108,0.24262,0.37415,0.19615,0.13871,0.11022,0.087007,0.20188,0.071523,0.13312,0.12701,0.098916,0.025479,0.088867,0.14213,0.25587,0.25207,-0.021367,0.0022188,-0.23362,-0.01159,0.079789,0.014213,0.39455,0.12759,0.086583,-0.34705,-0.22437,0.17205,-0.075039,-0.11632,0.41108,0.067638,-0.082734,0.27701,-0.055649,-0.18231,0.099386,-0.32543,-0.090283,-0.057169,-0.11931,0.12432,-0.12798,-0.13741,-0.16051,-0.056545,0.16575,0.0085838,-0.3053,0.029407,0.0089092,-0.28722,-0.21557,-0.17579,-0.016678,-0.088182
16,-0.04307,-0.10559,-0.213,0.16746,0.039181,0.13962,-0.055517,0.38426,0.41252,0.035808,0.26804,0.2947,0.091685,0.44505,0.21517,0.28757,1,0.31696,0.23298,0.33399,0.27026,0.32077,0.34335,0.29862,0.26104,0.1295,0.27165,0.18135,0.020811,0.45496,0.26747,0.35624,0.016729,0.16455,0.027576,-0.070806,0.20047,0.1607,0.15559,0.26542,0.045908,0.0090413,0.10474,-0.002066,0.040553,0.1982,0.41985,0.15632,0.061046,-0.2057,0.019018,0.053104,-0.1011,0.11212,0.062022,-0.05014,-0.37112,-0.10688,-0.012097,0.0098573,0.010572,-0.22479,-0.024403,-0.10339,-0.017418,0.3058,-0.33076,0.10388,0.033115,-0.10376,0.027876,-0.068236,-0.23544,-0.054203,-0.27771,-0.10328,-0.056987,0.32728,0.047958,0.12275
17,0.15849,-0.21837,-0.06656,-0.14871,-0.20797,0.00046192,0.090616,0.22486,0.21593,0.12004,0.091675,0.049,0.21591,0.26043,0.19558,-0.013258,0.31696,1,0.048184,0.063499,0.16519,0.052796,0.24985,0.17391,0.20377,-0.20662,-0.0022446,0.047126,0.026365,0.25118,0.32601,0.38045,0.067516,0.18758,0.26024,-0.056647,0.16229,0.13418,-0.13318,0.26012,-0.029924,-0.070968,0.14672,0.054371,0.17504,0.036424,-0.029917,-0.0056796,0.1527,-0.19409,0.29245,-0.045723,-0.033702,0.094548,-0.010321,0.13255,-0.15989,-0.065854,-0.094132,-0.028257,0.20042,-0.12849,0.23702,-0.12652,-0.072994,0.24057,-0.11313,-0.11105,-0.19672,0.052401,-0.39808,0.023691,-0.0023355,-0.23048,-0.29071,-0.031615,0.075433,0.067449,0.174,0.02484
18,-0.1688,0.16411,-0.038802,-0.057453,0.06327,-0.0031968,0.006283,-0.097191,-0.020573,0.17778,0.15826,0.31972,0.1928,0.30599,-0.060494,0.47912,0.23298,0.048184,1,0.25254,0.2457,0.27681,-0.025519,0.2521,0.24451,0.33591,0.13722,0.36591,-0.075454,0.055104,0.081337,0.25304,0.0065279,0.29836,0.14964,-0.19017,0.19863,0.036747,0.32911,0.24092,0.16259,-0.12722,-0.42695,-0.25756,0.024185,0.059214,0.22855,-0.22125,0.21983,-0.075953,-0.080839,-0.024568,-0.0084931,-0.13153,0.19986,-0.13138,0.006642,0.15939,-0.075366,-0.32385,0.056946,-0.27359,0.012722,0.18381,-0.30042,0.010335,-0.012111,-0.039949,-0.063889,-0.06717,0.017396,0.010391,0.054453,0.012713,-0.27717,0.074956,-0.08821,-0.23396,-0.075199,-0.19393
19,0.11829,0.14091,-0.092886,0.11691,0.18789,0.20719,0.033028,0.066952,0.18094,0.13098,0.20344,0.27204,0.37156,0.0031397,0.24493,0.24347,0.33399,0.063499,0.25254,1,0.39061,0.31051,0.22391,0.28495,0.42383,0.34717,0.20589,0.21595,0.22122,-0.06969,-0.010669,0.028927,-0.044158,0.2307,-0.026721,0.26406,0.13983,0.15606,0.012859,0.41789,0.048994,0.095969,-0.32338,-0.2573,-0.097596,0.1102,0.31136,0.17918,-0.28822,0.025407,0.026534,-0.12733,-0.0078658,0.19755,0.12036,-0.012978,-0.12131,-0.11115,0.128,-0.14298,0.14441,-0.036422,0.034043,-0.19288,0.032293,0.25582,-0.12699,-0.0055801,-0.10907,-0.21633,0.066364,0.23042,-0.13893,-0.016044,0.034703,-0.063127,-0.11365,0.048473,0.074995,-0.0096558
