,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
16,-0.16388,-0.35696,-0.052615,0.11603,0.19265,-0.0046281,0.050045,0.12127,0.12971,0.16626,0.16441,0.32708,0.33203,0.1826,0.26364,0.50891,1,0.28039,0.18133,0.36834,0.38229,0.29588,0.35564,0.24756,0.31474,0.38595,0.34757,0.3718,0.34262,0.21665,0.31033,0.36634,0.24241,-0.09804,0.099911,0.24365,0.28374,-0.011894,0.18765,0.22698,0.12529,0.21189,0.15173,-0.05103,-0.08736,0.081094,0.1004,0.1669,0.051732,0.24746,0.0096482,0.19981,0.015501,-0.064707,0.064948,-0.19274,-0.3151,-0.23698,0.18312,-0.15072,0.053481,-0.2839,-0.16235,0.0551,-0.31906,0.040077,-0.065066,-0.027506,-0.1828,-0.0030769,-0.16452,-0.28091,-0.15868,-0.094512,0.078782,0.00072274,-0.22603,-0.090168,-0.038624,-0.17336,0.049117,-0.33189,0.0012337,-0.098963
17,-0.094683,-0.34667,-0.13671,0.21526,0.17102,-0.0099609,0.22567,0.045102,0.090792,-0.053877,0.16328,0.43706,0.35702,0.048905,0.12389,0.26424,0.28039,1,0.25666,0.29788,0.20308,0.35963,0.11978,0.39999,0.083865,0.24122,0.29605,0.082599,0.087365,0.3785,0.26451,-0.060151,-0.12787,0.3232,-0.093937,0.16633,0.23641,0.055732,0.10707,0.17568,0.15668,0.077754,0.10601,-0.12751,-0.14616,0.027874,0.025667,0.046809,0.0091957,0.13996,0.12451,-0.0029191,-0.11476,-0.0096105,-0.031427,-0.0087511,0.24322,-0.36846,0.17378,-0.073571,-0.16986,-0.24141,-0.059888,-0.19875,-0.25186,-0.030951,-0.12331,-0.085665,-0.17084,-0.23976,-0.096401,0.12846,-0.061068,0.14277,0.21164,-0.10381,-0.18983,-0.015272,-0.20211,0.16782,-0.22983,-0.10019,-0.25965,-0.069078
18,-0.18523,-0.10611,-0.081987,-0.20698,0.15185,0.0039893,-0.12423,-0.15902,0.39044,-0.18264,0.16426,0.27167,0.29269,0.40199,0.1129,0.32701,0.18133,0.25666,1,0.2029,0.3384,0.34919,0.173,0.18128,0.28913,0.018955,0.40235,0.18006,0.20439,-0.065475,-0.048343,0.070379,0.10801,0.058687,0.048828,0.21852,0.12834,0.15614,0.13137,0.24957,0.098443,0.19526,-0.035981,0.011781,0.17245,-0.16996,0.029613,-0.0039358,0.092478,0.16511,-0.12918,0.12827,0.04146,-0.094874,-0.1834,-0.093518,-0.1572,-0.29431,0.081381,-0.056144,-0.099598,-0.2607,0.069589,0.091793,0.027698,-0.017393,-0.074719,-0.39164,-0.003357,0.041501,-0.17767,-0.01273,0.11261,0.20232,0.16584,-0.12674,0.031436,-0.1494,-0.23243,-0.095612,0.058086,-0.13935,-0.31163,-0.11746
19,-0.2268,-0.17445,-0.29718,-0.218,0.1471,-0.01041,0.062845,0.24013,0.27497,-0.085008,0.38322,0.4191,0.34206,0.19191,0.098017,0.18563,0.36834,0.29788,0.2029,1,0.052051,0.43011,0.21815,0.2837,0.17507,-0.04268,0.24043,0.27895,0.24861,0.28027,0.3482,0.18063,0.16108,0.26838,0.25648,0.42216,0.36532,0.066805,0.31306,0.31441,0.21265,0.043818,0.21028,0.14383,-0.0069137,0.037912,-0.067357,0.32286,-0.20741,0.15166,-0.081198,0.28111,0.065366,0.028319,0.17075,-0.084926,-0.14792,-0.12955,0.14659,0.11835,-0.17002,0.023049,0.15712,-0.078024,0.053225,-0.132,0.25706,0.013836,0.036734,-0.2933,0.076907,-0.020793,-0.24745,-0.079254,0.0071216,0.033352,-0.12656,-0.015674,-0.10879,-0.033504,0.13107,-0.17679,-0.12077,-0.079161
20,-0.17442,-0.052072,0.21013,0.15734,0.35263,0.18664,-0.053141,0.11892,0.10967,-0.0086962,0.019374,0.26717,0.2112,0.29871,0.22367,0.48487,0.38229,0.20308,0.3384,0.052051,1,0.26616,0.41344,0.41498,0.54872,0.22848,0.55674,0.44412,0.20496,0.23643,0.44587,0.1036,0.18268,0.1254,-0.021368,0.19422,-0.097668,0.096274,0.35401,0.08697,0.18852,0.077345,-0.090946,0.046218,0.18951,-0.22636,0.25095,-0.13581,0.32433,0.26929,0.13106,0.21117,-0.11648,0.0024924,-0.23371,-0.028338,-0.047399,-0.10654,0.20323,0.1208,0.30422,-0.39605,0.16156,0.11059,-0.090167,0.12523,-0.22812,-0.2585,-0.14124,-0.01546,-0.091643,-0.098129,-0.18975,0.13808,0.034907,0.072033,-0.10431,0.093918,-0.20371,-0.11439,0.24115,-0.27943,-0.13387,0.09002
21,-0.068087,-0.33483,0.02274,0.11879,0.33587,0.11826,0.23451,0.22977,0.38673,0.0094712,0.39975,0.36075,0.45373,0.40507,0.30783,0.35657,0.29588,0.35963,0.34919,0.43011,0.26616,1,0.32517,0.22521,0.45658,0.062648,0.43196,0.4339,0.29207,0.33643,0.29143,0.16411,0.20795,0.45368,0.13962,0.34202,0.33363,0.248,0.27908,0.12901,0.32259,0.073655,0.23103,0.042545,-0.076639,-0.067089,-0.15589,-0.09212,0.10452,0.051428,0.039191,0.39573,0.16192,0.029818,0.043455,0.1854,-0.10306,-0.20659,-0.062624,0.16289,0.10784,-0.15571,0.062577,0.048534,-0.16952,-0.12561,0.059105,-0.16935,-0.057946,0.12943,-0.11265,-0.1329,-0.30409,0.053515,-0.0042659,-0.23503,0.16389,-0.24866,-0.076418,-0.015055,-0.11482,-0.046282,-0.25089,-0.10972
22,-0.085143,-0.20607,-0.050438,0.14945,0.34152,-0.17237,0.23753,0.17662,0.26584,0.24654,0.39119,0.16461,0.16281,0.13582,0.092408,0.26275,0.35564,0.11978,0.173,0.21815,0.41344,0.32517,1,0.40788,0.43608,0.16996,0.30382,0.38495,0.35392,0.41983,0.3476,0.33409,0.45961,0.091821,0.042861,-0.021674,0.022502,0.1132,0.049949,0.33385,-0.0029631,0.061266,0.29547,0.077303,0.15849,-0.010591,-0.027172,0.018759,-0.1319,0.12786,0.060097,0.16168,0.17531,0.025837,0.09364,-0.13521,-0.079116,-0.085283,0.10059,0.0023944,0.21337,-0.17231,0.13528,0.019339,0.21815,0.15293,-0.0018963,-0.13278,-0.013581,-0.14753,-0.066948,-0.10758,-0.21851,-0.015372,0.070533,0.26898,0.022208,-0.19726,-0.24633,-0.07952,0.24361,-0.38793,0.11467,-0.001284
23,-0.21282,-0.21586,-0.002465,0.076313,0.10324,-0.071828,0.22735,0.29873,0.1022,0.114,0.36371,0.3281,0.0070012,0.21142,-0.013797,0.28809,0.24756,0.39999,0.18128,0.2837,0.41498,0.22521,0.40788,1,0.2411,0.24379,0.52917,0.044005,0.16984,0.13835,0.37888,0.094659,0.19528,0.095077,0.031217,-0.00028358,0.20823,0.034123,-0.13882,0.13841,-0.086952,-0.041088,0.14914,0.16907,0.06417,-0.025302,0.054592,-0.0018102,-0.027847,-0.10827,0.10017,0.22143,-0.04128,-0.084528,0.0024263,0.035746,0.049027,-0.1319,0.12884,0.086468,0.034209,-0.37899,0.018696,0.12095,0.073717,0.0096872,-0.080692,-0.12377,-0.083673,-0.26831,-0.0045402,0.1308,-0.18943,0.12137,0.11098,0.288,-0.040213,-0.022316,-0.27824,0.061924,-0.092664,-0.10841,-0.24166,-0.025434
24,-0.12067,-0.35462,0.035767,0.045939,0.29239,-0.0092717,0.19066,0.21441,0.15469,0.10313,0.32705,0.18332,0.14072,0.33618,0.1016,0.18872,0.31474,0.083865,0.28913,0.17507,0.54872,0.45658,0.43608,0.2411,1,0.27622,0.28963,0.43882,0.20394,0.37761,0.30449,0.25818,0.1764,0.17456,-0.013339,0.20682,0.06347,-0.045209,0.027473,0.086841,0.094818,-0.10844,0.055919,0.17629,-0.0095311,-0.073825,0.093776,0.10658,0.0068185,0.088333,0.18049,0.13088,0.083375,-0.12338,-0.062404,0.27421,-0.10942,0.064672,0.096497,0.36979,0.20621,-0.32839,0.18509,0.0080791,0.085773,-0.024765,-0.062004,-0.19466,0.017405,-0.010643,-0.22358,-0.21519,-0.16198,0.0066027,-0.19928,0.098693,-0.0050628,-0.20203,-0.0062775,-0.0087983,0.24372,-0.25153,0.17566,0.076592
25,-0.25862,-0.088994,-0.0096617,-0.0081173,0.098612,-0.14553,0.20682,-0.048578,0.11922,0.28129,0.03192,0.23205,0.20704,0.14955,0.33552,0.11853,0.38595,0.24122,0.018955,-0.04268,0.22848,0.062648,0.16996,0.24379,0.27622,1,0.15441,0.29068,0.37253,0.41592,0.27955,0.22652,-0.077537,0.056645,0.13137,0.12928,0.15838,0.0067499,-0.12206,0.051809,-0.0025727,0.15522,-0.10971,0.07746,0.05479,0.50348,0.0027081,-0.020345,0.23788,0.014618,-0.0011167,-0.070081,0.023912,-0.1709,-0.10792,0.06702,-0.067846,0.11973,0.15017,-0.052223,-0.10238,-0.11298,-0.049445,0.17726,-0.12194,0.057872,-0.31356,0.06243,0.028662,0.17123,-0.19231,-0.084313,-0.18749,-0.12185,0.077732,-0.03708,-0.41485,-0.097631,0.035509,0.031118,0.071083,-0.041774,0.23031,-0.13454
26,-0.32654,-0.29561,-0.073316,-0.11757,0.27791,-0.00087336,0.17379,0.16708,0.2904,0.036255,0.20176,0.41899,0.36102,0.45867,0.37085,0.33144,0.34757,0.29605,0.40235,0.24043,0.55674,0.43196,0.30382,0.52917,0.28963,0.15441,1,0.38601,0.11059,0.063137,0.27233,0.17577,0.25496,0.034724,-0.18666,0.23922,0.24418,-0.074569,0.17908,0.20022,0.075748,0.036033,0.13682,0.23602,0.071976,0.027989,0.13106,-0.063015,-0.064628,0.09665,0.22728,0.26432,0.10005,0.014838,-0.15152,0.11175,-0.033464,-0.21755,0.29915,-0.10063,0.16192,-0.4445,0.030057,0.38622,-0.13942,0.020269,-0.13251,-0.28309,-0.10575,-0.11404,0.1551,-0.12149,-0.12954,0.18568,0.15949,-0.026141,-0.0049909,-0.019308,-0.39369,-0.057223,0.006033,-0.20502,-0.34715,0.019828
27,-0.274,-0.055412,-0.05027,0.0080849,0.59829,0.082192,0.10892,0.27209,0.3549,0.13507,0.17193,0.50262,0.2971,0.29793,0.19297,0.2713,0.3718,0.082599,0.18006,0.27895,0.44412,0.4339,0.38495,0.044005,0.43882,0.29068,0.38601,1,0.23563,0.43715,0.33278,0.15739,0.29758,0.23214,0.21209,0.23705,0.080387,0.090961,0.44658,0.063928,0.36958,0.21491,0.24118,0.072304,-0.16002,0.097402,0.027485,0.057964,0.30328,0.20161,0.26447,0.2002,0.22719,-0.085487,0.077231,-0.047257,-0.08911,0.041264,0.16101,0.19389,0.041108,-0.2328,0.17661,0.20714,-0.0033967,0.1705,0.038691,-0.17519,0.064822,0.054666,0.010274,-0.19659,-0.11905,0.05212,-0.056456,-0.14242,0.0081603,0.15149,-0.089854,-0.092277,0.35953,-0.39042,-0.082051,0.071589
28,-0.27138,-0.15741,-0.2472,0.064413,0.24611,0.23629,0.023603,0.020143,0.18594,0.063966,0.43871,0.21071,0.42318,0.29912,-0.099296,0.29456,0.34262,0.087365,0.20439,0.24861,0.20496,0.29207,0.35392,0.16984,0.20394,0.37253,0.11059,0.23563,1,0.14827,0.21862,0.3431,0.23386,0.020731,0.025934,0.027009,0.27249,0.37977,0.03573,0.35132,0.092822,0.27336,-0.073157,-0.013068,0.15708,0.11403,-0.22984,0.19135,0.068982,0.011564,-0.23362,0.1234,0.29131,0.28756,0.16775,-0.22248,-0.16863,0.11381,0.11127,-0.11959,0.068021,0.063078,0.028784,-0.1808,0.012615,0.010509,-0.2231,0.033997,-0.039598,0.15592,0.0019998,-0.25355,-0.090558,-0.086276,0.13373,0.092467,0.072317,-0.17375,-0.03692,-0.13898,0.1379,-0.32283,0.18654,-0.25702
