,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
10,0.60882,0.61123,0.4636,0.49547,0.5188,0.47934,0.45265,0.43307,0.49018,0.29202,1,0.38784,0.34317,0.3359,0.29608,0.12831,0.2487,0.077147,0.262,0.21985,-0.013831,0.1496,0.0013347,-0.10831,0.096651,0.086616,-0.038191,-0.19641,-0.11128,-0.17798,-0.058806,-0.22629,-0.070342,0.0394,-0.0068847,-0.16907,-0.23199,0.023087,0.019348,0.063745,-0.46086,-0.059141,-0.16941,0.054816,-0.10716,-0.30778,-0.40563,-0.092016,-0.23336,0.020215,0.04112,-0.14453,0.12394,-0.041733,-0.237,-0.18253,0.17131,-0.098508,0.089469,0.0064498,-0.10621,-0.057318,-0.12181,-0.061835,-0.09034,0.0089301,-0.010376,0.020172,-0.21294,-0.12862,-0.051314,0.040844,0.083841,-0.22421,0.062223,-0.040034,0.20789,-0.01277,0.22915,0.20279,0.29423,0.030703,-0.052174,-0.1622,0.058642,-0.30187,-0.10033,-0.019196,0.33704,0.28942
11,0.47039,0.51314,0.35892,0.4534,0.53628,0.42619,0.46594,0.37008,0.3828,0.27603,0.38784,1,0.25535,0.43805,0.061903,0.21818,0.25053,0.045642,0.16187,0.045565,0.41087,0.087475,-0.12859,-0.06063,-0.012818,0.06089,0.013003,-0.26803,-0.095379,-0.12281,-0.011606,-0.15883,0.019809,0.01262,-0.015305,0.1202,-0.23488,0.09084,0.018688,0.019345,-0.55466,-0.0081187,-0.18355,0.036745,-0.26752,0.03271,-0.10554,-0.14964,-0.22587,-0.1747,-0.095543,-0.28128,0.31623,0.058611,-0.080531,0.04431,0.0057089,-0.083961,0.07917,-0.22726,-0.20452,-0.14527,-0.11977,0.0029067,-0.075458,-0.020796,0.20617,0.15693,-0.10515,0.058873,-0.067702,0.093663,0.13872,0.076704,0.22683,-0.048321,0.044865,0.0261,0.0052557,-0.080191,0.21525,-0.064269,-0.16683,-0.037886,0.12236,-0.1851,-0.029283,-0.089347,0.09137,-0.050514
12,0.44301,0.44019,0.58967,0.45157,0.41335,0.23871,0.57926,0.53432,0.32967,0.44506,0.34317,0.25535,1,0.51126,0.20577,0.17407,0.068219,0.24735,0.47612,0.31828,0.12326,0.076072,0.20819,0.023204,-0.1576,0.15244,0.080311,0.017356,0.065802,-0.13125,0.038685,-0.15992,-0.015278,0.051608,-0.1554,-0.18799,-0.13825,0.00061899,-0.22263,-0.051404,-0.26196,0.012848,-0.11026,0.10184,-0.11059,-0.25107,-0.15428,-0.018285,-0.11227,-0.066662,-0.077199,-0.1643,0.15519,-0.16229,-0.17448,0.10082,-0.070805,-0.21559,0.14455,0.067771,-0.28013,0.23281,-0.011423,0.11911,-0.016647,0.04931,-0.090192,0.22824,0.052335,0.21772,0.25909,-0.0036396,-0.039229,0.10258,0.20932,0.0057809,0.12611,0.033306,0.32989,0.10875,0.12577,0.1175,0.13982,0.31299,0.21024,-0.17778,-0.076832,0.19646,0.41567,0.16818
13,0.49149,0.62058,0.64505,0.5643,0.54431,0.5091,0.5129,0.45826,0.4665,0.47392,0.3359,0.43805,0.51126,1,0.37535,0.32167,0.34071,0.059165,0.19469,0.26065,0.0088433,0.21208,0.28544,-0.13904,-0.10755,-0.071289,0.11918,-0.1845,0.1333,-0.068158,-0.074268,-0.1996,0.016373,-0.054251,0.20131,-0.206,-0.082375,0.082095,-0.018313,-0.18305,-0.47991,-0.04661,-0.25128,0.022029,-0.098635,-0.22302,-0.36051,-0.14114,-0.2265,0.028661,-0.13534,-0.26492,0.17846,-0.20939,-0.21247,0.093588,0.020902,0.084334,0.13726,-0.2252,0.024324,0.070645,0.063816,0.097459,0.063643,0.19547,-0.13899,0.22033,-0.10852,-0.097848,0.035251,0.1177,0.060849,-0.015649,0.18075,-0.049764,0.036605,0.16973,0.19388,0.044535,0.1283,0.069951,0.092325,0.19937,0.16568,-0.075566,0.060346,0.15614,0.17448,0.08822
14,0.47157,0.51357,0.57695,0.51849,0.40967,0.40083,0.51583,0.27851,0.31761,0.28174,0.29608,0.061903,0.20577,0.37535,1,0.26658,0.36332,0.098464,-0.093413,0.34903,-0.065382,0.057609,0.16217,-0.35469,-0.11299,-0.03428,-0.057793,-0.2324,-0.0056318,0.18035,-0.094838,-0.017294,0.027492,-0.24273,0.022002,-0.23827,0.086169,-0.002784,-0.21414,-0.22763,-0.18038,-0.35349,-0.1512,0.0001093,-0.17233,-0.19221,-0.2844,0.028845,-0.061863,0.082272,-0.19531,-0.28801,-0.090262,-0.11592,-0.045957,0.084773,-0.02786,0.085707,0.04455,-0.11408,0.031283,0.14126,0.034794,-0.13759,0.058741,0.14931,-0.26623,0.070058,0.12524,0.082329,-0.0058059,0.34152,-0.11599,-0.1246,0.20653,-0.10421,0.036833,0.26168,0.1035,0.077073,0.24464,-0.19582,0.15275,-0.14776,-0.080582,-0.02108,0.067998,-0.087256,0.2825,-0.12158
15,0.4043,0.45314,0.36642,0.42464,0.20981,0.37185,0.28213,0.27879,0.4456,0.24041,0.12831,0.21818,0.17407,0.32167,0.26658,1,0.25445,0.17999,0.065853,0.3513,0.057562,-0.11604,0.18471,0.010786,0.073359,-0.075244,0.20872,-0.086003,-0.091242,0.048413,-0.117,-0.46935,-0.20165,0.02313,-0.089239,-0.42136,0.21982,0.060793,-0.031684,0.10798,-0.086037,-0.31066,0.1186,-0.012883,-0.21015,-0.010212,-0.0043932,-0.12941,-0.061187,0.065652,-0.050244,-0.30394,-0.050907,-0.0053212,0.076199,-0.036555,-0.24532,0.05596,-0.34829,-0.039987,-0.07852,0.038111,0.083951,-0.22681,0.059351,0.14586,-0.023096,0.048432,0.23609,0.056158,0.026148,0.11413,-0.17293,0.10694,0.0059518,0.050153,0.1092,0.20749,-0.17932,-0.10014,0.018966,0.070564,-0.10283,-0.0075028,-0.13013,0.14707,-0.14738,0.078043,0.12859,-0.0054873
16,0.27146,0.30432,0.47131,0.34066,0.31041,0.31345,0.27947,0.24375,0.35767,0.32241,0.2487,0.25053,0.068219,0.34071,0.36332,0.25445,1,0.021425,0.025629,0.33242,0.19598,0.19679,-0.19161,-0.16826,-0.08616,-0.19375,-0.31428,-0.47484,-0.12011,0.11324,-0.10024,-0.098898,0.11957,0.13334,-0.11286,-0.14054,-0.10761,-0.096343,-0.018495,0.11635,-0.14845,-0.009563,0.05148,-0.21932,-0.12974,-0.14409,-0.30896,0.010828,0.02742,0.020561,-0.052543,-0.17172,-0.031927,0.059357,0.22948,-0.13837,0.081921,0.045242,0.091873,-0.15022,0.085891,-0.01951,-0.12881,0.11929,0.0341,0.13541,0.10999,-0.011319,-0.17877,0.029056,0.11475,0.062665,-0.095216,-0.13425,-0.032203,-0.10859,0.16471,-0.038216,-0.013284,-0.17851,0.14144,0.12392,-0.22913,-0.17643,0.22417,-0.13981,0.14072,0.19841,0.0041066,0.07541
17,0.069674,0.093598,0.079941,0.094665,0.075285,0.078474,0.060513,-0.039187,0.030517,0.33765,0.077147,0.045642,0.24735,0.059165,0.098464,0.17999,0.021425,1,0.2858,0.29596,0.19984,0.043976,0.080584,0.10726,-0.12905,-0.065418,0.2865,0.19975,-0.05625,-0.071271,-0.12669,-0.25594,-0.02362,0.030267,0.23375,-0.073915,0.060307,0.12097,-0.087783,-0.014855,0.065212,0.045688,-0.010361,0.1874,-0.048946,0.10195,-0.056389,0.19528,0.038574,0.16443,-0.055933,0.093512,0.22234,0.20497,0.016998,-0.088113,0.086843,-0.09235,-0.10098,0.10138,-0.39578,0.19239,-0.15992,-0.030425,-0.09963,0.063524,0.29985,0.10095,0.42288,0.2309,0.073638,0.15498,-0.13265,-0.048426,0.051206,-0.084809,0.28958,-0.034267,0.15841,0.16233,-0.047074,0.16569,0.10755,0.23466,-0.068038,0.27996,-0.15128,0.0044599,0.14662,0.065638
18,0.2822,0.21922,0.35989,0.25392,0.13254,0.28467,0.36363,0.22218,0.21118,0.19859,0.262,0.16187,0.47612,0.19469,-0.093413,0.065853,0.025629,0.2858,1,0.29866,0.11891,0.13624,0.14562,0.19866,0.24604,0.091124,0.1073,0.048957,-0.052604,-0.05808,0.099305,-0.23361,0.01684,0.092622,-0.22537,-0.10343,-0.29922,0.22138,-0.2845,-0.15089,-0.25267,0.04294,0.11601,0.065402,0.29948,0.022771,-0.096998,-0.017985,0.09055,-0.24589,-0.026477,-0.0078255,0.18939,0.056322,0.052434,0.053929,0.1432,-0.34054,0.13346,0.10184,-0.22027,-0.010577,-0.06802,-0.05529,0.22163,-0.26518,-0.068243,-0.050983,-0.05778,0.17269,-0.037961,0.17186,0.1778,-0.13185,0.012083,0.12889,0.22002,-0.15758,0.12382,0.13045,0.17875,0.036195,0.0038428,0.24966,0.087312,-0.38799,-0.018161,0.2136,0.37734,0.24874
19,0.40574,0.48193,0.46683,0.38641,0.18141,0.29353,0.43737,0.30166,0.26307,0.37643,0.21985,0.045565,0.31828,0.26065,0.34903,0.3513,0.33242,0.29596,0.29866,1,0.11404,-0.00071627,0.043346,0.055021,0.036701,0.041661,0.087052,0.017582,-0.040236,0.089088,-0.021842,-0.27602,0.20882,0.064296,-0.076646,-0.23405,-0.030643,-0.24166,-0.23312,0.073033,0.036926,-0.28699,0.011183,-0.033956,0.083352,-0.20337,-0.3298,0.013779,-0.16252,0.21225,-0.0089893,0.14443,0.10529,0.17626,0.14524,0.23176,-0.094943,-0.038599,0.082328,-0.11931,-0.096552,0.19691,0.074898,-0.18825,0.34477,0.10013,-0.26472,0.33659,0.14983,0.020442,0.1692,0.28642,-0.072517,-0.04284,0.18524,-0.33575,0.0095567,0.1851,0.089088,0.077616,0.34611,-0.099311,0.11636,-0.013446,0.046288,-0.27567,0.11252,0.16913,0.25759,0.092183
