,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
10,0.59515,0.56982,0.76725,0.71019,0.59796,0.58876,0.63914,0.62477,0.62175,0.55853,1,0.45541,0.45329,0.41666,0.087891,0.30471,0.33958,0.25637,0.32419,0.30006,0.27144,0.13793,0.04153,-0.030315,-0.3286,0.15795,0.05245,-0.11689,0.0060532,-0.12575,-0.06381,-0.051725,0.0077243,-0.089312,0.015194,-0.19091,0.16426,0.1166,-0.23504,-0.030763,-0.18078,-0.02638,0.038697,-0.1711,-0.096476,-0.25357,-0.15933,-0.16865,-0.19855,-0.29252,-0.23915,-0.087999,-0.39214,0.075554,-0.16327,0.078949,-0.059791,-0.27031,0.099612,0.16582,0.11964,-0.15318,-0.065041,0.18978,0.060473,0.18552,-0.11764,-0.1802,-0.085867,0.047178,-0.14316,-0.042823,-0.010126,0.33075,0.0049496,-0.078364,-0.11256,0.047547,0.038896,0.038187,-0.00088202,0.19471,0.18661,0.0081094,0.33322,0.38727,-0.0074484,0.17777,0.28836,0.11045,-0.04695,0.0046361
11,0.66696,0.7196,0.4475,0.34438,0.68988,0.7055,0.61709,0.54356,0.61479,0.50929,0.45541,1,0.4711,0.36621,0.46288,0.18709,0.24608,0.25269,0.27559,0.2038,0.072499,0.15551,0.07943,-0.01816,-0.31011,0.28008,0.010025,-0.0028187,0.23957,-0.018609,0.012834,-0.091401,0.12423,-0.24539,-0.019469,-0.1836,0.16715,0.16524,-0.11457,-0.016374,-0.46484,-0.27236,-0.043052,-0.16343,-0.041683,-0.062799,-0.16809,-0.24433,-0.0020848,-0.031544,-0.17518,-0.1062,-0.29916,0.085596,-0.10274,-0.013337,-0.2016,-0.15737,0.092508,0.34743,-0.080433,-0.12971,0.17181,0.10028,0.046401,-0.22453,-0.1028,-0.14535,0.021847,0.13865,0.082721,-0.078716,0.12131,0.29413,-0.035995,0.18892,-0.068671,-0.062006,0.18535,0.026229,-0.074925,0.19222,-0.14894,0.38057,0.26391,0.28472,-0.047442,-0.062937,0.16052,-0.14435,0.051995,-0.066297
12,0.46681,0.4631,0.47664,0.42674,0.40471,0.53209,0.50725,0.51328,0.55835,0.39991,0.45329,0.4711,1,0.3459,0.27051,0.10158,0.14133,0.31725,0.22156,0.22707,0.096481,-0.16645,-0.046818,-0.2269,-0.34897,0.19894,0.067398,-0.0098329,0.1307,-0.13257,-0.010243,0.01318,-0.063123,-0.25814,0.046098,-0.23365,0.069431,0.12406,-0.034262,-0.24107,-0.14665,-0.16848,-0.066488,0.011804,-0.064423,-0.29022,-0.11995,-0.20805,-0.149,-0.068518,-0.16159,-0.14884,-0.2145,0.14305,-0.038287,0.24295,-0.13737,-0.17471,0.14319,0.085833,-0.0091917,-0.24253,0.0005269,-0.021631,-0.021745,-0.099402,-0.20652,0.10471,0.28588,-0.1723,-0.12775,-0.31776,0.16286,0.058925,0.017353,0.043774,0.10662,0.253,0.2789,-0.10509,0.26041,0.16241,0.14561,0.14086,0.14247,0.2815,0.14104,0.14431,0.16191,-0.14283,0.12909,0.12948
13,0.57288,0.55336,0.57331,0.34911,0.55641,0.47139,0.35437,0.40991,0.472,0.45013,0.41666,0.36621,0.3459,1,0.3869,0.19352,0.10355,0.11619,0.33779,0.05452,0.081366,-0.036446,0.29987,0.25806,-0.12527,0.38152,0.028685,-0.13657,-0.06641,0.15321,-0.18364,0.13004,-0.014059,-0.0068983,-0.17488,-0.22668,0.36305,0.039083,-0.12035,-0.12176,0.094535,-0.10327,0.14666,-0.097034,0.29233,-0.49586,-0.076797,-0.12846,0.12392,0.010587,-0.37641,0.12807,-0.039288,0.026052,-0.38534,0.1494,0.10252,-0.072898,0.050272,-0.038552,0.12403,-0.10617,-0.063056,-0.25321,-0.15743,-0.19526,-0.24273,-0.11449,0.11426,0.01861,0.13822,-0.12887,0.22646,-0.021334,-0.068287,-0.030838,-0.094456,0.046479,-0.07746,-0.094654,0.085301,0.26417,0.10545,0.017216,-0.1043,0.30422,0.15134,0.077605,0.17743,-0.14231,0.11956,0.059049
14,0.36726,0.47787,0.33206,0.0070911,0.43106,0.39337,0.22428,0.18083,0.20514,0.28107,0.087891,0.46288,0.27051,0.3869,1,0.15941,0.25764,-0.022301,0.17718,-0.12806,-0.044205,0.084564,0.025425,0.16662,0.012284,0.34422,0.045055,0.24446,0.1021,-0.067194,-0.1344,0.24804,0.06654,-0.17069,-0.0329,-0.15993,0.25518,0.0023622,-0.092057,-0.20366,-0.10566,-0.25043,-0.034712,-0.2021,0.039178,-0.14124,0.022671,-0.22078,0.28472,0.254,-0.066413,0.12586,-0.24423,0.21804,-0.26858,0.22641,-0.20557,-0.18924,-0.03493,-0.072202,-0.020395,0.10462,0.10801,-0.24343,-0.23305,-0.091966,-0.24464,-0.13505,0.3195,-0.2313,0.084601,-0.057452,0.21529,-0.027412,0.18863,0.09306,-0.024739,-0.010086,0.10308,-0.25818,0.11423,0.17199,-0.14725,0.082461,0.0047862,0.20226,0.12097,-0.13688,0.047731,0.053181,0.05805,-0.23998
15,0.47378,0.28177,0.32054,0.34444,0.3524,0.25677,0.51207,0.25128,0.37071,0.14541,0.30471,0.18709,0.10158,0.19352,0.15941,1,0.28219,0.25039,0.27715,0.020586,-0.0035948,0.23752,-0.0094094,0.0087715,-0.23772,0.23927,0.038461,-0.11774,-0.013541,0.065,0.077057,0.097447,-0.10309,0.11484,-0.20056,-0.19237,0.37004,-0.014441,-0.20564,-0.085082,-0.14614,-0.14545,0.18642,-0.26719,-0.22646,-0.25661,0.18005,-0.1492,0.064566,0.09297,-0.073348,0.082837,-0.20888,0.041373,-0.50737,-0.12406,0.16462,0.019048,-0.31528,0.013132,-0.073833,-0.019139,-0.1255,0.028167,-0.020665,-0.11155,-0.13585,-0.21409,0.051567,-0.019526,-0.00080415,-0.19139,-0.099515,0.27172,0.11467,0.11101,0.21041,-0.094767,-0.17833,0.20371,-0.21175,-0.11454,0.30714,0.031091,-0.063235,-0.019672,-0.13437,-0.07245,-0.021992,-0.05746,0.10299,0.016359
16,0.33413,0.30467,0.36031,0.34262,0.37649,0.4682,0.54545,0.16023,0.23634,0.26211,0.33958,0.24608,0.14133,0.10355,0.25764,0.28219,1,-0.041023,0.20662,-0.11224,0.035215,0.27447,-0.053897,0.099924,-0.021156,0.18168,-0.14807,0.25101,-0.11181,0.041044,0.042326,-0.058422,-0.10181,-0.12379,-0.1295,-0.43581,0.11796,0.050489,-0.27922,-0.076007,-0.35635,-0.14686,-0.20038,-0.15138,-0.15367,-0.22464,-0.070587,0.015605,0.12585,0.20825,-0.20977,0.163,-0.055119,0.071734,-0.10863,-4.7708e-05,-0.19762,-0.11759,-0.17759,-0.11373,0.074325,0.027461,0.12557,0.14916,-0.17791,-0.027216,-0.13529,-0.17354,0.32078,-0.12509,-0.16025,-0.04477,-0.39502,0.26573,-0.14986,-0.091644,-0.02863,0.065903,0.0752,0.19023,0.064256,0.17154,-0.09512,-0.03623,0.36036,0.0077102,-0.14625,0.26881,0.23007,0.23299,0.076752,-0.34511
17,0.33659,0.13118,0.069879,0.18231,0.16386,0.12236,0.14836,0.36985,0.15434,0.1405,0.25637,0.25269,0.31725,0.11619,-0.022301,0.25039,-0.041023,1,0.033398,-0.067042,0.13872,0.38482,0.096643,-0.179,-0.58358,0.061921,0.04378,-0.4187,0.057266,0.097998,0.13871,-0.041721,-0.094577,-0.16012,0.1013,0.075729,0.13509,0.21926,0.13925,-0.0018182,-0.1331,-0.11937,0.11741,-0.015318,-0.2424,-0.007317,-0.061328,-0.13129,-0.17641,-0.036491,0.01202,0.026321,-0.020598,0.14353,0.043917,0.069093,-0.09732,-0.1675,0.023655,-0.015871,0.21161,-0.052592,-0.014652,0.11335,0.0016587,-0.15397,-0.23415,-0.073125,0.11031,0.1987,0.015565,0.072464,0.028702,0.11796,0.01262,0.12849,0.085033,0.14831,0.1455,-0.049637,0.021899,0.062955,-0.0042472,0.18882,-0.029368,0.17292,-0.05207,0.052626,0.21255,0.10169,0.098337,0.030548
18,0.45344,0.46002,0.44242,0.28203,0.4547,0.49055,0.41288,0.36081,0.37347,0.49932,0.32419,0.27559,0.22156,0.33779,0.17718,0.27715,0.20662,0.033398,1,-0.0023324,0.038274,0.027337,-0.057054,0.19887,-0.043486,-0.0028202,-0.11449,0.051074,0.036605,-0.017334,0.21678,-0.19053,-0.10183,0.1418,-0.045059,-0.28448,0.12404,-0.084081,-0.027764,0.0581,0.15529,0.17467,0.14332,0.10322,-0.10655,-0.28084,0.075937,-0.15486,-0.046489,-0.12005,-0.13344,-0.2029,-0.045541,-0.11177,-0.24398,-0.039227,-0.10377,-0.078521,0.15159,0.12984,0.11737,-0.080014,0.050028,0.040613,0.025043,-0.061793,-0.012686,-0.11865,-0.050941,-0.11077,0.35664,-0.27313,0.045988,0.023146,-0.082486,0.01622,0.027778,0.089276,-0.042386,0.31291,0.096825,0.097016,-0.024757,-0.20583,-0.023151,0.18826,0.01545,-0.17174,-0.040793,-0.28007,-0.0079662,-0.088428
19,0.1866,0.20891,0.25151,0.20564,0.14976,0.12862,0.25578,0.28033,0.36818,0.012073,0.30006,0.2038,0.22707,0.05452,-0.12806,0.020586,-0.11224,-0.067042,-0.0023324,1,-0.02454,-0.064218,-0.009521,-0.15345,-0.10751,-0.034147,0.11001,-0.11215,0.019256,-0.1403,-0.039923,0.0083019,-0.0096505,-0.14644,-0.15683,-0.24229,0.016446,0.12159,-0.2746,0.29219,-0.18433,0.072206,0.037849,0.18494,-0.00019838,-0.31186,-0.023362,-0.18142,-0.13415,-0.28262,0.075272,0.051939,-0.22928,-0.24948,-0.13462,-0.068287,0.15579,0.013462,-0.015799,0.30569,-0.13976,-0.418,0.021834,0.1746,0.2691,0.15153,0.40707,-0.033111,-0.12654,0.2411,-0.15047,0.21139,0.018181,0.21382,0.05684,-0.12398,-0.091964,-0.058474,0.0052056,0.033219,-0.10986,0.051656,0.14713,0.1772,0.1305,0.16065,0.40965,0.064419,0.02193,0.13733,-0.04071,0.28212
20,0.10665,0.10374,0.19668,0.24617,0.19079,0.16547,0.12892,0.12427,0.32217,0.0082166,0.27144,0.072499,0.096481,0.081366,-0.044205,-0.0035948,0.035215,0.13872,0.038274,-0.02454,1,-0.0090878,0.15566,0.011661,0.069754,-0.14895,-0.11506,-0.21295,0.063317,-0.11095,-0.12212,0.12039,0.076151,-0.070398,0.15218,0.00011821,0.098655,0.1482,-0.022133,-0.17666,0.0719,0.16443,-0.076033,-0.15437,-0.082065,-0.14828,0.049182,0.12484,0.054979,-0.29179,-0.013828,-0.030633,-0.078267,-0.28998,0.053574,0.16798,-0.0081366,-0.039219,0.21267,0.039324,-0.15761,-0.18194,0.17138,0.24107,-0.053858,-0.076799,-0.11145,0.12719,-0.11709,-0.052624,-0.2486,-0.16531,0.1772,-0.058819,0.33192,0.049529,-0.092502,0.067399,-0.15933,0.00038956,-0.10436,0.22315,-0.20615,-0.2931,0.16063,0.136,-0.22913,-0.12215,0.23229,0.15546,-0.01383,0.097658
21,0.21346,0.11295,-0.0032865,0.065839,0.18694,0.0012954,0.28118,0.018611,-0.083625,0.04296,0.13793,0.15551,-0.16645,-0.036446,0.084564,0.23752,0.27447,0.38482,0.027337,-0.064218,-0.0090878,1,-0.090569,0.032311,-0.01695,0.19108,0.063166,-0.087934,0.065441,0.24724,0.096357,0.11159,0.0024511,-0.04715,0.066067,0.1284,0.24097,0.1175,0.25648,0.19815,-0.1087,-0.068624,0.17266,-0.013924,-0.21767,0.078129,-0.096289,0.086539,0.12221,-0.13737,0.078504,0.089714,0.032285,0.079139,0.0035729,-0.015747,0.053246,-0.12635,0.026244,-0.21032,0.099969,0.19557,0.11513,0.053517,0.014615,0.065757,0.15028,-0.19462,0.024298,0.22519,0.096059,0.20306,-0.27816,0.14732,-0.11441,-0.039458,-0.054035,-0.035609,0.030363,-0.015274,-0.10866,-0.15878,-0.07242,-0.086998,0.17431,0.0057832,-0.18063,0.042359,0.25216,-0.023408,0.033807,-0.32059
22,0.056191,0.094497,0.1108,0.13313,0.094285,-0.0047701,-0.060698,0.03625,0.071833,0.086404,0.04153,0.07943,-0.046818,0.29987,0.025425,-0.0094094,-0.053897,0.096643,-0.057054,-0.009521,0.15566,-0.090569,1,0.20469,-0.10214,0.11356,0.10794,-0.27935,0.012324,0.1987,0.04496,-0.19764,-0.16588,0.3005,0.16763,-0.16953,0.22988,0.17106,-0.11358,-0.15311,0.040569,-0.03996,0.23761,-0.023405,0.038584,-0.070577,0.045763,-0.17724,0.08371,0.016765,-0.12668,0.28011,0.17483,0.064201,-0.12783,0.1841,-0.10238,-0.0306,0.33338,-0.047721,-0.12441,0.15892,0.061218,-0.072242,-0.043951,-0.17885,-0.06229,-0.044033,-0.037824,0.20627,-0.034043,-0.19151,-0.023261,0.061588,0.062462,-0.086005,0.34844,0.019812,-0.073317,-0.062924,-0.092724,0.037908,0.045493,0.25753,-0.044781,0.11164,-0.076453,-0.0036662,-0.04868,-0.066718,-0.075206,0.27673
23,0.12025,0.19944,0.11721,0.063975,0.15783,0.08054,0.067269,-0.1681,0.068463,0.063427,-0.030315,-0.01816,-0.2269,0.25806,0.16662,0.0087715,0.099924,-0.179,0.19887,-0.15345,0.011661,0.032311,0.20469,1,0.14921,0.058344,-0.2737,0.11396,-0.098013,-0.21328,0.13986,0.099189,-0.034537,0.30403,0.11771,-0.098124,0.21552,-0.16072,0.05007,0.13469,0.16732,0.037336,-0.090331,-0.13935,0.062227,-0.19466,-0.091392,0.056887,0.33735,-0.052009,-0.42382,0.16459,0.29653,-0.035825,-0.15548,-0.034059,0.0018703,0.14953,0.30251,-0.11884,-0.053603,0.13021,0.099805,-0.0060461,-0.11875,0.12712,-0.14025,-0.036929,-0.01752,0.082354,0.42888,0.20252,-0.03416,-0.098212,0.078705,-0.030616,-0.043157,-0.19353,-0.44238,-0.23229,0.026834,0.16323,-0.086551,-0.22707,-0.26904,0.017569,0.16024,0.088528,0.19668,-0.064244,0.083114,0.076643
24,-0.43586,-0.19149,-0.24193,-0.1998,-0.26973,-0.20736,-0.25417,-0.39602,-0.18638,-0.27507,-0.3286,-0.31011,-0.34897,-0.12527,0.012284,-0.23772,-0.021156,-0.58358,-0.043486,-0.10751,0.069754,-0.01695,-0.10214,0.14921,1,0.030005,0.046638,0.39003,-0.14577,-0.075175,-0.14125,0.20533,0.23125,0.23411,0.10377,0.19397,-0.0060036,0.098065,0.019894,-0.038643,0.29835,0.13291,0.20619,-0.025568,0.034721,0.014854,0.12398,0.27212,0.36139,0.14923,-0.019249,0.086624,0.20009,-0.23711,0.0735,0.082267,0.29977,0.0093534,-0.083272,0.041469,-0.10304,-0.03683,0.092685,-0.074025,-0.050869,-0.011166,-0.0084473,0.13062,-0.06231,-0.047076,0.016526,0.033909,-0.13669,-0.29152,0.18021,-0.20255,0.061029,-0.067315,-0.11414,0.022761,0.12984,-0.1552,-0.11845,-0.35433,-0.14644,-0.19334,-0.12491,-0.08055,-0.030541,-0.12,0.029327,0.099276
25,0.30792,0.21299,0.29104,0.04741,0.36743,0.31409,0.32856,0.15649,0.24515,0.10433,0.15795,0.28008,0.19894,0.38152,0.34422,0.23927,0.18168,0.061921,-0.0028202,-0.034147,-0.14895,0.19108,0.11356,0.058344,0.030005,1,0.06282,0.18195,-0.12848,-0.086909,0.14966,0.24698,-0.015571,-0.13617,-0.16386,-0.035959,0.41098,0.039931,-0.14472,-0.17585,-0.066263,-0.075539,0.11594,-0.15321,0.10923,-0.1794,0.061767,0.19909,0.10084,0.18629,0.043882,0.29366,-0.019792,0.17313,-0.11837,0.0001882,0.10437,-0.18334,-0.012941,-0.076503,-0.090889,0.2052,-0.13641,-0.16392,-0.057432,-0.1124,-0.319,-0.086406,0.2056,-0.034997,0.081114,-0.19873,-0.056903,0.36686,0.043234,0.10581,0.29645,0.1491,-0.094843,-0.076006,0.35091,0.10604,0.068128,0.21371,-0.062354,0.35969,0.015989,0.1802,0.12614,-0.28305,0.028019,-0.039127
26,-0.1243,-0.12235,0.068133,0.082857,-0.057123,-0.11166,-0.033858,0.043285,0.066274,0.020309,0.05245,0.010025,0.067398,0.028685,0.045055,0.038461,-0.14807,0.04378,-0.11449,0.11001,-0.11506,0.063166,0.10794,-0.2737,0.046638,0.06282,1,-0.20662,0.088275,0.17524,0.20196,0.055269,0.19968,0.28263,-0.070517,-0.12712,0.23553,0.1854,0.15183,-0.093841,0.072597,0.095404,0.25756,0.082361,0.14696,0.016792,0.1923,-0.13403,0.013911,0.0091809,0.068186,0.14137,0.13298,0.067845,-0.11135,0.037297,0.24556,-0.086499,-0.0040659,0.096163,0.039218,0.093644,-0.23909,-0.092199,0.28874,0.053635,0.029727,0.14135,0.11718,0.13362,-0.10672,-0.22112,0.10558,-0.079184,0.096998,-0.43311,-0.118,-0.046302,0.13087,-0.0055735,0.12444,-0.23086,0.1698,0.066924,0.13141,0.08983,-0.080956,0.093518,-0.026526,0.060107,0.031659,0.09265
