,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
10,0.85095,0.87868,0.85344,0.81958,0.86594,0.81007,0.83043,0.80017,0.86589,0.79732,1,0.82172,0.81662,0.72932,0.70499,0.87304,0.82788,0.85657,0.80461,0.63418,0.79982,0.75706,0.75936,0.76099,0.69811,0.55845,0.55653,0.52688,0.68853,0.60977,0.58592,0.48287,0.58154,0.51448,0.25911,0.47609,0.39998,0.5034,0.25022,0.15169,0.33939,-0.089746,0.19846,0.25372,0.20956,0.098299,0.1536,0.094811,0.013166,-0.058192,-0.15675,-0.19377,-0.23672,-0.20345,-0.1154,-0.3348,-0.033347,0.0079052,-0.16642,0.12707,-0.092809,0.05828,0.027257,0.16928,-0.20203,0.14558,-0.10441,0.12189,-0.088309,0.033648,-0.096887,-0.12377,-0.16172,-0.058093,-0.11431,0.0058677,0.33879,-0.067696,-0.20993,-0.27939,-0.20882,0.056792,0.0054559,-0.067442,0.10502,-0.0045569,-0.12995,-0.17147,-0.051492,-0.01419,0.047421,0.11803,-0.25515,-0.091315,0.19045,-0.29292,0.11504,-0.11212,0.036895,-0.10065,-0.044171,-0.037806,0.24354,-0.050072,0.2756
11,0.80363,0.80702,0.75109,0.78404,0.80812,0.79972,0.81358,0.78968,0.88012,0.7575,0.82172,1,0.80174,0.72965,0.76423,0.77708,0.74179,0.81726,0.72904,0.66042,0.75175,0.63346,0.70039,0.76733,0.68901,0.41116,0.40655,0.57413,0.70202,0.70284,0.50668,0.47777,0.45242,0.58986,0.1854,0.41704,0.35861,0.46346,0.31376,0.14871,0.29274,-0.077922,0.19344,0.35061,0.23342,0.0096113,0.19667,0.25552,0.11305,-0.074092,-0.041222,-0.26658,-0.089431,-0.22359,0.14443,-0.27186,0.090131,-0.017871,-0.20178,0.21266,-0.17959,0.097913,-0.089334,0.050121,-0.065318,0.21987,-0.15059,0.11219,-0.051454,0.081688,-0.073096,-0.052015,-0.064609,-0.11378,0.039485,0.0036555,0.44794,-0.082984,-0.075183,-0.18813,-0.39031,0.036002,0.12717,-0.0061632,0.023896,0.056333,-0.021913,-0.1597,-0.13027,-0.023223,-0.080844,0.16637,-0.095644,-0.086912,0.25709,-0.24689,0.099945,-0.033748,-0.0014561,0.012616,-0.031681,-0.0091872,0.23151,0.018849,0.222
12,0.88393,0.88022,0.85818,0.80468,0.85613,0.89367,0.89591,0.81358,0.83485,0.83933,0.81662,0.80174,1,0.84837,0.73961,0.79226,0.81159,0.83204,0.71499,0.71557,0.75881,0.69826,0.75268,0.78957,0.78522,0.54692,0.61409,0.59018,0.68562,0.67198,0.59875,0.67499,0.7219,0.57267,0.088794,0.467,0.43206,0.44073,0.4036,0.26434,0.4241,-0.093001,0.29809,0.2835,0.13044,0.092587,0.2215,-0.071194,0.12723,-0.13333,0.012959,-0.21165,-0.12568,-0.22632,0.0099115,-0.22035,0.096162,-0.040031,-0.18039,0.19251,-0.1868,0.08184,-0.13633,0.14623,-0.23505,0.10409,-0.21877,0.12556,0.1864,-0.04084,-0.029541,-0.1098,-0.16545,-0.11184,-0.026125,-0.073879,0.43763,-0.049281,-0.1592,-0.32236,-0.21486,0.04857,0.039298,-0.079158,0.0213,-0.0017684,-0.07791,-0.251,-0.074289,-0.05969,-0.18275,0.098447,-0.11889,-0.21208,0.3737,-0.11547,0.027128,-0.092382,-0.05119,0.00063357,-0.052046,-0.043194,0.32949,0.13819,0.26805
13,0.86065,0.84516,0.80876,0.75054,0.78023,0.84992,0.85687,0.74426,0.79803,0.77877,0.72932,0.72965,0.84837,1,0.67447,0.78083,0.7791,0.79313,0.78592,0.73233,0.782,0.69489,0.71109,0.66455,0.67212,0.48399,0.64408,0.6253,0.6552,0.6319,0.59884,0.60418,0.61415,0.59987,0.1777,0.52385,0.44882,0.37172,0.52079,0.26622,0.41387,-0.060231,0.21258,0.27381,0.22543,0.18966,0.24234,0.046935,-0.0992,-0.092364,-0.019702,-0.26776,-0.14223,-0.10912,-0.045337,-0.21132,0.00051841,-0.010784,-0.1327,0.08772,-0.19568,-0.082698,-0.11507,0.13329,-0.20075,-0.020302,-0.11918,0.17617,0.20293,-0.030155,-0.068549,-0.15141,-0.14578,-0.063581,-0.058181,-0.063161,0.3094,-0.13525,-0.16638,-0.26318,-0.2988,0.077017,-0.066641,-0.032313,0.091766,-0.028756,-0.12195,-0.30931,-0.097648,-0.073475,-0.11534,-0.11078,-0.15175,-0.19322,0.28872,0.045617,0.13858,-0.054918,0.083597,0.067116,-0.024958,0.032953,0.45872,0.026873,0.13869
14,0.81196,0.82533,0.7492,0.73776,0.7498,0.75628,0.76444,0.74513,0.8009,0.7905,0.70499,0.76423,0.73961,0.67447,1,0.65987,0.74009,0.80053,0.66958,0.68551,0.70454,0.67858,0.66697,0.77823,0.62335,0.51354,0.66547,0.59999,0.65716,0.68613,0.35843,0.55782,0.62993,0.42411,0.17173,0.52247,0.40227,0.4043,0.36967,0.12687,0.26848,-0.16669,0.29775,0.17338,0.049839,0.10286,0.099924,0.0061836,-0.010098,-0.11357,-0.26195,-0.10797,-0.15778,-0.13697,0.14134,-0.33915,-0.065286,-0.037501,-0.23286,0.20985,-0.19148,0.071673,-0.24116,0.23557,-0.066138,0.028129,-0.24275,0.063911,0.0773,0.18028,0.084794,-0.3091,-0.20055,-0.2455,-0.048485,0.014815,0.42537,-0.031828,-0.029043,-0.037998,-0.32668,0.059218,0.087318,-0.051475,-0.028693,0.084773,-0.12552,-0.22586,0.058711,-0.10522,-0.086891,0.16149,-0.1597,-0.25275,0.29388,-0.19329,-0.016132,0.043896,0.10462,-0.062068,-0.16974,0.081754,0.30221,-0.040461,0.24925
15,0.85586,0.86326,0.84077,0.81713,0.78897,0.78783,0.84916,0.78807,0.82294,0.77661,0.87304,0.77708,0.79226,0.78083,0.65987,1,0.81072,0.83467,0.75186,0.68559,0.7963,0.7711,0.78636,0.75024,0.73231,0.5977,0.5316,0.62436,0.73271,0.64542,0.61322,0.43953,0.52319,0.48636,0.38302,0.4237,0.39549,0.44329,0.25572,0.22582,0.47306,-0.057645,0.12198,0.33545,0.22023,0.040579,0.18944,0.11432,0.01369,-0.066393,0.036508,-0.25419,-0.2246,-0.22365,0.045373,-0.24996,-0.0013848,0.053354,-0.17916,0.16648,-0.23524,-0.13,-0.099198,0.13807,-0.26987,0.10734,-0.041774,0.087891,-0.1608,-0.074257,-0.11791,-0.22704,-0.10612,-0.063348,-0.15801,-0.0067123,0.27325,-0.06028,-0.14429,-0.15592,-0.22663,0.015592,-0.019263,0.1382,0.10762,0.10714,-0.19677,-0.19804,0.014786,-0.064463,0.075923,0.020184,-0.14858,-0.017121,0.21133,-0.26896,0.2645,-0.036373,0.12984,-0.032895,0.02871,0.028708,0.21798,-0.090655,0.16906
16,0.84281,0.85286,0.82886,0.77656,0.84314,0.83417,0.81983,0.77741,0.8344,0.76452,0.82788,0.74179,0.81159,0.7791,0.74009,0.81072,1,0.78893,0.73362,0.74424,0.81944,0.68973,0.7084,0.73511,0.62266,0.55081,0.53278,0.61563,0.72534,0.59415,0.48564,0.39492,0.60534,0.54019,0.26871,0.50607,0.34136,0.36193,0.39892,0.14375,0.37499,-0.073221,0.11229,0.31339,0.049152,0.12622,0.20871,-0.00623,-0.10615,-0.054703,0.0092216,-0.13474,-0.11354,-0.15201,-0.10048,-0.24592,0.055224,-0.16099,-0.10485,0.22233,-0.26003,0.11627,-0.040502,0.22825,-0.32779,0.018654,-0.18671,-0.056849,-0.055032,-0.066463,0.10568,-0.13383,-0.29308,-0.15959,-0.057404,0.068863,0.30139,0.030453,-0.17595,-0.19324,-0.2375,0.0080897,-0.036195,-0.063039,0.13118,-0.054172,-0.098969,-0.21524,-0.092004,-0.092024,-0.10546,0.05688,-0.13512,-0.054906,0.37076,-0.14436,0.064057,-0.1133,0.097074,-0.02236,0.083198,0.0155,0.28557,-0.084229,0.20708
17,0.90163,0.89611,0.86735,0.80232,0.83849,0.86189,0.86132,0.81268,0.86629,0.87842,0.85657,0.81726,0.83204,0.79313,0.80053,0.83467,0.78893,1,0.77515,0.73938,0.79289,0.77594,0.70428,0.762,0.76589,0.54645,0.6235,0.66477,0.71283,0.69315,0.55498,0.61465,0.68652,0.54604,0.1851,0.6317,0.39471,0.53995,0.30973,0.34412,0.30848,-0.15511,0.36987,0.23643,0.24145,0.19671,0.20215,0.042095,0.063294,-0.024191,-0.13486,-0.22938,-0.16996,-0.19894,-0.042294,-0.3085,0.0064913,-0.025783,-0.26195,0.096626,-0.053766,-0.0036745,-0.093063,0.17596,-0.17248,0.13552,-0.11532,0.15005,0.020777,0.037331,-0.058384,-0.1927,-0.25271,-0.13576,-0.17909,-0.079478,0.34462,-0.052648,-0.042027,-0.18137,-0.23973,0.044635,0.026934,-0.032417,0.12088,0.030508,-0.057472,-0.1358,-0.057267,-0.1376,0.0011624,0.20331,-0.26451,-0.11744,0.25429,-0.2625,0.14602,-0.10422,0.030358,-0.042451,-0.13569,0.0070892,0.26979,-0.057305,0.18425
18,0.84809,0.81342,0.84715,0.8009,0.80235,0.78253,0.74316,0.74666,0.75379,0.75627,0.80461,0.72904,0.71499,0.78592,0.66958,0.75186,0.73362,0.77515,1,0.60881,0.72133,0.72886,0.65664,0.66562,0.68137,0.43185,0.62769,0.58044,0.54505,0.6421,0.43631,0.43836,0.62569,0.41689,0.11804,0.5413,0.45378,0.50123,0.33945,0.095757,0.19009,-0.0088614,0.24908,0.25981,0.28672,0.074419,0.057791,0.057796,-0.24244,0.077916,-0.11155,-0.15843,-0.30727,-0.055376,-0.17115,-0.35386,-0.081402,-0.0014145,-0.019253,0.045874,0.019265,-0.17431,0.10893,0.011048,-0.16534,0.094228,-0.012724,0.1388,0.10918,0.02741,-0.057952,-0.21995,-0.28568,-0.019828,-0.10287,0.066433,0.31342,-0.19974,-0.010477,-0.23293,-0.38063,0.022758,-0.072694,-0.03402,0.15637,0.019042,-0.031512,-0.33129,-0.078409,-0.049706,-0.00030428,-0.054779,-0.31179,-0.12803,0.17589,-0.16835,0.33642,0.041206,0.28796,-0.15133,-0.11795,-0.080186,0.39614,-0.1143,0.2085
19,0.7769,0.76874,0.74256,0.70797,0.73341,0.83554,0.76988,0.70671,0.79944,0.74001,0.63418,0.66042,0.71557,0.73233,0.68551,0.68559,0.74424,0.73938,0.60881,1,0.81054,0.63266,0.51757,0.66558,0.62148,0.63093,0.49017,0.64528,0.69746,0.67409,0.53317,0.40906,0.61453,0.43159,0.18945,0.32054,0.39557,0.41823,0.2589,0.18708,0.30149,-0.061507,0.32337,0.32872,-0.015481,0.25525,0.14469,-0.037348,-0.19406,-0.11327,-0.10911,-0.32559,-0.037285,-0.015408,-0.10434,-0.14669,0.047134,-0.075112,0.0018436,0.13076,-0.21901,0.064813,-0.26188,0.011823,-0.33845,0.027535,-0.24125,0.069546,-0.015736,0.016209,-0.036917,-0.30023,-0.14262,-0.26709,-0.1229,-0.033833,0.28227,0.11291,0.0071343,-0.14234,-0.19369,-0.063485,-0.13652,0.066142,0.092966,0.050161,-0.12728,-0.26182,-0.14253,-0.053471,-0.079586,-0.12275,-0.027211,-0.0022011,0.29992,-0.16919,0.14563,-0.036307,0.054571,0.1228,-0.030297,0.018604,0.40406,-0.11557,0.12768
