,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
10,0.076339,0.0034794,-0.0024829,0.10027,0.23897,0.12025,0.023706,0.1641,0.20719,0.13165,1,0.025151,0.0021163,0.047693,-0.095179,-0.021702,0.089982,0.23267,0.28215,0.22599,-0.060947,0.13932,-0.13507,0.040204,-0.10826,0.17913,0.078255,0.075372,0.10153,0.042122,-0.08786,0.11777,-0.095521,-0.2359,0.12503,-0.1061,0.023912,0.25413,-0.28419,-0.40892,0.077818,-0.0081237,-0.082384,0.052155,0.29701,0.12384,0.015292,0.16123,-0.15293,-0.12251,-0.28976,0.32982,0.19559,0.23585,-0.054836,0.2032,0.13102,-0.064928,-0.13676,-0.21549,0.014187,-0.29163,0.075338
11,-0.11762,0.21782,0.022949,-0.19027,0.19286,0.01503,0.28309,0.43225,0.37866,0.20809,0.025151,1,0.39206,0.22921,0.24417,-0.046363,0.3411,0.070188,0.19058,0.028066,0.22668,0.25633,0.25248,0.38961,0.34506,0.11777,0.30833,0.30331,0.049689,0.19756,0.067114,0.14012,0.14595,0.10673,0.027014,0.14191,-0.043494,-0.066641,0.24519,0.002114,0.023173,-0.10085,0.10797,0.14872,-0.01033,0.34673,-0.23017,-0.024701,-0.093316,-0.10906,0.08391,-0.036114,-0.011771,0.39806,-0.073177,-0.11195,0.19188,-0.17912,-0.1836,0.041593,-0.01866,-0.093932,-0.13042
12,0.024266,0.25462,0.035971,-0.101,0.36619,0.25291,0.15788,0.26781,0.42221,0.49112,0.0021163,0.39206,1,0.24321,0.32094,-0.033717,0.30514,0.12131,0.04211,0.24554,0.32329,0.5534,0.24177,0.18527,0.22847,0.10474,0.41406,0.064295,-0.0037039,0.16225,0.027715,-0.055976,0.0088968,0.10184,-0.003172,0.15465,0.086292,0.27433,-0.074537,0.096918,-0.010622,-0.0056402,0.059071,-0.13953,-0.058114,0.33535,0.014344,-0.0021716,-0.020356,0.17923,-0.0014521,0.051996,0.098156,0.19921,-0.16727,-0.027226,0.21837,-0.092641,-0.082184,0.023713,0.10191,0.0041089,0.04045
13,0.14686,0.054144,0.2668,0.18888,0.30444,0.24125,-0.0018741,0.16215,0.25657,0.17825,0.047693,0.22921,0.24321,1,-0.096916,0.096458,0.15987,0.16655,0.13748,0.31828,-0.062031,0.013428,0.19323,0.35244,0.14143,0.14744,0.18678,0.10281,0.067675,0.38343,0.11694,-0.081748,-0.007952,0.3257,0.10023,0.41029,0.022151,0.26399,-0.0028566,0.17395,0.17796,0.016249,0.08958,0.036293,-0.044562,-0.024483,-0.086527,0.059773,0.12737,0.060967,-0.11532,0.071361,0.0049086,-0.2288,-0.01135,-0.073694,0.23294,-0.15512,-0.40073,0.064623,-0.10567,-0.034548,-0.0023677
14,-0.043502,0.12151,-0.14182,0.018745,0.22807,0.15137,0.11664,0.12437,0.16979,0.16381,-0.095179,0.24417,0.32094,-0.096916,1,-0.074665,0.38329,0.056713,0.21603,0.038892,0.099472,0.24014,0.13726,0.33723,0.23943,0.035552,0.14423,0.066175,-0.045114,0.024871,0.16342,-0.0079437,0.051994,-0.029581,0.01676,0.24492,-0.086493,0.21186,0.039822,0.18664,0.13028,-0.27504,-0.23068,0.026258,-0.22469,0.1821,0.090298,-0.14672,-0.086031,0.088551,-0.040702,-0.15576,0.025078,0.24298,-0.028746,-0.2293,0.027368,0.034401,0.11111,0.040286,-0.34476,0.17024,-0.078168
15,0.23976,0.10691,0.25349,0.32001,0.14695,0.073455,0.20467,-0.14404,0.29303,0.06503,-0.021702,-0.046363,-0.033717,0.096458,-0.074665,1,0.24153,0.26658,0.19381,0.20697,-0.341,0.24156,0.39742,-0.074494,0.016228,0.24734,0.25829,0.0065385,-0.14575,-0.077556,-0.0098391,0.16112,-0.080645,0.22876,0.24551,0.048588,-0.061654,0.06509,0.19279,0.15514,-0.051684,-0.067755,0.029839,0.12054,-0.19155,-0.19039,0.11838,-0.11027,0.034375,-0.067611,0.1268,0.25413,0.097505,-0.084583,-0.14301,0.13688,0.045765,-0.19455,-0.16892,0.03313,0.040083,0.34448,-0.16369
16,0.17733,0.10305,0.17017,0.044954,0.40089,0.23646,0.37658,0.35039,0.32159,0.40413,0.089982,0.3411,0.30514,0.15987,0.38329,0.24153,1,0.34542,0.36583,0.23424,0.019183,0.30984,0.41361,0.17362,0.3075,0.21984,0.29898,-0.010806,0.20261,0.24335,0.073347,-0.037061,-0.0057398,0.31555,0.15716,0.14441,0.04786,0.34386,0.065122,-0.087827,0.0064396,0.024544,-0.014491,0.0022523,-0.14137,-0.1068,0.028043,-0.068742,-0.039363,-0.25549,-0.1232,0.011017,-0.11808,0.032984,-0.19627,0.034111,-0.097437,0.081224,0.026809,0.051961,0.04448,0.13324,-0.073599
17,0.19217,0.23425,0.098996,0.15752,0.41388,0.19562,0.19255,0.22858,0.043024,0.36388,0.23267,0.070188,0.12131,0.16655,0.056713,0.26658,0.34542,1,0.48796,0.31547,0.13837,0.016835,0.29818,0.085914,0.16555,-0.0010801,0.14219,0.17636,0.12437,0.37659,0.042238,0.12697,0.043629,0.038457,0.22097,0.023632,-0.030367,0.14808,0.027622,-0.007292,-0.042271,0.20954,-0.063293,-0.2017,-0.077446,-0.28583,0.23164,0.089847,-0.26732,-0.26365,-0.18068,0.065438,0.041001,-0.33718,-0.12944,0.15824,0.044852,-0.049416,-0.21933,-0.063282,0.2083,0.21412,0.12307
18,0.047404,0.30478,0.34911,0.095689,0.35008,0.043352,0.060087,0.049394,0.043393,0.15092,0.28215,0.19058,0.04211,0.13748,0.21603,0.19381,0.36583,0.48796,1,0.038193,-0.048529,0.20463,0.29834,0.15169,0.24387,0.075271,0.3336,-0.12416,-0.092962,0.40341,0.131,-0.0565,0.094426,-0.090163,0.097425,0.14336,-0.011122,0.11166,0.17026,-0.053569,0.091988,-0.056621,0.128,0.031235,-0.11805,-0.14496,-0.096704,0.11012,-0.22201,-0.10301,0.085045,0.22343,0.15273,-0.1102,-0.16366,-0.14054,-0.063961,-0.25881,-0.37083,-0.02229,-0.12222,0.18476,-0.36006
19,0.23464,0.06547,-0.015547,0.22757,0.36856,0.17162,0.39043,0.2511,0.36762,0.078385,0.22599,0.028066,0.24554,0.31828,0.038892,0.20697,0.23424,0.31547,0.038193,1,-0.11103,0.1153,0.19167,0.25523,0.12414,0.17753,-0.097333,-0.10944,0.1821,0.21927,-0.17213,0.025513,0.028725,0.27036,0.071236,0.23689,0.19733,0.37464,0.10743,0.0080082,0.15195,-0.17027,0.071315,0.071614,-0.15827,0.16914,0.088166,-0.024559,-0.031104,0.20402,-0.1138,0.36647,0.16151,-0.1182,0.074102,0.37213,0.26852,-0.099424,-0.10734,-0.080789,-0.13834,-0.049248,0.26881
