,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,-0.075188,0.14985,-0.022777,0.19034,-0.038214,-0.042257,0.3055,0.074759,0.11991,0.1696,1,0.20653,0.14863,0.14593,0.35566,0.35335,0.20219,0.070217,0.24841,0.18188,0.26552,0.09436,0.38883,0.14725,0.46065,0.49628,0.34023,0.29997,0.20176,0.18458,0.25303,0.27868,0.04518,0.13644,0.17774,0.32135,-0.18547,0.058588,0.30181,0.14694,0.18346,-0.026193,0.13833,0.027712,0.29278,0.15277,0.058917,0.057748,0.1743,-0.090709,-0.12332,-0.039716,-0.16071,0.2978,0.30082,0.13622,-0.24199,0.060494,-0.13292,0.0051855,-0.0016659,-0.0029224,0.33778,0.27856,-0.064195,0.034542,-0.16429,-0.029674,-0.14502,-0.067785,-0.03289,-0.12358,0.016156,0.091657,0.23961
11,0.10182,0.12616,0.050244,-0.14383,0.13111,0.14601,0.30051,0.16896,0.33094,0.0005016,0.20653,1,0.35608,0.17272,0.31904,0.21266,0.18493,0.33328,0.30564,0.12034,0.29492,0.11869,0.41834,0.086813,-0.083551,0.17601,0.28938,0.19873,0.56465,0.24581,0.23877,0.1683,0.29838,0.092957,0.074173,0.12891,-0.015206,0.32116,0.1613,-0.11935,-0.16839,0.29485,-0.074331,0.014109,0.28857,-0.097096,0.28877,0.047618,0.27936,-0.16693,0.016913,-0.041327,0.020529,0.22465,0.11373,-0.010444,-0.057508,0.074474,0.007348,0.059524,0.21073,0.20873,0.12704,0.34536,-0.1388,0.13901,-0.22471,-0.0082337,-0.14032,-0.23029,-0.27271,0.25328,-0.021305,0.25632,0.02337
12,0.079477,-0.11119,0.11726,-0.21669,-0.1469,0.00064748,0.40178,0.40591,0.46659,0.11773,0.14863,0.35608,1,0.38515,0.33538,0.36237,0.085391,0.33697,0.18769,0.24002,0.21832,0.37718,0.15265,0.35349,0.16472,0.15886,0.44544,0.37346,0.40208,0.30397,0.62073,0.28951,0.15808,0.1841,0.16043,-0.044572,0.024822,0.31505,0.17337,0.085825,0.11782,-0.024575,0.11599,0.0040982,0.23645,-0.06328,0.24317,0.18061,0.43213,-0.15978,-0.24814,0.099052,0.12104,0.1142,0.066412,0.058477,-0.21432,0.0073652,-0.13866,0.15755,0.26982,-0.079881,0.0066636,0.054329,-0.43529,0.19423,-0.27513,-0.091538,-0.022642,-0.19323,-0.23478,0.19805,-0.12772,0.094538,0.17723
13,-0.067343,-0.066799,-0.16898,0.23168,-0.040474,-0.014075,0.25317,0.44331,0.15636,0.11142,0.14593,0.17272,0.38515,1,0.19128,0.37286,0.49493,0.4058,0.11945,0.3126,0.30472,0.39984,0.096982,0.26178,0.38095,0.25485,0.25307,0.46216,0.17518,0.27821,0.28706,0.012002,-0.052299,0.32713,-0.28972,0.098571,0.16902,0.11925,0.034615,-0.075573,0.1434,-0.020184,0.14158,-0.036469,0.19143,0.14864,0.17124,0.18499,0.13921,0.029719,-0.074012,0.27601,0.021068,0.037607,-0.0663,0.0094879,-0.01103,0.092673,0.0041541,0.040447,0.25553,-0.3645,-0.12912,0.19471,-0.3247,-0.18336,-0.12405,-0.15597,-0.0063235,0.12332,-0.2198,0.16186,-0.34069,0.13267,-0.0082702
14,0.0034342,-0.020466,0.10753,0.14465,0.078778,0.077953,0.28576,0.2868,0.24612,0.085256,0.35566,0.31904,0.33538,0.19128,1,0.30583,0.079275,0.19339,0.1536,0.19787,0.28183,0.19984,0.37889,0.0946,0.32955,0.26795,0.22385,0.10088,0.41161,0.20478,0.2126,0.40233,0.26836,0.27108,0.24005,0.035446,0.082916,0.1271,0.060772,0.029128,0.13386,-0.068117,0.12223,-0.021912,0.19612,-0.022064,0.13,0.088874,0.0093222,0.24346,-0.10298,0.0021364,-0.14547,0.33605,-0.069202,0.016499,0.060809,0.18002,0.16094,0.074035,0.45417,-0.047426,0.055255,0.27847,-0.21089,-0.15379,0.11206,-0.096373,0.08183,-0.17807,-0.3001,-0.0043495,-0.076726,0.085034,0.23406
15,-0.032832,-0.042155,0.01217,0.00074487,-0.01572,0.26964,0.35208,0.029428,0.33069,0.13033,0.35335,0.21266,0.36237,0.37286,0.30583,1,0.36185,0.34383,0.24153,0.090178,0.24207,0.37885,0.39806,0.35268,0.27381,0.16835,0.14868,0.2263,0.20929,0.22137,0.32272,0.00053396,0.11962,0.082008,-0.22237,0.097866,-0.067855,0.38202,0.1242,0.019645,0.32175,0.13648,0.051682,-0.029812,0.39682,0.21563,0.20603,0.069675,0.25603,-0.0032669,0.034089,0.079349,0.1255,0.37792,0.21249,-0.12215,-0.0046736,0.02107,0.064703,0.04844,0.17828,0.076971,-0.12044,0.029266,-0.32346,0.23711,-0.020272,-0.0083513,0.12321,-0.036278,-0.17521,0.16345,0.10481,0.19004,0.17764
16,0.14092,0.095353,-0.082582,0.29762,0.099112,-0.053684,0.10703,0.045707,0.0035833,-0.037304,0.20219,0.18493,0.085391,0.49493,0.079275,0.36185,1,0.24826,0.015222,0.10945,0.28729,0.026217,0.28008,0.24353,0.36721,0.1288,0.36179,0.28089,-0.027532,0.077917,0.25959,-0.20649,0.029373,0.22096,-0.32732,0.016521,0.031662,0.053387,0.16266,0.066807,-0.011071,-0.023844,0.12654,0.011241,0.14935,0.2733,0.26555,0.30333,0.2367,-0.1742,-0.076825,0.12873,-0.016263,-0.18677,0.063272,0.024255,0.050183,0.20743,0.11463,0.19762,0.053444,-0.1955,-0.042351,0.099179,-0.22382,0.082499,0.041233,0.031392,-0.11257,0.1508,0.047112,0.21749,-0.087796,0.0037571,-0.034321
17,0.064324,-0.069844,-0.20157,0.12546,0.015059,-0.082033,0.34532,0.48149,0.37018,0.053012,0.070217,0.33328,0.33697,0.4058,0.19339,0.34383,0.24826,1,0.27193,0.035377,0.23844,0.22203,0.22605,0.40365,0.22511,0.15703,0.059959,0.22711,0.29939,0.089649,0.2151,-0.21007,0.126,0.22765,-0.30177,-0.22561,0.18593,0.025969,-0.10321,0.16418,0.028417,0.24041,0.21428,-0.24097,0.043326,-0.13327,0.27116,0.13946,0.042856,-0.041585,-0.050464,0.044952,0.035309,0.17529,0.076624,0.11168,0.092336,0.22006,0.11026,0.25395,-0.13265,-0.031404,0.027047,0.074244,-0.38176,0.13118,-0.25265,-0.27569,-0.027776,-0.028367,-0.047062,0.14167,-0.08388,0.27463,0.066618
18,-0.17274,0.14216,0.22216,-0.065977,-0.19127,0.051241,0.29779,0.16932,0.098206,0.20002,0.24841,0.30564,0.18769,0.11945,0.1536,0.24153,0.015222,0.27193,1,0.17454,0.33445,0.24645,0.31105,0.24785,0.17761,0.57938,0.2414,0.098072,0.20472,0.25464,0.26154,0.33601,0.043587,0.23129,0.20491,-0.028429,0.20687,0.32981,0.15926,0.090995,0.095364,0.16486,0.22513,-0.01599,0.04549,-0.049898,0.2291,-0.16036,0.16187,-0.14595,0.30737,-0.025304,0.20882,0.48449,0.28466,0.085815,0.050002,0.092025,0.13931,-0.19256,0.084006,0.096627,0.098056,0.092131,0.0038288,-0.10287,-0.35186,-0.042134,-0.11679,-0.0409,0.03673,-0.087234,0.20427,-0.12509,-0.027994
19,0.060338,0.07291,-0.050848,0.21762,-0.13781,0.10138,0.0062276,0.23683,8.4457e-05,0.13347,0.18188,0.12034,0.24002,0.3126,0.19787,0.090178,0.10945,0.035377,0.17454,1,0.35693,0.15137,0.27172,0.15016,0.22978,0.15263,0.35145,0.2712,0.22194,0.42061,0.3334,0.22095,-0.10606,0.2651,0.13094,-0.01004,-0.10537,0.14399,-0.043823,0.065802,0.15608,0.1197,0.047417,0.090895,0.027113,0.10529,-0.069499,-0.25596,0.16129,-0.089214,-0.042566,0.18935,-0.20872,0.12877,-0.1428,-0.17038,0.11799,0.1244,-0.16008,0.21824,-0.040193,-0.10132,-0.050584,0.19844,-0.19259,-0.1849,0.09856,0.055451,-0.35126,-0.008584,-0.08209,0.066176,0.011119,-0.095311,-0.12625
