,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
10,0.71517,0.63685,0.61442,0.71605,0.54963,0.6513,0.61781,0.66933,0.61793,0.37539,1,0.52043,0.60142,0.59103,0.33366,0.23639,0.33927,0.10601,0.31491,0.40386,0.40848,0.47757,-0.092191,0.054459,0.091785,0.30462,-0.16908,0.1023,0.087534,-0.098537,-0.26303,-0.02872,0.020165,-0.23704,-0.24282,-0.35964,-0.39253,-0.34244,-0.33726,-0.31368,-0.25348,-0.065403,-0.34939,-0.34395,-0.2043,-0.23809,-0.19174,-0.16197,-0.31821,-0.17638,0.0076423,-0.078749,-0.39779,-0.081243,0.24223,0.086914,-0.14667,0.022319,-0.087041,-0.001173,0.041576,-0.12114,-0.27743,-0.013373,0.038908,-0.011174,-0.16414,0.14142,-0.02182,0.041672,0.092257,0.19544,0.13204,0.084112,-0.017427,-0.067591,-0.037047,0.089768,-0.015422,0.19513,0.097516,0.084864,-0.10593,0.066473,0.29187,0.1298,-0.052678,0.13157,0.047782,0.069068,0.13093,-0.011084,0.08841,-0.11762,-0.086656,-0.1291,0.061875,0.034293,0.28515,0.34184,0.069233,0.058316,0.0040457
11,0.70859,0.6769,0.72583,0.65082,0.70365,0.6228,0.63044,0.56768,0.66087,0.40827,0.52043,1,0.59041,0.58469,0.50685,0.41651,0.17249,0.18286,0.11088,0.39617,0.37029,0.28914,0.068401,-0.061922,0.15658,0.18457,-0.43176,0.10091,0.10036,-0.1235,-0.19803,-0.086883,-0.11615,0.20376,-0.34302,-0.1091,-0.13654,0.049883,-0.34137,-0.26232,0.0068508,-0.18559,-0.30096,-0.24514,-0.33764,-0.16048,0.023085,-0.1179,-0.21676,-0.10319,-0.05207,0.034746,-0.1887,-0.016124,0.072737,-0.094414,-0.14469,0.13227,-0.11329,0.023177,-0.10613,-0.119,-0.23293,-0.070173,0.18773,0.016991,-0.069885,0.075332,-0.011129,-0.030933,-0.1116,0.076023,0.061296,0.0084444,0.043525,-0.22689,-0.20392,-0.27364,-0.30931,0.22704,-0.053404,0.086432,-0.37815,0.083703,-0.048807,-0.028135,-0.070545,0.28923,-0.021819,0.20035,0.16089,-0.10476,0.11845,0.069227,0.046012,-0.065066,0.064504,-0.0105,0.3007,0.47823,-0.055645,0.26528,-0.050786
12,0.69325,0.66012,0.74539,0.74565,0.69936,0.57827,0.68414,0.67537,0.75702,0.53858,0.60142,0.59041,1,0.61954,0.42265,0.42235,0.22692,0.23098,0.29357,0.27587,0.17148,0.26376,-0.13853,0.14457,0.25983,0.15594,-0.33434,0.2734,0.010462,-0.13565,-0.30763,0.11163,-0.40846,-0.023707,-0.13731,-0.27186,-0.022002,-0.20594,-0.20882,-0.1463,0.0097179,-0.20593,-0.19087,-0.16124,-0.17533,-0.24728,-0.14874,-0.19457,-0.31351,-0.031976,-0.039242,-0.091514,-0.22192,-0.16448,0.22868,0.033857,-0.18953,0.11458,-0.056342,-0.12824,-0.031104,-0.2519,-0.18278,-0.090731,-0.12594,0.028325,-0.048825,0.29877,-0.043955,-0.042136,0.0045768,0.12433,0.0097507,-0.038198,0.0087704,-0.10421,-0.22643,-0.023903,-0.14111,0.11438,0.1124,-0.059749,0.099103,0.090921,0.22428,-0.097178,0.16419,0.1334,-0.018143,0.19807,0.13923,0.076042,0.037111,0.074139,0.019097,-0.28734,0.038508,-0.057457,0.34654,0.28629,-0.056334,0.033681,-0.049726
13,0.70291,0.71702,0.65158,0.65545,0.63818,0.69466,0.69157,0.72151,0.70576,0.3377,0.59103,0.58469,0.61954,1,0.49321,0.43031,0.23781,0.27534,0.10332,0.32221,0.30477,0.30025,-0.17114,-0.096251,0.078072,0.072265,-0.3337,0.095767,-0.046392,-0.090062,-0.243,0.11821,-0.11806,-0.055736,-0.23014,-0.31059,-0.40048,-0.14971,-0.24718,-0.23978,-0.096179,0.034373,-0.22453,-0.33526,-0.19638,-0.17446,-0.26708,-0.15123,-0.28988,-0.18344,-0.16018,-0.018509,-0.37844,0.04487,0.10098,0.059089,-0.0033399,0.0052504,-0.10711,-0.051208,0.013926,-0.15748,-0.062283,-0.031849,0.070401,-0.070839,-0.082675,0.073106,-0.021098,-0.062181,0.057234,0.2343,-0.038465,0.060837,-0.034455,-0.033314,-0.17983,-0.090819,-0.056586,0.048733,0.035389,-0.14867,-0.13073,-0.012338,0.085166,0.17688,-0.10026,0.18905,0.035797,0.20225,0.4068,0.091269,0.14571,0.10461,0.011881,-0.12062,0.048307,0.098105,0.31564,0.097803,0.19384,0.20022,-0.10676
14,0.52394,0.58737,0.51637,0.4241,0.63115,0.60777,0.5415,0.54254,0.56206,0.39108,0.33366,0.50685,0.42265,0.49321,1,0.42836,0.1944,0.0691,0.055859,0.23444,0.23313,0.30001,-0.076878,-0.153,0.041241,-0.0050889,-0.32621,0.051192,-0.10978,0.011583,-0.19228,0.28246,-0.083476,0.10063,-0.043459,-0.15384,-0.094863,-0.16838,-0.07256,-0.24606,-0.046176,-0.24483,0.022994,-0.012644,-0.3469,-0.076454,-0.17026,-0.12183,-0.061751,-0.00023422,-0.2697,0.14958,-0.163,-0.17849,0.19313,0.18946,0.073788,-0.27808,-0.18759,-0.054578,-0.075138,-0.1393,-0.091345,-0.11089,0.054967,0.13685,0.21369,-0.035496,-0.052079,-0.10813,0.01799,0.098226,-0.1279,-0.10526,0.18593,-0.021769,-0.10002,-0.27135,-0.26951,-0.13911,0.065337,0.12979,-0.056316,-0.025791,-0.0024783,-0.24819,-0.029913,-0.021463,0.098816,0.18096,0.029245,-0.15049,0.33309,0.14192,-0.15097,0.09514,0.038797,0.21398,-0.050535,0.3336,0.17456,0.16966,-0.29221
15,0.44783,0.45678,0.57177,0.46052,0.51345,0.39728,0.42473,0.36888,0.58327,0.41345,0.23639,0.41651,0.42235,0.43031,0.42836,1,0.14267,0.16936,-0.018595,0.18068,0.06895,0.17862,0.066851,-0.12242,0.093055,0.029863,-0.13074,0.11712,-0.093331,-0.25174,-0.065618,0.013867,-0.13112,-0.12924,-0.21903,-0.11386,0.012579,-0.22048,-0.10727,-0.32485,-0.12106,-0.22559,-0.12748,0.053784,-0.33823,-0.3775,-0.075936,-0.090527,-0.16895,-0.10363,-0.21686,0.27861,-0.21437,0.037145,0.21661,-0.25214,0.0727,0.10546,-0.19962,-0.03983,-0.11909,0.0075647,-0.0799,-0.30463,-0.093996,-0.082125,-0.0043204,0.072847,-0.016834,-0.050545,0.12963,0.23389,0.010098,-0.0086539,-0.096587,-0.19759,-0.056418,-0.0057763,0.014195,-0.093982,-0.048652,-0.058541,0.042107,0.21624,0.2692,-0.21102,0.014292,-0.036482,0.18311,0.19953,0.18427,-0.12375,-0.03104,0.1467,0.12054,0.0029002,0.024077,-0.021243,0.16908,0.13048,0.2284,0.21837,-0.085578
16,0.35585,0.4295,0.34074,0.40972,0.28584,0.46868,0.36083,0.37567,0.42276,0.51696,0.33927,0.17249,0.22692,0.23781,0.1944,0.14267,1,0.26304,0.12185,0.2004,0.16292,0.27402,0.11252,0.080265,-0.19655,0.069709,-0.032819,0.12657,0.027854,0.1106,-0.14842,-0.28168,-0.13961,0.044184,-0.16538,-0.15958,-0.17899,-0.004131,-0.22406,-0.2698,-0.0034056,-0.023967,-0.09589,0.16569,0.16307,-0.10604,-0.17832,-0.13627,0.079971,-0.21531,-0.23679,0.23563,-0.17162,0.0026278,0.14747,-0.072997,-0.24432,0.33088,-0.11251,-0.049762,-0.15556,-0.38012,-0.20176,-0.050177,0.035672,-0.09767,0.38456,-0.015221,0.015821,-0.051894,0.037812,0.15289,-0.24134,0.29746,-0.19424,-0.029473,-0.25359,0.15681,0.0086848,0.085131,0.063361,0.086657,-0.29388,0.012448,0.26964,0.034462,-0.063842,-0.042782,-0.01595,-0.077063,0.16223,0.10982,-0.011544,0.17097,0.019643,0.038316,-0.13103,-0.24681,0.043562,0.27156,-0.017689,0.29295,0.28376
17,0.213,0.29414,0.1529,0.32136,0.33988,0.13397,0.12674,0.27538,0.31947,0.24097,0.10601,0.18286,0.23098,0.27534,0.0691,0.16936,0.26304,1,0.14556,0.054706,0.17554,-0.1648,-0.048517,0.017615,0.063884,0.16901,-0.12245,0.1575,-0.094252,0.066304,0.019232,0.11732,0.18114,-0.15193,-0.11632,0.0057453,-0.2511,-0.054673,0.05617,-0.24166,0.082866,-0.25277,0.028889,-0.062403,0.16236,0.052214,-0.20297,-0.066912,-0.026375,-0.14644,-0.16948,0.01266,-0.044514,0.15692,0.10428,-0.070949,-0.069349,0.13193,-0.31611,-0.24347,0.10781,-0.035298,-0.16147,0.031004,0.11067,-0.20709,-0.024055,0.060547,0.20475,-0.29624,-0.0020546,0.16419,0.054948,0.19779,-0.21418,-0.28257,-0.153,0.053093,-0.1729,0.087174,0.24145,-0.010989,0.16796,0.24664,0.037772,0.18228,-0.13947,-0.039706,-0.10521,-0.10019,0.20554,-0.030734,-0.058636,0.070615,0.42713,-0.266,0.1802,-0.11177,0.011302,0.040799,0.14528,0.22791,-0.042049
18,0.23566,0.08546,0.046865,0.28271,0.19995,0.26558,0.27097,0.1424,0.19442,0.045335,0.31491,0.11088,0.29357,0.10332,0.055859,-0.018595,0.12185,0.14556,1,0.18258,0.0020599,-0.0046593,0.26579,-0.028425,0.22277,0.35585,0.060486,-0.087219,0.18774,0.03575,0.10361,0.22965,0.22928,-0.25616,0.2333,-0.023163,-0.034534,-0.31159,0.086587,0.19808,-0.027839,0.034096,-0.085073,0.20465,-0.048344,0.01793,-0.044798,-0.094109,0.034202,0.196,-0.15436,-0.044536,-0.033915,-0.15115,-0.12449,0.22361,-0.21851,0.15866,0.099604,0.25629,0.034856,-0.13403,-0.34101,0.22702,-0.053553,0.14209,0.11902,0.19128,-0.16519,0.31439,-0.057038,0.21063,0.11969,0.21916,-0.034175,0.10731,-0.32365,-0.022376,-0.1062,-0.062017,0.15948,0.04448,0.20339,-0.058669,0.12194,-0.024434,0.073918,0.26994,-0.14431,-0.094625,0.11799,-0.079389,0.033322,-0.20022,-0.023585,-0.12695,0.13744,-0.11218,0.060157,-0.0022543,-0.27207,-0.10753,0.13842
19,0.54949,0.32718,0.55653,0.4334,0.3942,0.41544,0.38959,0.32562,0.46524,0.35753,0.40386,0.39617,0.27587,0.32221,0.23444,0.18068,0.2004,0.054706,0.18258,1,0.2486,0.28389,0.065101,-0.33229,-0.019536,0.1265,-0.18297,-0.069353,0.088449,-0.2508,-0.093158,-0.10871,-0.030348,0.13233,-0.18794,0.01268,-0.13874,-0.074233,-0.29538,-0.076965,-0.060214,-0.24853,0.013061,0.11114,0.014942,-0.27665,-0.11809,-0.29671,-0.20571,-0.096606,-0.22554,0.026225,-0.31885,-0.023445,0.11795,0.050833,0.04388,-0.10452,0.18857,0.098249,-0.23155,-0.020596,-0.016157,0.073729,-0.037715,-0.16323,-0.087865,-0.1179,-0.22132,0.00011597,-0.26167,-0.026152,0.42262,-0.1305,-0.23,-0.063293,0.12474,-0.084484,0.097075,-0.11001,0.061185,-0.033705,-0.33831,-0.087454,0.051711,-0.099707,0.18016,0.079792,0.082386,0.17054,-0.15925,-0.16293,0.088794,-0.16676,-0.17489,-0.26283,0.10093,0.0643,-0.040136,0.37566,-0.015578,0.13179,-0.072549
