,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
10,0.8608,0.87041,0.86295,0.85349,0.85908,0.8389,0.87875,0.85132,0.90679,0.76468,1,0.83361,0.78729,0.78481,0.77693,0.80605,0.8621,0.87559,0.70851,0.81244,0.72804,0.73502,0.57926,0.77707,0.75198,0.66603,0.79601,0.78248,0.67754,0.60934,0.65615,0.5708,0.55425,0.63394,0.58834,0.65004,0.35043,0.56639,0.43739,0.38186,0.49235,0.28974,0.31187,0.32959,0.19829,0.10869,0.24741,-0.17122,0.094526,-0.046506,0.053141,-0.073157,-0.081667,-0.07467,0.10874,-0.16244,-0.19638,-0.32204,-0.18593,-0.19535,-0.087191,0.026556,-0.0073534,-0.26572,0.2029,0.03993,-0.083528,-0.25051,-0.31261,-0.018815,-0.067302,-0.29888,-0.11648,-0.4178,0.0088813,-0.35575,-0.0029369,0.053959,0.18963,0.099164,0.11123,-0.31858,-0.036291,-0.052733,0.24619,0.023107,-0.22929,-0.14963,-0.12796,0.014793,0.24397,0.1491,0.12096,-0.19528,-0.029195,-0.32957,0.0048432,0.051597,-0.28634,0.08481,-0.17262,-0.036325,-0.12276,-0.31537,0.10071,0.35343,0.044365,0.031127,0.025328,0.20935,-0.16148,-0.054508,-0.06926,0.15765,
11,0.87154,0.87387,0.84082,0.8931,0.87329,0.85711,0.81365,0.80748,0.84462,0.75878,0.83361,1,0.73894,0.7409,0.68431,0.74139,0.79478,0.85146,0.81547,0.72996,0.74055,0.79065,0.60879,0.81979,0.68774,0.71165,0.80472,0.78198,0.70693,0.70624,0.57669,0.61591,0.53465,0.5665,0.53017,0.60655,0.25665,0.59515,0.33093,0.39521,0.54046,0.21527,0.29547,0.27947,0.15616,0.15622,0.25654,-0.23812,0.070189,-0.023159,0.045244,-0.24465,-0.041768,-0.20491,0.19172,-0.079074,-0.2026,-0.2675,-0.27005,-0.24839,-0.033726,0.011786,-0.060348,-0.223,0.16633,0.10742,-0.15637,-0.14204,-0.20472,0.0063744,-0.19022,-0.32158,-0.081588,-0.33947,-0.07513,-0.47936,0.01859,0.0051621,0.26806,0.0081128,0.0089273,-0.22942,-0.11019,-0.091076,0.18224,-0.077188,-0.15091,-0.027454,-0.074716,-0.046161,0.17665,-0.0096909,0.12877,-0.12113,-0.09988,-0.38709,0.091003,0.13019,-0.23216,0.10232,-0.10406,0.03033,-0.12898,-0.20162,0.10437,0.25034,-0.10509,0.042285,-0.051487,0.071156,0.0052662,0.045979,0.013523,0.070893,
12,0.77932,0.77608,0.73464,0.78392,0.776,0.77909,0.78852,0.71879,0.76933,0.77035,0.78729,0.73894,1,0.71617,0.79739,0.68254,0.80143,0.76721,0.72401,0.71759,0.62395,0.75009,0.55382,0.64452,0.72138,0.54873,0.73621,0.72719,0.52162,0.61833,0.6015,0.51178,0.49709,0.54063,0.59462,0.49576,0.35353,0.54801,0.34464,0.33965,0.5057,0.43225,0.19029,0.038467,0.22931,0.084744,0.14674,-0.24939,0.13835,-0.10098,0.10452,-0.19765,-0.1027,-0.045996,-0.070479,-0.17357,-0.052039,-0.35917,-0.27603,-0.11516,-0.020512,-0.010002,-0.13337,-0.14669,0.0087923,0.11129,-0.10213,-0.36181,-0.28531,0.064893,-0.092677,-0.30197,-0.1481,-0.34167,0.010677,-0.3624,-0.077371,-0.16822,0.064023,-0.081075,0.21005,-0.21783,0.0084173,-0.17036,0.12744,0.0011093,-0.20696,-0.040771,-0.071153,0.044067,0.25085,0.19976,0.19667,0.0030938,0.051008,-0.12777,-0.035384,-0.046091,-0.2539,0.078732,-0.20864,0.017907,0.009347,-0.29515,0.02721,0.29999,0.067575,0.040763,0.13008,0.16008,-0.10062,-0.12387,-0.069147,0.1576,
13,0.76312,0.80558,0.73027,0.80868,0.78049,0.79702,0.80406,0.75851,0.82208,0.57213,0.78481,0.7409,0.71617,1,0.72151,0.79208,0.7168,0.77992,0.76035,0.70696,0.61425,0.73315,0.70809,0.73753,0.64252,0.68871,0.68634,0.63109,0.49956,0.61605,0.61541,0.38478,0.58074,0.54207,0.47157,0.59484,0.36637,0.48659,0.51502,0.38415,0.53448,0.35089,0.25281,0.23594,0.17102,-0.011634,0.26241,-0.22067,0.078989,0.11383,0.068887,-0.059807,-0.0033615,-0.016147,0.18923,-0.22234,-0.078679,-0.25771,-0.24503,-0.067657,-0.13056,-0.045157,-0.063802,-0.089701,0.05004,0.055733,-0.22417,-0.16119,-0.21275,0.058977,-0.063969,-0.16332,-0.059992,-0.3078,0.0025916,-0.22995,0.017505,-0.069624,0.21743,0.072595,0.041406,-0.21866,-0.029803,-0.10345,0.28789,-0.058109,-0.17057,-0.12836,-0.066508,-0.068884,0.16098,0.28716,0.18995,-0.15222,0.028561,-0.2721,-0.031445,0.052583,-0.22207,0.03875,-0.12016,-0.025049,-0.03989,-0.23365,0.094284,0.34955,0.081995,-0.031729,-0.17037,7.1815e-05,0.038788,-0.03468,0.091734,0.1115,
14,0.8065,0.74492,0.80391,0.78567,0.80289,0.77461,0.82335,0.75569,0.81265,0.75786,0.77693,0.68431,0.79739,0.72151,1,0.80584,0.805,0.75815,0.65633,0.61814,0.67906,0.66254,0.47471,0.64078,0.71664,0.62018,0.61912,0.61627,0.40642,0.52044,0.6203,0.4085,0.51799,0.58606,0.51567,0.50215,0.49914,0.45663,0.4618,0.25245,0.35391,0.43409,0.15983,0.2019,0.11024,0.16576,0.21443,-0.18504,0.12294,-0.11162,-0.088151,-0.18631,-0.097666,-0.12425,-0.03916,-0.093122,-0.05845,-0.43414,-0.24095,-0.00082114,0.0024799,0.010313,-0.23398,-0.14073,0.11284,0.14088,-0.10926,-0.37354,-0.37967,0.16408,-0.22839,-0.44092,-0.054848,-0.38399,0.027526,-0.15117,-0.085808,-0.010467,0.21004,0.024147,0.053451,-0.1987,0.14718,-0.040497,0.26769,-0.040257,-0.21538,-0.036284,-0.056369,-0.22251,-0.03911,0.20896,0.2159,-0.038153,-0.043002,-0.16844,0.046851,0.099924,-0.26385,0.07134,-0.29104,0.017327,-0.17629,-0.26792,0.13733,0.17946,-0.013935,0.16504,0.14924,0.23779,-0.20121,-0.10869,-0.16736,0.098482,
15,0.86565,0.82938,0.84314,0.80662,0.83746,0.77176,0.8363,0.7695,0.87209,0.73837,0.80605,0.74139,0.68254,0.79208,0.80584,1,0.80267,0.81809,0.69108,0.75861,0.71512,0.71197,0.71162,0.65168,0.75113,0.68804,0.65345,0.70177,0.55321,0.55251,0.64348,0.49298,0.54382,0.59595,0.56895,0.54131,0.37234,0.52809,0.50658,0.27576,0.37375,0.32531,0.23188,0.24187,0.17255,0.14211,0.12778,-0.18919,0.11037,-0.044316,-0.095086,-0.14015,0.014661,-0.06883,0.033386,-0.15748,-0.16221,-0.45193,-0.21163,-0.052514,0.068121,-0.01162,-0.12207,-0.078298,0.1263,0.15274,-0.20093,-0.30335,-0.25694,0.081284,-0.11369,-0.32782,0.02293,-0.35489,-0.062485,-0.23342,0.023322,0.01798,0.30575,-0.045711,-0.0026414,-0.31573,0.09539,-0.19696,0.31836,-0.080689,-0.20077,-0.089601,-0.057014,-0.15376,-0.027695,0.11655,0.20361,-0.13092,-0.0088652,-0.38545,0.086634,0.068245,-0.29081,0.17128,-0.14775,0.043162,-0.04387,-0.40699,0.20099,0.19781,0.1048,0.062138,-0.036085,0.12816,-0.19318,-0.057801,-0.026067,0.05862,
16,0.81724,0.81065,0.85034,0.77375,0.85873,0.77978,0.86972,0.80509,0.85825,0.7079,0.8621,0.79478,0.80143,0.7168,0.805,0.80267,1,0.82703,0.68473,0.72098,0.73363,0.72353,0.52003,0.74956,0.82025,0.67553,0.74377,0.74501,0.54683,0.58803,0.65174,0.46394,0.49594,0.57344,0.50358,0.53886,0.29136,0.48855,0.4457,0.38219,0.39862,0.33297,0.27861,0.14881,0.076451,0.2074,0.16628,-0.13971,0.11757,-0.06638,-0.03327,-0.12788,-0.060355,-0.10756,-0.023808,-0.055127,-0.19304,-0.40217,-0.25214,-0.19503,0.032846,0.024487,-0.0078944,-0.18653,0.16966,0.1178,-0.20288,-0.25175,-0.24723,0.032311,-0.16838,-0.35791,-0.20163,-0.29222,0.0090182,-0.29309,0.0073144,-0.039088,0.25602,0.01007,0.14994,-0.24056,0.057834,-0.035414,0.23551,-0.10457,-0.21512,-0.098694,-0.15695,-0.048626,0.087407,0.18279,0.12164,-0.016698,-0.16106,-0.24731,0.0056937,0.021244,-0.33253,0.037803,-0.1226,0.088953,-0.080608,-0.2526,0.090432,0.1986,0.091483,0.0071287,0.040057,0.18736,-0.23216,-0.020139,-0.24263,0.010804,
17,0.87599,0.82414,0.84089,0.83702,0.86307,0.85883,0.89516,0.78698,0.86723,0.76091,0.87559,0.85146,0.76721,0.77992,0.75815,0.81809,0.82703,1,0.77997,0.70883,0.84645,0.77131,0.65229,0.75804,0.78585,0.675,0.74635,0.78064,0.5893,0.71606,0.63845,0.58569,0.58432,0.56945,0.55484,0.61084,0.40396,0.51051,0.49778,0.35782,0.51132,0.31685,0.28727,0.21877,0.20599,0.13553,0.19112,-0.19374,0.042412,-0.043609,0.026836,-0.20244,-0.11713,-0.15902,0.18697,-0.15511,-0.27267,-0.30409,-0.21159,-0.12699,-0.11159,-0.075406,-0.018522,-0.20545,0.12225,0.058112,-0.16963,-0.28174,-0.20599,0.070995,-0.16036,-0.31979,-0.079426,-0.38708,0.0057776,-0.45303,-0.0033006,0.081105,0.31543,0.043093,0.10934,-0.26569,-0.10206,-0.064859,0.1118,-0.017844,-0.22912,-0.12136,-0.049226,0.0057642,0.17407,0.25395,-0.0089126,-0.1945,-0.038369,-0.31587,-0.021524,-0.0053405,-0.16504,0.11221,-0.049355,0.081578,-0.12688,-0.26401,0.087332,0.30429,-0.0098892,0.031198,0.017892,0.14099,-0.13276,-0.069249,0.0052285,0.099659,
18,0.84603,0.7847,0.77889,0.78179,0.79431,0.79543,0.73559,0.79188,0.75886,0.69452,0.70851,0.81547,0.72401,0.76035,0.65633,0.69108,0.68473,0.77997,1,0.7162,0.68773,0.72787,0.62034,0.75304,0.74302,0.59431,0.70809,0.77616,0.51282,0.70554,0.55535,0.51005,0.49568,0.50171,0.58848,0.62415,0.21982,0.48354,0.27281,0.20781,0.4509,0.15076,0.19366,0.034248,0.33,0.04312,0.34041,-0.23829,0.18618,0.057386,0.19271,-0.26654,-0.16025,-0.23471,0.14589,-0.15611,-0.19533,-0.32102,-0.19561,-0.207,-0.0024244,-0.0013964,-0.21427,-0.16605,-0.08227,0.079651,-0.16605,-0.17885,-0.14492,0.028383,-0.11896,-0.34606,-0.041241,-0.39397,-0.10176,-0.38297,-0.22511,-0.2505,0.22283,-0.13925,0.14985,-0.08239,0.089713,-0.087242,0.18551,-0.068125,-0.14837,-0.097223,0.099258,0.053304,0.036907,0.09869,0.069592,-0.1362,0.081301,-0.39149,-0.063116,0.1688,-0.15852,0.015507,0.072158,0.042466,-0.037706,-0.21542,-0.041763,0.15643,-0.0027054,0.21831,0.032303,0.22114,0.01081,-0.030144,0.10185,0.060209,
19,0.8031,0.76548,0.74272,0.73014,0.73038,0.79152,0.73254,0.7297,0.77618,0.71514,0.81244,0.72996,0.71759,0.70696,0.61814,0.75861,0.72098,0.70883,0.7162,1,0.55865,0.71008,0.63458,0.63762,0.66328,0.61396,0.67818,0.74328,0.57026,0.52293,0.6127,0.59701,0.48979,0.51846,0.64801,0.5848,0.20557,0.58921,0.34971,0.28717,0.44248,0.30487,0.1948,0.062421,0.32087,0.099467,0.18035,-0.23965,0.1766,0.020497,0.15147,0.023365,0.053216,-0.13745,0.050199,-0.13208,-0.18926,-0.42226,-0.12736,-0.15273,-0.0074377,0.090303,-0.096636,-0.24039,0.1404,-0.029759,-0.13291,-0.21732,-0.28343,0.055465,0.093056,-0.18328,-0.084709,-0.37105,-0.18061,-0.3598,-0.031326,-0.068219,0.29615,-0.12615,0.16458,-0.22767,0.019465,-0.20203,0.20082,-0.14332,-0.21264,-0.21181,-0.1601,0.036132,0.13479,0.036,0.17521,-0.071472,-0.013176,-0.24129,0.053055,-0.019545,-0.39365,0.067096,-0.0044804,0.11528,-0.13062,-0.2892,0.025415,0.35518,0.049001,0.057667,-0.026249,0.19932,-0.10868,-0.012517,-0.022245,0.10928,
