,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
10,0.17735,-0.059708,-0.22924,0.1532,0.18948,-0.0027092,0.084402,0.15481,0.10881,0.097265,1,0.17543,0.50688,0.16568,-0.014146,0.34223,0.41982,0.098312,0.21563,-0.089646,0.13942,0.37084,0.32742,0.35773,0.4582,0.283,0.1597,0.32772,0.22549,0.32328,0.22045,0.19373,0.013962,0.15259,0.15383,0.48107,0.16512,0.18259,-0.12438,0.10567,0.13367,0.040753,-0.099172,-0.094548,-0.052347,0.081955,0.14779,0.10619,0.1172,-0.19861,-0.17902,0.070235,0.13101,-0.30104,0.21441,0.34755,-0.24909,-0.23241,0.073,-0.16438,-0.19613,-0.019521,-0.068289,0.14581,-0.14109,0.35643,-0.00041644,-0.098082,0.063522,0.0095009,0.20989,0.073308,0.039476,0.04089,-0.12334,-0.022022,-0.23437
11,0.018281,0.28971,-0.062731,0.22138,0.082074,0.16461,0.039303,0.26664,0.10143,0.47009,0.17543,1,0.44767,0.32342,0.017542,0.13358,0.28209,0.27255,0.43559,0.31487,0.095225,0.2668,0.25217,0.019996,0.42937,0.35012,0.50349,0.25629,0.1985,0.26557,0.090565,0.20075,-0.016452,0.084451,-0.0073056,0.061488,0.26219,0.19869,0.16072,-0.21687,-0.049861,-0.2168,0.013304,-0.24945,-0.23147,0.20689,0.069067,-0.093993,0.27063,-0.002343,0.10911,0.23555,0.019848,0.027421,0.11849,-0.054577,-0.14366,-0.072382,0.050467,-0.06784,-0.027431,0.057901,-0.016239,-0.05681,-0.133,0.13187,0.25291,0.033627,0.11378,0.019725,-0.094595,0.076823,0.12864,0.066299,-0.051598,0.052078,-0.067568
12,0.25235,0.24612,0.085648,0.20854,0.0093725,0.033736,0.032193,0.3848,0.24978,0.44775,0.50688,0.44767,1,0.18171,0.085603,0.34172,0.35939,0.068335,0.26634,0.11263,0.25134,0.4008,0.27996,0.28307,0.49892,0.34842,0.32199,0.32121,0.33792,0.49728,0.12877,0.10883,0.16596,0.18511,0.04696,0.49308,0.32946,0.18008,0.046694,-0.10799,0.20501,0.0093303,-0.003261,-0.2049,0.0019777,0.042105,0.11592,0.18052,0.18641,0.010164,0.28651,0.17206,-0.11877,-0.22554,0.26202,0.15169,-0.069591,-0.0019324,0.15265,0.0055234,-0.11882,0.13104,0.068691,0.1172,-0.054687,0.13996,0.052952,0.059945,0.13221,0.010811,0.3786,-0.081958,0.20002,-0.030575,-0.10704,0.027681,-0.12866
13,0.14036,-0.1613,-0.008004,-0.14531,0.11415,0.15729,0.038444,0.21319,0.20562,0.19794,0.16568,0.32342,0.18171,1,0.24575,0.24364,0.22377,0.29714,0.39216,0.2847,0.043775,0.25339,0.49594,0.1032,0.29869,0.42723,0.15008,0.39972,0.16772,0.19583,0.26477,0.080546,0.082403,0.18324,0.27735,0.028317,0.10537,-0.14787,0.077681,-0.075139,-0.18378,-0.11258,-0.036093,-0.19885,0.081093,0.218,0.27023,-0.081039,-0.24757,-0.019449,-0.061484,0.30068,0.31784,-0.14447,0.1254,-0.024938,-0.10298,0.13629,0.13277,0.12892,-0.24625,0.024038,-0.016399,-0.097974,-0.21635,-0.0073507,0.23818,0.0095723,0.047826,0.16429,-0.092024,0.3463,0.055368,0.12608,-0.33088,0.00024892,0.0028671
14,-0.16087,0.19058,0.19568,-0.060086,0.33216,0.3091,-0.084238,-0.004656,0.33702,0.20448,-0.014146,0.017542,0.085603,0.24575,1,0.23035,0.34963,0.10125,0.37729,0.26815,0.32268,0.38442,0.48064,0.088305,0.15746,0.38064,0.30698,0.4059,0.27836,0.1796,0.1805,0.27833,0.17226,0.27382,-0.081025,0.027158,0.11724,-0.20571,0.24727,-0.093572,0.068727,0.024045,0.0042316,0.027163,0.27406,0.18468,0.045802,0.12986,0.0027953,-0.29209,0.18241,0.32799,-0.076636,0.21448,0.070823,-0.10198,-0.1747,0.13184,-0.07412,0.23444,-0.026308,0.18481,0.39851,0.10623,-0.11503,0.078574,0.18461,-0.10997,0.016746,-0.01509,-0.21723,-0.032516,0.045631,0.17398,-0.34325,-0.3507,-0.067993
15,0.11754,0.033539,0.24997,0.036226,0.30154,0.13934,0.11547,0.2196,0.22036,0.18679,0.34223,0.13358,0.34172,0.24364,0.23035,1,0.39992,0.18659,0.23819,0.19077,0.10874,0.30415,0.32047,0.27141,0.42659,0.36812,0.36546,0.41895,0.23445,0.22851,0.32822,0.17187,0.23052,-0.022021,0.072914,0.45185,0.17855,0.0044513,0.12665,0.056713,-0.22071,-0.0094159,0.15743,-0.25652,0.024037,0.32898,0.18971,0.03308,-0.0025747,-0.085429,0.21354,0.32412,0.23705,-0.10683,0.597,0.1601,0.019492,0.12897,0.038385,0.23589,-0.070637,0.10065,0.067906,-0.19707,-0.049886,0.11453,0.25742,0.010364,0.1867,0.1647,0.21364,0.093292,0.20379,-0.12203,0.010216,-0.12324,-0.20492
16,-0.23685,0.061343,-0.014139,0.19194,0.047773,0.17444,0.0049795,0.086947,0.12649,0.11131,0.41982,0.28209,0.35939,0.22377,0.34963,0.39992,1,-0.037676,0.46079,-0.03814,0.15663,0.2022,0.31635,0.086901,0.38519,0.43868,0.38169,0.072867,0.19648,0.17366,0.4838,0.13343,0.00076088,0.31356,-0.090653,0.21001,0.31812,-0.13954,-0.024268,-0.30141,-0.031245,0.025682,-0.01135,-0.24789,0.048742,0.15734,-0.19317,0.055035,0.21445,-0.30475,-0.029813,0.091545,-0.10703,-0.077121,0.16273,0.052711,-0.3014,-0.10965,-0.058943,-0.088042,-0.21687,-0.19485,0.23151,-0.020698,-0.37223,-0.058233,0.16529,-0.027102,-0.048287,-0.04029,-0.11907,0.014695,0.030648,0.12296,-0.23935,-0.15613,-0.28446
17,0.23901,-0.071856,0.13878,-0.19544,0.14935,0.22093,-0.019378,0.16694,-0.0028633,0.2547,0.098312,0.27255,0.068335,0.29714,0.10125,0.18659,-0.037676,1,0.27263,0.17583,0.072962,0.0084902,0.14642,0.46609,0.13318,0.15618,0.30127,0.24637,0.22577,0.35876,0.10512,0.29192,0.092177,-0.135,0.16619,0.14705,-0.066038,0.038458,0.031788,-0.088034,-0.16952,-0.22146,0.20256,-0.27154,0.23879,0.23579,0.21967,0.16667,-0.040288,-0.047296,-0.083529,0.10981,0.03757,-0.36411,-0.032365,0.018491,-0.090596,0.15255,0.034965,-0.14812,0.072067,-0.017566,0.066135,-0.27198,-0.15902,0.055215,0.047295,0.14788,-0.13972,0.14243,-0.1834,0.16427,0.091486,-0.0010352,-0.074375,-0.18484,-0.24033
18,-0.07389,0.1298,0.053917,-0.035589,0.21599,0.20889,-0.10121,0.30156,0.37479,0.27939,0.21563,0.43559,0.26634,0.39216,0.37729,0.23819,0.46079,0.27263,1,0.12949,-0.013689,0.41936,0.47016,0.15642,0.26212,0.42022,0.39628,0.32848,0.23012,0.3364,0.39533,0.17757,0.027631,0.3695,0.17293,0.062214,0.08745,-0.16705,-0.075325,-0.042495,0.19924,-0.29091,0.15598,-0.17871,0.014478,0.22244,0.1337,0.0047024,0.049558,-0.25293,0.031951,0.06645,0.0020322,-0.049651,-0.083463,-0.054269,-0.061369,0.052795,-0.11602,-0.058139,-0.099953,0.15303,0.21952,-0.10252,-0.20438,0.1732,0.33897,-0.0060797,0.10901,0.017931,0.00722,0.010446,-0.063697,0.24495,-0.24187,-0.24168,-0.23216
19,0.043018,0.28368,0.37802,0.22937,0.1833,0.27206,0.27988,0.28292,0.32203,0.23067,-0.089646,0.31487,0.11263,0.2847,0.26815,0.19077,-0.03814,0.17583,0.12949,1,0.27121,0.32369,0.17998,-0.021959,0.39892,0.21661,0.25047,0.37814,0.40285,0.3409,-0.13462,0.080582,0.45909,-0.1372,0.18757,0.036663,0.21855,0.028749,0.21006,-0.10812,0.038245,0.057525,-0.24545,-0.13988,-0.046227,0.1855,0.12551,0.017178,0.20407,-0.031122,0.31165,0.32724,0.087654,0.18076,0.31069,-0.084409,0.08165,0.32374,0.26069,0.22413,0.013712,0.21597,-0.045606,-0.12817,-0.060965,-0.094343,0.23918,-0.065445,0.021294,0.041542,-0.039161,0.15037,0.11835,0.18086,-0.070779,-0.043677,0.057519
