,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
10,0.88901,0.83971,0.83894,0.85322,0.85381,0.85055,0.89394,0.82159,0.8718,0.86006,1,0.84507,0.83392,0.78879,0.78557,0.85462,0.83092,0.79566,0.71846,0.79433,0.72182,0.71593,0.80602,0.66929,0.72687,0.59926,0.6327,0.73445,0.82468,0.6308,0.59221,0.42715,0.51065,0.5561,0.51567,0.4402,0.54645,0.62341,0.14622,0.27086,0.18825,0.066464,-0.16467,0.15965,0.27789,0.43791,-0.057109,0.084197,-0.11533,0.052607,-0.085631,-0.13734,0.12538,0.11186,0.13578,-0.11184,0.083479,-0.29085,0.091206,0.12806,-0.58487,-0.22753,0.043026,-0.12594,-0.20783,-0.20285,-0.28994,-0.078064,0.047966,-0.11123,-0.074355,-0.17579,0.22012,0.19875,-0.15224,0.025272,0.086921,0.090887,0.26539,0.1001,0.077727,0.21619,0.03373,0.098714,-0.015698,-0.26661,-0.23003,0.026049,-0.19282,0.16488,-0.092051,0.036719,0.056046,-0.21949,0.40097,-0.017313,0.2133,0.22419,-0.082965,-0.09479,0.10767,-0.17792,0.17595,-0.11553,0.35206,0.10765,0.1851,0.082957,0.1748,0.20522
11,0.85019,0.83544,0.84825,0.75816,0.77131,0.82068,0.85752,0.71314,0.81534,0.81528,0.84507,1,0.81586,0.66393,0.72648,0.88728,0.75742,0.75928,0.72649,0.71991,0.7657,0.75938,0.69334,0.64384,0.73005,0.60088,0.68285,0.76673,0.83101,0.58091,0.61259,0.49647,0.57339,0.54415,0.56888,0.42566,0.42039,0.56494,0.15326,0.39962,0.26115,0.017498,-0.21489,0.22653,0.074068,0.40269,-0.067706,0.080892,-0.034856,0.075914,-0.11458,-0.14854,0.080084,0.064392,0.1777,-0.07807,0.10384,-0.22489,0.099432,0.033978,-0.5278,-0.32255,0.0058174,-0.16795,-0.19188,-0.19246,-0.39934,-0.062942,-0.0018342,-0.19211,0.026904,-0.15435,0.26463,0.22284,-0.064387,-0.12514,0.017767,-0.063879,0.14567,0.06139,0.053943,0.2467,0.10318,0.029933,-0.054003,-0.13826,-0.12508,0.037955,-0.065924,0.15062,-0.05836,0.057866,0.11209,-0.074765,0.30657,0.11884,0.2489,0.18237,-0.010785,-0.14079,0.17328,-0.128,0.028117,-0.15007,0.34072,0.047563,0.14871,0.095855,0.24459,0.13203
12,0.86523,0.79871,0.84736,0.83467,0.80926,0.76581,0.86985,0.7858,0.83329,0.83189,0.83392,0.81586,1,0.77994,0.74679,0.75063,0.83871,0.86105,0.75261,0.75364,0.73114,0.75362,0.76424,0.66052,0.68381,0.57225,0.71203,0.77617,0.73724,0.58099,0.59258,0.4751,0.6328,0.57125,0.58858,0.42629,0.46193,0.54072,0.011705,0.40409,0.21916,0.15324,-0.079686,0.17371,0.16591,0.34122,-0.11938,0.03943,0.028741,-0.0067366,-0.1242,-0.10536,0.13858,0.10102,0.062393,-0.021207,0.063764,-0.30295,0.086104,0.10279,-0.58348,-0.24841,-0.022152,-0.071093,-0.31435,-0.16295,-0.37574,-0.081344,0.071076,-0.20517,-0.075529,-0.14203,0.20498,0.2636,-0.00058276,-0.095033,0.15808,0.0036134,0.24665,0.060326,-0.023307,0.21574,-0.11095,0.016648,-0.13044,-0.14588,-0.24537,0.050822,-0.016257,0.069079,-0.16481,0.080512,-0.037255,-0.2056,0.27922,0.0099872,0.096063,0.045989,-0.087059,-0.12458,0.040531,-0.11038,0.045399,0.01006,0.36662,0.094323,0.14601,-0.023723,0.14884,0.16014
13,0.84326,0.80362,0.83418,0.88158,0.80309,0.76422,0.8188,0.84259,0.83969,0.80209,0.78879,0.66393,0.77994,1,0.83359,0.75746,0.80839,0.80866,0.67948,0.75103,0.79668,0.68391,0.73197,0.7666,0.61096,0.57545,0.72582,0.73806,0.67211,0.57465,0.51617,0.29538,0.5833,0.43693,0.44925,0.38074,0.31923,0.54074,0.11399,0.37279,0.11369,0.028225,-0.055307,0.096286,0.31773,0.32391,-0.087577,-0.064443,-0.078106,0.13814,0.023091,-0.21782,0.22971,0.20255,-0.099674,-0.16961,-0.023422,-0.28388,0.022143,0.015379,-0.5781,-0.10044,-0.019935,-0.14803,-0.27359,-0.15841,-0.22313,-0.040151,0.11961,-0.11311,-0.13768,-0.032924,0.26178,0.14883,-0.013118,0.095188,0.050376,0.20994,0.27813,0.078793,-0.07009,0.096907,-0.066269,-0.11228,0.020202,-0.3144,-0.16372,-0.027348,-0.0075134,0.092076,-0.011461,0.058114,0.10545,-0.25482,0.24596,0.049993,0.28821,0.073721,-0.050975,-0.020203,-0.023292,-0.066415,0.17773,-0.023733,0.28655,0.031516,0.098204,0.077795,0.032101,0.15146
14,0.85794,0.79983,0.76285,0.86834,0.84371,0.85639,0.79173,0.83211,0.81568,0.85772,0.78557,0.72648,0.74679,0.83359,1,0.77391,0.71163,0.80387,0.59068,0.82221,0.8373,0.67658,0.77846,0.73838,0.61062,0.59657,0.76352,0.69581,0.70837,0.58107,0.61987,0.29354,0.56895,0.3732,0.5019,0.36994,0.30553,0.54049,0.14137,0.2821,0.1131,-0.0019384,0.062777,0.128,0.10936,0.3499,-0.12056,-0.024526,-0.054313,0.11786,-0.047055,-0.24419,0.16515,0.10876,0.0051566,-0.25146,0.0636,-0.17079,0.05036,-0.029204,-0.57517,-0.14214,-0.10116,-0.26358,-0.23321,-0.11893,-0.24718,-0.091625,-0.0092489,-0.17803,0.022236,-0.1599,0.30493,0.27169,0.025725,-0.10091,-0.0089892,0.067006,0.26065,-0.0044876,-0.037717,0.031767,-0.034861,-0.091476,-0.10101,-0.19865,-0.13706,0.060603,-0.16436,0.076508,0.04854,0.048294,-0.080344,-0.22925,0.34746,0.047556,0.3041,0.21211,0.02382,-0.0047662,0.0032626,-0.17277,0.11419,-0.043706,0.29818,0.1548,0.058484,-0.016802,0.031533,0.19274
15,0.83271,0.86946,0.87624,0.77928,0.80087,0.83969,0.85605,0.77531,0.84889,0.82015,0.85462,0.88728,0.75063,0.75746,0.77391,1,0.79187,0.7863,0.70604,0.7623,0.7281,0.73199,0.71516,0.75753,0.67887,0.5955,0.70064,0.69434,0.82365,0.57857,0.59038,0.39553,0.59441,0.49607,0.64224,0.43178,0.33701,0.49295,0.086596,0.26056,0.22494,0.057569,-0.28324,0.24641,0.16785,0.34005,-0.093515,0.076373,-0.098178,0.15093,-0.061445,-0.17782,0.16798,0.025229,0.20003,-0.12287,0.12347,-0.31384,0.14969,0.12645,-0.52371,-0.26544,0.0038993,-0.1836,-0.18526,-0.26403,-0.25583,-0.12918,0.07493,-0.18893,0.034714,-0.10024,0.27702,0.29539,-0.12286,-0.079387,0.059716,0.042707,0.25148,0.007041,0.1579,0.051044,0.059587,-0.0021859,0.028265,-0.20861,-0.18686,0.084093,-0.14149,0.15695,-0.060484,0.032596,0.14587,-0.094491,0.28796,0.064033,0.3266,0.1705,0.061755,-0.071891,0.14482,-0.15578,0.19419,-0.16228,0.25675,-0.045218,0.26464,0.0789,0.26715,0.15011
16,0.84541,0.8085,0.81453,0.78808,0.82174,0.80037,0.81675,0.79815,0.81571,0.81597,0.83092,0.75742,0.83871,0.80839,0.71163,0.79187,1,0.76682,0.72294,0.71711,0.71837,0.6774,0.7284,0.72149,0.58961,0.596,0.60074,0.7315,0.68551,0.62225,0.58458,0.43838,0.6039,0.48145,0.51013,0.34875,0.44268,0.55173,0.10138,0.2603,0.28356,0.20834,-0.13783,0.095179,0.33178,0.27097,-0.12155,0.02689,-0.050362,0.15643,-0.059365,-0.082977,0.126,0.141,0.084835,-0.023665,-0.10195,-0.31031,0.12756,0.14641,-0.56063,-0.19372,0.098019,-0.15907,-0.23443,-0.13278,-0.31545,-0.11712,0.062041,-0.17944,0.014441,-0.18001,0.11005,0.322,-0.048219,0.11063,0.039207,-0.015209,0.24458,0.012022,0.02898,0.27401,0.021274,0.13919,-0.13428,-0.16071,-0.016516,-0.1441,-0.1233,0.12239,-0.077899,-0.01431,0.019934,-0.12683,0.26441,-0.015447,0.21829,0.15086,-0.13511,-0.086039,0.043398,-0.15115,0.11244,-0.07127,0.47064,-0.033811,0.19057,0.063592,0.12868,0.20625
17,0.84323,0.86197,0.86349,0.83185,0.77294,0.78238,0.87227,0.82861,0.85602,0.79712,0.79566,0.75928,0.86105,0.80866,0.80387,0.7863,0.76682,1,0.73377,0.70967,0.71736,0.74201,0.7173,0.69442,0.63394,0.56696,0.75262,0.73885,0.7203,0.53551,0.45054,0.4174,0.50745,0.41817,0.62629,0.42079,0.44207,0.47978,0.052684,0.30482,0.28235,0.093447,-0.082015,0.24771,0.060578,0.39147,-0.18763,0.031365,-0.18221,0.19618,-0.13205,-0.24739,0.1969,-0.045218,0.064398,-0.12758,0.057638,-0.3227,0.061313,0.090328,-0.41383,-0.20508,-0.10313,-0.20459,-0.22665,-0.16327,-0.21474,0.025245,-0.071091,-0.11973,0.015066,-0.1912,0.24257,0.29332,0.032975,-0.15672,0.01948,0.10448,0.26209,0.1501,0.086465,0.074694,-0.020674,0.027918,-0.073389,-0.20736,-0.20888,0.051617,-0.11766,-0.057106,-0.10147,0.093707,0.066544,-0.080268,0.32344,-0.031929,0.093993,0.038907,0.0755,-0.19389,0.078404,-0.27663,0.071315,-0.05459,0.26823,0.025818,0.1714,-0.00075847,0.15566,0.17295
18,0.78057,0.78162,0.80101,0.72241,0.74838,0.75947,0.76159,0.63232,0.73458,0.73591,0.71846,0.72649,0.75261,0.67948,0.59068,0.70604,0.72294,0.73377,1,0.65414,0.61527,0.63826,0.58277,0.68093,0.71662,0.56868,0.60703,0.58764,0.72251,0.51327,0.54518,0.36467,0.45338,0.60953,0.46984,0.39322,0.38015,0.58559,0.059967,0.44634,0.26151,0.023983,-0.23931,0.19898,0.22488,0.31811,-0.137,0.041412,0.05455,0.1154,0.070925,-0.11313,0.13363,-0.11006,0.029017,-0.025589,0.073787,-0.41938,0.066925,0.023425,-0.35784,-0.13693,0.15122,-0.098928,-0.11272,0.018732,-0.19088,0.064589,0.076968,0.012358,0.17262,-0.18583,0.18937,0.22949,0.026447,-0.1119,0.0035061,0.20655,0.063228,0.13238,0.18327,0.13439,-0.043647,0.057149,-0.10094,-0.27314,-0.16661,0.046949,-0.089537,0.16045,-0.26754,0.24443,0.12896,-0.089602,0.21196,0.14117,0.10141,0.10825,-0.039216,-0.097382,0.08036,-0.062113,0.023689,-0.19666,0.28986,0.00202,0.034104,0.19394,0.22853,0.2935
19,0.86605,0.75967,0.76529,0.79635,0.82031,0.79034,0.79852,0.79731,0.8041,0.87577,0.79433,0.71991,0.75364,0.75103,0.82221,0.7623,0.71711,0.70967,0.65414,1,0.76761,0.64967,0.68921,0.68174,0.58568,0.58548,0.75432,0.57908,0.72409,0.47168,0.56428,0.46665,0.65763,0.5247,0.4687,0.32982,0.39515,0.57361,-0.037699,0.26641,0.049797,0.12403,-0.042517,0.10545,0.14856,0.28869,-0.019129,0.030345,-0.0021391,-0.03395,0.02271,-0.07464,0.10485,-0.086106,0.095092,-0.15367,0.023431,-0.36344,0.079183,-0.064579,-0.51274,-0.24752,-0.0051362,-0.20537,-0.23898,-0.29196,-0.28449,-0.15394,0.10577,-0.087152,-0.22473,-0.092551,0.1853,0.16023,-0.15572,-0.1164,-0.058956,0.13572,0.066028,-0.0088371,0.10611,-0.025299,-0.031779,-0.090089,-0.019429,-0.14598,-0.23196,0.17698,-0.11503,0.2153,-0.10994,0.022126,0.0043119,-0.19705,0.40201,0.099057,0.29859,0.21469,0.067955,-0.038779,0.035357,-0.055229,0.13419,-0.05598,0.34324,0.080213,0.12383,0.11579,0.13392,0.34241
