,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
20,-0.12483,0.28405,0.18172,0.23244,-0.088775,0.29205,0.1355,0.007484,0.24341,0.18625,0.17276,0.30069,0.30325,0.017191,0.23104,0.27244,0.13234,0.25289,0.31631,0.26208,1,0.29467,0.25745,0.14088,0.37719,0.31489,0.33005,0.32814,0.07021,0.24402,0.23314,0.054928,0.17447,0.12086,-0.011833,0.096151,0.22239,0.14633,-0.021853,0.18909,0.11252,-0.20019,0.035509,0.31999,-0.069373,0.22748,0.058525,0.03407,-0.092768,0.4944,0.027775,0.033875,0.10342,-0.33443,0.057633,-0.017982,0.16265,-0.015483,0.056021,0.17015,-0.29603,-0.23063,0.10097,0.23274,0.2599,0.03332,-0.12074,-0.045831,0.25859,-0.037694,0.085261
21,-0.18064,0.20274,0.12788,0.083198,0.21422,-0.00047215,0.43429,0.31524,0.25706,-0.11197,0.2608,0.25044,0.46115,0.31625,0.42243,0.11113,0.18083,0.33448,0.58209,0.33429,0.29467,1,0.32548,0.18925,0.57814,0.26479,0.041568,0.043255,0.24532,0.21858,0.043082,-0.026342,0.065021,0.21193,0.15146,0.19341,0.16216,0.13711,-0.085869,0.30592,0.33506,0.10243,0.16373,0.03074,-0.055497,0.31712,0.014948,0.060338,-0.05724,0.22314,-0.029723,-0.01754,0.048674,0.066039,0.11742,-0.27914,-0.051631,0.22687,0.098793,0.062714,0.040732,0.0032128,-0.082978,0.24453,0.16995,-0.024917,0.03849,-0.087506,0.10048,-0.066261,-0.042456
22,0.018888,0.31876,0.12869,0.16007,0.17955,0.30968,0.23785,0.17332,0.21003,-0.079956,0.21457,0.27851,0.28676,0.19999,0.2182,0.27075,0.12784,0.26375,0.15138,0.13266,0.25745,0.32548,1,0.06261,0.33419,0.0022642,0.10616,-0.0081672,0.20632,0.084092,0.19485,0.15076,0.065699,-0.025026,-0.20746,0.14183,0.21735,0.0039793,-0.23146,0.09776,0.012035,-0.030109,0.1887,0.22326,0.299,-0.024175,0.054651,0.1278,0.0032727,0.18428,-0.078629,0.084095,0.047709,-0.15892,0.077796,-0.051384,-0.08571,0.066224,-0.019858,-0.1072,-0.10216,-0.19687,-0.21266,0.21641,0.076097,-0.093755,0.015046,0.11984,0.084229,0.21556,0.035366
23,0.12074,0.12231,0.14221,0.24975,0.070735,-0.017313,0.1411,-0.05056,0.45837,0.12267,0.11957,0.17655,0.1197,0.22566,0.15633,0.072986,0.2368,0.24589,0.083011,0.033782,0.14088,0.18925,0.06261,1,0.21448,0.24357,0.15169,0.22407,0.15417,0.094997,0.10446,0.12845,0.22591,0.21373,-0.026965,-0.079604,0.2387,0.38122,-0.05638,0.19169,0.15634,0.083733,-0.14494,0.06755,0.013684,0.0051134,0.11594,0.044766,0.24637,0.014567,0.25549,0.19341,0.1346,0.089043,0.0083196,0.064003,-0.15404,0.32429,0.010492,0.00024857,-0.080551,0.051624,-0.22484,0.025306,-0.15715,-0.084267,0.157,0.074337,0.14528,0.066865,-0.011286
24,-0.1218,0.30641,0.13792,0.2685,-0.18324,0.2543,0.35453,0.050985,0.32524,-0.14862,0.1356,0.19596,0.33985,0.20996,0.60523,0.20596,0.46358,0.41799,0.4871,0.49766,0.37719,0.57814,0.33419,0.21448,1,0.27856,0.073244,0.10386,0.17832,0.080227,-0.0063369,0.093645,0.27337,-0.029069,0.14759,0.19755,0.075588,0.064959,-0.021328,0.38028,0.055502,0.081785,-0.048043,0.049491,-0.016286,0.36024,-0.023382,0.25374,-0.075774,0.31042,0.28403,0.17195,-0.030245,-0.016905,-0.075576,-0.30887,0.049218,0.049838,0.077723,0.27767,0.058024,-0.21303,-0.16271,0.32974,0.088014,-0.069567,-0.017512,0.051704,0.050048,-0.010087,-0.0048937
25,0.088439,0.26984,0.22939,0.10368,-0.10916,0.2015,0.19044,0.093036,0.20676,0.18081,0.028265,0.022688,0.22509,0.31416,0.23641,0.34813,0.17365,0.21652,0.43353,0.16956,0.31489,0.26479,0.0022642,0.24357,0.27856,1,0.077712,0.32409,0.23854,0.21464,0.24668,-0.033356,0.22717,0.13965,-0.044151,0.12339,0.17469,0.018067,0.13535,0.47851,0.28563,0.056658,0.2142,0.17643,0.033961,-0.0075907,0.04586,0.27286,-0.1283,-0.03038,0.18208,0.19809,0.17357,0.035809,0.10236,0.30139,0.26589,0.15453,0.16558,0.2407,0.033035,-0.14625,0.045312,0.10018,-0.10315,0.22431,0.13712,0.2503,0.36767,0.048026,0.0073918
26,-0.06419,0.11671,-0.078443,0.20258,0.037059,0.016188,0.28347,0.16806,0.32363,-0.05626,0.14897,0.39735,0.357,0.0084703,0.051948,0.0891,0.0099461,0.32733,0.20556,0.22577,0.33005,0.041568,0.10616,0.15169,0.073244,0.077712,1,-0.12784,0.11283,0.10065,0.12686,0.28917,0.23699,0.29666,0.23274,0.22069,0.37597,0.37027,0.068822,0.15828,0.016427,-0.081342,-0.20007,0.31873,0.13446,0.016693,0.0031114,0.042432,-0.24977,0.25176,-0.14828,-0.15847,0.35276,-0.048977,0.012491,-0.28468,-0.079893,0.22245,0.057723,-0.23313,-0.15636,-0.18118,-0.041234,0.19684,0.13223,-0.16719,-0.11121,-0.048062,0.40663,-0.26601,-0.036946
27,0.16452,0.29525,0.20126,0.12929,-0.021669,0.12772,-0.070417,0.17027,-0.079858,0.19434,0.010024,0.25425,0.28353,0.15213,0.31123,0.12868,0.26401,0.10471,0.19625,0.20329,0.32814,0.043255,-0.0081672,0.22407,0.10386,0.32409,-0.12784,1,0.067068,0.23434,0.24844,-0.16803,-0.026685,0.22627,-0.028543,-0.0061461,0.045462,0.11765,0.15676,0.27722,0.045563,0.16469,0.19256,0.043739,0.035564,0.033155,0.19732,0.061355,0.21716,0.1476,0.0050184,0.018106,0.11028,0.17567,-0.18983,0.25297,-0.031585,0.029499,0.094388,0.40664,0.033456,-0.030442,-0.1204,-0.055513,-0.14242,0.3151,-0.080226,-0.082513,0.083588,-0.010943,-0.26937
28,-0.063326,-0.06139,-0.050516,-0.071659,0.22454,0.0041504,0.013427,-0.039308,0.21239,-0.12836,0.2974,0.030044,0.4322,0.25195,0.23743,-0.017434,-0.037581,0.29729,0.2491,0.2857,0.07021,0.24532,0.20632,0.15417,0.17832,0.23854,0.11283,0.067068,1,0.19228,-0.042057,0.047045,0.10992,0.14649,-0.058155,0.11276,0.14042,0.12695,0.1492,-0.04905,0.33252,0.095369,0.319,0.11136,0.029375,0.053553,0.23051,0.24469,-0.098965,0.16153,0.36622,0.17634,-0.096523,-0.13111,0.023354,-0.022519,-0.21647,-0.077231,0.095183,0.011159,0.024141,0.090922,-0.21081,0.21394,-0.040872,0.33722,0.21805,-0.024514,0.0089356,-0.046243,-0.13534
29,0.056116,0.095144,0.29773,0.33754,0.18427,0.23444,0.14328,0.31509,-0.087227,0.15988,0.3055,0.31505,0.35124,0.28267,0.30334,0.18864,-0.087913,0.22112,0.20333,0.18817,0.24402,0.21858,0.084092,0.094997,0.080227,0.21464,0.10065,0.23434,0.19228,1,0.14607,-0.20743,-0.037343,0.09103,-0.050378,0.23213,0.0094652,0.33904,0.086703,0.23017,0.22724,-0.0026765,-0.054393,-0.067534,-0.11982,0.0095732,0.21849,0.010162,0.035602,0.31995,-0.20377,0.14442,-0.086617,0.087549,0.13576,-0.048661,-0.13452,0.19984,-0.16249,-0.19281,0.037305,-0.11039,-0.13669,-0.029642,0.16698,0.079695,-0.082071,-0.1287,0.2799,-0.046289,0.021541
