,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
10,-0.10286,-0.19142,0.087699,-0.10077,0.15209,0.18671,0.3666,0.15142,0.43458,0.45871,1,-0.062524,0.35529,0.29087,0.13606,0.1476,0.45988,0.24324,0.10139,0.21621,0.27284,0.35298,0.24012,0.22517,0.096772,0.12307,0.33022,0.084824,0.44377,0.40705,0.22416,0.20383,0.081421,0.34902,0.085379,0.1801,0.058278,0.41923,0.1065,-0.082068,0.26383,-0.034405,0.20285,-0.17929,0.24084,-0.042013,-0.051585,0.1213,-0.12623,0.077373,-0.062717,-0.27674,0.12889,0.088619,0.07192,-0.2432,-0.0015017,-0.071302,0.15597,-0.025793,-0.069025,-0.24069,-0.11041,-0.1904,0.13484,-0.093949,0.25182,-0.12921,0.06358,-0.19744,-0.082261,-0.17466,0.040304,-0.0017729,-0.13108,0.021985,-0.16985,-0.029355,0.063393,-0.14517,-0.19945,0.23903,-0.093722,-0.23459,-0.18101,0.020595,0.1599,-0.10053,0.16738,0.20554,0.0096047
11,-0.01799,-0.034663,-0.12967,0.23117,-0.327,-0.10267,0.10568,-0.12825,-0.15742,-0.18005,-0.062524,1,0.36614,0.16815,0.24394,0.099709,-0.011006,0.45458,0.080142,0.29979,0.14113,0.26771,0.0059429,0.25324,0.074675,0.21244,0.3006,0.18342,-0.0052362,0.32892,0.048629,0.19237,0.13113,-0.082184,-0.10486,0.06553,0.2384,0.17586,0.19486,0.11442,0.076457,0.041436,0.041668,0.03727,-0.070687,0.13657,-0.0089378,-0.0437,0.1064,0.18499,0.16305,0.063433,0.13143,-0.21133,0.11951,0.11378,-0.14748,-0.2012,0.056126,-0.11018,0.020151,-0.019722,-0.25524,0.033621,-0.21072,-0.046256,0.087835,-0.079163,-0.027169,0.01303,0.33777,-0.043628,-0.051568,0.14881,0.44298,-0.45095,0.027166,0.029215,0.12442,-0.033985,0.12084,0.11255,-0.13168,0.19227,-0.071644,-0.12173,-0.011609,-0.21699,0.044435,-0.21026,0.21501
12,0.081023,0.030687,-0.19074,0.069038,0.18036,0.11094,0.37766,-0.15935,0.24769,0.12594,0.35529,0.36614,1,0.28882,0.37597,0.26005,0.39637,0.31933,0.16073,0.24149,0.36401,0.20601,0.37184,0.27005,0.13542,0.36162,0.29037,0.3434,0.25011,0.22947,0.19856,0.16712,0.20263,0.095772,-0.014891,0.28919,-0.033994,0.43864,0.21923,0.23225,0.32108,0.23938,-0.15959,-0.27174,-0.010367,0.27631,0.056499,0.14633,0.16722,0.14208,0.24995,-0.21558,0.011977,0.37906,-0.084074,-0.037225,-0.073605,-0.090549,-0.0060473,0.19543,0.073264,-0.039327,-0.099725,-0.15292,0.023184,0.083331,0.17178,-0.20755,-0.0093573,-0.099401,0.080016,0.095079,0.040882,-0.080452,0.23093,-0.023597,-0.073137,-0.01046,-0.13614,-0.15606,0.13794,0.39274,-0.17952,-0.1005,-0.19598,-0.26208,-0.032282,-0.004365,0.12152,-0.29054,-0.021158
13,0.076875,-0.046459,-0.098285,-0.016845,-0.19267,0.22419,0.34567,0.082049,0.072024,-0.081952,0.29087,0.16815,0.28882,1,0.20659,-0.05394,0.29011,0.27395,0.13432,0.32016,0.21469,0.28245,0.39305,0.037219,0.20005,0.14115,0.35131,0.40252,0.30645,0.31959,0.076942,0.29488,0.23634,-0.086655,0.26411,-0.029582,0.33821,0.15971,0.056366,-0.030774,0.17625,0.075329,0.24727,-0.18724,-0.0074249,-0.027717,0.091824,0.24667,-0.15326,0.11357,-0.15613,0.11889,-0.069586,0.0052076,0.049413,-0.13369,-0.17264,-0.13568,-0.025749,0.10266,0.06952,-0.36986,-0.28887,-0.22704,0.047179,0.03139,0.34655,-0.040091,-0.082269,-0.21501,-0.22369,0.053778,0.05244,0.022879,-0.029965,-0.00083072,-0.078911,0.17504,0.18942,-0.23587,-0.15528,0.13686,0.010234,-0.056256,-0.081186,-0.074429,0.015218,-0.10755,0.0027354,0.049981,0.027424
14,-0.16159,-0.18233,-0.35533,0.022526,-0.21927,-0.20328,0.0097169,0.28787,0.30645,0.26971,0.13606,0.24394,0.37597,0.20659,1,0.40945,0.4543,0.38642,0.32134,0.44764,0.42475,0.3209,0.51007,0.31304,0.56601,0.37797,0.26768,-0.060092,0.17265,0.45331,0.36818,0.16419,0.23844,0.12544,0.24809,0.3135,0.11734,0.065138,0.27434,0.15916,0.25823,0.39156,-0.18366,0.21112,0.0098355,-0.040175,0.088917,0.042269,0.32176,0.21114,0.13063,0.11167,0.037031,0.0005997,-0.11693,-0.18855,-0.25362,0.039068,-0.10923,0.15261,0.14857,-0.17215,-0.20139,-0.28016,-0.22232,-0.15591,-0.04262,-0.078545,0.032559,-0.16803,0.17144,0.062414,0.068078,-0.071931,0.2099,-0.18997,-0.28715,0.23219,-0.090143,-0.25711,-0.29255,0.092022,0.039734,-0.013979,-0.11272,-0.048025,-0.061981,0.11772,0.11428,-0.33747,0.22854
15,-0.22111,-0.22638,-0.0017041,-0.0777,0.033029,-0.092657,0.024824,0.047652,0.2933,0.14067,0.1476,0.099709,0.26005,-0.05394,0.40945,1,0.20792,0.2498,0.26179,0.36888,0.077791,0.24364,0.29515,0.32254,0.26467,0.1675,0.14654,0.12254,-0.041087,0.26497,0.065268,-0.038247,0.0094205,0.30758,0.2795,0.25298,0.023964,0.094427,0.26311,0.23467,0.013738,0.043575,-0.087818,0.30896,-0.1763,0.068643,0.0013658,0.063793,0.062127,0.27609,0.12167,0.006795,-0.13376,-0.10388,0.06435,0.067098,-0.11741,0.15106,0.06865,-0.060087,0.0077255,-0.013957,0.11596,-0.21221,-0.30934,0.11521,-0.018647,0.12618,-0.0061955,-0.09442,-0.036576,0.12248,0.20133,-0.1477,0.028327,-0.0082477,-0.23117,-0.20747,-0.029417,-0.10073,-0.21912,0.068583,0.0099169,-0.19144,-0.026491,-0.18671,0.0027302,-0.10895,-0.23919,-0.059113,0.035171
16,-0.22373,-0.028227,-0.32794,-0.17062,-0.025491,0.17956,0.07755,0.19969,0.18377,0.44741,0.45988,-0.011006,0.39637,0.29011,0.4543,0.20792,1,0.32969,0.23644,0.27381,0.36257,0.49135,0.28739,0.26903,0.13331,0.26361,0.33113,0.22143,0.11585,0.33206,0.54891,0.1035,0.30886,0.34376,0.1655,0.31563,0.12792,0.23108,-0.010441,-0.14251,0.19027,0.080194,0.042163,0.011245,0.20692,-0.11316,0.039523,0.0035316,0.089858,-0.080315,0.070097,-0.015635,-0.072807,0.15622,-0.24416,-0.17874,-0.19961,0.2604,-0.08542,0.33933,0.0061907,-0.091712,-0.24126,-0.15265,0.068792,-0.093825,0.2872,-0.16651,-0.041155,-0.1953,0.011021,-0.30455,0.041402,-0.17566,-0.0057314,-0.098986,-0.078699,0.092368,-0.12219,-0.36393,-0.091484,0.052141,-0.015875,-0.041485,-0.27025,-0.076559,0.056737,-0.043356,0.1317,0.011748,-0.10166
17,-0.027848,-0.059132,-0.24175,-0.019765,-0.041745,-0.16176,0.28553,0.10476,0.26232,0.23512,0.24324,0.45458,0.31933,0.27395,0.38642,0.2498,0.32969,1,0.29084,0.58016,0.29539,0.64466,0.24861,0.3735,0.22992,0.3432,0.35833,0.20584,0.40406,0.43574,0.19493,0.16104,-0.017197,0.079222,0.13398,0.20198,0.038249,0.10979,0.09124,0.24052,0.25239,-0.1095,0.054921,0.17807,0.0046658,-0.0026911,-0.0065978,-0.065797,0.094085,0.25734,-0.037628,-0.085645,0.21208,-0.041956,0.1035,0.16107,-0.063088,0.021505,-0.10979,-0.15521,-0.023939,-0.14754,-0.2578,-0.12985,-0.36445,-0.02229,0.15055,-0.078999,-0.060053,-0.10282,0.16956,-0.090209,0.11956,-0.035627,0.16769,-0.42239,-0.13701,0.045219,0.09748,-0.12573,-0.046447,0.37106,-0.31125,0.021372,-0.19039,-0.18613,0.048575,-0.24988,-0.0005423,-0.13935,0.27975
18,-0.07913,-0.24616,-0.1674,0.07362,0.13075,0.024062,0.12568,-0.0079534,0.33546,0.13528,0.10139,0.080142,0.16073,0.13432,0.32134,0.26179,0.23644,0.29084,1,0.14179,0.086467,0.30106,0.25759,0.27334,0.35444,0.17623,0.34677,0.16707,-0.027671,0.24575,0.19699,0.19427,0.097022,0.1739,0.03846,0.015817,0.18504,0.19162,0.22643,0.086144,-0.079638,-0.068067,0.22763,0.019502,-0.27981,0.11453,0.049406,0.28415,0.0015921,0.33984,0.26099,0.078777,-0.078572,-0.14016,-0.2244,-0.10346,0.098504,0.030535,-0.17623,-0.0014494,0.11954,0.091604,0.14047,-0.13004,-0.18359,-0.16651,0.072601,0.31664,0.27633,0.037872,0.33386,-0.055475,0.31884,-0.24188,0.13797,0.0087659,-0.39252,0.079891,0.09165,-0.21931,-0.35213,0.16887,0.12479,0.22103,0.08425,-0.039811,0.05098,0.18535,-0.3603,-0.1972,-0.099014
19,0.039198,-0.27913,-0.23026,-0.13089,-0.28718,-0.038937,0.21231,-0.012124,0.2783,0.080998,0.21621,0.29979,0.24149,0.32016,0.44764,0.36888,0.27381,0.58016,0.14179,1,0.40562,0.48967,0.45157,0.43146,0.45594,0.37454,0.13702,-0.032896,0.22764,0.35783,0.29623,0.19025,0.089673,0.18398,0.22237,0.098613,0.13722,0.27472,0.038732,0.01568,0.10522,0.022833,0.18125,0.15477,0.20139,0.14363,0.062002,0.10739,0.28785,0.30377,-0.18129,0.14771,-0.077824,0.01551,-0.036049,-0.018255,-0.050246,0.0059501,-0.13926,-0.11533,0.0095775,-0.29228,-0.27016,-0.11739,-0.10915,-0.1606,0.059294,-0.095341,-0.12941,-0.0013467,0.032729,-0.060995,-0.022932,0.082684,-0.069859,-0.24598,-0.2914,0.099384,-0.024883,-0.17539,-0.18064,0.21866,-0.1983,-0.1024,0.00018426,-0.09705,-0.064044,-0.27957,0.1392,-0.083296,0.25803
