,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
10,0.59042,0.69214,0.60186,0.69369,0.51206,0.61441,0.67174,0.60288,0.65879,0.52999,1,0.26013,0.31886,0.50451,0.50026,0.33334,0.22221,0.4277,-0.042499,0.21517,0.25287,0.10533,0.23735,0.049088,-0.044359,0.043789,-0.25796,-0.055735,-0.22298,-0.11156,-0.15504,-0.28658,0.059089,-0.31105,-0.25104,-0.13291,-0.38722,0.0038155,-0.038365,-0.11399,0.035068,-0.19994,-0.25658,-0.34556,-0.13076,-0.26046,0.11059,-0.23393,-0.067237,-0.11874,-0.21578,-0.20465,-0.020283,-0.11294,0.0048893,0.15862,0.050103,0.16149,0.066,-0.022236,-0.0057387,-0.1801,0.032201,0.1695,0.022698,0.26887,0.17221,0.035884,0.091262,-0.22698,-0.06935,-0.0024108,-0.02334,-0.03844,-0.13514,-0.11745,-0.0054604,0.031329,-0.09121,0.053212,-0.21427,0.20607,-0.16547,0.064863,-0.12391,0.15475,0.018611,0.17164,0.063,0.022512,-0.096662,0.10123,-0.077698,0.16698,-0.053547,0.33416,0.065187
11,0.64423,0.56369,0.52656,0.51936,0.53515,0.52831,0.45968,0.43645,0.5173,0.35311,0.26013,1,0.27837,0.30675,0.36848,0.3459,0.13848,0.30392,0.22591,0.39652,0.027549,-0.017088,0.28164,0.23829,-0.041168,0.12949,0.040279,-0.041364,0.18918,0.089095,-0.024088,-0.15372,-0.068491,-0.087657,-0.069379,0.073465,-0.14163,-0.17699,0.11959,-0.20174,-0.12226,-0.37222,0.020107,-0.12025,-0.1037,-0.29361,-0.04943,-0.17806,-0.13487,-0.19967,0.069715,-0.0039015,-0.18059,-0.13285,-0.069835,0.2102,0.013714,-0.072586,0.070568,-0.020121,-0.084891,-0.14387,-0.048217,0.1885,0.094967,-0.25017,0.14444,0.077371,0.18819,-0.19482,-0.022824,0.081061,-0.24606,0.2603,-0.15677,0.19964,-0.063969,-0.059937,0.11344,-0.12258,0.097382,-0.20861,0.035883,0.027986,0.014379,0.041871,0.063442,0.016709,-0.049351,0.20535,-0.079239,-0.19162,0.2252,0.28348,-0.028577,0.0041005,-0.061092
12,0.47221,0.45996,0.45833,0.48345,0.51509,0.47417,0.55004,0.52887,0.47471,0.46783,0.31886,0.27837,1,0.43216,0.25846,0.45224,0.074793,0.2966,0.20772,0.12292,0.40411,-0.16415,0.19877,-0.27412,-0.16313,0.047154,-0.22122,0.0062081,-0.018246,0.053645,-0.3435,-0.010468,0.045956,-0.26482,0.074504,-0.22943,-0.13225,-0.083383,-0.10265,-0.072256,-0.29281,-0.20436,-0.0399,-0.22138,0.16429,-0.282,-0.028224,-0.087712,-0.26539,-0.15043,-0.18966,-0.031106,-0.11191,-0.039833,0.026166,0.13858,0.125,0.21026,-0.15034,-0.11455,-0.0032324,-0.39733,-0.21901,0.18694,-0.098746,-0.15522,-0.036489,-0.0044179,0.081855,-0.18799,-0.0037525,0.23428,0.05585,0.096887,0.039408,0.16281,-0.11419,-0.062422,-0.24064,-0.029422,-0.23663,0.19093,0.013703,0.097382,-0.23574,-0.11113,0.040399,-0.055242,-0.0066427,0.10717,-0.38215,0.03294,0.15847,-0.015625,-0.090376,0.15325,-0.053533
13,0.53853,0.49491,0.57899,0.62754,0.52718,0.5114,0.51535,0.46769,0.65559,0.62626,0.50451,0.30675,0.43216,1,0.25091,0.14643,-0.011888,0.3632,0.15365,0.18087,0.084421,0.15548,0.29061,-0.085417,-0.12521,-0.0099871,-0.45825,0.016535,-0.33921,-0.14414,-0.12551,-0.055168,-0.089905,0.085967,-0.21409,-0.21145,-0.11022,-0.081233,-0.027101,0.013161,-0.32118,-0.2259,-0.1358,-0.095526,-0.13548,-0.12589,-0.093306,-0.16696,-0.18607,-0.13311,-0.22431,-0.13418,0.12477,-0.14714,-0.054322,0.16963,0.12375,0.20104,-0.096491,-0.24076,0.0035713,-0.035322,0.12109,0.13956,-0.0070669,0.16379,-0.019702,-0.018326,0.074511,-0.2424,0.033846,-0.084447,0.039374,-0.18279,-0.20403,0.067462,-0.31084,-0.027149,-0.20814,0.17823,-0.26986,0.050676,-0.013199,-0.028448,-0.16462,0.012837,-0.0098047,0.046184,0.20129,0.065011,-0.076937,0.06884,0.1174,0.022912,-0.15054,-0.02273,0.10081
14,0.56418,0.51747,0.34891,0.51596,0.28746,0.52078,0.46298,0.44637,0.35754,0.33256,0.50026,0.36848,0.25846,0.25091,1,0.24357,-0.11976,0.09315,0.23875,0.1442,0.17555,-0.10307,0.18639,-0.041083,0.21201,0.36123,-0.010327,-0.035831,0.06755,0.053225,-0.22526,-0.37004,-0.087163,-0.1808,-0.19895,-0.27448,-0.30623,-0.22348,-0.14807,-0.18772,0.05853,-0.27956,-0.01863,-0.19338,0.070234,-0.040112,-0.12817,-0.089458,-0.23306,0.089023,-0.15056,-0.11853,-0.14604,-0.10592,-0.055516,0.20799,0.18294,-0.17198,-0.076438,0.077517,0.096238,-0.29381,-0.015556,-0.049636,0.06999,0.18855,-0.050491,0.027566,-0.10611,-0.19288,-0.083188,0.2397,-0.36101,0.17892,0.050876,0.26336,-0.086718,0.084169,-0.053444,-0.13366,-0.0068216,0.016545,0.024961,-0.029242,-0.048621,-0.14313,0.084067,0.12616,-0.084635,-0.07247,0.091343,-0.077762,0.17807,0.27624,0.1677,0.13427,-0.043883
15,0.51998,0.47777,0.43115,0.48794,0.58922,0.47162,0.44886,0.56137,0.41402,0.44517,0.33334,0.3459,0.45224,0.14643,0.24357,1,0.1816,0.26427,0.2757,0.36228,0.26554,0.099497,0.14774,0.065324,-0.13266,-0.13701,-0.040382,0.025186,0.056115,-0.00092983,-0.068389,-0.25086,0.12556,-0.20462,0.096305,0.077441,-0.19084,-0.1545,-0.040881,-0.18055,0.10151,-0.14315,0.011422,-0.02703,-0.089543,-0.48445,0.039244,-0.01364,-0.14142,-0.11779,0.31703,0.071213,-0.018818,-0.12264,0.11324,0.087214,0.15282,0.20634,0.1565,0.072145,0.017499,-0.33665,-0.11607,0.11141,0.14753,-0.099684,0.098229,-0.015158,-0.17474,0.015108,-0.12339,-0.084149,-0.034968,0.21456,-0.021605,0.062498,0.0042278,0.16538,-0.06261,-0.1922,0.020777,-0.17772,0.2026,-0.11222,0.055757,-0.023219,-0.086901,-0.11405,-0.15402,0.00019404,-0.063589,-0.060578,0.068478,0.20649,0.0031541,0.26648,-0.15802
16,0.060572,0.22215,0.19722,0.20911,0.19918,0.078234,0.25223,0.13246,0.16657,0.15599,0.22221,0.13848,0.074793,-0.011888,-0.11976,0.1816,1,0.36303,-0.032723,0.27382,-0.06318,0.21361,0.11296,-0.021099,-0.13577,0.053654,0.26265,0.10835,-0.19203,-0.12131,0.084247,0.068065,0.094456,-0.10169,0.0074638,0.08285,-0.18962,-0.089459,0.0094756,-0.024888,0.14941,0.037949,0.063016,-0.16562,-0.24439,-0.1369,-0.10938,-0.052261,0.19004,-0.17796,0.083907,-0.066856,-0.16356,0.091458,-0.1835,0.18396,-0.13055,-0.053542,0.37028,0.020874,-0.15977,-0.012901,-0.36369,0.17092,0.014916,0.082298,0.18943,-0.20265,0.24385,0.13493,0.13118,-0.14556,0.091121,-0.13104,0.12605,-0.02056,0.11927,-0.18011,0.060741,-0.047873,-0.0655,0.17544,0.084666,0.057523,0.26413,0.23596,-0.10605,-0.051341,-0.20682,0.27765,0.085559,0.20135,0.1163,0.11824,0.024851,0.20995,0.16236
17,0.38572,0.4519,0.47832,0.48949,0.3998,0.41152,0.40678,0.32487,0.39898,0.37014,0.4277,0.30392,0.2966,0.3632,0.09315,0.26427,0.36303,1,-0.13514,-0.0060994,0.15352,0.2022,0.16463,-0.11828,-0.23431,0.050213,-0.014727,0.16631,-0.12391,0.014338,0.15083,-0.053701,0.054825,-0.12528,-0.14677,0.092988,-0.086794,-0.0095464,0.15799,-0.18195,0.00078074,-0.1647,-0.20283,-0.0326,0.0090522,-0.067971,0.1411,0.17883,-0.1078,-0.15081,0.078801,0.10788,0.025629,-0.15853,-0.063081,0.13711,0.13921,0.10793,0.20699,-0.27168,-0.044151,-0.081897,-0.086957,0.24595,-0.20813,0.10027,0.17494,-0.065627,0.18404,-0.049194,0.062086,-0.10175,0.13606,-0.19426,-0.15509,0.31302,-0.24004,-0.11865,-0.097151,-0.0014001,-0.10077,-0.012027,0.084286,0.18224,-0.061008,0.24601,-0.10022,0.032129,-0.02539,0.077468,-0.054009,0.054198,0.13632,-0.0087394,-0.076244,0.047086,0.03434
18,0.35496,0.18193,0.23274,0.23598,0.34561,0.30993,0.20768,0.28826,0.26429,0.38524,-0.042499,0.22591,0.20772,0.15365,0.23875,0.2757,-0.032723,-0.13514,1,0.13215,0.065496,0.001621,0.214,0.18435,-0.0043123,0.049914,-0.098545,0.23771,-0.090311,0.070657,-0.013106,0.12225,-0.060857,-0.0094499,0.054307,-0.10008,-0.016087,-0.27147,0.19007,-0.1429,-0.024642,-0.12163,0.11965,-0.14797,-0.041654,-0.099762,-0.57776,-0.26522,-0.14914,-0.027752,0.097115,0.041541,-0.14296,0.16805,0.022164,0.15292,-0.052538,-0.040631,0.11375,-0.038769,-0.024755,-0.31627,-0.1005,-0.063758,0.13283,-0.12181,-0.20561,-0.0024609,-0.17498,0.02156,0.15105,0.089464,-0.15166,0.24804,-0.090956,0.058305,0.073991,-0.0043009,0.00010622,0.020891,0.03382,-0.076638,0.11004,-0.23701,0.16883,0.025364,-0.14858,-0.19113,0.060599,-0.028836,0.10595,-0.1671,0.35568,-0.01489,0.040396,0.035643,-0.051178
19,0.41329,0.42711,0.4184,0.36863,0.49907,0.32624,0.315,0.3553,0.42973,0.36003,0.21517,0.39652,0.12292,0.18087,0.1442,0.36228,0.27382,-0.0060994,0.13215,1,-0.094055,-0.057021,0.16229,0.028446,-0.076917,0.03245,-0.075443,-0.19039,-0.060917,0.080861,-0.28261,-0.15117,-0.21031,-0.20665,-0.0090517,-0.034649,-0.19621,-0.1111,-0.0066832,0.13093,-0.10803,0.080118,0.055,-0.092253,-0.43803,-0.50567,-0.10208,-0.12215,0.18239,-0.12641,-0.037375,-0.14411,0.11692,0.023242,0.14482,0.24457,-0.096343,-0.10742,0.33438,0.079634,-0.22122,0.056334,0.029161,0.21394,0.21643,-0.093337,-0.080125,0.16743,0.20429,-0.077751,0.10596,0.035055,-0.052935,0.17782,0.10895,-0.064548,-0.030992,0.059027,0.047734,0.095805,0.16709,-0.077247,0.15301,-0.14433,-0.15821,-0.032941,0.047037,-0.0064628,-0.32469,0.3181,-0.06664,-0.064989,0.064721,0.11593,0.02414,0.078804,-0.04843
