,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,0.35835,0.26686,0.15081,0.21887,0.1742,0.13045,0.38648,0.088502,0.27475,0.28458,1,0.26927,0.36484,0.21643,0.095064,0.25776,0.40468,0.28463,0.29931,-0.0023966,0.27669,0.16149,0.31944,0.16279,0.41572,0.23567,0.02783,0.20561,0.19724,0.31735,0.19516,0.27564,0.24557,0.020666,0.17,0.1415,0.42491,-0.027379,-0.058774,-0.053349,0.2463,0.13438,-0.15059,0.20939,-0.27103,-0.044632,0.099348,-0.027987,0.15051,-0.10418,-0.094018,0.14475,0.24372,-0.048701,0.068189,0.19348,0.46827,0.075061,-0.20019,0.037506,0.090781,-0.29835,0.039397,-0.0032436,-0.075079,-0.21351,-0.12252
11,0.28881,0.26077,0.46048,0.060744,-0.036069,0.043673,0.25587,-0.24152,0.055013,0.046647,0.26927,1,0.11471,0.036357,-0.048626,0.1289,0.016881,0.1227,0.15797,-0.077571,-0.093012,-0.094892,0.21867,0.12227,0.12708,0.1593,0.083783,0.03816,0.053273,0.073091,0.029025,0.094041,0.2319,-0.068682,0.15162,0.23843,-0.074475,-0.20158,0.019211,0.32827,0.13807,0.046196,0.25461,0.14966,0.21508,0.01654,-0.021653,0.075276,-0.13348,0.20934,0.018108,0.13911,-0.0035743,0.15185,-0.035682,-0.15838,0.30211,0.26425,0.12639,0.14304,-0.012863,-0.18207,-0.02731,0.088301,-0.071373,-0.24255,0.092242
12,-0.073645,-0.021351,-0.015504,0.21276,0.10547,0.18003,0.013221,0.059964,0.10123,0.086489,0.36484,0.11471,1,0.11373,-0.030819,0.27874,0.41867,0.15041,0.068648,-0.035554,0.42004,0.051891,0.17991,0.071064,0.2401,0.14889,0.18048,-0.29784,0.17508,0.40723,0.29349,0.088576,0.14315,0.18974,0.098569,0.12306,0.055545,-0.29845,-0.10846,0.21032,-0.063117,0.093681,0.10189,0.10697,-0.023492,-0.35566,-0.042776,-0.21919,-0.042282,-0.045357,0.075443,0.19428,0.1521,-0.029273,0.25433,0.22178,0.40941,-0.068227,-0.12566,-0.1094,-0.032285,-0.16935,-0.17043,0.036165,-0.18006,0.0040716,-0.13352
13,0.022462,0.23663,0.15179,0.20133,-0.0050138,-0.12357,0.17855,0.10669,0.27801,0.12175,0.21643,0.036357,0.11373,1,0.18078,0.12538,0.21421,0.35749,0.19094,0.096334,0.16737,-0.013065,-0.023166,0.089855,-0.00012858,0.038819,0.070158,0.094985,0.12108,0.08266,0.048953,0.19582,0.062433,-0.256,0.14608,0.036822,0.21955,0.032252,-0.021228,0.052646,-0.068653,0.084587,-0.042861,0.17232,-0.061079,-0.14678,-0.0031381,0.051041,-0.09617,-0.44571,-0.12533,-0.12783,-0.03412,-0.10572,0.19722,0.12899,-0.18954,0.14094,-0.042804,0.082579,-0.045877,-0.14478,0.10012,-0.054961,-0.34642,-0.051362,-0.16493
14,0.014584,0.12982,0.034396,0.17165,0.034829,-0.21683,0.17008,0.055997,0.006786,-0.11184,0.095064,-0.048626,-0.030819,0.18078,1,0.029466,0.152,0.18615,0.38023,0.17928,0.13439,0.08011,-0.0074603,0.20892,0.15889,0.29573,0.17862,0.26592,0.08794,-0.075869,0.01592,-0.29818,0.24488,-0.21609,-0.1063,-0.14177,0.16071,0.17668,0.010791,0.1931,-0.063455,-0.012765,-0.02918,-0.2697,-0.088544,-0.098284,-0.026222,0.024143,0.15448,-0.31801,0.058678,-0.18316,-0.12834,-0.34668,-0.19377,0.26281,-0.21923,-0.019017,-0.24859,-0.37692,-0.032576,-0.098379,-0.30974,0.049613,0.096845,0.029102,-0.21529
15,0.29384,0.29999,0.13867,0.22942,0.32747,-0.070301,0.2291,0.075058,0.098786,0.30304,0.25776,0.1289,0.27874,0.12538,0.029466,1,0.42751,0.25992,0.21902,0.17581,0.24756,-0.13525,0.16744,0.084184,0.05546,-0.064719,0.061803,0.09707,0.0074878,-0.037235,0.18388,0.026706,0.022976,-0.026507,0.074515,0.10689,0.15652,-0.046093,0.020549,0.41691,0.065755,0.003361,0.10296,0.22881,-0.18219,0.012874,-0.33482,-0.17408,-0.12059,0.093626,0.097194,0.19629,-0.21117,0.13326,0.29419,0.030498,0.06051,0.15179,-0.1373,-0.043123,-0.30468,-0.11972,0.076071,0.19086,-0.060253,-0.13384,-0.15011
16,0.13194,0.18005,0.083105,0.44644,0.41956,0.25159,0.28547,0.14517,0.20247,0.33424,0.40468,0.016881,0.41867,0.21421,0.152,0.42751,1,0.30262,0.28258,0.18378,0.2249,0.23363,0.28591,0.41842,0.11906,0.24077,0.14167,0.0062451,0.2271,0.33482,0.42438,0.15141,0.28887,0.071676,0.066233,0.33697,0.26345,-0.033056,0.18016,0.29067,0.034115,-0.03032,0.028691,0.41381,-0.15032,-0.073709,-0.13658,0.032511,-0.10048,-0.10116,0.039609,0.069004,0.051686,-0.056383,-0.02614,0.23606,0.016769,0.11741,-0.062064,-0.2697,-0.094639,0.017417,-0.11311,-0.10484,-0.18171,-0.1881,-0.17073
17,0.092083,0.19604,0.1911,0.48214,0.11502,-0.060901,0.34258,-0.10982,0.11736,0.24882,0.28463,0.1227,0.15041,0.35749,0.18615,0.25992,0.30262,1,0.35838,0.2599,0.30361,0.093947,0.069586,0.13734,0.12577,0.019082,0.083834,-0.049484,0.026129,0.10185,0.16005,0.051386,-0.1563,-0.1516,0.11812,0.13354,-0.011924,-0.023526,0.016992,0.13024,0.13539,0.1669,-0.021335,0.10533,-0.17366,-0.088276,-0.27984,0.051559,0.090471,0.084284,-0.023922,-0.16496,-0.074801,-0.2055,-0.024611,0.055094,-0.075887,0.14233,0.096623,-0.057101,-0.1268,0.29605,0.025528,-0.05977,-0.060258,0.10536,-0.1346
18,0.3051,0.14439,0.25582,0.35849,0.2534,0.056767,0.25736,0.36445,0.1596,0.42068,0.29931,0.15797,0.068648,0.19094,0.38023,0.21902,0.28258,0.35838,1,0.11992,0.089052,0.25326,0.083863,0.078053,0.18737,0.45661,-0.0046447,0.15009,0.18806,-0.015018,-0.011239,-0.040854,0.0070792,-0.058727,0.29353,0.12961,0.22743,0.2765,0.16258,0.18533,-0.042145,0.043194,-0.17176,0.18783,-0.13526,0.095226,-0.11154,-0.082798,0.13967,-0.14584,0.074728,-0.0029708,0.17127,-0.30516,-0.12101,0.34579,0.0085756,0.076916,0.019041,-0.26249,-0.15014,0.11719,-0.10994,0.065765,0.13123,-0.28283,-0.054489
19,0.044498,-0.048259,0.096847,0.14377,0.33001,0.021313,0.28514,0.074955,0.17111,0.17048,-0.0023966,-0.077571,-0.035554,0.096334,0.17928,0.17581,0.18378,0.2599,0.11992,1,0.3091,-0.0061243,0.10755,0.070981,-0.28368,0.16571,-0.089584,0.06669,-0.21429,0.047247,0.050217,0.22911,0.065955,0.029851,-0.22723,0.18187,-0.073865,0.086583,-0.10819,0.24041,-0.098372,0.15059,0.075751,-0.11247,0.068646,-0.075404,-0.080508,0.090683,-0.16184,-0.11858,0.20398,-0.0022818,-0.088792,-0.26028,-0.2049,0.023389,-0.055308,-0.14156,0.34147,-0.25169,-0.23854,0.12241,-0.13638,-0.046307,-0.11118,-0.06229,-0.030886
