,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
10,-0.39937,0.018414,0.056494,0.31423,0.22463,0.20603,0.16597,0.3171,0.32719,0.22745,1,0.48611,0.19802,0.32707,0.2491,0.1852,0.21649,0.41071,0.30966,0.29007,0.11922,0.13168,0.16099,0.42596,0.36599,0.46634,0.28206,0.44676,0.41615,0.20301,0.16504,0.1723,0.38978,0.24799,-0.20576,0.093007,-0.010014,0.064667,0.17825,0.05299,0.097429,0.33924,0.085227,0.256,-0.11633,0.15528,0.051163,-0.093835,0.33176,-0.11566,-0.017061,0.17217,-0.08659,0.057521,0.29945,-0.023167,0.0045733,-0.22273,-0.13227,0.026082,0.075086,-0.073382,-0.078283,0.14752,-0.067277,0.040999,0.16057,0.1855,-0.032334,-0.010917,-0.13419,-0.12267,-0.063819,-0.054689,-0.037931,0.11987,-0.33256,-0.064058,-0.07672,-0.0034543,-0.16977,-0.029146,-0.13865,0.019041,-0.036756,0.28883,-0.26927
11,-0.065908,-0.033497,0.058672,0.249,0.12228,0.087979,0.25932,0.15092,0.31324,-0.0077071,0.48611,1,0.43086,0.23825,0.094331,0.33767,0.37455,0.47301,0.35034,0.29545,0.21286,0.32464,0.047425,0.29027,0.20349,0.1682,0.15961,0.45184,0.47144,0.16323,0.06277,0.32695,0.32852,0.060458,0.11585,0.17911,-0.01394,0.029574,0.16086,0.23839,0.030551,0.0021729,0.060962,0.23038,-0.34047,0.10794,-0.047856,0.24827,0.22952,0.11337,-0.10333,0.010405,0.09153,-0.13179,-0.21905,-0.24437,-0.12505,0.010621,-0.090919,0.0068501,-0.11643,-0.039519,0.33015,-0.087541,-0.017061,0.28988,-0.089473,0.13901,0.12075,-0.13384,0.035267,-0.082992,0.089795,0.096644,0.060235,0.012526,-0.34282,0.0043737,-0.037173,-0.13917,-0.30664,-0.20998,-0.081006,-0.15666,-0.28111,0.028517,-0.22405
12,0.10747,0.028163,0.09384,0.14337,-0.077724,0.024368,0.1852,-0.091175,0.11167,-0.06609,0.19802,0.43086,1,0.13872,0.25136,0.31122,0.29401,0.29196,0.13309,0.10823,0.26146,0.38815,0.039936,0.13458,0.25941,0.085995,0.16702,0.35835,0.34284,0.016556,0.28113,0.15005,-0.12575,-0.074996,0.26504,0.083475,0.1027,0.060685,-0.06716,0.40499,-0.21308,0.066732,0.081647,0.045035,-0.032913,0.030552,-0.089914,0.12435,0.12301,-0.21926,-0.19977,0.13364,-0.11182,-0.11073,-0.32655,-0.22886,-0.025145,0.063447,-0.038763,-0.046091,0.016447,-0.15032,0.24594,-0.20014,-0.24697,0.026838,0.0038827,0.24086,0.13789,-0.19529,0.098756,0.034671,-0.016804,-0.10132,-0.20595,-0.30983,-0.046687,-0.16715,-0.11543,-0.1063,-0.2196,-0.09136,-0.020629,-0.051263,-0.16898,0.013133,-0.12864
13,-0.26701,0.034185,-0.14851,0.33119,-0.077543,-0.10716,-0.28258,-0.049471,0.093432,-0.12324,0.32707,0.23825,0.13872,1,0.10716,0.16912,0.26241,0.37997,0.42679,0.34971,0.17906,0.37801,0.10272,0.28415,0.28518,0.10893,0.29933,0.28712,0.27443,0.28549,0.23724,0.10644,0.21231,-0.011125,0.1045,0.047854,-0.086531,0.16416,0.098511,0.26948,0.32025,0.21323,-0.21718,0.15094,-0.061187,0.16769,0.45553,-0.036373,-0.09032,0.14378,0.15435,-0.047748,0.0089018,0.010811,0.13752,-0.2696,-0.25282,-0.18881,0.035044,0.095177,-0.32925,0.16531,0.041081,-0.17309,-0.31603,-0.19112,0.13545,-0.046467,-0.23904,0.059352,-0.15008,-0.058728,0.2239,-0.1269,0.11023,-0.039958,-0.34693,-0.12266,0.017471,0.030337,-0.1097,-0.02439,-0.24419,0.13509,-0.16346,0.080035,-0.168
14,-0.010149,-0.13814,-0.20652,0.33977,0.14747,-0.00092512,0.11887,0.19883,0.19764,0.12618,0.2491,0.094331,0.25136,0.10716,1,0.22344,-0.0035646,-0.0057036,0.081228,-0.11604,0.29394,0.19733,0.10285,0.095902,0.14082,0.23518,0.25235,0.16858,0.038772,0.18452,-0.033455,0.14887,-0.019499,0.32296,0.030174,-0.039786,-0.036146,0.15501,0.075439,0.26631,-0.050818,0.1265,0.082441,0.0038816,-0.07932,0.24215,0.12068,-0.037522,0.07423,0.036164,0.019398,0.019482,-0.11368,0.24739,-0.077328,-0.0306,-0.20044,-0.092252,0.035273,0.089856,0.2884,-0.033244,0.095014,0.024639,-0.095466,-0.24738,0.038294,0.24301,-0.1799,0.014948,0.25544,0.0025013,0.0081387,-0.038162,-0.2861,0.071536,0.031874,0.11553,-0.10824,0.0027351,-0.038826,-0.12396,-0.026258,0.027791,0.048387,0.03108,-0.2822
15,-0.15356,-0.27865,-0.031194,0.2999,0.098394,0.19458,0.08696,0.06745,0.45094,0.25101,0.1852,0.33767,0.31122,0.16912,0.22344,1,0.24575,0.44745,0.22465,0.24963,0.27046,0.18626,0.34873,0.44152,0.28568,0.36998,0.13901,0.42959,0.40769,0.32903,0.19416,0.33707,0.12707,0.37392,0.38318,0.25027,0.14752,0.26414,0.33488,0.36313,0.11933,0.27833,-0.049096,0.23962,-0.042458,0.014744,0.10276,0.13246,0.18909,0.013904,-0.022443,-0.33292,-0.20223,0.11113,0.059409,-0.18485,-0.23422,-0.0898,-0.066578,-0.059714,-0.057834,-0.36577,0.11359,-0.05954,-0.13913,0.10837,0.042218,0.13022,-0.053005,-0.13624,-0.046429,-0.11345,-0.31803,-0.014808,0.084957,-0.067062,-0.28721,-0.080776,-0.0040782,0.12421,-0.087096,0.12326,-0.15188,-0.060329,-0.073276,0.052575,-0.0045571
16,-0.23154,-0.13048,-0.09252,0.12247,0.065598,0.037333,-0.0051173,0.15599,0.20267,0.098635,0.21649,0.37455,0.29401,0.26241,-0.0035646,0.24575,1,0.31366,0.124,0.4401,0.25091,0.28976,0.1709,0.43298,0.22098,0.066275,0.16958,0.22321,0.2856,0.038609,0.12296,-0.00039076,0.44689,0.061458,0.13687,0.16642,0.12139,-0.022693,0.035242,0.14727,0.20198,0.11525,0.087747,0.11085,0.13373,-0.045913,-0.024312,0.10761,0.22908,-0.018634,0.074371,0.069778,-0.19926,0.051534,-0.21109,-0.20737,-0.13724,-0.19085,0.15004,0.33146,-0.37266,-0.25728,0.037189,0.051374,-0.04813,-0.057369,0.27036,0.1585,-0.13064,-0.067076,-0.034485,-0.2096,-0.17889,0.18743,-0.041349,0.027052,-0.1224,-0.30841,0.033018,-0.22742,-0.21572,-0.34363,-0.26707,-0.29056,-0.036832,-0.20099,-0.060313
17,-0.0082219,-0.133,0.17336,0.27557,0.3301,0.13811,0.042091,0.15975,0.25901,0.20707,0.41071,0.47301,0.29196,0.37997,-0.0057036,0.44745,0.31366,1,0.31126,0.24213,0.062684,0.2481,0.24425,0.46658,0.42309,0.12493,0.23949,0.38726,0.50111,0.25119,0.019966,0.11985,0.26154,0.33264,0.087229,0.023557,0.20124,0.18722,0.026937,0.23151,-0.060237,0.20577,-0.1626,0.18643,-0.098752,-0.045611,0.14925,0.11373,-0.045391,0.058457,0.15225,-0.20348,-0.0081677,-0.22345,-0.013684,-0.45602,-0.043937,-0.040533,-0.062814,-0.21635,-0.10806,-0.27781,0.040457,-0.085551,-0.36257,0.3527,0.15001,0.1208,-0.024478,-0.21621,-0.12809,-0.040323,0.017435,-0.032286,0.11607,0.13308,-0.233,-0.10923,0.070814,0.121,-0.14979,0.050461,-0.16013,0.055731,-0.23059,-0.0080536,-0.16863
18,-0.36403,0.0098808,-0.05161,0.11356,-0.17183,-0.054181,-0.051141,-0.048471,0.034626,0.014951,0.30966,0.35034,0.13309,0.42679,0.081228,0.22465,0.124,0.31126,1,0.24687,0.1389,-0.016018,0.029414,0.21812,0.098513,0.074128,0.18779,0.077911,0.22471,0.075632,0.20875,0.23709,0.1502,0.19064,0.26484,0.099028,-0.056375,0.20232,0.13175,0.29373,0.016653,-0.15348,-0.2767,0.0087193,-0.076228,0.26049,0.0050887,0.033837,-0.026512,0.12125,-0.089495,0.097708,-0.1284,-0.10241,-0.090638,-0.12729,-0.29105,-0.048875,-0.18421,-0.12027,-0.32497,0.16195,-0.069874,0.0066829,-0.25011,-0.011203,-0.16772,-0.23058,-0.075799,-0.016102,-0.02088,0.057527,0.0070943,0.017604,0.034537,-0.051245,-0.33368,-0.13897,-0.19519,-0.021913,-0.33121,-0.3659,0.0057302,-0.099947,-0.045297,0.015989,-0.035983
19,-0.51987,-0.10356,-0.080185,0.11956,-0.1008,0.055886,-0.15488,0.035849,0.34048,0.1829,0.29007,0.29545,0.10823,0.34971,-0.11604,0.24963,0.4401,0.24213,0.24687,1,0.13975,0.23538,0.083781,0.47943,0.057811,0.16524,0.20744,0.18842,0.3823,0.12156,0.11674,-0.071773,0.28857,0.15492,0.086938,0.041087,-0.15289,0.15957,0.1682,0.093227,0.26563,0.10319,-0.37366,0.04527,-0.087958,-0.037608,0.027325,-0.10944,0.033137,0.19243,0.12768,0.054269,-0.31323,0.018171,0.064873,-0.15644,-0.25085,-0.42715,0.29918,0.14141,-0.26079,0.014103,0.20548,0.20592,-0.052979,0.042918,0.0070947,0.17977,0.028195,0.040592,0.017979,0.059018,0.032606,-0.035876,0.23815,0.13633,-0.30456,-0.19571,-0.1696,-0.0013058,-0.18347,-0.013243,-0.35756,-0.15444,0.098862,0.28923,0.0092364
