,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
10,0.62329,0.58296,0.58674,0.50867,0.58389,0.42471,0.51024,0.58042,0.58234,0.3888,1,0.59219,0.50858,0.42718,0.50299,0.66756,0.23683,0.21336,0.26039,0.062075,0.16855,0.18051,0.33922,-0.028848,0.034616,-0.042576,0.045886,-0.21815,0.11913,-0.23998,0.086162,-0.03909,-0.025012,-0.16487,-0.022954,-0.23509,-0.26386,-0.097338,-0.11492,-0.33513,-0.39331,0.017608,-0.10753,0.046936,-0.21464,-0.15406,0.010175,-0.27357,-0.078398,-0.18588,-0.13101,0.044746,-0.37632,-0.083926,-0.26464,0.2017,-0.11842,0.0045718,0.033187,-0.12614,-0.017778,0.14622,-0.18831,0.028285,-0.076863,0.30185,0.14132,-0.27222,0.034624,0.15818,-0.045242,-0.24588,-0.1568,0.15097,0.19854,-0.11396,0.069839,0.11237,0.075514,0.10535,-0.047426,0.010698,0.20019,-0.07171,0.083352,0.13752,0.074625,0.11808,0.23347,0.10602,0.064907,-0.12293,0.083643,-0.023411,0.18071
11,0.67343,0.61251,0.58859,0.48972,0.645,0.4338,0.51719,0.48106,0.5048,0.46644,0.59219,1,0.54537,0.43437,0.21118,0.56934,0.42048,-0.043801,0.10887,0.37353,0.075986,0.039615,0.075578,-0.050313,-0.14208,-0.24369,-0.1413,-0.15232,0.18601,-0.14759,0.062924,-0.11603,-0.059649,-0.18211,-0.20476,-0.089258,-0.067983,-0.16185,-0.32293,-0.32945,-0.32271,-0.14277,-0.21025,0.025908,-0.10902,-0.21423,-0.052179,-0.13552,-0.0018848,-0.2564,-0.043471,0.1263,-0.16472,-0.022865,-0.2532,0.1568,-0.264,0.01249,-0.10549,-0.30016,0.094796,0.37523,-0.26749,-0.043652,-0.066137,-0.047904,0.2776,-0.21258,0.048526,0.18541,0.097688,-0.11413,0.069426,-0.15901,-0.091254,0.085383,-0.009296,-0.035275,0.18168,0.23698,-0.035119,-0.1288,0.28708,-0.17722,-0.10267,0.16759,0.054999,0.046818,0.061806,0.09706,0.23099,-0.0244,-6.1322e-06,0.001064,0.20284
12,0.71788,0.70344,0.62584,0.63513,0.70934,0.6049,0.8062,0.62012,0.60283,0.61662,0.50858,0.54537,1,0.45041,0.45364,0.59534,0.23016,0.22216,-0.065654,0.36128,0.26122,0.077664,0.027926,-0.06006,0.0561,-0.069712,0.074936,-0.28146,-0.16851,0.01424,-0.05631,-0.24423,-0.19658,-0.34292,-0.36771,-0.25695,-0.041129,-0.25907,-0.45837,-0.18713,-0.41006,-0.002986,-0.26911,-0.2388,-0.33725,-0.35541,-0.094032,0.016513,0.036262,-0.2517,0.084008,-0.022585,-0.18632,-0.12775,-0.12692,-0.043414,-0.27664,0.070781,-0.15452,-0.22182,0.058738,-0.050422,-0.29714,0.043529,0.034185,0.21728,0.22176,-0.052493,-0.034206,0.012441,0.02866,-0.034185,-0.30238,-0.082209,0.011119,0.14523,0.20772,0.088911,0.26952,-0.062154,0.14311,-0.096345,0.18515,0.044918,0.027425,0.19796,0.36287,-0.075281,0.27956,0.23797,-0.016803,0.097741,-0.0016568,0.26578,0.083192
13,0.59017,0.56579,0.71399,0.60136,0.52192,0.55622,0.48559,0.41947,0.49484,0.54921,0.42718,0.43437,0.45041,1,0.53536,0.52558,0.33142,0.11456,0.27011,0.27138,0.25022,0.060458,0.2416,-0.18126,0.1755,-0.13968,0.11614,-0.051356,-0.038711,-0.37081,-0.047385,-0.34161,0.0070147,-0.30395,-0.17977,-0.31826,-0.33678,-0.16616,-0.33373,-0.22866,-0.16924,-0.059117,-0.024222,-0.056264,-0.15577,-0.16258,-0.035806,-0.10068,-0.0036387,-0.12573,-0.074964,-0.097996,-0.11379,-0.063509,-0.36448,0.16268,-0.27037,0.19483,-0.15205,-0.095777,-0.1013,0.0088917,-0.21157,-0.11647,0.073503,0.24391,0.17687,-0.29722,-0.011417,0.019403,0.069262,0.13711,-0.29126,-0.11343,0.082496,-0.14745,0.11458,-0.049685,0.1419,0.1832,-0.090242,-0.28459,0.027289,0.10404,-0.049517,0.35542,0.1778,-0.10073,0.25179,0.19476,0.090325,0.14221,0.1365,0.21413,0.03687
14,0.42651,0.52976,0.5498,0.5818,0.46661,0.48467,0.49037,0.47237,0.50073,0.42442,0.50299,0.21118,0.45364,0.53536,1,0.53867,0.10376,0.45721,0.17395,0.2661,0.17312,0.07286,0.17095,-0.17623,0.23343,-0.081943,0.21977,-0.061452,-0.05323,-0.081158,0.032662,-0.16175,-0.1386,-0.19305,0.0057031,-0.30973,-0.2558,-0.17666,-0.16158,-0.14345,-0.32121,0.051011,0.15629,-0.12792,-0.08261,-0.042684,-0.093971,0.0007128,0.043921,-0.29818,-0.12959,-0.16532,-0.032881,0.15737,-0.10628,-0.024126,-0.092127,0.20424,0.15332,0.03911,-0.15405,-0.040929,-0.18262,-0.27792,-0.10593,0.21851,0.02069,-0.23873,0.036117,0.0054932,0.058472,0.012995,-0.221,0.18196,0.13272,-0.10227,0.12713,0.13852,0.28541,-0.11383,-0.0059731,-0.11721,0.033939,0.099428,0.018727,0.23919,0.24553,-0.22188,0.42835,0.33531,-0.0094131,0.14349,0.044657,0.37286,0.17812
15,0.65719,0.73432,0.70489,0.58408,0.65317,0.51333,0.5977,0.62443,0.48864,0.51241,0.66756,0.56934,0.59534,0.52558,0.53867,1,0.13157,0.27025,0.19126,0.14161,0.14798,0.25378,0.18724,-0.28959,-0.010363,-0.27795,-0.054999,-0.21586,-0.14521,-0.071019,0.034862,-0.027529,-0.17449,-0.3634,-0.15667,-0.066777,-0.24097,-0.2493,-0.12485,-0.30903,-0.30743,-0.15874,-0.12962,-0.08432,-0.34783,-0.1581,-0.053072,-0.09806,-0.011522,-0.18148,-0.23441,0.059048,-0.14153,-0.010559,-0.34447,-0.17848,-0.24669,0.028444,0.086261,-0.20338,-0.031071,0.05921,-0.33388,0.044614,-0.18809,0.27513,0.29363,-0.036598,0.11582,-0.12075,-0.023709,-0.14492,-0.21102,-0.047096,0.202,-0.0709,0.1294,0.14041,0.13263,0.057481,-0.057359,-0.022027,0.098194,-0.071081,-0.037886,0.11673,0.11343,0.166,0.41635,0.17924,0.02551,0.20445,0.042467,0.21868,0.051026
16,0.28331,0.29883,0.37706,0.19049,0.46287,0.46658,0.26084,0.2221,0.38722,0.38311,0.23683,0.42048,0.23016,0.33142,0.10376,0.13157,1,-0.00769,0.19738,0.34215,-0.080952,-0.13924,0.021679,-0.10957,-0.10996,-0.14141,-0.2115,-0.11988,-0.030137,-0.13916,0.0052244,-0.18072,-0.18566,-0.39819,-0.23552,-0.23299,-0.11699,-0.06848,-0.18434,-0.21488,-0.32663,-0.20678,0.069548,0.012375,-0.0038294,-0.29421,-0.096077,0.090072,0.089154,-0.35897,0.0061807,0.15159,-0.048062,0.058566,-0.25691,0.097631,-0.2535,-0.032796,-0.012625,-0.027461,0.025158,0.11846,0.055037,-0.18084,-0.23144,0.0097283,0.23692,-0.16676,0.0237,-0.018758,-0.059131,-0.054498,0.073761,-0.11428,-0.042176,-0.18914,0.16349,-0.29205,-0.013785,0.059891,-0.022269,-0.22015,-0.04554,0.10971,0.087273,0.10876,0.065627,0.10724,0.060746,-0.041636,0.24106,0.017378,0.10194,0.15035,0.20394
17,0.10378,0.20653,0.23623,0.23977,0.22544,0.17094,0.28433,0.19754,0.26563,0.25871,0.21336,-0.043801,0.22216,0.11456,0.45721,0.27025,-0.00769,1,0.11321,0.092371,-0.17131,-0.037119,-0.021744,-0.11242,-0.063869,-0.11263,0.27709,0.10228,0.22428,0.2067,-0.21217,0.15706,-0.060425,-0.15619,0.098916,-0.27924,-0.018124,0.10652,0.052432,0.15509,-0.091573,0.019373,0.16187,-0.11608,-0.27226,0.022372,-0.046299,0.156,-0.093505,-0.094792,0.22627,0.00297,0.10976,0.19686,-0.15049,-0.1291,0.12601,0.11382,0.10038,0.30363,-0.075636,-0.10303,-0.045889,-0.070556,0.031035,0.30541,0.075461,0.35829,-0.072839,-0.083718,-0.1361,-0.098471,-0.19396,0.38833,0.086586,0.097451,0.17617,0.059836,0.023116,-0.43438,0.10463,0.10989,-0.096965,0.24561,0.064985,0.0047459,0.010856,0.041666,0.44291,0.25772,0.045625,0.25703,0.21463,0.11909,0.23808
18,0.16958,0.11413,0.32814,0.13938,0.1841,0.34026,0.024974,0.065932,0.3231,0.15565,0.26039,0.10887,-0.065654,0.27011,0.17395,0.19126,0.19738,0.11321,1,-0.21255,0.16697,-0.084324,0.20625,-0.39648,-0.0060494,-0.097232,-0.096217,0.017922,0.15318,-0.23275,0.096179,0.17278,-0.062387,0.22574,0.23379,-0.10747,-0.20107,-0.026368,-0.019297,-0.2337,0.035899,-0.19163,0.36212,0.017723,0.057218,0.0069121,0.10841,-0.10077,-0.11262,-0.17288,0.091195,0.1315,-0.19847,-0.10671,-0.17077,0.21437,-0.31882,-0.095254,0.15951,0.26247,-0.050622,0.11035,-0.06362,-0.092789,0.076965,0.13352,-0.0027562,-0.40652,-0.34161,0.14412,-0.047752,0.0045218,-0.12515,0.15479,0.43164,0.040443,-0.013312,0.13453,0.18195,0.14755,-0.10556,-0.19484,0.091904,0.11477,0.18565,0.1898,-0.25204,0.19192,0.14973,-0.078087,0.049777,-0.15195,0.19548,0.30871,0.32372
19,0.4524,0.34512,0.20394,0.25353,0.44628,0.2661,0.34074,0.1903,0.40969,0.32827,0.062075,0.37353,0.36128,0.27138,0.2661,0.14161,0.34215,0.092371,-0.21255,1,-0.094843,-0.10037,-0.0043872,-0.13248,0.27059,0.07457,-0.075715,-0.043011,0.070602,-0.14748,-0.091672,-0.19339,-0.084071,-0.14088,-0.072864,0.055344,0.077647,0.19121,-0.1693,0.10749,-0.022658,-0.15932,0.034756,0.093269,-0.0046465,-0.10054,-0.050536,0.19138,-0.14138,-0.23945,0.098479,0.072115,-0.0098775,0.0054084,-0.24647,-0.047429,-0.067272,-0.026993,0.02698,-0.13846,0.048936,0.05986,-0.047807,-0.11885,-0.19711,-0.2058,0.14445,0.19976,0.13622,0.028233,0.090008,0.093698,0.041795,-0.13209,-0.33846,0.09317,0.03899,-0.16035,0.083984,-0.022324,-0.00049414,0.040518,0.10629,0.061174,-0.069554,0.023429,0.17683,-0.23132,0.058846,0.19429,0.28466,0.050367,-0.018479,0.10558,0.11752
