,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
10,0.89463,0.86853,0.84291,0.87637,0.86566,0.86721,0.89321,0.88455,0.86319,0.84538,1,0.78576,0.86705,0.78037,0.84542,0.83427,0.75583,0.79881,0.78721,0.82966,0.73927,0.77155,0.73434,0.75322,0.7343,0.76884,0.68327,0.70874,0.68855,0.64504,0.66597,0.6114,0.63012,0.45736,0.48425,0.61497,0.60708,0.65316,0.30108,0.45305,0.39534,0.47307,0.21195,0.32063,0.47605,0.26799,0.27362,-0.10334,0.1861,0.14324,0.030738,0.15136,0.46611,0.036793,0.14625,0.14266,-0.040022,-0.22798,-0.061073,-0.00010401,0.090611,-0.044328,-0.36868,-0.22156,-0.18107,0.054619,-0.29544,0.23601,-0.38172,-0.1668,-0.16344,-0.025387,-0.20088,-0.15167,-0.065464,0.1728,-0.31074,-0.018505,0.053273,0.0050921,-0.076294,-0.064575,0.20493,0.080781,-0.25514,-0.030094,-0.17705,0.053145,-0.049976,0.19217,-0.12337,-0.20667,-0.21084,-0.065248,-0.00059197,-0.029899,0.19753,-0.15724,0.046988,0.057256,0.11098,0.25105,0.050858,-0.19307,0.06372,0.050887,0.10939,0.17249,0.10009,-0.15123,-0.18329,0.09717,0.036809,0.14104,0.31077,0.22342,-0.20585,0.13398,0.1564,-0.049298,-0.046653,0.22244,0.015084
11,0.86912,0.85782,0.84149,0.84579,0.88053,0.81675,0.87738,0.80693,0.81272,0.85481,0.78576,1,0.78295,0.81437,0.75713,0.84713,0.80431,0.73751,0.73056,0.783,0.74918,0.75462,0.77777,0.75198,0.75622,0.80389,0.64361,0.68587,0.76805,0.63795,0.62555,0.76747,0.64669,0.41434,0.36051,0.54223,0.49129,0.41566,0.20701,0.43583,0.44375,0.53519,0.26084,0.074919,0.37314,0.13963,0.2647,-0.12673,0.22643,0.11538,0.012517,0.16435,0.41211,0.009007,0.072103,-0.023651,-0.09732,-0.10171,-0.20977,-0.025412,0.095238,-0.082142,-0.19748,-0.18977,-0.1814,-0.15755,-0.20298,0.23246,-0.29834,0.027017,-0.34681,-0.27578,-0.23991,-0.34098,-0.11996,0.022485,-0.17253,0.0032912,0.057689,0.018144,0.0031586,0.070537,0.21088,0.11244,-0.20503,-0.080265,-0.24319,0.1162,-0.16792,0.091089,-0.16419,-0.24986,-0.15079,-0.07436,-0.071464,0.051896,0.1287,-0.039765,0.15728,0.06821,0.25052,0.16688,0.042483,-0.27172,-0.036184,0.093646,0.061678,0.029292,0.14127,-0.15773,-0.15532,0.23093,0.11701,0.19363,0.19306,0.35314,-0.16315,0.063241,0.24338,0.073549,-0.063207,0.065486,0.061172
12,0.89452,0.8287,0.84692,0.84824,0.83466,0.84073,0.85439,0.86716,0.85699,0.8738,0.86705,0.78295,1,0.78363,0.75693,0.78315,0.81376,0.76077,0.80578,0.77786,0.78798,0.79183,0.72086,0.72046,0.80045,0.8063,0.67667,0.61606,0.64484,0.63076,0.60541,0.57166,0.55076,0.57737,0.41812,0.55483,0.52911,0.62926,0.27285,0.55508,0.42949,0.5611,0.15577,0.1813,0.4637,0.37215,0.28355,-0.070409,0.21146,0.17377,-0.03715,0.099719,0.47778,0.061897,0.11464,0.12432,0.039122,-0.18218,-0.073562,0.0001022,0.15196,-0.12351,-0.35915,-0.19705,-0.1714,0.02212,-0.26003,0.11579,-0.30773,-0.16411,-0.12663,-0.1635,-0.31745,-0.16185,-0.091517,0.1567,-0.223,-0.0090628,-0.096697,-0.05124,-0.10388,0.020388,0.15954,0.022903,-0.34727,-0.092399,-0.24131,0.11504,-0.024804,0.065283,-0.18457,-0.11692,-0.14884,0.0079246,0.0050613,-0.09766,0.16145,-0.092613,0.11865,-0.06013,0.12802,0.22012,0.079548,-0.14726,0.043958,0.11243,0.16309,0.20043,0.13936,-0.069307,-0.0068383,0.21051,-0.027317,0.15785,0.42877,0.18517,-0.19391,-0.065863,0.17069,0.0085029,-0.08267,0.2245,0.12574
13,0.84339,0.80036,0.82521,0.78155,0.76742,0.88327,0.84135,0.79433,0.79764,0.80878,0.78037,0.81437,0.78363,1,0.68114,0.78618,0.75372,0.7392,0.7117,0.80222,0.72791,0.71941,0.69483,0.74576,0.70097,0.74795,0.70054,0.66025,0.68936,0.57931,0.48466,0.65758,0.68102,0.45831,0.42107,0.53513,0.53467,0.53499,0.14131,0.51522,0.50337,0.46195,0.21123,0.26858,0.44626,0.17439,0.28605,0.038089,0.013353,0.2299,-0.12146,-0.025228,0.50705,-0.0051384,0.025633,0.12375,0.1385,-0.20537,-0.26107,-0.15735,0.015286,-0.012419,-0.28975,-0.16578,-0.071774,-0.025471,-0.13481,0.030982,-0.32321,-0.13184,-0.20922,-0.1217,-0.19426,-0.27073,0.061043,0.085084,-0.19628,0.09339,-0.061146,-0.079969,0.0015673,-0.13001,0.035014,0.10772,-0.26057,0.091601,-0.28788,0.09159,-0.078121,0.11219,-0.24478,-0.13893,-0.25641,-0.07818,0.0035899,0.061656,0.066645,0.080843,0.075835,0.18933,0.32933,0.14877,0.11745,-0.20528,0.038647,0.079581,0.088757,0.037785,0.07064,-0.056649,-0.16063,0.10809,-0.086774,0.13658,0.15645,0.22023,-0.049781,-0.041954,0.22639,-0.12855,0.0062461,0.30607,0.079823
14,0.81173,0.79652,0.78857,0.81204,0.81884,0.75239,0.82276,0.76425,0.72539,0.78784,0.84542,0.75713,0.75693,0.68114,1,0.79691,0.7857,0.75549,0.74744,0.77911,0.66441,0.69155,0.66281,0.68876,0.64053,0.71439,0.64999,0.63493,0.76768,0.64936,0.63544,0.60631,0.59483,0.42379,0.33183,0.66551,0.55378,0.61432,0.32765,0.42208,0.25998,0.4867,0.33547,0.23468,0.47821,0.16582,0.18232,-0.11977,0.20385,0.14715,0.18833,0.36935,0.39599,0.2178,0.054255,0.1088,0.0034669,-0.16679,-0.051291,-0.0022574,0.10555,0.10532,-0.26646,-0.30197,-0.16527,-0.016892,-0.22832,0.23895,-0.26852,-0.18596,-0.22996,-0.12789,-0.34793,-0.098751,-0.12883,0.056969,-0.2626,-0.10178,0.21279,0.0714,-0.067195,0.014333,0.26996,0.087352,-0.12055,-0.045755,-0.21439,-0.021153,0.03497,0.15449,-0.080744,-0.1911,-0.17926,0.069918,-0.04543,-0.038312,0.29768,-0.0091788,0.027167,-0.10802,0.1451,0.16642,0.012971,-0.14531,-0.025259,0.077338,-0.015591,0.15138,0.16603,-0.14492,-0.12002,0.13154,0.016699,0.05429,0.27574,0.27706,-0.17148,0.081234,0.16504,-0.039531,-0.018859,0.0046148,-0.062991
15,0.86104,0.85298,0.84621,0.82453,0.85766,0.86213,0.86124,0.85588,0.81375,0.83489,0.83427,0.84713,0.78315,0.78618,0.79691,1,0.73629,0.74809,0.77813,0.85558,0.82163,0.66535,0.78008,0.69945,0.72403,0.79624,0.66767,0.68487,0.71196,0.71451,0.58445,0.67911,0.67386,0.44455,0.4663,0.53676,0.49916,0.55734,0.28967,0.50837,0.46444,0.52612,0.28203,0.15695,0.52038,0.10219,0.056379,-0.06605,0.20453,0.11873,0.090626,0.19713,0.4005,0.0036176,0.077957,0.055779,-0.039816,-0.16342,-0.22869,-0.0078592,0.15172,-0.046365,-0.22406,-0.16471,-0.11769,-0.068729,-0.268,0.24963,-0.30638,-0.08127,-0.28427,-0.18581,-0.22865,-0.14917,-0.07849,0.042361,-0.31893,0.021531,0.1281,0.06011,-0.059813,0.04215,0.10906,0.033993,-0.17921,0.017934,-0.12511,0.084568,-0.12526,0.1697,-0.11686,-0.087581,-0.3147,-0.095193,0.021878,-0.061593,0.078273,-0.013626,0.052459,0.10936,0.20424,0.20585,0.14326,-0.13199,0.042919,0.044455,-0.025096,0.22398,0.20383,-0.075778,-0.0028285,0.11507,0.10263,0.13606,0.17215,0.35387,-0.239,0.05107,0.17118,-0.12467,0.021109,0.089832,0.020988
16,0.81294,0.85004,0.81264,0.74584,0.76384,0.79697,0.82824,0.75604,0.79501,0.7802,0.75583,0.80431,0.81376,0.75372,0.7857,0.73629,1,0.77119,0.76419,0.74305,0.69611,0.65786,0.75914,0.71703,0.6666,0.72598,0.61687,0.53319,0.77736,0.55853,0.55334,0.62582,0.54673,0.43377,0.36866,0.56114,0.50218,0.56612,0.24827,0.45646,0.32988,0.53581,0.17832,0.194,0.45955,0.1837,0.40063,-0.030112,0.27634,0.13708,-0.076,0.11005,0.50524,0.18826,-0.071087,0.044773,0.15643,-0.041594,0.051121,-0.13227,0.10662,0.14208,-0.34869,-0.26703,-0.19134,-0.067486,-0.22348,0.23288,-0.20134,-0.18175,-0.17337,-0.087913,-0.24015,-0.08827,-0.20022,0.033839,-0.24995,0.089734,-0.016119,-0.061836,-0.012571,0.0095191,0.037016,0.042164,-0.15976,-0.24289,-0.22387,0.051586,-0.027861,0.15042,-0.22912,-0.18724,-0.22482,0.07766,-0.045025,-0.062969,0.2026,-0.0051171,0.22722,-0.0048984,0.18858,0.12376,-0.0046882,-0.12264,-0.060464,0.039367,0.15741,0.063365,0.1506,-0.089613,-0.15439,0.22005,0.068769,0.089632,0.36118,0.13822,-0.16534,-0.012684,0.16343,-0.031764,-0.041268,0.16513,-0.022729
17,0.83234,0.78238,0.76516,0.78405,0.78782,0.77916,0.80273,0.75827,0.77975,0.76467,0.79881,0.73751,0.76077,0.7392,0.75549,0.74809,0.77119,1,0.67492,0.76496,0.73306,0.69503,0.72562,0.82408,0.77063,0.64411,0.60888,0.57504,0.75395,0.5318,0.485,0.5329,0.67046,0.52697,0.40656,0.51444,0.43648,0.57439,0.41054,0.41667,0.43439,0.33825,0.17434,0.27713,0.47385,0.23568,0.307,0.081087,0.067575,0.071345,-0.03568,0.30613,0.23224,0.12931,0.070706,0.13559,-0.02217,-0.20877,-0.095281,-0.11657,0.09333,0.045525,-0.2588,-0.30077,-0.0848,0.041301,-0.19277,0.18142,-0.48082,-0.11857,-0.22983,-0.19407,-0.22628,-0.13137,-0.21038,0.13912,-0.092114,-0.056223,0.084881,-0.13114,0.12983,0.087499,0.28056,-0.052416,-0.25721,-0.24829,-0.406,0.094966,0.028725,0.21027,-0.33404,-0.17291,-0.40068,0.057714,-0.12262,0.046708,0.22734,-0.022575,0.27549,0.021553,0.15034,0.26725,0.11076,-0.26153,0.038506,0.077769,0.090395,0.080377,0.065163,-0.35068,-0.098403,0.097583,-0.12827,0.1144,0.28372,0.11453,-0.14089,0.067309,-0.0054231,0.034378,-0.095881,0.12914,0.10005
18,0.79754,0.81315,0.80048,0.82845,0.76934,0.79792,0.79743,0.80808,0.75066,0.785,0.78721,0.73056,0.80578,0.7117,0.74744,0.77813,0.76419,0.67492,1,0.78309,0.72382,0.726,0.71079,0.63581,0.63925,0.75788,0.58231,0.61004,0.65077,0.69333,0.60728,0.5077,0.53974,0.53457,0.44499,0.44627,0.51882,0.51122,0.21477,0.58338,0.4227,0.51068,0.26964,0.29423,0.58036,0.19839,0.23252,-0.14354,0.13937,0.17801,-0.019227,0.18663,0.40256,0.15831,0.23688,0.12623,-0.004422,-0.25545,-0.0060345,-0.087225,0.08664,0.01718,-0.32869,-0.22453,-0.090027,0.032564,-0.20604,0.19314,-0.18969,-0.0098223,-0.17788,-0.036645,-0.34294,-0.10706,-0.0053462,0.19788,-0.22222,0.08374,-0.060203,-0.17156,-0.010584,-0.016523,0.10243,0.015449,-0.30527,0.04003,-0.29834,0.20557,0.013008,0.30203,-0.028181,-0.019828,-0.16458,0.0018581,-0.043201,-0.0052701,0.19019,-0.11488,-0.051293,-0.026901,0.19847,0.25264,-0.026235,-0.19071,0.026278,0.12262,0.045814,0.19858,0.038266,-0.21552,-0.066067,0.10999,0.014567,0.037872,0.32167,0.26954,-0.24175,0.053072,0.26817,-0.16139,-0.0609,0.19612,-0.084718
19,0.8588,0.85236,0.87615,0.85093,0.83177,0.85733,0.85119,0.83542,0.78799,0.80877,0.82966,0.783,0.77786,0.80222,0.77911,0.85558,0.74305,0.76496,0.78309,1,0.83768,0.69606,0.735,0.79435,0.72316,0.79441,0.69882,0.72779,0.77188,0.71071,0.64806,0.56001,0.6842,0.59076,0.5728,0.59808,0.57616,0.61822,0.33884,0.54663,0.38603,0.45695,0.26477,0.22804,0.53914,0.097415,0.12151,0.019171,0.13224,0.17529,0.063629,0.070169,0.36137,0.066945,0.18017,-0.00090879,0.094733,-0.24722,-0.21515,-0.10596,0.079958,-0.0031471,-0.2357,-0.26159,-0.12854,0.054589,-0.25431,0.23217,-0.44135,-0.14553,-0.12352,-0.23264,-0.30166,-0.27498,0.067885,0.11618,-0.25774,0.071199,0.013894,0.030282,0.044211,0.12046,0.15057,-0.053095,-0.19707,0.047321,-0.18032,0.018322,-0.06419,0.18995,-0.15956,-0.08094,-0.30532,0.0067699,-0.12217,-0.018921,0.047968,0.059363,0.020309,0.098581,0.29253,0.18306,0.070796,-0.16961,0.054884,0.14141,0.14354,0.16898,0.19022,-0.14117,-0.12378,-0.0088291,0.012634,0.14234,0.27164,0.24879,-0.19902,0.044371,0.14362,-0.15481,-0.083647,0.21218,0.05571
