,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,0.29076,0.21773,0.23855,0.25908,0.18385,0.3306,0.21185,0.36595,0.050962,0.03548,1,0.05077,0.17904,0.31672,0.053336,0.13263,0.090022,0.30965,-0.044229,-0.0057855,0.23239,0.00048311,0.066326,0.066187,0.12918,0.069298,-0.041149,-0.036858,0.10502,-0.0068544,0.063351,-0.082753,0.026811,-0.15303,-0.005072,0.015842,-0.016799,-0.11211,0.09217,-0.17444,0.0016821,0.072966,-0.31048,0.15149,-0.045091,0.17104,0.054128,0.024028,0.10737,-0.058489,-0.031102,-0.1405,0.091223,0.0094059,-0.19914,0.088436,-0.030055,-0.039776,0.22169,0.38882,-0.015275,-0.00082779,0.074963,0.12835,-0.0318,0.13209,0.030122,0.046157,0.20339,0.21903,-0.035424,0.11284
11,0.27494,0.029707,0.068801,0.27221,0.31991,0.1637,0.018473,0.023312,-0.0072884,-0.097133,0.05077,1,0.27729,0.20342,-0.016396,-0.062487,0.15527,0.30121,-0.1014,-0.020492,0.047273,0.23127,0.024734,0.12704,0.019838,-0.12626,0.48008,-0.037426,-0.14797,-0.11118,-0.069618,-0.0050434,0.13385,-0.024111,0.028524,0.026,-0.26433,0.02719,-0.23901,-0.1117,-0.18713,-0.053711,0.072234,0.20755,0.072711,0.19696,-0.024537,-0.12929,0.18739,0.027724,-0.156,-0.19438,0.17047,-0.046409,0.099058,-0.075851,0.10108,-0.22755,0.23798,0.14106,-0.023583,-0.053952,0.153,-0.18754,-0.10742,0.22542,0.092927,-0.23354,-0.033887,0.29358,-0.070309,0.060572
12,0.44334,0.32227,0.29558,0.34208,0.22339,0.26177,0.36215,0.10316,0.29409,0.11478,0.17904,0.27729,1,0.37468,0.24365,0.078965,0.024719,-0.07344,0.077066,0.22947,0.056901,0.15622,0.12665,0.15188,0.040365,-0.13793,-0.032913,-0.2189,-0.083499,-0.12732,-0.097835,-0.042503,0.20593,-0.10903,-0.27863,-0.1106,-0.056524,-0.24854,0.11042,0.20558,-0.25025,0.0056768,-0.19334,0.013042,-0.33783,-0.041642,0.0094608,-0.21626,0.080536,0.13894,0.14887,-0.10123,-0.015988,0.075715,0.11239,0.1095,-0.1377,-0.26878,0.002727,0.3112,-0.12535,0.13235,0.11739,0.3184,-0.10674,0.095497,0.088979,0.025497,0.087533,0.27056,0.061364,-0.18318
13,0.13562,0.092378,0.0057585,0.044035,0.1128,0.20651,0.11294,-0.0031759,-0.068619,-0.037583,0.31672,0.20342,0.37468,1,-0.16179,0.11364,0.0083139,0.15311,-0.095887,0.06114,-0.05057,0.21162,0.1547,0.088094,0.096054,0.15295,-0.11373,0.038668,-0.13867,-0.3004,-0.038058,-0.067239,0.2632,-0.093869,-0.065823,-0.039452,-0.036061,-0.1489,0.28373,-0.018138,-0.11656,0.021093,0.15641,-0.10061,0.10977,0.27052,-0.084466,-0.10424,0.10158,-0.076432,0.13726,-0.1706,0.080317,0.039592,0.38413,0.14032,-0.23582,-0.18646,0.23701,0.38927,-0.092204,0.073886,0.21723,0.024244,0.01248,0.078712,0.10499,-0.0023244,0.11989,0.0023587,0.09934,0.073281
14,0.05178,0.038815,-0.03448,0.13645,-0.041349,0.058433,-0.014378,0.18903,0.30982,0.15742,0.053336,-0.016396,0.24365,-0.16179,1,-0.16732,0.087897,0.033563,-0.19346,0.00302,0.10616,0.10795,-0.056213,0.17193,0.096032,-0.16424,0.15201,-0.06993,0.147,0.023042,-0.24232,0.1585,-0.10127,0.18702,-0.37438,0.053762,-0.076298,0.23863,0.035882,-0.022981,0.083383,0.06698,0.080385,0.16122,-0.20325,-0.1465,0.20111,-0.29439,-0.097161,-0.0013489,0.21661,0.18513,0.044332,-0.28926,-0.35027,-0.06209,-0.058374,-0.17653,0.010999,-0.41582,0.11644,0.11063,-0.19233,0.086111,0.1872,-0.20593,0.11019,-0.011164,0.1072,0.38918,0.049798,0.18013
15,0.29477,0.26176,0.11174,0.11275,0.20589,0.26865,0.25524,0.12811,-0.029216,0.082093,0.13263,-0.062487,0.078965,0.11364,-0.16732,1,0.23643,0.043466,-0.03031,-0.017036,-0.0012186,-0.13561,0.21465,0.079,-0.033543,0.20446,-0.29973,-0.092328,0.24016,-0.093835,0.1834,-0.072101,-0.046848,-0.27664,0.021776,-0.2478,-0.014571,-0.013084,-0.061429,0.13773,-0.19898,-0.22047,-0.03616,-0.086964,-0.080696,0.020654,0.15187,-0.064583,0.17317,0.43146,-0.022414,-0.14458,-0.21203,0.15566,0.0061868,-0.026781,0.012025,-0.0026975,-0.011761,-0.0059436,-0.082694,0.11479,0.081927,-0.021019,0.019626,-0.076214,-0.11705,0.10411,0.025719,-0.064312,0.26719,0.13752
16,0.15836,0.14618,0.068885,0.12933,0.0026145,0.24514,0.098659,0.21114,-0.063453,-0.096069,0.090022,0.15527,0.024719,0.0083139,0.087897,0.23643,1,0.14321,0.27335,-0.16536,0.23003,0.015995,0.15382,0.32683,-0.014725,0.060332,0.18819,-0.13715,0.28025,0.21323,-0.23434,0.28875,0.005574,-0.085564,-0.18187,-0.057528,0.0023482,0.13521,-0.27896,0.14886,-0.014224,-0.010729,0.021812,-0.12409,-0.048783,0.15971,0.13233,-0.15228,-0.16441,-0.058749,-0.086659,-0.24053,0.082299,0.24015,-0.1393,-0.085669,-0.18152,0.24574,0.15035,-0.071176,-0.023021,0.20608,0.25377,-0.077148,0.30844,-0.020551,0.029211,-0.058316,-0.18961,0.12022,-0.18775,0.31868
17,0.18999,0.14224,0.046529,0.32036,0.25984,0.17068,0.20334,0.027486,-0.006651,-0.065976,0.30965,0.30121,-0.07344,0.15311,0.033563,0.043466,0.14321,1,0.035001,-0.017681,0.28558,0.28559,0.291,0.17998,0.067852,0.24401,0.19489,0.26014,0.080845,-0.0056607,0.12978,0.11507,0.48287,0.020138,-0.0083271,0.22024,-0.13309,-0.10618,0.04905,-0.15481,-0.12642,0.17031,0.065417,0.18896,0.1898,0.2808,0.096826,-0.084157,0.24497,0.028758,-0.12029,-0.22043,0.18626,-0.048647,0.011674,0.19061,0.15753,0.1488,0.18327,-0.087434,-0.098419,0.030485,0.29451,-0.083177,0.10084,0.04537,-0.072302,0.058112,0.11962,0.097957,0.0040331,0.26726
18,-0.048355,0.099592,0.14099,0.0032371,-0.042181,0.038928,0.019575,-0.034119,0.0042129,0.028544,-0.044229,-0.1014,0.077066,-0.095887,-0.19346,-0.03031,0.27335,0.035001,1,0.23151,0.17362,0.13785,0.20177,0.13688,-0.080776,0.24504,0.024511,0.052993,0.057464,0.35704,0.079334,0.1848,0.017172,0.0011189,-0.19522,-0.016492,-0.072033,0.057337,-0.095739,0.32834,-0.1101,0.16618,-0.20984,-0.25177,0.018397,0.14568,0.070942,0.01786,-0.12507,-0.13095,-0.11963,0.029343,0.18313,0.14187,0.2365,-0.048034,-0.097429,0.113,0.10072,0.12069,-0.040024,0.19581,0.050445,0.10731,-0.046475,0.12379,0.0067518,0.025546,-0.28057,-0.0061114,-0.17947,-0.045964
19,-0.074737,0.098863,0.11647,0.026306,-0.033796,-0.07305,0.019455,0.045785,0.29156,0.048146,-0.0057855,-0.020492,0.22947,0.06114,0.00302,-0.017036,-0.16536,-0.017681,0.23151,1,0.40129,0.12873,0.22685,0.10145,-0.15012,0.074507,0.14547,0.26036,0.19674,0.18255,0.10264,-0.072556,0.32084,0.11209,0.20904,0.3079,-0.23219,0.12374,0.030866,0.19858,0.027499,0.39613,-0.10097,0.0084827,0.22898,0.24724,-0.10625,0.10042,0.32982,0.21953,0.41923,0.20059,0.047533,0.041783,0.12805,-0.044802,0.12305,-0.29378,-0.18696,0.13897,0.045004,0.20932,0.062074,0.19025,0.073189,0.1489,0.24195,-0.017997,-0.24897,-0.076116,0.25158,-0.0023952
