,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
19,-0.0084877,-0.032076,0.36352,0.15382,0.089849,0.040223,-0.075547,0.3513,0.13066,0.049884,0.16023,0.19106,0.081389,0.33461,0.010775,0.077231,0.17009,0.080005,0.038161,1,0.15279,0.068921,0.24328,0.0023386,0.22407,0.20141,0.11997,0.15715,-0.072416,0.031044,0.060776,0.21614,0.023697,-0.047671,-0.03336,-0.16592,-0.055767,-0.011538,-0.18246,0.088292,-0.021393,-0.1332,-0.23694,0.28777,0.1047,0.09225,-0.085607,-0.038466,0.17839,0.21822,-0.14309,0.28226,-0.15986,-0.020387,0.10342,-0.066715,0.08508,-0.17395
20,-0.010693,-0.29613,0.12599,0.16334,0.24938,0.02771,0.047177,0.0032599,0.28542,0.079401,0.19133,0.086814,0.11483,0.2026,0.14187,0.2451,0.098741,0.36587,0.001706,0.15279,1,0.32656,-0.071777,0.27913,0.31283,-0.026766,0.25654,0.1169,-0.09463,0.079216,0.17543,0.11469,0.22412,0.15685,-0.058031,-0.14409,0.046061,-0.11712,0.16504,0.095852,0.13268,-0.091767,-0.2529,-0.037478,-0.029234,-0.32781,-0.086697,0.0069514,0.25233,0.17579,0.077084,0.062433,-0.12545,-0.020176,-0.081199,-0.041163,0.047072,-0.041988
21,-0.1918,0.018454,0.1938,0.09727,0.31826,0.021055,-0.023605,0.10781,0.28635,0.19612,0.25496,-0.10738,0.039098,0.41733,0.088944,0.00123,0.20236,0.10564,0.23217,0.068921,0.32656,1,-0.25187,0.070996,0.35302,-0.10273,0.34841,0.1183,-0.10386,-0.023754,0.21446,-0.15928,-0.049906,0.02627,-0.040791,-0.030352,-0.090074,0.16806,0.071932,0.19376,-0.12561,0.070832,0.22961,-0.2886,0.13645,-0.14775,0.091498,0.20625,0.043882,0.142,-0.12407,-0.0095442,-0.070758,0.0089941,-0.06212,0.0321,0.179,0.037071
22,0.046872,0.27769,0.3503,0.18215,0.12521,-0.049398,-0.02802,0.18165,0.09686,0.03395,-0.058575,0.28672,0.085764,0.055851,0.23205,0.056889,0.2731,0.091955,-0.21458,0.24328,-0.071777,-0.25187,1,0.21972,0.15689,0.17009,-0.13996,0.28133,0.078664,0.047406,0.23484,0.32043,0.049413,0.12342,-0.044973,0.016382,-0.0028023,0.066454,0.11736,-0.051363,-0.15909,0.072358,-0.1675,-0.065736,-0.17844,0.10451,-0.084861,0.0092122,-0.050631,0.31344,0.39468,0.10953,-0.17156,0.039885,0.108,0.080273,0.13101,-0.33541
23,0.021549,0.17276,0.2004,0.16678,0.26562,0.077975,0.13792,0.28118,0.22558,0.057212,0.078939,0.19768,0.1484,-0.029016,0.14257,0.21455,0.16784,0.30191,0.022899,0.0023386,0.27913,0.070996,0.21972,1,0.16682,-0.12255,0.34523,0.16189,0.35281,0.19647,0.3359,0.24977,0.074507,-0.19617,0.10764,0.23222,-0.10375,0.052169,0.2844,0.14442,-0.15268,-0.021641,-0.27033,-0.17493,0.012289,-0.070713,0.12657,0.10272,-0.1654,0.071913,0.13097,0.065703,-0.045716,-0.12942,-0.082369,0.14966,-0.061488,-0.2735
24,0.16666,0.33864,0.19953,0.28667,0.062922,0.062501,0.21224,0.1196,0.11448,0.031058,0.18313,0.11812,-0.077629,0.23433,0.11328,0.025254,0.17831,0.34603,0.1317,0.22407,0.31283,0.35302,0.15689,0.16682,1,0.19053,0.18102,0.038544,0.044861,-0.019883,0.1133,-0.15641,-0.028572,-0.044728,-0.011179,0.14314,-0.15844,0.099218,0.24213,-0.15132,0.25199,-0.18384,-0.16394,-0.026311,0.17351,-0.14613,0.0087716,0.23253,-0.10726,0.23579,-0.03854,-0.0027797,0.085646,-0.056721,-0.055627,0.097912,0.32286,-0.099817
25,0.32846,0.16684,0.21589,0.13421,-0.015396,0.35995,0.29258,0.37263,-0.062182,0.14367,0.057906,0.27137,-0.04549,0.14022,0.14455,0.27807,0.25632,0.3314,0.077792,0.20141,-0.026766,-0.10273,0.17009,-0.12255,0.19053,1,0.060378,0.083376,0.13475,-0.06058,-0.0054747,-0.0029239,0.11131,0.13855,-0.14285,-0.26153,0.11938,-0.054112,-0.042451,-0.18228,0.32615,-0.13129,0.057899,0.16369,-0.0075024,0.20812,-0.10559,0.15109,-0.099803,0.27599,-0.10131,-0.11854,-0.066849,-0.34545,-0.1118,-0.13649,0.058069,-0.036501
26,-0.044636,0.23639,0.19943,0.088125,0.39071,0.099437,0.18523,0.39277,0.36925,0.23534,0.22014,0.15661,0.084913,0.1924,0.16382,0.19005,0.064038,0.38703,0.17305,0.11997,0.25654,0.34841,-0.13996,0.34523,0.18102,0.060378,1,0.034877,0.37347,0.22078,0.22444,-0.1935,-0.1007,0.0093919,0.034737,0.14959,0.21842,0.19522,0.055356,0.076655,0.021484,-0.15658,0.030441,-0.078834,0.010948,0.038914,0.10173,0.0060255,0.15251,0.075912,-0.10194,-0.090478,-0.13852,0.15035,-0.1072,-0.054014,-0.21124,0.04134
27,0.37047,0.16527,0.18275,0.15963,0.36227,0.17347,0.043268,0.12439,0.33738,0.1969,-0.040215,0.49659,0.32235,0.23518,0.11989,0.1405,0.076271,0.1578,0.014318,0.15715,0.1169,0.1183,0.28133,0.16189,0.038544,0.083376,0.034877,1,0.092582,0.23248,0.16029,0.25451,0.08934,0.14677,0.022358,-0.13633,-0.0035822,-0.18107,0.062237,0.12313,-0.066758,0.1203,-0.01043,-0.18727,0.13951,0.049897,-0.22503,0.35213,-0.091849,-0.11033,-0.082968,-0.068713,0.043702,0.10977,0.090573,-0.0034904,0.083144,-0.27788
28,0.1703,0.38901,0.29567,0.23563,0.34017,0.21016,0.1504,0.26885,0.076133,0.21917,-0.048679,0.27475,-0.03045,-0.030247,0.3519,0.25575,0.18059,0.19555,0.099969,-0.072416,-0.09463,-0.10386,0.078664,0.35281,0.044861,0.13475,0.37347,0.092582,1,0.20468,0.32334,-0.018888,-0.019945,-0.013223,0.21241,0.0021543,0.30455,0.074801,-0.026556,0.14575,0.070948,-0.069401,0.13548,0.052463,-0.22469,-0.13081,-0.13194,0.090309,-0.3412,-0.070167,0.027017,-0.056659,-0.058257,-0.23941,-0.14419,0.15201,-0.13178,0.14703
