,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
19,0.25746,0.02764,-0.17939,0.072965,-0.0032769,0.062646,0.29088,0.27343,0.47491,0.031457,0.28556,0.32751,0.14296,0.18507,0.17503,0.3847,0.0061017,0.047935,0.3142,1,-0.20115,0.22326,0.2982,0.12112,0.23512,0.17746,0.014024,-0.038166,0.18639,0.2085,-0.1994,0.20769,0.12172,0.11599,-0.068692,0.27011,0.15772,0.29111,0.29464,0.15588,0.12203,0.057946,-0.19961,0.00079749,0.22454,0.15602,0.29291,0.00094059,0.096939,-0.20223,-0.11388,-0.11279,0.094039,-0.32491,-0.053352,0.15781,-0.082401,0.01976,0.057159,0.38358,-0.039675,0.19366,-0.13243,-0.17581,-0.22081,0.083144,-0.14785,0.044318,-0.10139
20,-0.17654,-0.095835,-0.0062599,0.17278,0.14682,0.09349,0.066116,-0.077909,0.092398,0.25997,0.038027,0.25925,0.27394,-0.065987,0.27195,0.27975,0.20323,0.26534,0.05963,-0.20115,1,-0.023314,0.068608,0.035236,0.162,0.03674,-0.13807,0.14351,0.0041098,0.16731,0.02698,-0.064811,-0.11794,0.047474,0.12434,0.080674,-0.041164,-0.10998,-0.17616,0.13963,0.10541,-0.29697,0.14178,-0.30048,-0.036802,-0.31559,-0.14411,0.0085328,0.12971,0.097663,0.071596,0.090282,0.04604,0.23424,-0.20818,-0.12931,0.042646,0.23472,0.018497,-0.28655,-0.23031,0.16671,0.082222,0.0037444,-0.13012,0.048232,0.068553,-0.02201,0.30587
21,0.18505,0.24095,-0.088353,0.027666,-0.02706,0.25725,0.27856,0.20812,0.14979,0.097054,0.076875,0.087763,0.063726,0.19744,0.11027,0.13048,0.2536,0.11116,0.13214,0.22326,-0.023314,1,0.075048,0.089429,0.12315,-0.15905,-0.059166,0.096581,0.16031,-0.052242,-0.11753,-0.31668,-0.20496,-0.028321,-0.087288,0.12912,-0.00014729,0.23653,-0.13035,0.079431,0.22655,-0.010922,-0.35604,0.05777,0.19411,-0.059068,0.2187,0.10845,-0.041087,0.0014721,-0.0018137,0.0072874,0.12208,0.099992,-0.11728,0.085802,-0.20476,-0.18382,0.034715,0.062785,0.098344,0.2589,-0.22313,-0.19264,-0.17574,-0.2776,0.031744,0.035685,-0.17356
22,0.19375,-0.030545,-0.1996,-0.10961,0.10596,0.23449,0.19958,0.29053,0.35012,0.31132,0.15228,0.31489,0.50397,0.18236,0.52983,0.34114,0.32865,0.1194,0.36288,0.2982,0.068608,0.075048,1,0.35209,0.24297,0.29849,0.12045,0.16368,0.32595,0.038721,0.051611,-0.030769,-0.028392,0.4338,-0.090773,0.28122,0.15015,0.1863,-0.049459,0.22679,-0.078933,-0.11377,0.045032,-0.064778,0.074793,0.052145,0.050669,-0.16056,0.15155,-0.20505,-0.12199,0.033041,-0.086189,-0.063201,-0.14911,0.10018,0.00054423,0.18354,-0.10758,-0.03004,0.016595,0.029799,-0.24559,-0.20688,-0.34664,0.0090147,-0.28722,-0.28936,-0.25524
23,0.049609,0.39369,-0.10764,0.088104,0.21365,0.22666,0.12295,0.218,0.1349,0.26954,0.23636,-0.010931,0.096434,0.039403,0.32475,0.20064,0.27464,0.18779,-0.10245,0.12112,0.035236,0.089429,0.35209,1,0.22851,0.26426,-0.010324,0.15755,0.18142,0.051758,0.077233,0.047983,0.026646,0.2297,-0.018992,0.20427,0.12919,0.097393,-0.037007,0.28832,-0.094257,0.077434,-0.15226,0.16971,0.025984,0.19719,-0.051391,-0.023959,0.0017866,-0.014696,-0.12113,-0.1614,-0.087983,0.095841,0.0085511,0.2443,-0.29362,-0.18179,-0.021394,0.17882,-0.026484,-0.066404,-0.063634,-0.17464,-0.11223,-0.031326,0.2861,0.094801,-0.12333
24,0.11237,0.17242,-0.22458,0.3006,0.24771,0.063349,0.34048,0.32102,0.2084,0.37367,0.31418,0.26578,0.091073,0.068255,0.42616,0.21419,0.3256,0.22464,0.22422,0.23512,0.162,0.12315,0.24297,0.22851,1,0.12511,0.26069,0.25334,-0.078375,0.1418,0.067453,0.0046014,0.075903,0.21562,-0.019366,0.1082,0.061748,0.16446,0.1498,0.13387,-0.0054168,0.082174,0.11815,0.2322,-0.020294,0.11823,-0.043343,0.098131,0.10463,0.12189,-0.058504,-0.020145,-0.15626,0.016249,-0.28002,-0.084525,-0.1054,0.042798,0.12008,0.17004,-0.35773,0.20266,0.025303,-0.0083933,0.052683,0.016444,-0.025897,-0.14286,-0.019924
25,-0.018658,-0.078768,0.11031,0.28955,0.15669,0.32973,0.05811,-0.034898,0.1386,0.3483,0.42398,0.36436,0.35021,0.14767,0.35614,0.30707,0.22791,0.22384,0.26743,0.17746,0.03674,-0.15905,0.29849,0.26426,0.12511,1,-0.12727,0.22366,0.012695,0.15142,0.21923,-0.092292,0.12961,0.17415,0.061964,0.025274,0.10167,0.049169,0.2734,0.31698,-0.033901,0.19566,0.090152,0.13952,-0.022603,-0.030643,-0.086155,-0.17597,0.036205,0.1549,0.12774,0.0068018,0.039136,-0.31422,-0.091167,-0.03168,0.015505,0.084692,-0.058756,-0.046001,-0.0018106,-0.2104,0.11804,-0.017326,-0.19999,-0.11405,-0.17538,-0.19209,-0.30497
26,0.05232,0.13229,0.088447,0.14906,0.031859,0.092608,0.24748,-0.037327,0.28843,0.023452,0.24101,0.00063934,-0.020657,-0.14582,-0.05613,0.025077,-0.0010945,0.064696,0.034528,0.014024,-0.13807,-0.059166,0.12045,-0.010324,0.26069,-0.12727,1,0.11862,-0.152,0.22483,-0.12372,0.26935,-0.14408,0.020073,0.17231,0.047987,0.31265,0.19868,0.24653,-0.083261,-0.030702,0.20434,0.10365,0.11871,0.045237,0.33078,0.090058,-0.0094422,-0.010852,-0.24835,0.070509,-0.11185,-0.22733,0.31126,0.038037,0.20716,-0.0032014,-0.088867,0.043833,0.052968,-0.38987,-0.15124,-0.015144,-0.20374,0.10215,0.068945,0.14734,-0.086245,0.22473
27,0.022411,0.20504,0.31217,0.28336,0.23025,0.27336,0.018946,0.048085,-0.0048749,0.18244,0.47427,0.17701,0.2533,-0.022908,0.1281,0.17276,0.33268,0.12982,0.11348,-0.038166,0.14351,0.096581,0.16368,0.15755,0.25334,0.22366,0.11862,1,0.32144,0.12336,-0.13669,-0.062027,-0.16929,0.1839,0.17853,0.12907,0.11418,0.16615,0.17945,0.084018,0.068274,0.068382,0.13629,0.015537,0.17967,-0.1315,-0.031047,0.028877,-0.055435,-0.056819,-0.070817,0.2614,-0.053262,0.37798,-0.1138,0.18478,-0.017042,-0.013168,-0.094494,-0.020165,0.087473,-0.13036,0.12315,0.052803,-0.020105,0.10351,0.028524,-0.18087,0.017674
28,0.18936,0.069487,0.21655,-0.19195,0.091928,0.17418,0.14451,-0.060147,-0.073479,0.15149,0.089076,0.0897,0.22902,0.15712,0.054302,0.30978,0.083117,-0.0032763,0.053857,0.18639,0.0041098,0.16031,0.32595,0.18142,-0.078375,0.012695,-0.152,0.32144,1,-0.11693,-0.058468,0.03914,-0.0099437,0.13098,0.090592,0.18978,0.056004,0.16318,-0.31278,0.037599,-0.17711,-0.21161,-0.22017,-0.031297,0.060218,-0.024367,0.054201,0.063203,0.25849,-0.05811,-0.045603,0.1304,-0.19591,0.26784,-0.10155,0.2335,-0.052107,0.074234,0.086646,0.10063,0.21239,0.0082839,-0.13211,0.037631,0.034341,-0.074578,-0.16491,-0.16848,-0.12731
