,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
10,-0.22321,-0.10848,0.13393,-0.0043566,0.13983,0.16421,0.20033,0.048311,0.084862,-0.010576,1,0.042975,0.13822,0.11959,0.20986,0.29665,0.1368,0.26137,-0.17539,0.1726,0.3853,0.25039,0.25097,0.25327,0.34059,0.32133,-0.033658,0.21253,0.046724,0.23701,0.23891,0.26329,-0.03671,0.0835,0.14758,0.036754,0.24325,0.059815,0.36495,0.1661,-0.042891,0.17645,0.096817,-0.048687,0.11221,0.059755,0.027813,0.076602,-0.085888,0.10465,-0.23407,0.22879,0.11992,0.012523,-0.10846,-0.045131,0.13995,0.14595,0.10687,-0.087205,0.033984,0.16358,0.22377,-0.10455,-0.19766,0.061943,-0.14626,-0.018007,-0.013444,-0.081399,-0.0043278,-0.0053604,-0.040433,-0.19397,0.052128,-0.11136,-0.001939,-0.14861,-0.1792,-0.27903,-0.045551,-0.09711,0.14072
11,0.085047,0.077042,-0.0066665,-0.03027,0.14333,0.24643,0.12626,0.13974,0.23206,0.014527,0.042975,1,0.15954,-0.044641,0.28409,0.29237,0.23118,0.25882,0.11964,0.38773,0.26745,0.44068,0.3236,0.31944,0.095489,0.26019,0.31657,0.23891,0.26988,0.3182,0.29111,-0.14095,0.38501,0.3869,0.29396,-0.03051,0.2022,0.090028,0.22791,0.12174,0.32504,0.097145,0.18316,-0.16847,0.18446,-0.074779,-0.15489,-0.051334,0.060096,-0.010384,0.1053,-0.048176,-0.22675,-0.22667,-0.2833,0.024002,0.11052,-0.082821,0.013791,-0.13128,0.022587,0.16032,-0.216,0.030461,-0.17879,0.017515,-0.18648,0.14022,-0.0052575,0.10659,0.035742,-0.13348,-0.070381,-0.18642,-0.18427,-0.14564,0.0075444,-0.12782,0.080918,0.16418,-0.14522,-0.04999,0.059905
12,-0.12732,0.0093794,0.29649,-0.069158,0.1468,0.21864,0.10563,0.22977,0.31502,0.26415,0.13822,0.15954,1,0.43047,0.25976,0.21432,0.41639,0.26803,0.40673,0.43673,0.29007,0.20449,0.35011,0.17582,0.46218,0.18007,0.31326,0.16621,0.13776,0.51053,0.39795,0.034804,0.078433,0.30313,0.3604,-0.041475,0.25654,0.16266,0.27205,0.24576,0.21469,0.084577,0.19247,0.20627,0.089137,0.21018,0.25944,-0.32581,0.28495,0.20254,0.055715,0.0129,0.024954,-0.14465,0.07634,0.0065393,0.29223,0.00094865,0.092593,0.11674,0.017113,-0.070698,0.20323,0.23104,-0.19389,-0.32825,0.20612,0.22763,0.11563,-0.14495,0.26009,-0.14052,-0.22258,-0.07257,-0.19232,-0.25646,-0.19306,-0.10038,-0.31479,-0.17722,-0.087188,-0.13124,0.18593
13,-0.18992,-0.3137,-0.063998,-0.26761,0.0081346,-0.076371,-0.012598,0.33356,0.18591,-0.04809,0.11959,-0.044641,0.43047,1,0.059882,0.1193,0.28285,0.302,0.39669,0.31868,0.20061,0.050936,0.12388,-0.010783,0.10723,-0.11542,0.40871,0.14269,-0.010277,0.28505,0.45804,-0.034986,0.18152,0.1017,0.21406,-0.19421,0.074547,0.17266,0.084206,0.014857,-0.024498,0.061909,0.033892,0.19947,0.32937,0.0032856,0.18695,-0.44742,0.13224,0.030655,-0.12831,-0.028994,0.17357,-0.16901,-0.027497,0.16785,-0.19348,0.24581,-0.24172,0.16616,0.11721,0.11241,-0.061707,0.36554,0.04296,-0.15507,-0.11572,0.13334,-0.2947,0.20593,0.0008065,-0.14305,-0.061185,-0.08686,-0.1201,-0.14521,-0.052941,-0.12363,-0.052961,-0.20815,0.005005,-0.30678,0.026349
14,0.063581,-0.24555,0.18933,0.16721,0.11335,0.21179,0.14591,-0.083802,0.38322,0.025994,0.20986,0.28409,0.25976,0.059882,1,0.41847,0.35319,0.18583,0.23721,0.30247,0.15746,0.13228,0.22625,0.1121,0.25825,0.1284,0.21602,0.25919,0.22125,0.22283,0.29415,0.26111,0.038029,0.18694,0.22012,0.13558,0.076581,-0.080644,0.23132,0.070084,0.13404,0.11048,0.027477,0.12881,0.13729,0.040199,0.17464,0.14104,0.1667,0.15383,0.26795,-0.041172,-0.00070936,-0.054945,-0.26752,0.011696,-0.0047489,-0.05599,-0.032931,-0.04775,-0.085975,-0.055464,-0.17675,-0.12749,-0.37101,-0.16875,0.016838,0.1477,0.060665,-0.0036703,0.13689,0.021798,-0.23997,-0.22436,-0.2666,0.015937,-0.030926,-0.10562,-0.029175,-0.03679,-0.33932,0.084164,0.16523
15,-0.032697,-0.31603,-0.15397,0.047026,-0.0085441,0.19172,-0.05549,0.085529,0.19685,0.37402,0.29665,0.29237,0.21432,0.1193,0.41847,1,0.17587,0.2253,-0.14787,0.31333,0.34907,0.34414,0.21867,0.24611,0.18828,0.28861,0.37764,0.27567,0.21669,0.29457,0.13819,0.0032505,0.39072,0.38574,0.3458,-0.036323,0.31266,0.19765,0.18903,0.23495,0.33818,0.11114,0.15194,0.02626,-0.11657,0.066895,0.15234,-0.0042747,0.17711,0.30574,0.34585,0.098268,-0.21322,0.10431,-0.18118,0.032639,0.052962,0.11298,0.12299,-0.16167,-0.15776,-0.029612,0.12705,0.006337,-0.25964,-0.30265,-0.109,0.099284,0.013729,-0.094029,0.28868,0.10566,-0.026963,-0.2037,-0.28255,-0.1582,-0.15844,-0.20014,-0.35945,-0.34102,-0.032107,-0.12147,0.021802
16,-0.12332,-0.026974,0.53241,0.15635,0.27091,0.50033,-0.073757,0.064635,0.58692,0.035709,0.1368,0.23118,0.41639,0.28285,0.35319,0.17587,1,0.43666,0.11391,0.28396,0.15052,0.31537,0.33318,-0.059319,0.25651,0.15642,0.3569,0.32183,0.1841,0.23504,0.43361,-0.055138,0.19367,0.15833,0.3584,-0.086231,0.15204,-0.080381,0.16185,0.2659,0.10802,-0.11221,0.1031,0.40478,0.11967,-0.027323,0.16806,-0.15115,0.10933,0.093149,0.034855,0.17066,0.14977,-0.037186,-0.1087,-0.02736,-0.097962,0.090094,-0.0011583,0.18622,-0.27823,0.21161,0.089418,0.13394,-0.33705,0.019987,-0.17947,0.091854,-0.012497,0.23146,-0.11549,0.051126,-0.1621,-0.062608,0.038953,-0.058718,-0.10598,-0.20377,0.11177,-0.021509,-0.057623,0.020488,0.3128
17,-0.083157,-0.054077,0.25443,-0.038838,-0.078909,0.32726,0.086071,0.36523,0.30106,0.07843,0.26137,0.25882,0.26803,0.302,0.18583,0.2253,0.43666,1,0.07174,0.42324,0.42492,0.43404,0.48666,0.20527,0.25859,0.37483,0.30969,0.39308,0.042372,0.24719,0.52878,-0.16483,0.27508,0.16989,0.59029,-0.11722,0.17295,0.066375,0.18903,0.19454,-0.075289,0.093574,0.060572,0.17889,-0.13435,-0.21688,0.10105,-0.21903,0.051198,0.13461,-0.12208,0.045067,-0.075042,0.1023,-0.19262,-0.16626,-0.28513,0.14968,-0.09093,0.12176,-0.0090811,0.029506,0.07724,0.12805,-0.18254,-0.21765,0.014103,-0.071696,-0.30989,0.059718,0.024232,-0.079411,-0.28933,0.0382,0.027788,0.047715,-0.13407,-0.083295,-0.056011,0.0057939,-0.10691,-0.33778,0.28864
18,-0.24618,-0.1773,0.002541,-0.12523,0.084539,0.054882,0.1642,0.12395,0.14923,0.051861,-0.17539,0.11964,0.40673,0.39669,0.23721,-0.14787,0.11391,0.07174,1,0.31425,0.10722,0.049979,0.24616,-0.06459,0.24278,-0.23557,0.25134,-0.096142,0.11891,0.16861,0.3947,0.32151,-0.14426,0.033247,0.32602,-0.094492,-0.079093,0.21834,-0.2009,-0.026154,0.094974,0.015617,0.066426,0.19067,0.083966,0.16657,0.17724,-0.060407,0.041231,-0.012342,-0.070777,-0.26566,0.080709,-0.19223,0.086958,0.12744,0.088878,-0.069108,-0.10716,0.23055,0.074421,-0.007857,-0.24812,0.020135,-0.14795,-0.21673,0.20733,0.15242,-0.09198,0.12229,-0.023227,-0.44791,-0.070069,-0.14663,-0.25892,-0.15093,-0.26504,-0.11265,0.26288,-0.011065,-0.10818,0.020656,-0.018979
19,0.03161,-0.081658,0.13818,0.089376,0.13323,0.054174,0.1211,0.37808,0.24149,0.15519,0.1726,0.38773,0.43673,0.31868,0.30247,0.31333,0.28396,0.42324,0.31425,1,0.36211,0.43657,0.30003,0.21798,0.46119,0.20078,0.37525,0.36714,0.21056,0.33296,0.36207,0.078452,0.23673,0.40361,0.44266,-0.080265,0.2905,0.18137,0.19215,0.38141,0.24695,0.16053,0.26173,0.03784,0.028213,0.17256,0.056561,-0.039548,0.20558,0.072662,0.17572,-0.0030873,-0.15041,-0.021443,-0.15714,0.085201,-0.036486,-0.12625,0.17857,0.0040542,-0.039474,-0.0042379,-0.1873,0.11213,-0.42519,-0.28036,0.057749,0.27414,-0.10834,-0.0806,0.17179,-0.10662,-0.22426,-0.11349,-0.12808,-0.16981,-0.054843,-0.12949,-0.15208,0.02988,-0.14665,-0.29063,0.3565
