,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.43442,0.34346,0.37892,0.38589,0.42514,0.24654,0.51346,0.29383,0.0039274,0.35458,1,0.047666,0.090468,0.30645,0.21249,-0.082961,-0.22308,-0.0033009,-0.27217,-0.034006,-0.24695,-0.16673,0.063724,-0.002774,-0.17693,-0.35324,-0.04223,-0.1318,-0.39523,0.19321,0.0015627,-0.07486,-0.20556,0.17418,-0.17629,-0.28742,0.03983,0.087335,-0.07971,-0.27038,-0.13964,-0.12453,-0.14734,-0.031207,0.015212,0.20191,0.030695,-0.16003,0.13934,-0.04148,-0.14089,0.37692,-0.095656,0.12701,0.26589,0.32653,0.17395,0.33128,0.047863,0.0496,0.14186,-0.045242,-0.10196,0.11147
11,0.27064,0.54035,0.47404,0.30233,0.2876,0.17173,0.27399,0.18939,0.39695,0.17127,0.047666,1,0.12177,0.025547,0.10893,0.062254,0.28866,0.13365,0.005749,0.092533,0.1187,0.087248,0.061082,0.073222,-0.076997,-0.11917,0.16498,-0.12871,-0.15553,0.034519,0.0089251,-0.049927,-0.012736,-0.1402,0.062641,-0.19027,0.058826,-0.2551,0.032098,-0.12326,-0.18212,0.041405,0.074308,0.40838,-0.26775,0.138,0.039348,0.01922,0.17635,0.021679,0.010053,0.11372,0.14036,0.087961,0.070964,0.096386,0.08181,0.029022,0.10213,0.16247,0.0083884,0.064401,0.45629,-0.060257
12,0.23714,0.079779,0.074615,0.22696,0.13225,0.037904,0.13435,0.14745,0.109,0.12408,0.090468,0.12177,1,0.31311,0.25945,-0.15814,-0.19924,0.1421,0.095202,-0.21796,0.071805,-0.24508,-0.25405,-0.070284,0.045439,-0.019509,0.18352,-0.27726,-0.0091992,0.16743,0.14634,0.13084,0.19116,-0.063664,0.019911,0.023311,-0.012884,-0.037726,0.08688,-0.090493,0.0067799,-0.30744,0.15453,0.094744,-0.36455,-0.087792,0.14257,0.076142,0.092419,-0.003689,0.078482,-0.17696,-0.21031,0.066416,-0.17709,0.31341,0.26531,0.099059,0.27441,0.30386,0.1618,0.072159,0.045855,0.26777
13,0.5707,0.29227,0.31795,0.32287,0.33046,0.35396,0.40706,0.36053,0.35693,0.16754,0.30645,0.025547,0.31311,1,0.16753,0.093816,0.062983,0.17376,-0.097105,-0.16877,-0.15159,0.1406,-0.29847,-0.24302,-0.039404,-0.064094,-0.15164,0.077233,-0.076874,-0.035381,-0.031756,-0.084607,0.35969,-0.0064998,-0.072059,-0.064396,-0.10663,0.039687,-0.18545,0.034237,-0.22733,-0.17677,0.14463,0.20076,0.01601,0.2833,0.28063,0.037913,0.20535,0.029453,0.022193,0.11112,-0.32114,-0.056437,0.29047,0.18217,0.12459,0.021058,0.0087036,0.19589,0.12573,0.069973,0.094649,0.025021
14,0.13735,0.17353,0.1956,0.33866,0.17137,0.21379,0.16106,0.19918,0.064443,0.23141,0.21249,0.10893,0.25945,0.16753,1,-0.12364,0.068027,0.19335,-0.057398,-0.0077508,-0.012787,-0.22643,-0.1033,0.17834,0.18001,-0.14277,0.26874,-0.11586,0.061565,0.11408,-0.041289,0.1101,0.033341,0.15818,-0.07256,-0.11184,0.14277,0.16442,0.12626,0.092249,-0.078916,0.15295,-0.12428,0.095671,-0.19972,-0.099649,-0.075363,0.066664,0.16687,-0.086286,-0.14858,0.16596,0.0031294,-0.085355,-0.11246,0.3655,-0.017528,-0.043015,0.11793,0.30644,0.13034,0.081301,-0.054338,-0.12412
15,0.063718,0.038067,0.047193,0.045835,0.10879,0.020623,0.11867,-0.062646,0.22675,-0.018384,-0.082961,0.062254,-0.15814,0.093816,-0.12364,1,-0.026722,-0.035626,0.13473,0.068944,-0.063742,-0.30898,-0.009906,-0.17497,0.16465,-0.059903,-0.045313,-0.00018503,0.10828,0.028678,-0.20278,-0.13846,0.022231,0.0076295,0.037686,-0.056826,0.051067,0.15199,-0.30965,0.2963,-0.20385,-0.0087165,-0.22111,0.28233,0.4338,-0.047252,0.22206,0.19873,0.062586,0.058367,0.31494,0.041924,0.33428,0.033726,0.063039,-0.27547,0.0034618,-0.38723,-0.12619,0.11512,-0.37632,-0.050144,-0.24271,0.043738
16,0.047974,0.30077,0.11057,0.04784,0.019043,0.084319,-0.015195,0.083749,0.2494,-0.02357,-0.22308,0.28866,-0.19924,0.062983,0.068027,-0.026722,1,0.23272,0.077629,0.18393,0.10286,0.074402,0.15964,0.086134,-0.17856,0.22517,0.12209,0.12587,0.020571,-0.18592,0.12594,0.22372,0.068088,-0.0025065,0.060073,0.018493,0.15308,-0.05428,0.084974,0.16155,0.10894,0.3003,0.23392,0.010999,0.041427,-0.017112,-0.22362,-0.047631,0.21271,0.19922,-0.093253,0.21636,-0.064206,0.053358,0.032757,-0.1237,0.1241,-0.018618,-0.08458,-8.6094e-06,-0.079408,0.055998,0.20439,-0.16543
17,0.21135,0.34469,0.33669,0.23841,0.06818,0.015561,0.098869,0.46806,0.3998,0.082981,-0.0033009,0.13365,0.1421,0.17376,0.19335,-0.035626,0.23272,1,0.03579,0.28743,-0.17324,-0.037362,-0.14741,0.09088,-0.37305,-0.14679,0.23885,-0.033597,-0.059782,-0.17671,0.12947,-0.0020867,0.11539,-0.16453,-0.14386,-0.074341,-0.015638,0.1891,0.045475,-0.05722,0.20898,-0.088567,0.090033,-0.09518,0.16458,0.053545,-0.11458,0.11538,-0.21072,-0.0063763,0.10942,-0.1731,-0.080453,0.010572,0.1604,0.18569,0.25139,0.00080569,0.18499,0.09741,-0.092256,-0.31232,0.28959,0.22038
18,-0.10363,-0.17972,-0.048101,-0.17468,0.0259,-0.01229,0.061891,0.014303,0.024212,0.03628,-0.27217,0.005749,0.095202,-0.097105,-0.057398,0.13473,0.077629,0.03579,1,-0.11966,0.16102,-0.16571,-0.0080304,0.16845,0.093998,0.05886,0.045985,-0.061043,0.047924,-0.020785,0.11943,0.056936,0.11567,-0.092523,0.18388,0.16353,0.18241,-0.088205,0.13582,0.11686,0.14289,0.16386,0.080022,0.016567,-0.02506,-0.138,-0.052109,-0.11148,0.11902,-0.05076,-0.22994,0.0437,-0.13274,0.16529,-0.27947,-0.24423,0.15735,-0.379,-0.10261,-0.092881,0.0019869,-0.21217,0.071388,0.055048
19,-0.11741,0.10544,0.083281,-0.028088,-0.18689,-0.095516,-0.12304,-0.034474,0.051642,0.10925,-0.034006,0.092533,-0.21796,-0.16877,-0.0077508,0.068944,0.18393,0.28743,-0.11966,1,-0.076125,0.01605,0.32713,0.14959,0.011366,0.061577,0.12579,0.11029,0.16694,0.13449,0.26961,-0.089859,0.091025,0.044361,-0.19843,-0.3381,0.17873,-0.098214,0.13117,0.10048,-0.062776,0.19581,0.12758,-0.053641,0.064294,0.11842,-0.0046556,-0.15295,0.0018612,0.36491,0.034623,0.091667,0.03727,0.13669,0.24529,-0.13835,0.29576,-0.17583,0.27785,0.086622,-0.40602,-0.055958,0.17902,0.20405
