,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,-0.042406,0.066223,0.34284,0.021796,0.12014,-0.18666,0.20515,0.1386,0.30435,0.217,1,0.12563,-0.15944,0.14964,-0.0087349,0.14977,0.24009,0.067092,0.097464,0.38865,-0.1085,-0.10045,0.17008,0.029989,0.089058,-0.016254,0.09423,0.14539,0.14824,0.2471,0.4022,-0.083964,0.19012,-0.093289,0.072313,0.030473,-0.13555,0.084619,0.24402,0.3227,-0.099272,-0.15699,-0.0029036,0.15591,-0.1222,-0.0034239,-0.20524,-0.22619,0.090054,0.0070731,0.25204,0.10718,-0.10287,0.061221,-0.25758,0.028067,-0.00020038,-0.091747,-0.18922,0.027497,0.025846,-0.054151,-0.095773,0.059192,0.076891,-0.15387
11,0.030241,0.27327,0.084194,0.040605,0.074865,0.082821,-0.039987,0.21665,0.15554,0.20529,0.12563,1,-0.16271,0.073344,0.048417,0.15862,0.23042,0.14411,0.12513,0.14321,0.12095,-0.093777,0.40182,0.35036,0.18127,0.069614,-0.028402,0.24411,0.023248,0.20499,0.0059068,-0.060817,-0.021153,0.215,-0.15863,-0.15339,0.0055123,-0.071225,0.16291,-0.024332,0.11692,0.098434,0.14536,0.11918,0.076797,-0.18184,-0.1399,0.25117,0.03815,0.20537,-0.17047,0.057626,-0.21177,0.062416,0.075065,0.19688,0.05892,0.03613,-0.1151,0.048784,0.049516,-0.00052585,0.17539,0.020745,-0.1049,-0.013993
12,0.3438,-0.0059332,0.24159,0.39771,0.17303,0.17296,0.12395,0.24629,0.23022,0.05333,-0.15944,-0.16271,1,0.18413,0.1184,0.20847,0.17145,0.20485,0.0093429,0.21403,0.18644,0.48232,-0.086008,0.090822,0.24484,0.14042,0.22272,0.40292,0.026199,0.24892,0.014521,-0.16,0.26077,0.077563,0.12637,0.42523,0.36536,-0.044739,-0.031538,-0.15983,0.17713,-0.014127,-0.16602,-0.1529,0.23743,0.11819,-0.087828,-0.18705,-0.09736,0.088717,-0.20032,0.35297,-0.23672,-0.12948,0.075404,0.015147,-0.25812,-0.098549,0.035671,-0.10859,-0.1804,0.20142,0.030627,-0.099827,-0.081749,-0.029912
13,0.14629,0.23926,0.095455,0.22974,0.2384,0.10551,0.26771,0.23807,0.19117,0.30764,0.14964,0.073344,0.18413,1,-0.05975,0.39162,0.2099,0.27149,0.07303,0.064003,-0.13045,-0.067505,0.013217,0.061147,0.29428,0.21543,0.24154,0.22438,0.078542,0.18685,0.15716,0.139,-0.19463,0.05983,0.11525,0.13359,-0.10297,0.15757,-0.25386,-0.13329,-0.1523,0.25971,0.067193,-0.038071,0.089776,-0.075475,-0.066284,0.032428,-0.48615,-0.012811,-0.10795,0.2562,-0.12366,0.073777,0.018116,-0.022848,0.077366,0.25518,-0.04515,0.17018,-0.022589,0.14298,0.054909,-0.39831,-0.26057,-0.15371
14,0.071574,0.20945,0.12182,8.4811e-05,0.11932,0.10386,0.13845,0.17876,0.042497,0.17975,-0.0087349,0.048417,0.1184,-0.05975,1,0.01687,0.1108,0.17266,-0.05595,0.27197,0.12684,0.11911,0.13671,0.36007,0.05402,0.14422,-0.12878,0.055365,0.40596,-0.078189,0.054172,-0.20177,0.17178,0.29933,-0.13025,-0.070889,0.2729,-0.035322,-0.17763,-0.14747,-0.098163,-0.13019,0.07794,0.090651,0.038215,0.034969,0.21463,0.14637,0.1163,-0.046272,0.22387,-0.20049,-0.081818,-0.093113,0.098148,-0.01111,-0.099404,-0.12227,-0.014625,-0.097084,0.12222,0.24989,-0.10195,0.21332,0.19998,-0.19029
15,0.23891,0.013498,0.1416,0.32141,0.18764,0.17638,0.29299,0.29235,0.098429,0.29622,0.14977,0.15862,0.20847,0.39162,0.01687,1,0.30497,0.36507,0.16195,-0.016193,0.018764,0.072802,0.083978,0.27515,-0.053897,0.081311,-0.070263,0.29817,0.17134,0.5054,0.14627,0.11926,-0.044909,0.24727,0.083595,0.089704,0.00053603,-0.017161,0.034009,-0.17753,-0.26884,0.060664,0.4038,-0.012672,0.20092,-0.017485,-0.082355,0.089174,-0.056101,-0.017988,0.048361,0.18216,-0.18645,0.074416,-0.10433,-0.12553,0.22986,-0.033402,0.025262,0.033027,-0.042179,-0.22563,0.089078,-0.15075,-0.014663,0.017621
16,0.20652,0.32822,0.15658,0.3433,0.34061,0.20861,0.27162,0.5136,0.1331,0.26423,0.24009,0.23042,0.17145,0.2099,0.1108,0.30497,1,0.32351,0.34212,0.06578,0.28031,0.13711,0.41201,0.22201,0.23346,0.13083,-0.16491,0.16212,0.24416,0.29454,0.08482,-0.087722,0.35008,0.40175,0.11671,0.21028,0.050709,-0.17144,0.22284,-0.1388,-0.0098362,0.081193,0.1058,0.27244,0.30131,0.22531,-0.11605,-0.0069561,-0.076144,-0.056102,0.21504,0.15719,-0.20563,-0.046314,0.15969,-0.19005,-0.061251,0.083919,0.11674,0.19932,-0.11346,-0.1061,-0.17074,0.033721,-0.3555,0.097647
17,0.075883,0.088238,0.002942,0.26178,0.27017,0.025481,0.18014,-0.031366,0.12221,0.091811,0.067092,0.14411,0.20485,0.27149,0.17266,0.36507,0.32351,1,0.37152,0.051485,0.046094,0.018518,0.019231,-0.042811,0.11798,0.16939,0.08756,0.095932,0.28489,0.13038,0.13094,-0.28265,-0.010682,0.31623,0.35256,0.057749,0.081614,0.013342,-0.047076,-0.011065,-0.070825,0.15123,0.065465,-0.19397,0.087298,0.14263,0.0056441,0.17074,-0.14784,0.011135,0.042876,-0.044529,-0.17722,-0.095195,-0.13813,-0.048881,0.029067,-0.019338,0.040427,-0.017533,-0.32039,0.12901,-0.083444,-0.05786,-0.30484,-0.096897
18,0.35145,0.1365,0.032419,0.14688,0.41037,0.39569,0.34777,0.065532,-0.08014,0.12321,0.097464,0.12513,0.0093429,0.07303,-0.05595,0.16195,0.34212,0.37152,1,-0.021846,0.31151,0.0088546,0.18631,-0.17275,0.050288,0.13494,0.132,0.060917,0.12678,0.043457,-0.12364,-0.036077,-0.0043457,0.14972,0.32236,0.091011,0.19272,0.02564,0.25231,0.0063308,-0.25619,0.12531,0.2487,0.10139,0.17523,-0.044642,-0.15455,0.046645,-0.050917,0.034094,0.088612,0.01857,-0.18113,0.14638,-0.20804,-0.11776,-0.017397,-0.060883,-0.02212,0.10859,-0.42252,-0.17864,-0.17042,-0.02474,-0.39216,0.12312
19,0.14425,0.049323,0.2931,0.21723,-0.033951,-0.05608,-0.044423,0.26612,0.46993,0.17406,0.38865,0.14321,0.21403,0.064003,0.27197,-0.016193,0.06578,0.051485,-0.021846,1,-0.019566,0.07784,-0.094477,0.11819,0.15757,-0.0771,0.11194,0.18291,-0.29986,0.21029,0.44122,-0.13372,0.37886,-0.0049757,0.077785,0.15204,0.080358,0.02799,0.046207,0.0083147,0.21494,-0.062534,-0.013105,0.26687,0.085435,-0.0061622,0.1435,0.039492,-0.040744,-0.13134,-0.14492,0.10556,0.0032896,-0.072737,0.11173,-0.027129,-0.11315,0.020657,-0.18458,0.12293,0.092532,0.25539,-0.035637,0.023816,0.19772,-0.072238
20,0.43368,0.45444,0.070397,0.17963,0.16027,0.42697,0.23321,0.069244,-0.0063268,0.053219,-0.1085,0.12095,0.18644,-0.13045,0.12684,0.018764,0.28031,0.046094,0.31151,-0.019566,1,0.25975,0.23659,-0.086094,0.093486,0.17859,0.12164,0.085682,-0.039241,0.075626,-0.16549,-0.021024,-0.041152,0.41222,-0.0014986,0.20197,0.065278,-0.022229,0.1239,-0.15172,0.010083,-0.016887,0.2388,0.16179,0.091499,0.080078,-0.26201,0.074861,0.042386,-0.016114,0.032852,0.13462,-0.14944,-0.026936,0.22677,-0.071944,-0.25899,-0.075679,0.1147,0.08978,0.015152,0.064515,-0.0060483,0.087757,-0.1726,0.17247
21,0.24463,0.1708,0.22712,0.092669,0.16337,0.097107,0.34739,0.16542,0.2255,-0.11664,-0.10045,-0.093777,0.48232,-0.067505,0.11911,0.072802,0.13711,0.018518,0.0088546,0.07784,0.25975,1,0.02949,0.093753,0.10525,0.31064,0.12642,0.28364,0.12988,-0.15772,-0.099816,0.051959,0.33559,0.036429,0.029379,0.054714,-0.097075,0.045572,0.014771,-0.06116,0.043768,0.15557,0.10908,0.046208,0.27344,0.16827,-0.13702,-0.13085,0.087299,-0.046323,-0.02137,0.017955,-0.15563,0.11047,0.086052,0.0056497,-0.12642,-0.35618,-0.2336,-0.17986,0.010801,0.12971,0.18712,-0.048648,0.17622,0.013128
22,0.079635,0.25855,0.028437,-0.12823,0.18205,0.079156,0.30522,0.28375,0.14542,0.16073,0.17008,0.40182,-0.086008,0.013217,0.13671,0.083978,0.41201,0.019231,0.18631,-0.094477,0.23659,0.02949,1,0.21204,0.23568,0.032093,0.069454,-0.0042333,0.21955,0.19606,-0.11831,0.051083,0.15675,0.26872,-0.18187,-0.078774,0.02268,-0.060827,0.2262,0.14358,-0.095003,-0.0088848,0.10493,0.14981,0.033884,-0.18038,-0.31535,0.039979,0.077457,-0.0097214,0.30868,-0.17643,-0.21935,-0.016453,0.24112,0.043718,-0.22615,0.0073227,-0.053738,0.029232,0.0049286,0.0020966,0.058857,0.018394,-0.23456,-0.10334
