,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
10,0.86202,0.85397,0.86511,0.84269,0.82765,0.84671,0.81908,0.78482,0.84139,0.82418,1,0.80807,0.82612,0.80574,0.78675,0.75023,0.80596,0.8287,0.70683,0.79727,0.75856,0.7867,0.76062,0.63104,0.65968,0.73687,0.63937,0.57834,0.79432,0.63187,0.71769,0.57056,0.64724,0.7121,0.44462,0.754,0.58343,0.49909,0.51001,0.39057,0.35299,0.4602,0.23027,0.33259,-0.10029,0.40114,0.18495,0.33818,0.21127,0.31144,-0.044751,0.32327,0.1452,0.1204,-0.20581,0.10767,0.094566,-0.030945,-0.015353,-0.27328,0.15668,-0.23874,-0.028449,0.25227,-0.14201,0.10255,-0.21662,-0.20955,-0.20078,-0.26796,-0.098693,0.0094797,-0.29905,-0.24859,-0.19534,0.020279,-0.11793,-0.23848,-0.10472,-0.02931,0.004743,0.0063276,0.057691,-0.0057685,-0.14218,-0.21134,-0.19327,-0.033007,0.059028,-0.04047,0.17921,-0.35506,-0.30077,-0.020467,0.027161,0.024046,0.11328,0.13256,-0.10412,-0.029501,0.14044,0.12312,0.027739,-0.028542,0.043126,0.28787,-0.0055469,-0.59118,0.10619,-0.031507,0.22162,0.03844,-0.031365,0.48453,0.16107,0.13182,0.24547,-0.013668,0.22914,0.10437,0.32925,-0.1
11,0.85925,0.81875,0.87251,0.84978,0.78844,0.87286,0.86146,0.86928,0.82863,0.77621,0.80807,1,0.79609,0.81381,0.81698,0.76678,0.8831,0.80936,0.72488,0.77435,0.79665,0.71581,0.822,0.73251,0.79297,0.75248,0.71687,0.70009,0.69758,0.62902,0.75533,0.66512,0.54888,0.60225,0.47027,0.72093,0.57924,0.44157,0.49147,0.42833,0.43967,0.51302,0.23779,0.36387,0.028769,0.26516,0.21121,0.3301,0.20388,0.41463,0.083684,0.28988,0.17759,0.19126,-0.092088,0.076136,0.027077,-0.1287,-0.099269,-0.20237,0.10947,-0.12681,-0.036539,-0.015672,-0.11164,0.20699,-0.15391,-0.12653,-0.20529,-0.25522,-0.11252,-0.042668,-0.1357,-0.27222,0.026048,0.19967,-0.13149,-0.17439,0.092484,-0.0286,-0.039564,0.076343,0.0041691,0.13513,-0.019864,-0.18501,-0.21351,-0.09966,-0.060714,0.057867,0.32058,-0.39777,-0.24441,-0.1724,0.18604,-0.063466,0.33205,0.048813,-0.06714,0.0064239,0.07786,0.15681,0.069533,0.007715,0.01478,0.25101,0.082102,-0.44747,0.1281,0.032474,0.10377,0.083993,-0.16574,0.32918,0.28355,0.2539,0.16335,0.03264,0.13231,0.098892,0.2498,-0.049082
12,0.86556,0.80441,0.84606,0.84884,0.79147,0.83305,0.82804,0.77672,0.84582,0.82031,0.82612,0.79609,1,0.78731,0.74621,0.69635,0.79617,0.80368,0.59404,0.77548,0.75457,0.67999,0.72771,0.63543,0.76495,0.67472,0.6503,0.67108,0.7626,0.62168,0.704,0.48537,0.57662,0.67545,0.4862,0.74214,0.49469,0.56223,0.47893,0.47188,0.50778,0.48846,0.34197,0.37658,-0.028811,0.17424,0.11563,0.31406,0.28961,0.3189,0.11281,0.31269,0.20036,0.19767,-0.12645,0.046506,0.086753,-0.13233,-0.31004,-0.23951,0.21376,-0.30317,0.0050615,0.061727,-0.10766,0.02188,-0.13732,-0.0096747,-0.21911,-0.23331,-0.11786,0.033601,-0.20713,-0.23788,-0.17378,0.14813,-0.19499,-0.1093,0.066643,0.028013,-0.076936,-0.099728,0.12894,-0.0014445,-0.012513,-0.27146,-0.1926,-0.15078,-0.038594,0.0067082,0.12655,-0.36294,-0.36456,-0.15028,0.054536,-0.08375,0.13264,0.093741,-0.088028,-0.082791,0.17733,0.20129,0.021399,-0.034481,-0.098019,0.25489,0.13861,-0.494,0.052223,0.15343,0.14003,0.030172,-0.064693,0.32391,0.19848,0.082811,0.32064,-0.030109,0.11664,-0.0014731,0.25285,-0.032169
13,0.86099,0.86241,0.89221,0.86561,0.83114,0.84617,0.8478,0.78706,0.86793,0.80898,0.80574,0.81381,0.78731,1,0.81568,0.84742,0.8296,0.79419,0.7603,0.81482,0.78655,0.70835,0.81648,0.59361,0.79772,0.69708,0.73067,0.70899,0.75135,0.61883,0.62981,0.54146,0.67871,0.70357,0.54159,0.74814,0.55507,0.43051,0.54955,0.48364,0.55451,0.4292,0.32574,0.2999,0.031714,0.35683,0.20955,0.35294,0.21635,0.34445,0.027125,0.3345,0.20663,0.16828,-0.106,0.01184,0.069779,-0.18658,-0.11438,-0.22172,0.12483,-0.32606,-0.008169,0.11047,-0.12667,0.12401,-0.31688,-0.094599,-0.22228,-0.23622,-0.14197,0.15924,-0.15047,-0.29999,-0.15824,0.2693,-0.19481,-0.091725,-0.11277,0.011202,0.018109,0.053693,-0.010576,-0.04857,0.0041383,-0.064529,-0.12552,-0.13148,-0.1661,-0.042962,0.22374,-0.434,-0.2941,0.0092189,0.12709,0.083338,0.18977,0.12402,-0.15419,0.029071,0.20621,0.10853,-0.0020254,0.092172,-0.037823,0.40348,0.11242,-0.45929,0.048935,0.16753,0.11835,-0.083931,-0.04271,0.37751,0.099968,0.30572,0.21962,0.080736,0.19763,-0.034352,0.20497,-0.13897
14,0.87512,0.83958,0.83736,0.74787,0.83831,0.80986,0.86052,0.7652,0.84136,0.80015,0.78675,0.81698,0.74621,0.81568,1,0.81166,0.7716,0.82466,0.67772,0.68479,0.75561,0.77062,0.81117,0.68731,0.70242,0.74375,0.69886,0.66211,0.67829,0.56152,0.69127,0.52713,0.58492,0.62818,0.43547,0.74776,0.50889,0.35479,0.46891,0.37363,0.4825,0.53558,0.17156,0.37691,-0.10862,0.25873,0.1941,0.39811,0.13148,0.34974,0.16318,0.33697,0.22045,0.11143,-0.13609,0.029393,-0.036203,-0.06645,-0.1077,-0.24405,0.23317,-0.28212,-0.031157,0.096448,-0.1157,0.22256,-0.22855,-0.26228,-0.24376,-0.2791,-0.060345,-0.072783,-0.13708,-0.22263,-0.10095,0.16684,-0.20755,-0.1982,-0.20876,-0.19121,-0.2352,-0.016792,-0.015527,0.086001,0.0074781,-0.072064,-0.34024,-0.13893,-0.20862,-0.0057189,0.20349,-0.40569,-0.1484,-0.024163,0.16897,0.042938,0.098088,0.1341,-0.078267,-0.10924,0.13033,0.28098,-0.039006,-0.010324,-0.042563,0.27996,0.086864,-0.37144,0.099382,0.24005,0.23379,0.068586,0.075403,0.37582,0.2162,0.2373,0.17886,0.011663,0.20008,0.073054,0.29618,-0.094671
15,0.82392,0.84027,0.8166,0.81961,0.80674,0.79435,0.78138,0.76777,0.73753,0.7673,0.75023,0.76678,0.69635,0.84742,0.81166,1,0.74493,0.73514,0.74012,0.81656,0.66733,0.73133,0.73292,0.53822,0.66256,0.71815,0.63688,0.63907,0.65656,0.49046,0.64876,0.53323,0.64663,0.58135,0.43123,0.66249,0.51751,0.32791,0.54513,0.36261,0.53849,0.44293,0.30925,0.35932,0.011476,0.42567,0.2155,0.37373,0.067802,0.38585,0.029947,0.31414,0.16098,0.060195,-0.13221,0.10899,0.18319,-0.12613,-0.027734,-0.15139,0.14595,-0.25788,-0.0088418,0.22401,-0.081527,0.14554,-0.31082,-0.13169,-0.1671,-0.16069,-0.13513,0.07866,-0.19914,-0.31172,-0.18588,0.22086,-0.11649,-0.16947,-0.11533,-0.13687,-0.16727,-0.037144,0.082878,-0.029994,-0.027251,-0.00086815,-0.15923,-0.2248,-0.24533,-0.01474,0.23437,-0.38684,-0.32289,0.09237,0.050036,0.083972,0.08919,0.071982,-0.080775,-0.062767,0.18244,0.081438,0.021272,0.060651,-0.075745,0.28687,0.15055,-0.30081,0.036303,0.1673,0.088596,0.025329,0.02805,0.55175,-0.025165,0.2607,0.1373,0.041088,0.075267,-0.015786,0.21524,-0.079971
16,0.85454,0.84282,0.8822,0.85418,0.75315,0.82521,0.84377,0.83106,0.81895,0.79945,0.80596,0.8831,0.79617,0.8296,0.7716,0.74493,1,0.84056,0.75558,0.8049,0.77555,0.7537,0.77379,0.68064,0.7026,0.75243,0.63038,0.69002,0.73045,0.62975,0.72189,0.52932,0.55525,0.61119,0.49905,0.71563,0.57653,0.45754,0.56856,0.4864,0.48401,0.49502,0.27755,0.32667,0.018426,0.31947,0.17996,0.28247,0.31065,0.35659,-0.015393,0.23396,0.18429,0.19378,-0.13126,0.046001,0.025154,-0.13412,-0.13204,-0.27351,0.16202,-0.24613,-0.081478,0.050594,-0.074999,0.17084,-0.23801,-0.1938,-0.22211,-0.29784,-0.23901,0.03629,-0.14947,-0.22723,-0.12682,0.10369,-0.13114,-0.17029,-0.032013,-0.0048924,-0.059725,0.0074042,0.070939,0.21558,0.014423,-0.17233,-0.11848,-0.089767,0.0025787,0.1039,0.24562,-0.32161,-0.2627,-0.078809,0.1441,-0.016327,0.23002,0.24168,-0.18422,0.026754,0.17855,0.095392,0.11294,0.10521,0.045708,0.18318,0.12868,-0.45835,0.1092,-0.0050454,0.096633,0.016082,-0.1507,0.32762,0.11702,0.26757,0.12345,0.059034,0.13911,0.051272,0.16095,-0.12018
17,0.85056,0.81206,0.86602,0.78292,0.84156,0.83304,0.87007,0.85699,0.82867,0.82644,0.8287,0.80936,0.80368,0.79419,0.82466,0.73514,0.84056,1,0.64221,0.73202,0.81812,0.76261,0.8054,0.59107,0.70867,0.70215,0.64085,0.73298,0.81221,0.66981,0.68636,0.51199,0.5478,0.60562,0.52608,0.7279,0.53093,0.48713,0.57829,0.39886,0.4783,0.45662,0.19489,0.44673,-0.0096282,0.3742,0.26465,0.30418,0.15764,0.35175,0.12492,0.4038,0.34956,0.13893,-0.083188,0.10395,-0.0027107,-0.11915,-0.12983,-0.32425,0.20589,-0.39367,-0.041204,0.26227,0.00777,0.17438,-0.055246,-0.28224,-0.20226,-0.19807,0.065302,0.074015,-0.10902,-0.15778,-0.11564,0.098405,-0.12729,-0.14622,-0.14207,-0.13042,-0.083333,-0.045637,0.025859,0.10437,0.045029,-0.10834,-0.16466,-0.072947,-0.166,0.059791,0.28601,-0.27152,-0.18709,-0.13768,0.13451,-0.079567,0.083782,0.14236,-0.14998,-0.11739,0.038177,0.2327,0.079982,0.063131,-0.20769,0.20762,0.053629,-0.44561,0.028155,0.14014,0.10363,0.033094,0.069419,0.32703,0.16502,0.33237,0.33255,-0.026914,0.25325,0.12147,0.22831,-0.099549
18,0.73162,0.74788,0.68021,0.7258,0.6979,0.67099,0.68766,0.72312,0.70294,0.65813,0.70683,0.72488,0.59404,0.7603,0.67772,0.74012,0.75558,0.64221,1,0.61558,0.64928,0.62316,0.65323,0.53751,0.6111,0.69911,0.60938,0.54446,0.57507,0.37374,0.63172,0.53486,0.57308,0.50243,0.49716,0.59387,0.31636,0.32223,0.39388,0.22283,0.4757,0.30877,0.43937,0.21969,0.0062951,0.39502,0.36317,0.16424,0.10112,0.20961,0.12184,0.14226,0.1543,0.1648,-0.29328,0.071447,0.085388,-0.030257,-0.034293,-0.19027,0.00058849,-0.11176,-0.10978,0.061327,-0.26343,0.11837,-0.39575,-0.039256,-0.022464,-0.35454,-0.26603,0.038327,-0.21911,-0.29519,-0.31685,0.061925,-0.23104,-0.17798,-0.146,0.093663,-0.1052,0.17231,-0.02349,0.11231,0.021689,-0.30086,0.033586,-0.11991,0.0037088,-0.018575,0.19371,-0.42429,-0.14682,0.17171,-0.013967,0.041447,0.18321,0.12368,-0.066876,0.035499,0.17156,0.17139,0.17201,0.092542,0.092942,0.29597,0.054213,-0.35407,0.029055,0.030852,0.053447,0.15633,-0.0066702,0.3845,0.018099,0.17458,0.090306,-0.068879,0.22553,0.03992,0.16321,0.13979
19,0.83548,0.83637,0.88302,0.88986,0.7939,0.85045,0.79636,0.75998,0.76308,0.775,0.79727,0.77435,0.77548,0.81482,0.68479,0.81656,0.8049,0.73202,0.61558,1,0.72289,0.71121,0.73592,0.64404,0.70677,0.7312,0.55515,0.60228,0.74334,0.5968,0.59932,0.59252,0.5919,0.66696,0.4396,0.6502,0.6467,0.38932,0.53469,0.51701,0.42205,0.5047,0.27959,0.35067,0.10401,0.36461,0.14474,0.38794,0.24274,0.20457,-0.061664,0.3511,0.1477,0.078906,-0.11246,0.097103,0.11408,-0.053108,-0.10837,-0.20893,0.03033,-0.23288,0.074217,0.18261,-0.18239,0.040374,-0.21709,-0.08096,-0.28218,-0.19656,-0.21098,0.062844,-0.13264,-0.39747,-0.14641,0.095164,-0.07804,-0.02573,-0.063573,0.052884,-0.025569,0.065888,0.10525,0.059683,-0.09105,-0.148,-0.12018,-0.22834,-0.12744,-0.045141,0.2235,-0.33989,-0.33318,0.0095063,0.026662,0.013156,0.11245,0.19179,-0.19816,0.07815,0.04532,0.0050108,0.03605,-0.033806,-0.042861,0.25777,0.08456,-0.49221,0.13512,0.051165,0.10968,-0.04005,-0.1124,0.49252,-0.037398,0.31785,0.066809,0.27312,0.11339,-0.011432,0.12973,-0.059979
