,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
10,0.64794,0.57733,0.54314,0.59436,0.54831,0.54051,0.557,0.44314,0.57607,0.53931,1,0.31503,0.36293,0.34842,0.26931,0.35195,0.042649,0.3968,0.25831,-0.08369,0.077912,0.28376,-0.24735,-0.13641,-0.20979,-0.30425,0.13109,0.12734,-0.10091,-0.29084,-0.16065,-0.28904,-0.18282,0.16624,0.097155,-0.25763,-0.12097,-0.016869,-0.3274,-0.38198,-0.33265,-0.11001,-0.065227,-0.16979,-0.35628,-0.264,0.019405,-0.26093,-0.057842,-0.087816,0.04792,0.035226,-0.1367,0.050496,0.036211,0.02085,-0.093095,0.087811,-0.09351,-0.068423,-0.22967,-0.1116,-0.079025,0.075662,0.31632,0.016124,-0.14515,-0.26983,0.079266,0.072219,-0.20714,-0.19861,-0.1689,-0.2576,0.050599,0.3007,0.028106,0.17133,0.23653,-0.29134,0.10802,-0.042452,0.049021,-0.016115,-0.16142,0.14644,0.041044,0.16546,0.24331,-0.091814,0.13716,0.0098448,0.13785,0.11785,0.1044,-0.0049435
11,0.65455,0.68009,0.66977,0.59559,0.58364,0.59196,0.64086,0.6811,0.60634,0.43227,0.31503,1,0.54799,0.33341,0.24333,0.36042,-0.065105,0.15278,0.13724,0.16188,0.037841,-0.081519,-0.12282,-0.067314,-0.064963,-0.26361,0.082778,0.056131,-0.01646,-0.065829,-0.19603,-0.32734,-0.4005,-0.081147,0.14666,-0.35166,-0.26022,-0.095237,-0.29822,-0.16509,-0.24438,0.016282,-0.081906,-0.095564,-0.33513,-0.47085,0.05434,-0.22299,-0.30107,0.13939,-0.15255,-0.048757,-0.2028,-0.064,-0.13226,0.21742,-0.037952,0.37673,-0.35253,-0.14584,-0.17726,-0.074892,0.16823,0.13702,0.11,0.26023,0.017253,-0.12005,0.15783,0.16195,0.043176,-0.25882,0.14732,-0.34513,-0.15394,0.26169,0.0034646,0.15715,0.052712,-0.071176,-0.014448,0.088733,-0.12736,0.12391,-0.30553,0.25278,0.18041,0.29817,0.15992,0.23049,0.25489,0.027454,-0.15369,0.064349,0.038189,0.30309
12,0.46346,0.45765,0.36428,0.37466,0.35514,0.51581,0.36249,0.48276,0.30046,0.28962,0.36293,0.54799,1,0.10043,0.072482,0.36365,0.1379,0.11326,0.23366,0.044341,-0.0098591,0.11899,-0.0073201,-0.077119,-0.24557,-0.16299,0.04029,-0.056857,0.11586,-0.012431,-0.19188,-0.23867,-0.30815,0.18645,0.099214,-0.22519,-0.22665,-0.27817,-0.23572,-0.08276,-0.064726,-0.021535,-0.021635,-0.22777,-0.26988,-0.3459,0.10415,-0.032972,-0.21435,-0.072871,-0.21558,-0.11074,-0.067029,0.08804,-0.26261,0.25374,-0.085565,0.09522,-0.13779,-0.0084549,-0.045439,-0.20116,0.30161,0.15075,-0.024576,0.11199,-0.24224,0.10254,0.19119,0.056937,0.11099,-0.24457,0.22154,-0.44201,-0.039738,0.11083,0.15481,0.29213,0.13513,-0.1424,0.024988,-0.15523,0.23863,-0.17907,-0.17159,0.38187,-0.05943,-0.0023533,0.14243,-0.060579,0.091017,0.048646,0.042642,0.17108,0.067566,-0.060227
13,0.60596,0.58415,0.55192,0.61457,0.635,0.3499,0.53314,0.58474,0.46467,0.42088,0.34842,0.33341,0.10043,1,0.15453,0.4406,0.26424,0.43194,0.24654,0.14106,-0.06579,0.11679,-0.27147,-0.064932,0.1642,-0.17542,0.12321,0.0055408,-0.041697,-0.29006,-0.039943,0.088231,-0.076101,0.034212,-0.29665,-0.27208,-0.036257,0.041801,-0.15878,-0.32043,-0.31521,-0.2547,-0.35865,-0.30068,-0.47742,-0.39525,-0.20532,-0.12001,-0.032339,-0.025922,-0.18432,-0.11797,-0.11522,0.12057,-0.31236,0.14825,-0.093011,0.049694,-0.25317,-0.030092,-0.011625,0.15547,0.19187,0.0066336,0.3141,0.11915,-0.064385,-0.19149,0.00013713,-0.071871,-0.10267,-0.14234,0.18731,-0.19161,0.41298,0.38134,0.083014,-0.010627,0.23321,0.14497,0.22473,0.1497,-0.062723,0.099311,0.052786,-0.076354,0.23695,0.38805,-0.027857,0.13427,0.41681,0.12605,-0.11209,0.17338,-0.003594,0.14985
14,0.27435,0.29456,0.30844,0.2405,0.30209,0.2185,0.21968,0.18453,0.41314,0.27373,0.26931,0.24333,0.072482,0.15453,1,0.28688,-0.13957,0.24711,0.10622,-0.014545,-0.05171,0.20593,0.018937,0.069197,0.068414,0.071859,0.15231,0.031971,0.15737,-0.16217,-0.081929,-0.23951,-0.21715,0.25018,0.067845,-0.15906,-0.1846,0.11264,-0.0077184,-0.18216,0.1769,0.21968,-0.062208,0.0023133,-0.28875,-0.017267,-0.0030875,-0.14803,-0.17269,0.046776,-0.091291,0.10332,0.17166,0.18226,-0.14313,0.0014283,-0.11466,0.11691,0.023156,-0.16755,-0.10943,0.07116,-0.12011,0.44068,0.096149,0.051792,0.22288,-0.1655,0.063149,0.24163,0.151,-0.070137,-0.19471,-0.074377,0.0028278,-0.087674,0.018587,0.021104,0.23599,-0.04245,0.14176,0.17112,0.016795,0.047807,0.024546,0.056468,-0.19644,0.028302,0.14115,0.16414,0.0035845,0.012202,0.24792,0.038102,0.13562,-0.014979
15,0.50495,0.54815,0.5268,0.51977,0.55721,0.59031,0.41098,0.56278,0.53274,0.37304,0.35195,0.36042,0.36365,0.4406,0.28688,1,0.12502,0.3011,0.065523,0.27249,-0.087135,0.036448,-0.055819,-0.031549,0.12853,0.031822,0.15858,-0.072153,0.11827,-0.13849,-0.20351,-0.23905,-0.26715,0.1952,-0.081761,-0.30976,-0.4159,-0.011845,-0.15441,-0.30379,-0.28675,-0.16409,-0.10901,-0.32652,-0.47913,-0.28842,0.23133,-0.015824,-0.14285,-0.068356,-0.18823,-0.027592,-0.023404,0.14529,-0.082319,-0.029197,0.034596,0.12674,-0.051663,-0.016483,0.037529,-0.036515,0.015604,0.20919,0.077819,0.14541,0.14761,-0.066303,0.053557,0.10474,0.24597,0.041844,0.032106,-0.25653,0.037347,0.049838,-0.084358,0.36361,0.1243,0.24053,0.01968,0.0057958,0.065991,-0.039955,-0.064547,-0.0032498,0.063465,0.23098,-0.026918,0.087878,0.16226,-0.0032372,-0.002175,0.20682,0.13666,0.09849
16,0.2864,0.10558,0.19313,0.32572,0.12586,0.12517,0.33311,0.20233,0.12844,0.10483,0.042649,-0.065105,0.1379,0.26424,-0.13957,0.12502,1,0.29379,0.11755,-0.02116,0.25224,0.08215,0.040019,-0.051428,0.15201,0.017318,0.2188,0.13485,-0.11373,0.31745,0.12013,0.104,-0.056339,-0.026916,-0.32805,0.039185,0.17733,0.1848,-0.13347,-0.089975,-0.21256,0.10823,-0.088493,-0.092665,0.085053,-0.14405,-0.015054,0.012442,0.16668,-0.092142,0.16406,0.072785,-0.087847,-0.1207,-0.23981,-0.13335,0.0058765,-0.12168,0.012179,-0.36351,-0.10896,0.064817,-0.052467,-0.25312,-0.023429,0.26168,-0.063345,0.15597,-0.19452,-0.032027,-0.067303,0.11787,-0.069447,-0.18624,0.26574,-0.067438,0.011413,0.32331,0.39633,0.072827,-0.021914,-0.0035789,0.055269,0.20478,-0.031122,0.10385,0.013352,0.041917,-0.076631,0.0031819,0.30065,-0.10449,0.13088,0.16413,0.053938,-0.22247
17,0.40379,0.43291,0.36473,0.496,0.42224,0.37383,0.42966,0.42744,0.36551,0.48288,0.3968,0.15278,0.11326,0.43194,0.24711,0.3011,0.29379,1,0.028233,0.1512,0.066021,0.0087306,-0.1433,0.1066,-0.12786,0.021517,0.20939,0.10006,0.15275,-0.03399,-0.0020264,-0.12289,-0.30095,0.1485,-0.12915,-0.40243,-0.024304,0.010964,0.053206,-0.23689,-0.11777,-0.093615,0.012402,-0.052807,-0.22728,-0.20005,-0.095347,0.053301,-0.13843,-0.23861,-0.00013344,-0.020318,-0.20817,0.071008,-0.20689,0.11631,-0.06945,-0.018118,0.061159,-0.24031,-0.31169,0.025912,-0.036535,-0.031186,0.14745,0.10528,0.053333,-0.38211,-0.10093,0.025703,0.025353,-0.064764,-0.016463,-0.11901,0.27206,0.16812,-0.19262,0.17851,0.18395,0.058402,0.048099,0.088201,0.14471,0.059288,-0.1501,0.08089,0.15476,0.24986,0.12034,-0.11273,0.1552,-0.16157,0.14257,-0.00032227,-0.0038174,-0.065021
18,0.37827,0.27209,0.29518,0.3237,0.42974,0.28471,0.25307,0.12122,0.25084,0.10543,0.25831,0.13724,0.23366,0.24654,0.10622,0.065523,0.11755,0.028233,1,0.029843,0.181,0.13764,-0.11607,0.069701,0.14561,0.075999,0.21463,0.014291,-0.1521,0.070288,-0.0031758,0.074538,-0.069708,-0.129,-0.076149,0.18128,-0.03349,-0.053638,-0.24492,-0.27393,-0.12979,0.0014856,-0.18319,-0.25354,-0.298,-0.16514,-0.2597,0.03019,0.009891,-0.011886,0.024934,0.11456,0.0056258,0.00041476,-0.11248,0.30216,0.014395,0.0085116,-0.11156,0.097196,0.0059571,0.085907,-0.052422,-0.0036099,0.24931,-0.21864,-0.11367,0.096894,0.14105,0.034764,-0.14168,0.028249,-0.15526,-0.14951,0.3115,0.090077,0.32157,-0.1885,0.18509,-0.20383,0.29705,-0.13113,0.0038866,0.063624,0.20265,0.023978,0.013142,0.18745,0.13118,0.34972,0.11842,0.19888,0.23992,0.22503,-0.15324,-0.24409
19,0.094963,0.10928,0.11257,0.083484,0.22093,0.045219,0.034662,0.16419,0.14903,0.22252,-0.08369,0.16188,0.044341,0.14106,-0.014545,0.27249,-0.02116,0.1512,0.029843,1,-0.067302,-0.29568,0.10462,0.45232,0.20554,0.29044,-0.034949,-0.29283,0.21224,0.12572,0.12975,-0.070303,0.20323,0.0005372,0.086206,-0.077476,0.17754,0.22276,0.11729,0.15641,0.014948,-0.0009483,-0.016552,-0.065676,-0.047281,-0.10496,-0.18422,0.19566,-0.080448,0.077902,0.018589,0.031571,-0.04484,0.16312,0.055949,0.014421,-0.27369,-0.029699,0.12731,0.13824,0.12683,0.047389,-0.097503,0.18187,-0.015585,-0.082331,-0.031174,-0.14602,-0.23122,0.12046,0.25392,0.25172,0.097206,-0.10539,0.087118,0.088276,-0.36273,0.10798,-0.087921,0.21657,0.29931,-0.16855,0.12317,0.012745,-0.03219,-0.048933,0.1465,0.024254,0.19136,0.13442,-0.20608,0.25697,-0.31945,0.001703,0.10028,-0.020046
