,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0.73198,0.73069,0.68458,0.75058,0.71209,0.61861,0.65328,0.45185,0.65323,0.50941,1,0.5211,0.45854,0.52928,0.54685,0.61434,0.40791,0.25216,0.034757,0.31904,0.30947,0.14718,-0.12087,0.09545,0.22356,-0.0031717,-0.034736,0.19875,-0.27995,-0.030586,0.051694,-0.17783,-0.12329,-0.27956,-0.19022,-0.037846,-0.14582,-0.14639,-0.25698,0.020171,-0.37833,-0.22372,-0.36579,-0.14517,-0.22191,-0.2129,-0.034493,-0.2658,-0.228,-0.19686,-0.0047464,-0.16262,-0.066332,-0.14853,-0.30399,0.0073534,-0.024485,-0.090881,-0.1723,-0.093897,-0.032061,0.0072359,0.069244,-0.14693,0.16513,-0.019967,0.11977,-0.033117,-0.30805,-0.13679,-0.11625,0.14115,-0.046529,-0.19242,0.096606,-0.1041,0.37118,-0.15212,0.13019,0.015116,0.13032,-0.071433,0.17783,-0.19458,0.022281,0.058942,0.1756,0.14907,0.58259,0.12602,0.10138,0.15893,0.03445,0.039203,-0.078627,0.22712,-0.024218,-0.022112,-0.36517,0.27034
11,0.66249,0.49259,0.63609,0.58362,0.55724,0.46893,0.58055,0.54339,0.47199,0.45892,0.5211,1,0.32705,0.38027,0.43297,0.37685,0.49588,0.33707,-0.15097,0.28848,0.1397,0.30877,-0.12922,0.035736,-0.11634,-0.11086,-0.033843,-0.1966,-0.25706,0.01351,-0.15718,-0.045519,-0.0070223,-0.045459,-0.40467,0.0027753,-0.36739,-0.050947,-0.013488,-0.054633,-0.35056,-0.35004,-0.34203,-0.095469,-0.28264,-0.1843,-0.19366,-0.26352,-0.065797,-0.077258,-0.045123,-0.13305,-0.25016,-0.21406,-0.21131,-0.25854,0.079348,-0.096505,-0.00031903,0.0079963,0.12743,-0.20373,0.10627,0.0095926,-0.043466,-0.085578,0.14089,-0.2092,-0.23063,0.10083,-0.27332,0.016596,0.048317,-0.25789,0.076403,-0.34165,-0.041396,-0.096907,0.17053,-0.11351,0.11874,-0.036534,0.1187,-0.1294,0.19885,0.10598,0.039989,0.063421,0.34232,0.25771,-0.1416,0.032482,-0.061094,-0.081225,-0.18451,0.26624,-0.0049284,0.19247,-0.18035,0.23235
12,0.46791,0.43121,0.46329,0.53557,0.47364,0.55985,0.48725,0.46027,0.41633,0.63911,0.45854,0.32705,1,0.37471,0.47651,0.28709,0.36087,0.45473,0.050787,0.075627,0.42562,0.042193,-0.042438,-0.10055,-0.099295,0.096493,-0.19198,0.087492,-0.29518,-0.12927,-0.08802,0.084117,-0.19786,-0.32134,-0.27265,0.05549,-0.19264,-0.18965,-0.078294,0.16754,-0.19172,-0.24394,-0.17661,-0.041136,-0.25328,-0.3636,0.068234,-0.32753,-0.09676,-0.18539,0.053631,-0.27094,-0.26839,-0.1325,-0.11673,0.0035579,-0.33253,0.075392,0.072885,0.10365,0.23874,-0.094767,0.014956,-0.10757,0.037964,-0.16611,0.0080909,-0.18365,-0.17899,-0.074432,0.11027,0.017123,0.077759,0.017525,-0.045218,-0.24479,0.087241,-0.26834,0.14943,0.061408,0.13919,-0.047543,0.20534,-0.27693,0.04822,0.39255,0.10077,0.21092,0.13785,0.26238,0.040766,0.14529,-0.17803,0.13444,-0.036187,0.12053,0.14027,0.15539,-0.22531,0.17031
13,0.63546,0.7524,0.69989,0.50426,0.56671,0.5969,0.56877,0.52309,0.5891,0.50752,0.52928,0.38027,0.37471,1,0.60744,0.33366,0.50779,0.52129,-0.1293,0.079958,0.18619,0.3178,-0.034319,0.1477,-0.0044474,0.033019,-0.056359,0.10258,-0.16107,-0.059326,-0.0033722,-0.19543,-0.10416,-0.29644,-0.067868,0.18276,-0.049474,-0.14656,-0.11882,0.12643,-0.26365,-0.3178,-0.36849,-0.2062,-0.37371,-0.1691,-0.18274,-0.33326,0.055028,-0.27925,-0.26476,-0.10297,-0.15349,-0.20535,-0.23245,-0.13034,-0.19314,-0.057734,0.1647,0.020076,0.2094,0.12398,0.17557,-0.25382,0.071385,-0.22319,0.065181,0.10712,-0.13736,-0.044085,-0.1696,0.1506,0.044941,-0.07097,-0.076647,-0.038676,0.16406,-0.036144,0.1058,0.098529,0.04212,-0.30581,0.12226,-0.24067,-0.014528,0.086971,0.11302,0.29877,0.47214,0.15248,0.11854,0.25795,-0.044455,0.098389,0.18896,0.20316,0.08858,0.085789,-0.21912,0.13865
14,0.59699,0.72343,0.74155,0.60468,0.51563,0.53401,0.56066,0.60503,0.61441,0.51712,0.54685,0.43297,0.47651,0.60744,1,0.42028,0.35064,0.35243,-0.13682,0.051734,0.12025,0.23269,-0.1758,0.045647,0.056703,-0.18793,-0.15937,0.086796,-0.2797,-0.0058004,-0.029579,-0.012673,-0.11609,-0.077275,-0.19785,0.18097,-0.12287,-0.13102,-0.047535,0.046934,-0.42787,-0.31737,-0.45249,-0.12844,-0.26045,-0.48322,-0.23249,-0.43462,-0.16324,-0.25657,-0.12602,-0.29657,-0.16193,-0.1949,-0.31642,-0.14748,-0.12938,0.039075,0.12314,0.10431,0.21464,0.12508,-0.028161,-0.35096,-0.0080524,-0.13198,0.0076591,-0.029137,-0.11543,-0.20848,0.012956,0.095905,-0.014892,-0.14797,0.021972,-0.079196,0.19825,-0.060879,0.1209,-0.25321,0.1959,-0.048226,-0.010747,-0.27393,0.016179,0.22966,0.28392,0.22245,0.40475,0.033593,-0.19153,0.0034887,-0.13587,-0.041797,0.085449,0.3238,-0.030111,0.14269,-0.055722,0.21526
15,0.53988,0.56753,0.5068,0.52925,0.58103,0.48868,0.39701,0.45594,0.41892,0.39151,0.61434,0.37685,0.28709,0.33366,0.42028,1,0.13486,0.2215,0.070265,0.14394,0.14629,0.18263,0.085878,0.22532,0.27181,-0.076129,-0.10899,0.12758,-0.14658,-0.16537,-0.062232,0.10339,-0.11337,-0.2864,-0.34988,0.023085,-0.31141,-0.11681,-0.083928,-0.0238,-0.063365,-0.1518,-0.29139,-0.13977,-0.27982,-0.23301,-0.034048,-0.17942,-0.3159,-0.10687,-0.20394,-0.36828,-0.084905,0.010545,-0.19736,0.014471,-0.22195,-0.053938,0.16022,0.063069,0.1165,-0.10065,-0.021476,-0.25583,-0.0091711,0.11613,0.12666,0.10337,-0.23426,-0.097552,-0.13231,-0.11568,0.088868,-0.077116,-0.060841,-0.13241,0.22562,-0.044904,0.162,-0.19183,-0.028074,0.0012332,0.022643,-0.44921,0.027034,-0.17618,0.09639,0.17552,0.29252,-0.25429,0.031628,-0.0023411,0.027117,-0.14106,0.077328,0.17902,-0.18145,0.073763,-0.20637,0.18708
16,0.48717,0.4628,0.48175,0.45001,0.38687,0.38339,0.44948,0.33829,0.35801,0.39541,0.40791,0.49588,0.36087,0.50779,0.35064,0.13486,1,0.28082,-0.14403,0.14115,0.21813,0.05341,-0.17873,0.11798,-0.10173,0.055091,0.054763,0.089412,-0.186,0.25853,0.13787,-0.033213,-0.23081,-0.13543,-0.082103,0.029698,-0.044162,0.057247,-0.050754,0.16811,-0.23113,-0.15486,-0.16067,-0.096323,-0.28654,-0.055368,-0.27386,-0.22541,0.13301,-0.15377,0.0088048,0.043333,-0.054354,-0.085755,-0.10966,-0.092214,-0.089164,-0.2171,0.1162,-0.063954,-0.02215,-0.15895,0.10227,0.023464,0.2299,-0.1534,0.1438,-0.0074152,-0.2905,0.013663,-0.18885,0.11826,-0.026733,0.041088,0.0081348,-0.24576,0.13075,-0.23999,0.23427,0.13591,0.046975,-0.33463,0.026885,-0.20574,0.33435,0.37256,-0.03055,-0.020441,0.5093,0.1965,-0.034317,0.044045,-0.28327,0.18492,0.28462,0.082758,-0.12247,0.10991,-0.21336,-0.026408
17,0.32744,0.39005,0.41033,0.3085,0.17504,0.36058,0.36782,0.24435,0.32004,0.31523,0.25216,0.33707,0.45473,0.52129,0.35243,0.2215,0.28082,1,-0.078709,0.10277,0.155,0.018628,-0.12387,-0.037187,-0.11425,0.10981,-0.043916,-0.095957,-0.13187,0.14261,0.082412,-0.11686,-0.1063,-0.1746,0.066,0.057866,-0.20792,-0.050963,-0.21096,0.072867,-0.054016,-0.29936,-0.13602,-0.26382,-0.3651,-0.13743,-0.040189,-0.38837,-0.048225,-0.34827,-0.081447,-0.24806,-0.21593,-0.13105,-0.091206,-0.082622,-0.1044,-0.030797,-0.012125,0.16375,0.27632,0.1691,0.25722,-0.26834,-0.086102,-0.13438,-0.048041,-0.071038,-0.1404,-0.15578,-0.0509,-0.023803,0.38981,-0.081889,-0.067817,-0.13027,0.057831,0.13617,-0.0020109,0.069637,-0.022253,-0.29066,0.039174,-0.024367,0.094768,0.087889,0.07414,0.082719,0.2261,0.3054,0.11634,0.064515,0.15461,-0.089074,0.14797,0.071093,0.12874,0.089724,-0.22907,0.19596
18,-0.067888,-0.09813,-0.20175,-0.039884,0.046904,-0.086076,-0.17842,-0.056424,0.00085972,-0.085889,0.034757,-0.15097,0.050787,-0.1293,-0.13682,0.070265,-0.14403,-0.078709,1,-0.15019,-0.067774,-0.047084,0.04916,-0.038494,-0.019265,-0.046808,0.13621,0.22787,0.19417,-0.13202,-0.10185,-0.21361,0.022849,-0.10046,-0.2957,-0.026874,0.084953,-0.19639,0.1606,0.27923,0.24298,0.34288,-0.13282,-0.28765,0.078029,0.18456,0.11265,0.011154,0.067562,0.044397,0.20016,0.037959,0.19514,-0.036206,-0.2116,0.028554,-0.016871,0.24688,-0.071478,-0.010485,-0.043734,-0.027565,-0.28247,-0.093608,0.23049,0.035078,-0.16709,-0.15249,0.012615,0.28372,0.20818,0.13247,0.19031,-0.025469,0.35721,0.15953,0.048645,-0.1929,-0.076413,-0.014214,-0.0074888,0.023595,0.057282,-0.2235,0.012404,-0.054634,-0.25736,0.094595,-0.092576,-0.16519,0.053378,0.22194,-0.27436,0.31718,0.13152,-0.095247,0.079609,0.31209,0.095613,0.0039234
19,0.26406,0.27037,0.28728,0.18633,0.32277,0.25414,0.43944,0.18285,0.32703,0.16735,0.31904,0.28848,0.075627,0.079958,0.051734,0.14394,0.14115,0.10277,-0.15019,1,0.21664,0.15927,-0.018202,0.13569,0.21804,-0.078678,-0.037284,-0.0046044,-0.088318,0.20817,-0.20642,-0.20922,-0.049857,-0.083076,-0.097648,-0.016967,-0.13489,0.18497,-0.14433,-0.041561,-0.060949,-0.24082,-0.28242,0.0046383,-0.15732,-0.11475,-0.11005,-0.19969,-0.10939,0.13129,0.19018,-0.097142,-0.17973,-0.046198,-0.059846,0.14394,0.10712,0.22505,0.043614,0.21259,0.11408,-0.14473,0.12641,0.048782,0.10194,-0.098637,0.11353,-0.15157,-0.18732,0.07802,0.13615,0.18013,-0.20231,0.076114,-0.16411,-0.20089,-0.0781,0.16586,-0.10486,0.11664,-0.23068,0.08852,0.22117,0.072398,0.10392,0.26062,0.063263,0.11365,0.19966,0.098655,0.17448,-0.092219,0.0070541,0.20193,0.31827,-0.12554,0.051701,-0.18739,-0.23373,0.22251
