,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
10,0.84462,0.87707,0.83521,0.87299,0.85428,0.84577,0.82981,0.82933,0.85677,0.83418,1,0.83153,0.80695,0.85043,0.83506,0.82356,0.80917,0.87299,0.8069,0.75599,0.81037,0.7375,0.66637,0.59299,0.78897,0.79479,0.70654,0.7921,0.6859,0.58001,0.50903,0.58671,0.57884,0.38868,0.48415,0.64579,0.43145,0.51265,0.51893,0.29643,0.28409,0.24042,0.16177,0.2986,0.049828,0.038427,0.14792,0.021404,0.16279,-0.20534,-0.10217,-0.079081,-0.017075,-0.11453,-0.33462,-0.036333,-0.037005,0.11772,-0.33137,-0.23291,-0.20095,-0.23987,-0.1248,0.15337,0.097837,0.13485,-0.20504,-0.2945,-0.19765,-0.19433,0.18468,-0.24343,0.048542,-0.072331,-0.11153,0.050339,0.16412,-0.046568,-0.089765,-0.071459,-0.16325,-0.22108,-0.034697,0.066618,-0.15291,-0.098386,-0.21605,0.051651,0.21059,0.15268,0.12329,0.012869,0.11999,0.0079802,0.091024,-0.12248,0.16516,-0.30206,0.0025114,0.21335,-0.22796,-0.10672,0.073157,0.096919,0.23122,-0.20144,0.046872,-0.024485,-0.21249,0.13457,-0.087649,-0.032605
11,0.81187,0.83534,0.81132,0.8296,0.75003,0.87835,0.84304,0.80078,0.82989,0.83552,0.83153,1,0.82006,0.76967,0.8032,0.8296,0.84844,0.82995,0.76705,0.70628,0.71688,0.74803,0.69791,0.65089,0.74311,0.74712,0.67184,0.79658,0.62267,0.60737,0.46428,0.55399,0.53386,0.56026,0.424,0.65163,0.46631,0.47791,0.44768,0.26791,0.33587,0.25151,0.10925,0.26944,0.145,0.072332,0.15084,-0.046748,0.19212,-0.23026,-0.026412,0.039307,0.053171,-0.035797,-0.16389,-0.081508,-0.23607,-0.056649,-0.28627,-0.1238,-0.24835,-0.14969,-0.045615,0.030363,0.12355,0.204,-0.19132,-0.30979,-0.32468,-0.17889,0.17195,-0.043734,0.0040349,-0.029453,-0.068694,0.099173,0.099348,-0.13746,-0.21007,-0.22347,-0.086606,-0.051245,-0.12864,0.19998,-0.27183,-0.085554,-0.067462,-0.079198,0.14487,0.24796,0.092894,-0.067319,0.079748,0.11909,0.073764,-0.11231,0.23178,-0.2273,-0.00044194,-0.02896,-0.08841,-0.13861,0.011858,0.1788,0.24508,-0.014458,-0.017448,-0.028244,-0.21323,0.066187,0.0036509,-0.070533
12,0.85148,0.88222,0.84197,0.87562,0.83578,0.85349,0.84503,0.83202,0.87757,0.84394,0.80695,0.82006,1,0.79963,0.81205,0.82012,0.76267,0.75608,0.78764,0.7838,0.63084,0.73997,0.70305,0.67774,0.73572,0.72626,0.69334,0.79449,0.62206,0.64334,0.46792,0.55526,0.48296,0.52469,0.4725,0.63911,0.49788,0.53977,0.42204,0.22083,0.34146,0.30124,0.1241,0.15122,0.035537,0.19242,0.26924,-0.051835,0.30865,-0.12598,-0.10869,0.010076,0.07365,0.089838,-0.1857,-0.06678,0.07115,0.0022085,-0.36303,-0.24451,-0.29434,-0.0752,-0.1719,-0.099357,0.13322,0.1976,-0.14819,-0.28517,-0.30818,-0.33909,0.24865,-0.23901,-0.014411,-0.081984,-0.05983,0.22122,-0.020131,-0.16731,-0.039229,-0.2079,0.031205,-0.1377,-0.053788,0.19725,-0.20543,-0.080209,-0.17402,0.015762,0.19162,0.14954,0.087265,-0.038486,0.14823,0.10559,0.11666,-0.14423,0.076136,-0.15615,0.027102,0.044573,-0.2578,0.043166,0.011668,0.13651,0.27161,-0.071385,-0.059714,0.10134,-0.17719,0.11617,-0.06783,-0.05537
13,0.90244,0.83016,0.79817,0.84344,0.86499,0.85109,0.82386,0.88695,0.86149,0.85617,0.85043,0.76967,0.79963,1,0.80769,0.82162,0.71764,0.78037,0.78732,0.74073,0.73805,0.77037,0.63172,0.68536,0.79644,0.78683,0.68082,0.82865,0.61414,0.5799,0.47068,0.59628,0.42081,0.377,0.42986,0.65223,0.48853,0.52757,0.3626,0.32748,0.29153,0.33064,0.11996,0.26253,0.071525,0.17047,0.19704,0.05689,0.34328,-0.20719,0.12237,-0.0067305,-0.019739,-0.079262,-0.2724,-0.037086,-0.0081173,0.11072,-0.30896,-0.25707,-0.112,-0.22908,-0.15975,0.041638,0.11457,0.0066814,-0.24253,-0.3199,-0.36702,-0.34287,0.18634,-0.29749,-0.0012705,-0.11932,-0.017926,0.075088,0.051818,0.044573,0.0091113,-0.1022,-0.033062,-0.14422,0.071281,0.17072,0.0043362,-0.12636,-0.18216,-0.052178,0.19653,0.046675,0.21316,4.1739e-06,0.055179,0.082655,0.2558,-0.1061,0.14704,-0.11968,0.17702,0.1779,-0.25107,-0.035726,0.1362,0.14362,0.42013,-0.0963,-0.036965,0.010062,-0.24163,0.18142,-0.1698,-0.073535
14,0.82901,0.84752,0.83163,0.79302,0.83773,0.85293,0.8644,0.82688,0.8803,0.84759,0.83506,0.8032,0.81205,0.80769,1,0.80046,0.82375,0.82165,0.74094,0.77691,0.73518,0.70856,0.64184,0.61472,0.7533,0.72133,0.68054,0.70261,0.59207,0.58252,0.51256,0.60482,0.50707,0.46629,0.52623,0.45037,0.60132,0.49932,0.42715,0.24652,0.3228,0.37845,0.05567,0.25228,-0.056283,0.087124,0.28544,-0.13434,0.30544,-0.26346,-0.034032,0.013542,0.096032,-0.081977,-0.29624,0.040585,-0.062288,0.090247,-0.13986,-0.17953,-0.23266,-0.23449,-0.21341,-0.007801,0.021004,0.19337,-0.10082,-0.17209,-0.32604,-0.27232,0.2262,-0.14415,-0.13714,-0.059775,-0.0012118,0.10094,0.028934,-0.096181,-0.21679,-0.15158,-0.11417,-0.098183,-0.087918,0.23649,-0.087321,-0.15761,0.0072759,0.02958,0.21935,0.064362,0.058003,-0.10792,0.15224,-0.051743,0.14531,-0.036264,0.14402,-0.18579,-0.022976,0.15848,-0.27831,-0.027112,0.067291,0.21155,0.32121,-0.13576,-0.20159,-0.077193,-0.31578,0.14762,-0.039658,-0.077328
15,0.82669,0.81641,0.78865,0.84276,0.79411,0.83238,0.83448,0.80524,0.85432,0.86659,0.82356,0.8296,0.82012,0.82162,0.80046,1,0.74144,0.7643,0.84729,0.70496,0.67384,0.78038,0.66369,0.65763,0.74983,0.74824,0.70218,0.79902,0.60151,0.56137,0.58841,0.61626,0.46094,0.5208,0.41806,0.6325,0.47837,0.54939,0.49659,0.18556,0.44499,0.28642,0.14161,0.089527,0.10619,0.16219,0.17306,0.062633,0.27157,-0.31533,-0.071183,-0.018377,0.098089,0.10452,-0.29663,-0.052645,-0.032325,0.015124,-0.38759,-0.20936,-0.20339,-0.16369,-0.02851,0.13684,-0.020254,0.128,-0.099136,-0.2263,-0.23652,-0.14742,0.23185,-0.1463,-0.010055,-0.044361,-0.10383,0.10752,0.084194,-0.15821,-0.16854,-0.18443,-0.031523,0.016361,0.009763,0.13995,-0.13159,-0.20281,-0.16804,-0.00023222,0.19536,0.20582,0.061047,-0.020554,0.29809,-0.017596,0.12038,-0.03342,0.15219,-0.22765,0.017273,-0.042826,-0.27318,-0.13631,0.061003,0.13576,0.17056,-0.084096,-0.10163,0.10097,-0.22363,0.19456,-0.077571,-0.12057
16,0.79746,0.81261,0.81452,0.81211,0.78766,0.81129,0.86291,0.80986,0.84842,0.83874,0.80917,0.84844,0.76267,0.71764,0.82375,0.74144,1,0.86039,0.75381,0.63149,0.74946,0.81399,0.72489,0.62319,0.73687,0.76514,0.73361,0.67977,0.68459,0.59071,0.51638,0.52439,0.58829,0.47115,0.43391,0.54223,0.43838,0.53982,0.48042,0.19765,0.30494,0.21613,0.19968,0.19654,0.019995,0.039764,0.18681,-0.0035705,0.22492,-0.16809,-0.11997,0.14417,0.049039,-0.093181,-0.16785,0.034111,-0.21389,0.082931,-0.31305,-0.026801,-0.24404,-0.18195,-0.055205,-0.022555,0.13427,-0.0067126,-0.13191,-0.15171,-0.30922,-0.23822,0.19698,-0.072706,-0.10225,-0.016696,0.055929,0.069,-0.032196,-0.047976,-0.21129,-0.13686,-0.093574,-0.16988,-0.061707,0.19763,-0.11024,-0.25635,-0.10003,-0.070122,0.28194,0.11599,0.02886,-0.08241,0.10269,0.078058,0.049991,-0.1035,0.019194,-0.15165,0.01252,0.16202,-0.14961,-0.185,0.00061853,0.26688,0.28564,-0.095001,-0.18922,0.0386,-0.030015,0.098858,-0.024835,0.040668
17,0.83264,0.7998,0.84052,0.82771,0.83087,0.8311,0.80791,0.81345,0.81842,0.8182,0.87299,0.82995,0.75608,0.78037,0.82165,0.7643,0.86039,1,0.76127,0.70587,0.74187,0.75228,0.65652,0.57856,0.74779,0.75489,0.68371,0.75317,0.65191,0.66797,0.51654,0.47726,0.53688,0.44397,0.36731,0.57908,0.36982,0.45265,0.50124,0.21276,0.1612,0.20952,0.13634,0.27944,0.047361,0.011574,0.084307,-0.058561,0.15528,-0.21249,-0.10834,-0.0065371,-0.014435,-0.15891,-0.16928,-0.058921,-0.17242,0.18588,-0.24334,-0.1945,-0.20053,-0.21578,-0.099753,0.11109,-0.01896,0.12591,-0.18747,-0.24482,-0.18112,-0.37347,0.11658,-0.18696,0.0013154,-0.12274,-0.041735,0.031914,0.062002,-0.0020433,-0.14865,-0.16476,-0.044607,-0.10462,-0.070008,-0.04259,-0.18111,-0.19705,-0.060203,0.005155,0.16312,0.15713,0.07543,-0.1068,0.13839,0.029934,7.539e-05,-0.072616,0.083367,-0.1045,-0.0044161,0.20858,-0.21814,-0.20595,0.12823,0.20196,0.2893,-0.15846,-0.10556,-0.039926,-0.16972,0.087465,0.034988,-0.040611
18,0.8227,0.78007,0.8127,0.86419,0.80879,0.8069,0.89085,0.81643,0.84947,0.84555,0.8069,0.76705,0.78764,0.78732,0.74094,0.84729,0.75381,0.76127,1,0.65755,0.67836,0.77459,0.66846,0.65273,0.69061,0.79652,0.72435,0.70711,0.59578,0.6352,0.44894,0.60317,0.43789,0.43666,0.48281,0.58136,0.39643,0.6483,0.37938,0.12796,0.34233,0.19156,0.1277,0.080166,-0.041192,0.10893,0.17535,0.033632,0.2592,-0.25804,-0.0955,0.065843,-0.031499,0.0073242,-0.25722,-0.028296,-0.045639,-0.060434,-0.31602,-0.2056,-0.20898,-0.043663,-0.087423,-0.0071657,0.063323,0.10468,-0.15889,-0.21405,-0.15574,-0.18711,0.13886,-0.14123,0.013324,0.013157,-0.11521,-0.048604,0.087616,-0.065872,-0.027129,-0.25297,-0.084043,-0.015628,0.029566,0.1691,-0.098696,-0.20365,-0.2766,-0.018774,0.1917,0.14734,0.082046,-0.19231,0.23966,-0.090854,0.021241,-0.12236,0.14117,-0.15624,-0.02234,0.018437,-0.25649,-0.087159,-0.00034691,0.20802,0.10338,-0.20115,-0.17323,0.13873,-0.12817,0.36507,-0.13815,-0.072851
19,0.76824,0.73273,0.7464,0.80994,0.75355,0.77293,0.68698,0.74079,0.75423,0.76254,0.75599,0.70628,0.7838,0.74073,0.77691,0.70496,0.63149,0.70587,0.65755,1,0.50322,0.59144,0.56223,0.45852,0.61783,0.60508,0.5653,0.71818,0.53977,0.37468,0.35947,0.54632,0.50348,0.44893,0.28012,0.49137,0.51619,0.44016,0.37916,0.33768,0.33616,0.36672,0.10524,0.14429,0.15967,0.089773,0.24789,-0.23179,0.18648,-0.19926,-0.06175,-0.17134,-0.082263,0.016124,-0.20161,-0.19785,0.13964,0.10879,-0.094537,-0.32758,-0.27829,-0.22787,-0.40858,-0.093702,-0.0064099,0.22518,0.054509,-0.32454,-0.36228,-0.37341,0.26493,-0.13583,-0.0033114,-0.084904,-0.18874,0.10034,0.036905,-0.15851,-0.16262,-0.080056,-0.085331,-0.19632,-0.091135,-0.00019124,-0.27226,0.089759,-0.14993,-0.032582,0.17588,0.19388,0.26056,-0.097488,0.14936,-0.079698,0.21121,0.010169,0.25609,-0.22344,-0.040848,0.16986,-0.20716,0.024728,0.040111,0.089852,0.25573,-0.13367,-0.044888,0.02348,-0.29156,0.075154,-0.027353,-0.014876
