,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,0.87018,0.79777,0.85531,0.8335,0.78466,0.87556,0.82334,0.80116,0.82249,0.73531,1,0.85958,0.82953,0.80477,0.83135,0.75603,0.77938,0.84716,0.75418,0.75072,0.68805,0.69339,0.81267,0.76214,0.75201,0.69451,0.68024,0.6532,0.64752,0.71565,0.67855,0.42288,0.4139,0.68732,0.2744,0.50217,0.4716,0.3741,0.49619,0.25956,0.42646,0.3348,0.39775,0.12319,0.21363,0.35953,0.11146,0.059261,0.24014,0.30298,0.2644,0.10085,0.11651,0.13516,0.058037,-0.047404,0.20597,-0.2553,-0.38548,0.070903,0.0052436,0.053625,-0.11855,-0.15128,-0.13402,-0.16067,-0.081512,-0.12356,-0.11184,-0.014618,-0.048465,-0.11741,-0.27043,-0.19182,-0.32043,0.17788,-0.02461,-0.058604,0.18725,-0.18253,-0.16387,-0.16799,0.0093916,-0.090263,-0.063433,-0.22201,-0.28024,-0.22515,0.17359,-0.13529,0.10285,-0.11617,0.14382,-0.021777,0.16376,-0.094703,-0.045475,0.27286,-0.10878,-0.13785,0.024861,0.031154,0.018425,-0.19872,0.050588,0.12327,0.18693,0.095968,-0.078786,0.2192,0.069192,0.34779,0.062807,0.075769,0.38668,0.030896,0.1892,0.18764,-0.15585,-0.13803,-0.038452
11,0.87499,0.87992,0.90047,0.85581,0.85036,0.88615,0.88575,0.8446,0.89821,0.78875,0.85958,1,0.90466,0.81982,0.88386,0.78966,0.78902,0.8326,0.70255,0.78928,0.73684,0.79013,0.8224,0.81267,0.77036,0.73636,0.70032,0.62042,0.69121,0.67066,0.72158,0.39262,0.39073,0.66845,0.39095,0.50916,0.45738,0.40593,0.42992,0.18938,0.4483,0.39724,0.42809,0.061511,0.25625,0.38884,0.13112,0.13198,0.094614,0.26628,0.21176,0.024003,-0.016019,0.20392,-0.14086,-0.073908,0.16311,-0.27873,-0.38734,0.0035306,0.038265,-0.056392,-0.11611,-0.11096,-0.12818,-0.34613,-0.13765,-0.039951,-0.079363,-0.019454,-0.12433,-0.1305,-0.2063,-0.3042,-0.37615,0.041352,-0.22904,-0.065828,0.20459,-0.31167,-0.15313,0.00014183,-0.00056897,-0.014303,-0.073506,-0.24669,-0.25026,-0.16696,0.095755,-0.10184,0.027996,-0.17129,0.070315,-0.05598,0.11143,-0.038501,-0.047416,0.16331,-0.014043,-0.086756,0.01968,-0.086178,0.14234,-0.10947,-0.043758,0.068171,0.17154,0.078375,0.036282,0.22179,-0.042665,0.44479,0.0263,-0.0055394,0.34218,-0.0087457,0.23348,0.11043,-0.07253,-0.23902,-0.013584
12,0.85192,0.86763,0.89142,0.84604,0.85988,0.86198,0.87149,0.8403,0.88319,0.81593,0.82953,0.90466,1,0.81968,0.83071,0.78806,0.80533,0.86086,0.74597,0.78216,0.69317,0.71379,0.79116,0.77261,0.79243,0.76636,0.68284,0.66047,0.59386,0.71364,0.65289,0.4251,0.45661,0.6346,0.37641,0.44906,0.41491,0.41714,0.50854,0.27992,0.42142,0.3329,0.46486,0.056454,0.18995,0.38233,0.05603,0.079123,0.1686,0.33326,0.21813,0.031333,-0.012554,0.16582,-0.11055,-0.073673,0.16772,-0.29881,-0.3478,0.14498,-0.082499,0.066976,-0.11283,-0.050957,-0.16955,-0.29446,-0.051298,-0.069773,-0.021644,-0.078145,-0.12945,-0.18859,-0.26972,-0.35871,-0.26289,0.11187,-0.2053,-0.069092,0.16337,-0.3524,-0.13253,-0.05425,0.00094704,-0.024194,-0.15195,-0.246,-0.26925,-0.15551,0.10969,-0.1139,-0.057846,-0.14535,0.13738,-0.0037365,0.11218,-0.18991,-0.012511,0.11193,0.00079303,0.026777,0.036488,0.072941,0.19058,-0.1756,0.081301,-0.012056,0.13797,0.12272,0.063398,0.040976,-7.4286e-05,0.39647,-0.035588,0.0134,0.32313,-0.10822,0.29736,0.070748,-0.15663,-0.10764,-0.041853
13,0.87836,0.83487,0.87843,0.80939,0.78036,0.82232,0.75701,0.75994,0.80664,0.7829,0.80477,0.81982,0.81968,1,0.84047,0.74691,0.78149,0.74685,0.79514,0.81243,0.66028,0.74079,0.68974,0.74029,0.70918,0.73041,0.72966,0.71613,0.62706,0.67168,0.51197,0.43241,0.38746,0.58656,0.21367,0.6002,0.45171,0.34897,0.38477,0.11126,0.40533,0.18628,0.441,0.13241,0.23057,0.28445,0.087938,0.077778,0.12887,0.31914,0.29772,-0.048122,0.23408,0.044503,0.052814,-0.13417,0.2129,-0.17,-0.38255,0.14042,-0.032905,0.056026,-0.18854,-0.016366,-0.099346,-0.25173,-0.16236,-0.084544,-0.031398,0.024637,-0.021814,-0.11471,-0.31632,-0.19626,-0.1777,0.068291,0.034618,-0.011052,0.13742,-0.18416,-0.079935,-0.08873,0.065538,0.085421,-0.019722,-0.2515,-0.17038,-0.1483,0.013206,-0.18012,0.035191,-0.045495,0.0032499,-0.059314,0.070094,-0.075285,-0.04444,0.14719,-0.039097,-0.030095,0.26394,0.03379,0.061742,-0.054757,0.047115,-0.015716,0.22922,0.20789,-0.0223,0.2171,0.049852,0.4036,-0.052462,0.0045884,0.38623,-0.04726,0.15133,0.1356,-0.13895,-0.14251,-0.025339
14,0.84142,0.87594,0.89765,0.84468,0.77178,0.83401,0.84261,0.81773,0.8138,0.77259,0.83135,0.88386,0.83071,0.84047,1,0.77192,0.76214,0.827,0.71361,0.82552,0.70117,0.80813,0.80037,0.80328,0.74008,0.73119,0.70819,0.62953,0.58356,0.77232,0.70644,0.33253,0.46381,0.60998,0.1901,0.46672,0.44166,0.32652,0.32487,0.19445,0.41281,0.26836,0.34076,0.14227,0.2106,0.38006,0.1058,0.15962,0.10016,0.23533,0.29372,0.0044309,0.12291,0.17391,0.047871,-0.15393,0.25854,-0.12782,-0.36577,-0.041063,0.0075667,0.1007,-0.13737,-0.12282,-0.071627,-0.19116,-0.19264,0.013374,-0.13823,-0.15657,-0.098189,-0.0084972,-0.18947,-0.14423,-0.30984,0.0070482,-0.092866,-0.19955,0.14271,-0.34438,-0.19651,-0.049996,0.04067,0.0043278,-0.1382,-0.14092,-0.15541,-0.155,0.084626,-0.066418,-0.044544,-0.095664,0.020132,-0.052069,0.13311,-0.073861,-0.023148,0.18302,-0.013227,-0.066932,0.18991,-0.0043675,0.19742,-0.059284,-0.095702,0.005248,0.26827,0.14645,0.067083,0.35763,0.0044008,0.34919,-0.029781,0.20369,0.3805,-0.028982,0.24818,0.11641,-0.028871,-0.074773,-0.080605
15,0.82193,0.87605,0.86658,0.82246,0.84504,0.80415,0.8253,0.77625,0.7802,0.82825,0.75603,0.78966,0.78806,0.74691,0.77192,1,0.81239,0.81052,0.63754,0.65992,0.63336,0.7191,0.79782,0.73495,0.72275,0.74967,0.64123,0.68254,0.43968,0.82129,0.66622,0.40479,0.43328,0.63151,0.34122,0.4529,0.41319,0.46605,0.53607,0.30098,0.52753,0.23151,0.36018,0.15959,0.32805,0.29437,0.23499,0.031982,0.051081,0.042396,0.37349,0.034246,0.037334,0.13939,0.070244,-0.12659,0.14092,-0.19885,-0.45244,0.077685,0.039858,0.072739,-0.14095,-0.088015,-0.1176,-0.076153,-0.13038,-0.031317,-0.038492,-0.19679,-0.062852,-0.20411,-0.27409,-0.30244,-0.33244,-0.017854,-0.051273,-0.097101,0.10329,-0.19734,-0.24979,-0.0086113,-0.09786,-0.080898,-0.12682,-0.24691,-0.40613,0.061675,0.05393,-0.075692,0.03385,0.14756,0.14761,-0.12729,-0.042344,0.0052046,0.050366,0.080835,0.084638,-0.050957,0.062903,-0.011136,0.20452,-0.096373,0.092552,-0.03145,0.34092,0.063454,0.1068,0.31183,0.053054,0.52125,-0.13936,0.081109,0.31918,0.049406,0.12519,0.13136,-0.16405,-0.26688,-0.086109
16,0.83545,0.84361,0.83256,0.8684,0.77038,0.7496,0.80236,0.80564,0.78825,0.8343,0.77938,0.78902,0.80533,0.78149,0.76214,0.81239,1,0.71542,0.68286,0.67666,0.66366,0.69289,0.75092,0.74776,0.75724,0.73446,0.69259,0.65162,0.54574,0.71399,0.55963,0.42196,0.33619,0.67178,0.26881,0.41084,0.40441,0.39847,0.58155,0.16452,0.51688,0.26383,0.37133,-0.031581,0.2229,0.388,0.17092,0.03006,0.13845,0.2682,0.40561,-0.038634,0.048476,0.15299,0.11817,-0.045834,0.11042,-0.20507,-0.37743,0.087761,-0.012912,0.0952,-0.15134,-0.047166,-0.022868,-0.10037,-0.063725,-0.017189,-0.0070022,-0.20629,0.093751,-0.15598,-0.19254,-0.20037,-0.24865,-0.05989,-0.11695,-0.076311,0.098749,-0.25918,-0.16874,-0.14039,-0.024713,-0.025639,-0.084923,-0.16837,-0.29387,-0.022186,0.016432,-0.10878,-0.018908,-0.017968,0.15227,0.062395,-0.089849,0.03894,-0.072803,0.050391,-0.12345,-0.03401,0.18752,0.036023,0.25095,-0.14721,0.013922,-0.11405,0.11788,0.090101,-0.029284,0.24094,0.070517,0.42638,-0.013694,0.077183,0.31941,0.0020729,0.10258,0.096543,-0.12938,-0.3427,-0.018657
17,0.87018,0.83464,0.87151,0.81484,0.85896,0.85883,0.86753,0.80294,0.845,0.76756,0.84716,0.8326,0.86086,0.74685,0.827,0.81052,0.71542,1,0.67978,0.74703,0.65736,0.68057,0.82139,0.81402,0.70121,0.63931,0.68732,0.6349,0.55691,0.72708,0.68276,0.43123,0.38946,0.64438,0.28115,0.54981,0.48712,0.3602,0.42433,0.1997,0.4055,0.24063,0.32965,0.15791,0.24436,0.22951,0.16801,0.1436,0.093671,0.25008,0.24189,0.11411,0.035778,0.18569,-0.0066853,-0.13557,0.27612,-0.19056,-0.38224,0.020626,-0.065877,0.13457,-0.11546,-0.066876,-0.068195,-0.24718,-0.073363,-0.081282,-0.11397,-0.044047,-0.19345,-0.090105,-0.22403,-0.25785,-0.34601,0.25408,-0.070544,-0.075804,0.05207,-0.31928,-0.18462,-0.10224,-0.14588,-0.11764,-0.1824,-0.25324,-0.25751,-0.067911,0.056704,-0.051954,-0.0072071,-0.027202,0.098863,0.04613,0.06619,-0.14727,0.045375,0.25242,0.062188,-0.11696,0.052091,0.055338,0.11766,-0.11289,0.10794,0.063327,0.13256,0.13394,0.11535,0.26697,-0.088773,0.40627,0.086354,-0.0033525,0.29939,-0.012695,0.21351,0.18722,-0.027769,-0.10722,-0.088211
18,0.77683,0.76702,0.79185,0.78019,0.77086,0.75789,0.68764,0.77189,0.71474,0.75679,0.75418,0.70255,0.74597,0.79514,0.71361,0.63754,0.68286,0.67978,1,0.81464,0.64855,0.59221,0.67701,0.64286,0.6527,0.71768,0.60999,0.687,0.55747,0.62988,0.48805,0.22561,0.47221,0.56184,0.43275,0.41207,0.32682,0.37695,0.4267,0.30979,0.36781,0.22526,0.43922,0.11992,0.18184,0.40415,-0.011183,0.16446,0.23959,0.36373,0.29795,-0.017838,0.28007,0.02377,0.019163,-0.18394,0.10712,-0.19635,-0.13405,0.30535,0.0098107,0.15359,-0.14743,-0.24756,-0.032388,-0.26927,-0.1043,-0.10979,0.00086812,-0.026622,0.10909,-0.24243,-0.29908,-0.30241,-0.24648,0.18044,0.026326,-0.13513,0.12734,-0.19759,0.032928,-0.13266,0.034251,-0.0014965,-0.1099,-0.17767,-0.32898,-0.24219,0.13355,-0.091329,0.053011,-0.16055,0.1639,-0.084211,0.090338,-0.17896,0.045605,0.19556,0.0055293,-0.087882,0.18356,0.19361,-0.058814,-0.19459,-0.013463,0.072021,0.19339,-0.0077052,-0.070258,0.096457,-0.0091224,0.34238,0.0049849,0.0031803,0.36865,0.020681,0.14908,0.055351,-0.22336,-0.010058,0.060432
19,0.80166,0.81716,0.83942,0.81065,0.80405,0.7715,0.74124,0.81956,0.72121,0.70304,0.75072,0.78928,0.78216,0.81243,0.82552,0.65992,0.67666,0.74703,0.81464,1,0.7319,0.64764,0.74037,0.69785,0.70465,0.65715,0.59667,0.65717,0.54628,0.60347,0.58228,0.22377,0.35276,0.5731,0.27409,0.48533,0.42371,0.3339,0.31896,0.21744,0.20106,0.15828,0.329,0.26032,0.168,0.38313,-0.12316,0.17528,0.23105,0.36011,0.34369,0.018701,0.28297,0.041258,-0.071304,0.026895,0.25926,-0.14124,-0.15827,0.10018,-0.025114,0.22751,-0.20734,-0.17598,-0.095108,-0.34333,-0.089887,0.0095689,0.054381,0.019639,-0.013514,-0.16702,-0.21759,-0.30412,-0.30727,0.036354,-0.067134,-0.14265,0.10037,-0.2278,-0.082293,-0.10252,-0.068973,0.039996,-0.070596,-0.16229,-0.26113,-0.3521,0.080231,-0.1044,-0.038871,-0.095434,-0.028994,0.012915,0.0060611,-0.051691,-0.026478,0.14322,-0.062233,-0.057607,0.19552,0.13192,0.055234,-0.1514,-0.0073128,0.025503,0.21308,0.082472,-0.10745,0.13982,0.023125,0.34246,-0.091912,0.088258,0.31926,0.04423,0.14241,0.18518,-0.14195,-0.15311,0.074312
