,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
10,0.86786,0.81626,0.84969,0.82703,0.8646,0.83144,0.84957,0.80349,0.78755,0.79126,1,0.74328,0.85226,0.74179,0.74013,0.75972,0.75573,0.74289,0.66113,0.80181,0.70882,0.80781,0.71281,0.71905,0.76885,0.69469,0.61185,0.65411,0.48585,0.60999,0.74876,0.72507,0.4754,0.54706,0.44045,0.624,0.57642,0.16791,0.42378,0.39732,0.27915,0.33851,0.32194,0.021833,0.35063,0.39137,0.076054,0.16789,0.074987,0.075614,0.19194,0.0056633,0.10411,0.049569,-0.20287,-0.13732,0.10532,-0.057363,-0.069452,-0.098287,-0.079904,-0.26229,-0.10202,-0.15421,0.06226,-0.21356,-0.046103,-0.074644,-0.17333,-0.10214,-0.30841,0.10584,-0.17406,-0.23072,-0.26233,-0.20265,-0.43468,0.031551,-0.31482,0.1646,0.035475,-0.0071487,-0.29782,0.0043773,0.14249,-0.034925,0.048683,-0.15245,0.019998,-0.034468,-0.031353,-0.018571,0.14893,-0.32674,0.20993,0.17717,0.042345,-0.25636,-0.25554,0.14797,0.07012,0.068645,0.087956,-0.01209,-0.035523,0.12169,0.054851,0.064677,-0.26417,0.28377,0.18857,0.067128,0.018215,-0.28468,-0.0038342,0.21151
11,0.8621,0.82237,0.76186,0.78332,0.84064,0.81306,0.85473,0.76912,0.80858,0.77627,0.74328,1,0.78875,0.83693,0.77851,0.73005,0.82632,0.74495,0.78197,0.77992,0.6799,0.79208,0.73643,0.74656,0.66134,0.67421,0.61815,0.7564,0.47105,0.53562,0.76189,0.66439,0.37197,0.56622,0.59067,0.57579,0.56675,0.089939,0.36622,0.38683,0.12829,0.29951,0.38806,-0.089795,0.09673,0.29617,-0.084392,0.055796,0.20585,0.12765,0.19885,0.046009,0.041267,0.003391,-0.052149,0.0020215,0.098737,0.10473,-0.24175,0.016376,0.027537,-0.21234,-0.1239,-0.22015,-0.0078254,-0.13093,-0.11812,-0.033328,-0.16773,-0.20815,-0.22947,-0.024661,-0.19521,-0.33483,-0.069982,-0.15525,-0.29805,-0.063287,-0.19432,-0.044043,0.21572,-0.094314,-0.1997,-0.13844,0.079218,-0.15236,0.061851,0.046521,0.1985,-0.23292,-0.15821,0.12323,-0.086284,-0.28526,0.13683,0.21705,-0.192,-0.28194,-0.20213,0.31648,0.23242,0.072281,0.024903,-0.054717,-0.015432,0.16784,-0.010946,-0.12652,-0.11745,0.17851,0.10688,0.14601,-0.047866,-0.30757,-0.12256,0.014528
12,0.89353,0.87762,0.82666,0.83424,0.85308,0.85308,0.81531,0.84856,0.85698,0.80866,0.85226,0.78875,1,0.74592,0.79194,0.83382,0.78792,0.71123,0.72005,0.84369,0.76453,0.79687,0.82552,0.72398,0.74839,0.69463,0.70499,0.72049,0.54652,0.70401,0.77226,0.73454,0.50619,0.69268,0.55037,0.56891,0.48581,0.19427,0.392,0.37508,0.27385,0.27332,0.45323,-0.041813,0.32699,0.39021,0.086696,0.056778,0.16386,0.13056,0.26918,-0.0961,0.10407,0.019214,-0.21115,-0.14769,0.13182,0.023711,-0.067973,-0.06783,-0.030715,-0.2455,-0.044706,-0.20581,0.019615,-0.085826,0.039248,-0.020037,-0.23691,-0.20585,-0.38653,0.086135,-0.14891,-0.21567,-0.31176,-0.21889,-0.38764,-0.028121,-0.36653,0.063718,0.010436,-0.11437,-0.21979,-0.084928,0.040866,-0.080893,0.11155,-0.016168,0.057349,-0.066709,-0.137,-0.018998,0.1103,-0.26839,0.19838,0.20977,-0.027787,-0.31322,-0.19831,0.17921,0.032308,0.089437,0.061643,-0.1195,-0.021841,0.15769,-0.070129,-0.085274,-0.21401,0.22567,0.10768,0.028542,0.057314,-0.24201,-0.012521,0.27405
13,0.7472,0.85943,0.83035,0.74777,0.82456,0.77887,0.87064,0.78043,0.8338,0.8282,0.74179,0.83693,0.74592,1,0.76944,0.69134,0.79179,0.78736,0.75962,0.74229,0.75584,0.78213,0.73347,0.75738,0.70138,0.69997,0.68274,0.67952,0.45587,0.62171,0.67632,0.69422,0.4904,0.61362,0.51379,0.53727,0.64601,0.14323,0.46612,0.38847,0.27105,0.3242,0.2817,-0.0071219,0.16285,0.24834,-0.10094,0.034016,0.1317,0.093909,0.17599,-0.032585,0.14397,-0.053433,-0.094618,-0.054918,0.16411,0.10485,-0.043766,-0.055164,-0.042812,-0.24239,-0.14414,-0.25284,-0.12784,-0.17674,-0.034942,-0.02689,-0.15806,-0.19823,-0.37148,0.17935,-0.16631,-0.3686,-0.22065,-0.13481,-0.36153,0.030893,-0.29006,-0.024644,0.083432,-0.10975,-0.3365,-0.17435,0.093415,-0.038094,-0.02165,-0.030918,0.18866,-0.0493,-0.1658,-0.049614,-0.041915,-0.28727,0.14709,0.20153,-0.075155,-0.17558,-0.24793,0.22493,0.077369,0.024077,0.01291,0.059574,-0.0020082,0.074175,0.11643,0.074268,-0.13346,0.1881,0.046126,0.21081,0.056045,-0.33175,-0.11883,0.051813
14,0.81329,0.8339,0.73984,0.78274,0.85502,0.84712,0.82441,0.84581,0.81422,0.77395,0.74013,0.77851,0.79194,0.76944,1,0.80781,0.71959,0.75107,0.74393,0.79425,0.77119,0.75277,0.78542,0.6951,0.72098,0.71784,0.72286,0.63693,0.59844,0.67552,0.67639,0.62694,0.45699,0.53257,0.53593,0.44083,0.55692,0.18776,0.45827,0.44484,0.18309,0.26792,0.47154,0.079553,0.28055,0.36513,0.16861,0.075045,0.11539,0.20215,0.16026,0.023172,0.19115,-0.0022422,-0.17678,-0.051485,0.080049,0.13852,-0.10433,-0.090486,-0.024673,-0.31939,-0.039442,-0.10779,0.054018,-0.20824,-0.075946,0.0042538,-0.18969,-0.2348,-0.31235,0.16555,-0.23118,-0.31887,-0.13026,-0.19567,-0.41596,-0.048879,-0.22222,0.10405,0.048075,-0.10671,-0.24808,-0.019963,0.07823,-0.06122,0.17044,-0.048459,0.083006,-0.12517,-0.22548,0.14191,-0.068868,-0.32901,0.13548,0.13772,-0.077129,-0.31638,-0.29083,0.27656,0.16788,0.066135,0.24254,-0.23399,0.075862,0.23463,-0.0017169,0.049648,-0.17479,0.2591,0.035707,0.1298,-0.0082635,-0.21019,0.030639,-0.0045622
15,0.81487,0.82227,0.69374,0.73291,0.80165,0.85263,0.74393,0.75232,0.77458,0.76035,0.75972,0.73005,0.83382,0.69134,0.80781,1,0.76965,0.67145,0.68816,0.81524,0.75247,0.75753,0.78562,0.72489,0.63702,0.70622,0.77309,0.65162,0.52522,0.63092,0.64866,0.65369,0.41985,0.57889,0.53585,0.54652,0.44925,0.19326,0.465,0.34285,0.25005,0.27894,0.28931,0.045498,0.21375,0.38297,0.072269,0.065142,0.23004,-0.02138,0.29449,-0.16087,0.091086,0.049082,-0.10349,-0.12914,0.083344,0.012244,-0.11938,-0.12518,-0.06332,-0.27158,-0.045946,-0.074678,-0.046514,-0.03647,-0.061587,0.097644,-0.065053,-0.11732,-0.20358,0.11664,-0.080058,-0.32416,-0.26487,-0.27776,-0.33886,-0.0015978,-0.28967,0.14074,0.068357,0.0045906,-0.11534,0.083343,0.079586,-0.010082,0.10582,0.015268,0.12609,-0.093883,-0.15417,0.022203,0.020252,-0.35582,0.17041,0.21576,-0.067098,-0.33527,-0.17549,0.20902,0.13775,0.13147,0.12425,-0.11198,0.027972,0.14727,-0.03512,-0.11415,-0.19484,0.13845,0.0525,0.048495,0.14783,-0.27006,0.085864,0.081338
16,0.82818,0.80706,0.78878,0.73882,0.82081,0.83425,0.81315,0.75268,0.82315,0.79017,0.75573,0.82632,0.78792,0.79179,0.71959,0.76965,1,0.80719,0.64843,0.76073,0.75324,0.80042,0.76157,0.76821,0.64154,0.64112,0.68499,0.79887,0.4576,0.53338,0.70817,0.64565,0.32942,0.54892,0.53965,0.50335,0.43153,0.27872,0.4282,0.24774,0.19374,0.34087,0.24943,-0.12532,0.15036,0.47849,-0.012285,0.0035796,0.063141,0.1158,0.083518,-0.050154,0.021688,0.027422,-0.12222,-0.077571,0.059207,0.0018066,-0.019095,-0.081812,-0.075167,-0.26773,-0.21572,-0.22606,-0.10127,-0.22194,-0.025411,-0.12929,-0.0064321,-0.19784,-0.29968,-0.010722,-0.13552,-0.17609,-0.13773,-0.27287,-0.37844,0.0080195,-0.29639,-0.0033907,0.15299,-0.13146,-0.17644,-0.06793,0.16214,-0.035212,0.085485,0.028762,0.21409,-0.14357,-0.20309,-0.072015,-0.051076,-0.26254,0.037514,0.20103,-0.10143,-0.21374,-0.17908,0.38566,0.20747,0.11135,0.075488,-0.0015552,0.041644,0.04513,-0.031584,0.028741,-0.17675,0.21416,-0.031403,0.062699,0.0021141,-0.33173,-0.1207,0.063568
17,0.83566,0.7731,0.73421,0.76281,0.7652,0.7905,0.84613,0.78787,0.7962,0.72732,0.74289,0.74495,0.71123,0.78736,0.75107,0.67145,0.80719,1,0.70997,0.69441,0.71579,0.66458,0.67619,0.70702,0.70561,0.67809,0.72318,0.70214,0.55665,0.57349,0.7177,0.61281,0.32591,0.52471,0.43872,0.42871,0.52811,0.35537,0.37355,0.28432,0.17737,0.25939,0.25285,0.011478,0.21126,0.41146,-0.029429,0.039221,-0.08124,0.032923,0.10748,-0.03253,-0.0016767,0.067003,-0.16051,0.069047,0.10201,0.020796,-0.11965,-0.01193,0.068186,-0.27862,-0.19837,-0.096243,-0.19473,-0.29957,0.01307,-0.073833,-0.13748,-0.27531,-0.27389,0.042123,-0.21115,-0.3824,-0.11723,-0.082457,-0.15682,-0.061698,-0.28374,-0.017592,0.18693,-0.064401,-0.28046,-0.23527,0.096194,-0.19748,-0.060742,0.011511,0.13915,-0.046577,-0.23877,-0.031363,-0.13635,-0.23757,0.10292,0.20845,-0.10924,-0.18732,-0.26847,0.31095,0.28185,0.034289,0.17225,0.045293,0.088816,0.17715,0.018783,0.063099,-0.13535,0.19122,0.11187,0.1345,0.059433,-0.25554,-0.079241,0.1122
18,0.74893,0.79921,0.67642,0.71903,0.78324,0.68008,0.7875,0.66381,0.76139,0.67466,0.66113,0.78197,0.72005,0.75962,0.74393,0.68816,0.64843,0.70997,1,0.64759,0.63936,0.66304,0.64351,0.61883,0.66469,0.70529,0.56347,0.58531,0.44859,0.49379,0.58546,0.63362,0.34549,0.47832,0.42227,0.40918,0.40375,0.042087,0.19954,0.34085,0.16595,0.34666,0.40175,0.054808,0.020482,0.3887,-0.16134,0.070035,0.19551,-0.093495,0.32058,0.072577,0.21034,-0.013118,-0.20937,0.027298,0.022975,0.10162,-0.13795,0.033926,0.092975,-0.24683,-0.18043,-0.012317,-0.11144,-0.026551,-0.092766,0.22046,-0.22095,-0.25595,-0.29978,-0.0098622,-0.13839,-0.42663,-0.17414,-0.21645,-0.2134,-0.070298,-0.25505,0.097938,0.10934,0.029131,-0.26471,-0.20021,0.046738,-0.22366,0.0063341,-0.046065,0.042194,0.025516,-0.1397,0.13758,0.03241,-0.3257,0.13589,0.2992,-0.1944,-0.19358,-0.29285,0.23393,0.10267,0.16583,0.12962,-0.078816,-0.0059849,0.099709,0.028112,0.018774,-0.018618,0.28395,0.11281,0.19944,0.047621,-0.31347,-0.097158,0.078731
19,0.82816,0.83035,0.79154,0.80827,0.83953,0.83853,0.81469,0.80502,0.70887,0.82885,0.80181,0.77992,0.84369,0.74229,0.79425,0.81524,0.76073,0.69441,0.64759,1,0.67423,0.79714,0.79727,0.72657,0.77541,0.74538,0.73524,0.67567,0.5756,0.55609,0.73005,0.64165,0.3024,0.62507,0.54097,0.52035,0.52707,0.084187,0.38058,0.36432,0.16338,0.34104,0.42033,-0.095678,0.34135,0.3018,0.092449,0.023631,0.17395,0.070401,0.17129,-0.010308,0.013335,-0.09572,-0.12936,-0.095634,0.06992,-0.03741,-0.080139,-0.10423,0.050363,-0.17003,-0.1557,-0.1285,-0.035571,-0.16057,0.013297,-0.10202,-0.28589,-0.094009,-0.25806,0.16549,-0.26125,-0.2257,-0.33441,-0.22482,-0.45405,-0.056396,-0.25023,-0.029993,0.15345,-0.1159,-0.19462,0.016584,0.11496,-0.10922,0.027481,0.065878,0.25037,-0.24905,-0.18325,0.066685,0.21343,-0.24017,0.10754,0.10233,0.058582,-0.33995,-0.21758,0.16093,0.21312,0.037296,0.20807,-0.14428,-0.054993,0.17981,0.049394,-0.0097273,-0.13378,0.25407,0.073578,0.19674,0.19482,-0.21284,0.10095,0.18355
