,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
10,-0.034041,0.24162,0.1673,0.059742,-0.033307,0.20466,0.32917,0.50294,-0.06318,0.010145,1,0.35327,0.082667,0.12704,0.13736,0.095904,0.16255,0.14568,0.32848,0.17043,0.31672,0.14687,-0.0022781,0.15401,0.35864,0.52508,0.37078,0.26858,0.28302,0.17445,-0.04102,0.30756,0.0026129,0.059792,0.16335,-0.044012,0.29602,-0.13949,0.12041,0.1499,0.16442,0.18214,-0.18005,0.14101,0.053469,-0.15109,-0.050633,-0.076831,0.13893,0.14346,0.13649,0.16283,-0.10853,0.35111,-0.14985,-0.018915,-0.045215,-0.019135,0.034254,-0.23726,-0.026682,-0.029096,0.14746,-0.13968,0.0036628,0.10381,0.15122,0.0092261,0.3388,-0.092165,-0.14661,0.21562,0.14103,0.24744,-0.18971,-0.054171,0.015756,-0.26635
11,-0.057762,-0.11728,0.018879,-0.062562,-0.11068,0.12885,0.19911,0.24631,0.034977,0.31542,0.35327,1,0.22119,0.35358,0.3962,0.099183,0.34194,0.50263,0.36425,0.22532,0.42637,0.53907,0.16479,0.2935,0.37158,0.37333,0.28852,0.20294,0.38425,0.49789,0.38783,0.34692,0.27489,0.17827,0.22807,-0.06114,0.30986,0.27969,0.017337,-0.029974,-0.02425,0.11218,0.29599,0.29941,-0.020323,0.061186,0.16733,0.085946,-0.025459,0.025898,0.1916,0.20867,0.0010604,0.26883,-0.078652,-0.058013,0.17723,0.093885,0.091001,-0.1573,-0.070078,-0.302,-0.073597,-0.35203,0.093878,0.12442,-0.16532,0.051745,0.076908,0.21235,-0.17967,0.003329,-0.057268,-0.035066,-0.1656,0.080849,-0.034732,-0.078499
12,0.069168,-0.0088127,0.19349,0.1054,0.26492,0.41249,0.2519,0.1796,0.19141,0.19951,0.082667,0.22119,1,0.30918,0.21132,-0.0084229,0.12027,0.45731,0.012385,0.21058,0.41451,0.17511,0.18416,-0.21077,0.17269,0.023557,-0.093439,-0.016347,0.16936,0.41407,0.065146,0.064715,0.19906,0.27871,0.14459,-0.10136,0.36228,0.16641,0.10228,0.084378,0.001458,0.16722,0.0034931,0.12267,0.18287,-0.20112,0.14745,0.18912,0.2388,-0.29189,0.049331,0.050516,0.094711,0.26719,0.14139,-0.058015,0.065409,0.071649,0.087297,0.48703,0.368,0.14521,-0.0024203,-0.074344,0.24619,0.135,-0.050185,0.10435,0.0064891,0.014913,-0.07626,0.10051,-0.29988,0.12801,-0.075456,-0.052414,-0.18962,-0.18388
13,-0.13964,-0.048494,0.0038226,-0.0052774,-0.20069,0.41391,0.29973,0.067796,0.25749,0.03486,0.12704,0.35358,0.30918,1,0.31204,-0.1215,0.38643,0.35796,0.23449,0.27754,0.32275,0.36422,0.21367,0.025761,0.3462,0.25071,0.17696,-0.0067239,0.16807,0.40675,0.18941,0.1402,0.090446,0.35832,0.37356,0.068162,0.28605,0.27665,0.041853,0.027357,0.074329,0.044198,-0.061445,0.080949,0.017419,-0.2314,0.16679,0.18915,0.035433,-0.10534,-0.12203,0.097034,0.15586,0.29701,0.081844,-0.057056,-0.088543,0.24557,-0.053301,0.14152,0.042218,-0.37272,0.17995,0.071947,0.20899,0.37317,-0.13648,0.24676,-0.19147,0.035007,0.19636,0.26817,-0.19631,0.16619,-0.19272,-0.092035,-0.21852,-0.17712
14,-0.20662,-0.07183,-0.059497,-0.0050235,-0.0029892,0.063703,0.1357,0.27663,0.064567,0.20052,0.13736,0.3962,0.21132,0.31204,1,0.12761,0.56412,0.35315,0.28958,0.39806,0.35236,0.31089,0.17583,0.17747,0.33848,0.13708,0.15716,0.097878,0.19273,0.38137,0.36454,0.23188,0.19166,0.27011,0.18227,-0.04756,0.18251,0.0034675,-0.12065,-0.079558,-0.089476,0.10631,-0.14687,0.056702,0.088983,-0.10048,-0.035608,0.096619,-0.067851,-0.12608,-0.060453,0.012297,-0.06169,0.14212,0.18173,-0.23534,0.10374,-0.06718,0.046617,0.097657,0.17762,-0.22397,-0.20076,0.096833,-0.022082,0.29198,-0.27562,0.0015719,-0.12027,0.24112,-0.035875,0.057376,-0.0053719,0.061701,-0.12389,-0.19676,0.11924,-0.015503
15,0.073703,-0.03677,-0.0047947,-0.15783,0.1325,0.0011772,0.1714,0.23559,0.012438,-0.018906,0.095904,0.099183,-0.0084229,-0.1215,0.12761,1,0.030402,-0.012136,0.25016,-0.020051,0.13718,0.084301,-0.16815,0.098373,0.069636,0.1574,0.02955,0.22297,0.1873,-0.097046,-0.015083,0.029389,0.13077,0.031577,0.24173,-0.30725,0.057897,0.10312,0.19718,-0.4855,-0.14699,0.38627,-0.060161,0.036094,0.069392,-0.077083,0.018608,-0.076545,-0.024135,0.23945,0.069873,0.060573,-0.14866,0.0091605,0.015186,0.21471,0.23909,-0.28537,0.018428,0.063221,0.042515,0.1609,-0.027514,-0.16109,0.013831,-0.16966,-0.10916,0.047547,0.18334,0.25747,0.03837,-0.12575,-0.1783,-0.11352,-0.006272,-0.083135,0.17786,0.33986
16,-0.097361,0.074322,0.20652,0.031929,-0.19449,0.017793,0.21524,0.18788,0.40378,0.011456,0.16255,0.34194,0.12027,0.38643,0.56412,0.030402,1,0.33039,0.47109,0.25258,0.2915,0.43053,0.29228,0.3649,0.5461,0.2395,0.25586,0.23037,0.27918,0.22291,0.26766,0.36451,0.049325,-0.0038773,0.37942,0.0086874,0.22755,0.0029098,-0.20457,-0.047744,-0.092693,0.080082,0.023062,0.0085446,-0.14028,-0.11714,0.055091,0.12903,-0.0049046,-0.02119,-0.022299,0.035182,0.024906,0.12115,0.078037,-0.099098,-0.02294,0.048079,0.086051,0.057122,0.023896,-0.10034,-0.1883,-0.032144,-0.052649,0.29051,-0.35604,0.019595,0.14145,0.1709,-0.072761,0.060951,0.081989,-0.088036,-0.13562,-0.22018,-0.16445,-0.18584
17,0.095864,-0.024098,0.17179,0.13642,0.13609,0.30294,0.085285,0.2728,0.002312,0.40617,0.14568,0.50263,0.45731,0.35796,0.35315,-0.012136,0.33039,1,0.24116,0.26828,0.35919,0.50585,0.49,0.053914,0.32959,0.45004,0.33695,0.062476,0.45075,0.38907,0.41893,0.41818,0.36001,0.24783,0.34181,0.087319,0.36087,0.25458,-0.068009,-0.068957,0.19922,0.065318,-0.16229,0.28132,-0.1092,-0.068049,0.20655,0.015539,0.058443,0.06672,0.017421,0.099447,-0.065505,0.13565,-0.15705,-0.019551,0.053122,0.11157,0.24472,0.20944,0.22645,0.033639,0.028098,-0.031491,0.085202,0.072204,-0.062903,0.31904,-0.049403,0.13705,-0.11658,0.24328,-0.032868,0.10906,-0.16494,-0.28136,-0.26632,0.0041414
18,-0.082177,0.1942,0.22821,0.12652,-0.044476,-0.14693,0.089307,0.3676,0.12899,0.23074,0.32848,0.36425,0.012385,0.23449,0.28958,0.25016,0.47109,0.24116,1,0.12208,0.36515,0.16691,0.15664,0.049673,0.58951,0.4349,0.31105,0.16126,-0.037135,0.01778,0.32691,0.19245,0.086248,-0.029829,0.21349,-0.052871,0.44741,-0.12101,0.020054,-0.16637,0.04021,0.15045,-0.04381,0.084754,-0.25852,-0.35331,0.017357,-0.2241,0.12767,0.14436,0.23254,0.15803,-0.21381,0.19259,0.16304,0.16031,0.053642,-0.00076085,0.10133,-0.2105,-0.044738,-0.20072,-0.11528,-0.061636,-0.15861,-0.051139,-0.34261,0.075882,0.039143,0.14002,-0.068521,0.08088,0.25628,-0.06076,-0.20414,-0.10393,-0.069156,-0.0077768
19,-0.041371,0.11766,0.060057,0.018262,0.274,-0.029015,0.19547,0.31319,0.0037941,0.41893,0.17043,0.22532,0.21058,0.27754,0.39806,-0.020051,0.25258,0.26828,0.12208,1,0.36559,0.34537,0.11815,-0.079867,0.24603,0.17165,0.013371,-0.1504,0.31573,0.34773,0.098647,0.19415,0.30678,0.23169,0.2489,0.16845,0.23115,-0.00038942,-0.29378,0.11971,0.12992,-0.10052,0.062567,0.12925,0.030599,-0.047418,0.27138,-0.1177,-0.15874,-0.030544,0.12173,0.15912,0.071494,0.17223,0.18132,-0.18348,-0.22332,-0.1242,0.18252,0.094985,-0.27408,0.036465,0.098593,-0.0094027,0.045777,-0.023712,0.07967,0.18729,-0.26312,0.22401,-0.10834,-0.068731,-0.20586,0.19672,-0.27198,-0.21081,-0.29694,-0.051493
